"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse","training_time_ms","predict_time_per_row_ms"
"StackedEnsemble_BestOfFamily_AutoML_20200520_134408",0.642837382973915,0.644730362626663,0.530510041049869,0.42506628549299,0.476274127616025,0.226837044636406,594,0.003459
"StackedEnsemble_AllModels_AutoML_20200520_134408",0.641493071701175,0.646082194468597,0.529115108839945,0.437601166647041,0.476941425248763,0.227473123118321,1317,0.032064
"XGBoost_grid__1_AutoML_20200520_134408_model_11",0.638018567870017,0.646480860838352,0.526135453458299,0.430115262182096,0.477130335873075,0.227653357410354,1021,4.62E-4
"XGBoost_grid__1_AutoML_20200520_134408_model_5",0.637426466787151,0.647736534284249,0.527645310254336,0.4374155063127,0.477678810525863,0.228177046025404,3628,5.42E-4
"XGBoost_grid__1_AutoML_20200520_134408_model_2",0.635373060013608,0.64862076372514,0.521835473408925,0.438194759434813,0.478070744034177,0.228551636301391,841,4.7E-4
"XGBoost_grid__1_AutoML_20200520_134408_model_6",0.634722838432738,0.648801728208871,0.522329564271717,0.433387404100338,0.478218320075436,0.228692761655772,827,4.94E-4
"XGBoost_3_AutoML_20200520_134408",0.633433997097678,0.650224329710893,0.519843315132179,0.439983921457601,0.478794297338414,0.229243979163785,766,5.34E-4
"XGBoost_grid__1_AutoML_20200520_134408_model_10",0.631551356628902,0.650978147261117,0.519541633165401,0.438021817891235,0.479156521523211,0.229590972118223,779,5.04E-4
"DeepLearning_grid__3_AutoML_20200520_134408_model_6",0.626895301399721,0.654822613469674,0.514161020046241,0.438849213699842,0.481056814439296,0.231415658718483,3650,0.003531
"XGBoost_grid__1_AutoML_20200520_134408_model_1",0.62687550027693,0.654544346486704,0.51064313671535,0.446199917398246,0.480774793947238,0.231144402495009,939,4.12E-4
"DeepLearning_grid__1_AutoML_20200520_134408_model_12",0.62551079974361,0.655759412529233,0.510234780526031,0.440247664341837,0.481213018417906,0.231565969094872,1454,0.004954
"XGBoost_grid__1_AutoML_20200520_134408_model_7",0.625483643995096,0.654327945198217,0.511261834530577,0.44311344493919,0.480723714008372,0.231095289210003,933,4.56E-4
"GLM_1_AutoML_20200520_134408",0.625161441749263,0.652140369632148,0.510789879605776,0.433109220732842,0.479814388712066,0.230221847615134,505,4.86E-4
"DeepLearning_grid__1_AutoML_20200520_134408_model_11",0.623986593172637,0.653817625273876,0.506567766796377,0.440482240485972,0.48051217030245,0.230891945808771,305,9.14E-4
"XRT_1_AutoML_20200520_134408",0.623733412504809,0.655341644831781,0.509460429339268,0.4451409072875,0.48103053836601,0.231390378840693,6166,9.64E-4
"DeepLearning_grid__3_AutoML_20200520_134408_model_4",0.62363467565904,0.662258928670202,0.512709682972564,0.43450572861221,0.483932608619155,0.23419076968494,35347,0.012518
"XGBoost_grid__1_AutoML_20200520_134408_model_8",0.62344773743152,0.663626491609769,0.513120528716154,0.442499715690543,0.484481550556685,0.23472237282981,2477,4.66E-4
"DeepLearning_1_AutoML_20200520_134408",0.622344356098959,0.67930658837575,0.506276640235171,0.437565001979735,0.490237643751057,0.240332947350589,540,5.81E-4
"DeepLearning_grid__1_AutoML_20200520_134408_model_10",0.621833371577221,0.65462165579127,0.503643345250091,0.43932794832051,0.481006095616753,0.231366864020472,225,9.19E-4
"XGBoost_grid__1_AutoML_20200520_134408_model_9",0.620416363694826,0.671558448059703,0.510458214250584,0.450374179316967,0.487482204431143,0.237638899637046,2852,5.26E-4
"GBM_grid__1_AutoML_20200520_134408_model_11",0.619769308850217,0.657852753103986,0.503164480292189,0.453324294642658,0.482231147131943,0.232546879264189,291,6.51E-4
"GBM_grid__1_AutoML_20200520_134408_model_20",0.618750266808418,0.656723916763816,0.50402254946597,0.44890959759926,0.481799882822063,0.232131127087354,304,6.25E-4
