"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse","training_time_ms","predict_time_per_row_ms"
"StackedEnsemble_BestOfFamily_AutoML_20200520_161033",0.639393999014626,0.646055459385346,0.527804734628695,0.432435005784679,0.476893103157747,0.227427031839426,470,0.003926
"StackedEnsemble_AllModels_AutoML_20200520_161033",0.638070487205763,0.646583740359379,0.527137160574074,0.431773929370186,0.477148947699071,0.227671118290331,1521,0.014287
"XGBoost_grid__1_AutoML_20200520_161033_model_11",0.635540805994412,0.647546282149877,0.523335346349606,0.435065043916697,0.477665714358298,0.228164534673423,1098,8.9E-4
"XGBoost_grid__1_AutoML_20200520_161033_model_12",0.635163922280529,0.648883457586202,0.524945923621434,0.431696654783911,0.478222329425459,0.228696596361112,2146,9.18E-4
"XGBoost_grid__1_AutoML_20200520_161033_model_5",0.632000816670382,0.650984377761007,0.521273017578446,0.439729192261963,0.479248665469972,0.229679283354749,4088,9.03E-4
"XGBoost_grid__1_AutoML_20200520_161033_model_2",0.631904141210234,0.6505889138538,0.519530674090032,0.429149771786528,0.478965686863568,0.22940812919269,904,4.48E-4
"XGBoost_grid__1_AutoML_20200520_161033_model_6",0.631382243787673,0.650739368810432,0.522055841527172,0.441746674102786,0.479095607430643,0.229532601059337,1042,4.85E-4
"XGBoost_3_AutoML_20200520_161033",0.626963538240987,0.65313720623331,0.513026897384725,0.437589834418076,0.480231687474584,0.230622473654687,2886,4.93E-4
"DeepLearning_grid__3_AutoML_20200520_161033_model_4",0.62594288483437,0.654412769620991,0.511103302504037,0.438557690637303,0.480702669923001,0.231075056871102,49676,0.013075
"XGBoost_grid__1_AutoML_20200520_161033_model_10",0.625431263025106,0.656056542976749,0.513721704292619,0.439180033740395,0.481365592890259,0.231712834018591,983,4.81E-4
"DeepLearning_1_AutoML_20200520_161033",0.624227450114049,0.65752468634497,0.507698633085222,0.443964501058217,0.482432026803871,0.232740660486091,939,5.67E-4
"DeepLearning_grid__1_AutoML_20200520_161033_model_6",0.623030845209034,0.665114177108467,0.507443984130995,0.44201139458982,0.485965725909276,0.236162686758529,26175,0.00221
"GLM_1_AutoML_20200520_161033",0.622778194197029,0.653001786169914,0.510299371560628,0.443715649092813,0.480225219688052,0.230616261624438,1799,4.33E-4
"XGBoost_grid__1_AutoML_20200520_161033_model_1",0.621540854113871,0.658011986740618,0.505980304146217,0.438088147639727,0.482332235635312,0.232644385532958,1024,4.64E-4
