model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_021608,0.0020997703496709102,4.4090355213570964e-06,4.4090355213570964e-06,0.0015603294055724498,0.002047898123208481
StackedEnsemble_BestOfFamily_AutoML_20200516_021608,0.002106933290078533,4.439167888841151e-06,4.439167888841151e-06,0.001565859328084481,0.0020547589146084305
DeepLearning_1_AutoML_20200516_021608,0.0021176042295957985,4.484247673202015e-06,4.484247673202015e-06,0.001575869866310404,0.0020652511324377788
GBM_2_AutoML_20200516_021608,0.002194412033953884,4.815444174761621e-06,4.815444174761621e-06,0.001588651329047917,0.0021387603630183285
GBM_1_AutoML_20200516_021608,0.00222034207527151,4.929918931220997e-06,4.929918931220997e-06,0.0015989341022644302,0.0021643181186486275
GBM_grid__1_AutoML_20200516_021608_model_5,0.002220456577562229,4.930427412839368e-06,4.930427412839368e-06,0.0015969862882054095,0.00216236047500221
GBM_3_AutoML_20200516_021608,0.0022250799091873058,4.9509806022689925e-06,4.9509806022689925e-06,0.0016010528428079065,0.002167908970843206
GBM_grid__1_AutoML_20200516_021608_model_29,0.00222564202615334,4.953482428579945e-06,4.953482428579945e-06,0.0016022391750922865,0.0021677932033038784
GBM_grid__1_AutoML_20200516_021608_model_19,0.0022260279841946336,4.955200586417624e-06,4.955200586417624e-06,0.001611433007388873,0.0021690078495725123
GBM_grid__1_AutoML_20200516_021608_model_31,0.0022285282559932587,4.9663381877603534e-06,4.9663381877603534e-06,0.0016086088328520955,0.0021710277819196907
GBM_grid__1_AutoML_20200516_021608_model_4,0.002232777289664539,4.985294425241724e-06,4.985294425241724e-06,0.0016171445692941438,0.0021745958632600274
GBM_grid__1_AutoML_20200516_021608_model_38,0.002237846094283397,5.0079551416994535e-06,5.0079551416994535e-06,0.0016010608419547599,0.002180545409996434
GBM_grid__1_AutoML_20200516_021608_model_10,0.0022472744399459343,5.050242408434314e-06,5.050242408434314e-06,0.0016124573679143495,0.002189979220742045
XGBoost_grid__1_AutoML_20200516_021608_model_58,0.0022611503881495012,5.112801077828639e-06,5.112801077828639e-06,0.0016394503267753858,0.0022030447577802217
GBM_4_AutoML_20200516_021608,0.0022635898004561127,5.123838784728945e-06,5.123838784728945e-06,0.0016258424830032975,0.002204930302319091
XGBoost_grid__1_AutoML_20200516_021608_model_13,0.002264211403531123,5.126653279880378e-06,5.126653279880378e-06,0.0016489382152471113,0.002207005700592995
XGBoost_grid__1_AutoML_20200516_021608_model_27,0.002264511476116515,5.128012225463399e-06,5.128012225463399e-06,0.0016454766588690163,0.002207361368718393
GBM_grid__1_AutoML_20200516_021608_model_7,0.002266670117518777,5.137793421652587e-06,5.137793421652587e-06,0.0016306336583361285,0.002208668928285174
GBM_grid__1_AutoML_20200516_021608_model_12,0.002268406985461932,5.145670251692489e-06,5.145670251692489e-06,0.0016243609664519595,0.0022091329961275107
GBM_grid__1_AutoML_20200516_021608_model_24,0.002268538549887353,5.146267152325013e-06,5.146267152325013e-06,0.0016299035414665292,0.0022100980905977053
XGBoost_grid__1_AutoML_20200516_021608_model_151,0.002272191758136439,5.162855385743158e-06,5.162855385743158e-06,0.001649383867094775,0.002214787442521723
