model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_031950,43460.11894485839,1888781938.701239,1888781938.701239,28252.374954949,0.21453726114913624
StackedEnsemble_BestOfFamily_AutoML_20200516_031950,44494.78487907325,1979785881.4350047,1979785881.4350047,29238.26439417021,0.22056375824624164
GBM_grid__1_AutoML_20200516_031950_model_54,45108.909630596085,2034813728.061284,2034813728.061284,29856.13412203497,0.22434238330971865
GBM_4_AutoML_20200516_031950,45205.570401265686,2043543595.303788,2043543595.303788,29859.971464541235,0.2242423600609605
GBM_grid__1_AutoML_20200516_031950_model_139,45545.250193265594,2074369815.1671603,2074369815.1671603,30391.873152961634,0.2290003477103688
GBM_grid__1_AutoML_20200516_031950_model_34,45724.017581887216,2090685783.828732,2090685783.828732,30517.896078351,0.2286065113743603
GBM_grid__1_AutoML_20200516_031950_model_29,45729.865750943936,2091220621.599356,2091220621.599356,30431.88295703665,0.2285415630459169
GBM_grid__1_AutoML_20200516_031950_model_155,45732.45656211763,2091457583.2059753,2091457583.2059753,30420.551186528923,0.2280758854792857
GBM_grid__1_AutoML_20200516_031950_model_28,46017.06767819444,2117570517.699527,2117570517.699527,30334.26440852353,0.2267482020140305
GBM_grid__1_AutoML_20200516_031950_model_6,46101.27437982029,2125327499.4434745,2125327499.4434745,30687.699049249823,0.22895181049771696
GBM_grid__1_AutoML_20200516_031950_model_23,46169.739350731936,2131644831.7145255,2131644831.7145255,30823.926610491162,0.2302460146714483
GBM_grid__1_AutoML_20200516_031950_model_146,46257.741791931454,2139778675.6890016,2139778675.6890016,30654.320334487584,0.2290174843356911
XGBoost_grid__1_AutoML_20200516_031950_model_28,46263.64292481202,2140324656.6745093,2140324656.6745093,30825.232857795338,0.2329007005533445
GBM_grid__1_AutoML_20200516_031950_model_49,46285.58780551655,2142355638.5021827,2142355638.5021827,30654.910859192132,0.2301429469238257
GBM_grid__1_AutoML_20200516_031950_model_80,46294.461177186444,2143177135.6860237,2143177135.6860237,30937.44144780201,0.22990340362114894
GBM_grid__1_AutoML_20200516_031950_model_161,46387.749899617214,2151823340.7494364,2151823340.7494364,30643.216930182163,0.2279375984217449
GBM_grid__1_AutoML_20200516_031950_model_57,46424.90527914897,2155271830.177953,2155271830.177953,30823.14787428061,0.2305608513115757
XGBoost_grid__1_AutoML_20200516_031950_model_50,46492.65970327874,2161567406.2848787,2161567406.2848787,30836.861056752496,0.2328869459911015
XGBoost_grid__1_AutoML_20200516_031950_model_40,46501.06810498074,2162349334.9040575,2162349334.9040575,30903.227971986278,0.23472234966761255
GBM_grid__1_AutoML_20200516_031950_model_106,46535.87923809792,2165588056.4628334,2165588056.4628334,30828.22175267838,0.23019109088078946
XGBoost_grid__1_AutoML_20200516_031950_model_78,46646.829052562425,2175926660.6589813,2175926660.6589813,31079.498094767365,0.23514897928551584
XGBoost_grid__1_AutoML_20200516_031950_model_14,46652.33777906885,2176440620.252335,2176440620.252335,31249.299142237887,0.23618559252918164
XGBoost_grid__1_AutoML_20200516_031950_model_65,46707.21181942866,2181563635.9449763,2181563635.9449763,31143.695367226617,0.23506005941236946
GBM_grid__1_AutoML_20200516_031950_model_38,46719.10578992686,2182674845.8103786,2182674845.8103786,30729.693280495703,0.230017022421409
GBM_grid__1_AutoML_20200516_031950_model_170,46735.51823287928,2184208664.4957924,2184208664.4957924,30467.049323767384,0.228140015864892
GBM_grid__1_AutoML_20200516_031950_model_122,46757.99119399427,2186309740.4976463,2186309740.4976463,30444.297323523966,0.2275022539102388
XGBoost_grid__1_AutoML_20200516_031950_model_106,46758.672875249336,2186373489.054579,2186373489.054579,31196.75919107442,0.2353680137627729
GBM_grid__1_AutoML_20200516_031950_model_137,46776.79448058998,2188068501.879353,2188068501.879353,30718.334459125454,0.2291819324099848
