model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200514_221035_model_11,0.8300831793015128,0.07541174758903607,0.09674934370766763,0.3478126634112165,0.1293676304382333,0.016735983805203306
StackedEnsemble_AllModels_AutoML_20200514_221035,0.8273920958832229,0.0782917530086834,0.10693284527951552,0.3912380701073363,0.13029233517891334,0.0169760926063743
StackedEnsemble_BestOfFamily_AutoML_20200514_221035,0.8250364322363509,0.07870483711693141,0.10213370247503968,0.3890857767639768,0.13049420761329447,0.0170287382206216
XGBoost_grid__1_AutoML_20200514_221035_model_5,0.8227447737433345,0.07610360770278292,0.09641822378243606,0.3638962038644933,0.12948523831932596,0.01676642694261264
XGBoost_grid__1_AutoML_20200514_221035_model_14,0.8201408006050492,0.07654163861894714,0.08646878530188913,0.3748740057416521,0.12996693127731904,0.016891403225643378
XGBoost_grid__1_AutoML_20200514_221035_model_12,0.8184518808490676,0.0763296239015032,0.09224357895855127,0.37955190404175604,0.1296297573621527,0.016803873993770584
XGBoost_grid__1_AutoML_20200514_221035_model_20,0.8172858487401167,0.07720516092421632,0.08249519889834647,0.4119144746525609,0.13049416826741847,0.017028727951805326
XGBoost_grid__1_AutoML_20200514_221035_model_23,0.8171014314190568,0.08141129111197745,0.07828648221278764,0.3809218572487913,0.13397044001453434,0.01794807879768795
GLM_1_AutoML_20200514_221035,0.8140380673618373,0.0768421491869358,0.08505765694529548,0.4059170844019808,0.12975407098946873,0.016836118938340087
XGBoost_grid__1_AutoML_20200514_221035_model_2,0.8131688429125125,0.07763430615609658,0.07981275087461867,0.3797320138668041,0.13062844681503047,0.017063791117307242
XGBoost_grid__1_AutoML_20200514_221035_model_15,0.8102800524887456,0.07809109088665911,0.07746170795773122,0.4020011892078498,0.13081437053375788,0.0171123995381433
XGBoost_grid__1_AutoML_20200514_221035_model_16,0.8101572252991868,0.07783261214311503,0.07918948849169853,0.3987895907960702,0.13045999029342858,0.01701980906736148
XGBoost_3_AutoML_20200514_221035,0.8101114952267718,0.07823618407540757,0.07854141268507041,0.3480710708031169,0.13080217626038287,0.01710920931445227
XGBoost_grid__1_AutoML_20200514_221035_model_10,0.8096242962434199,0.07768238423764758,0.08284311155110645,0.4062584922990022,0.13044414923361453,0.017015676069281498
XGBoost_grid__1_AutoML_20200514_221035_model_6,0.8064276822685867,0.07796666420665935,0.08194943384884816,0.4093343410331873,0.13033879647185498,0.01698820186573164
XGBoost_grid__1_AutoML_20200514_221035_model_18,0.8058208761254817,0.07890409939252012,0.07489520319158448,0.4116986479179584,0.1312505440533378,0.01722670531429717
XGBoost_grid__1_AutoML_20200514_221035_model_17,0.8037708752202014,0.07930180526903477,0.07186825132747024,0.38823873944984777,0.13151344380679175,0.01729578590192217
XGBoost_grid__1_AutoML_20200514_221035_model_8,0.8029569703180195,0.07920804322805383,0.07622307936553374,0.3715144554340673,0.1310933996687896,0.01718547943672101
XGBoost_grid__1_AutoML_20200514_221035_model_1,0.8025815685098484,0.09130529505905373,0.06254169367556314,0.3507141221101397,0.14340705888047425,0.020565584536747804
XGBoost_grid__1_AutoML_20200514_221035_model_21,0.8021061904253882,0.07894638770659082,0.07644476751519262,0.4018129445706611,0.1312423761100428,0.017224561287009933
XGBoost_grid__1_AutoML_20200514_221035_model_13,0.8010630561206851,0.07921689886276087,0.07861049265401919,0.39623208212296224,0.13118989731226313,0.017210789156802145
XGBoost_grid__1_AutoML_20200514_221035_model_7,0.8008224577532795,0.08023616147299421,0.07690768521911596,0.3839843598068084,0.13219721403292128,0.017476103398066004
XGBoost_grid__1_AutoML_20200514_221035_model_25,0.8000907059799541,0.07967951583461966,0.07320049382986976,0.3822280030230995,0.13173072888559126,0.017352984932729142
XGBoost_grid__1_AutoML_20200514_221035_model_4,0.7979530581230351,0.08457287373418237,0.07108617057291881,0.3867599831304333,0.13205075400547275,0.017437401633413882
XGBoost_grid__1_AutoML_20200514_221035_model_9,0.7922800576294949,0.08232557017195083,0.07359551674613493,0.4013934933196669,0.13118969501062205,0.017210736076980034
XGBoost_grid__1_AutoML_20200514_221035_model_24,0.7912216281832147,0.08138625535288968,0.06782987721874913,0.4019159007868143,0.13264407062617625,0.01759444947228203
XGBoost_grid__1_AutoML_20200514_221035_model_22,0.7863247961022047,0.10755203820868214,0.06835182298413132,0.4173084906339077,0.1325630066963143,0.017572950744367072
XGBoost_grid__1_AutoML_20200514_221035_model_19,0.7814912065364119,0.09927555536097847,0.0657345117968419,0.3694343585484545,0.13263632682962967,0.017592395194856336
XGBoost_2_AutoML_20200514_221035,0.7813146556916752,0.08286629074362123,0.06376918733656077,0.3931318289523557,0.13317259338926205,0.017734939630021724
XGBoost_grid__1_AutoML_20200514_221035_model_3,0.7752721144091277,0.0859089756734254,0.0617333215112501,0.3960637931968058,0.13414504138215302,0.01799489212741955
XGBoost_1_AutoML_20200514_221035,0.7734134934332153,0.08505696030841615,0.0603680400192687,0.4098375554279407,0.13363106441262887,0.017857261376052168
XGBoost_grid__1_AutoML_20200514_221035_model_26,0.7720678175561617,0.3231572976630425,0.07282284307413585,0.3783324448593198,0.27859575343428383,0.07761559383161629
GBM_grid__1_AutoML_20200514_221035_model_14,0.7664936493809535,0.08376164461878269,0.0722758865507241,0.40915245171798337,0.13379517634051333,0.017901149211989056
GBM_grid__1_AutoML_20200514_221035_model_10,0.7652918862395105,0.08312162672263915,0.07797606040077887,0.4116513643223918,0.1321952007377999,0.01747557109810721
GBM_grid__1_AutoML_20200514_221035_model_11,0.7610458391297401,0.08505744981631913,0.07478020257267404,0.4284536916921452,0.13342359033375384,0.017801854457549372
GBM_grid__1_AutoML_20200514_221035_model_7,0.7590705344421873,0.08324187946888305,0.08119133444548789,0.420375950343073,0.13182470867045654,0.017377753816050744
GBM_grid__1_AutoML_20200514_221035_model_20,0.7558884106014793,0.0840341111524495,0.08086579984141559,0.4186584881299109,0.13070103262680907,0.017082759929714208
GBM_grid__1_AutoML_20200514_221035_model_1,0.7552232343566786,0.08222750552612745,0.08583413667759987,0.4056003351542602,0.1314506359029972,0.01727926967930234
GBM_grid__1_AutoML_20200514_221035_model_8,0.7542807683522138,0.08340060414874384,0.08201396319242595,0.41997886982546506,0.13207427512640646,0.017443614150165706
DRF_1_AutoML_20200514_221035,0.7508846537588101,0.08430730612245825,0.0774374832663621,0.4415045996007333,0.1305875625038876,0.017053111480706745
GBM_grid__1_AutoML_20200514_221035_model_13,0.747905307058229,0.09529399310980488,0.07030837773988798,0.4519599940107446,0.13381832929722187,0.01790734525589971
GBM_3_AutoML_20200514_221035,0.7471086745089079,0.09130867724401416,0.07288132724874699,0.4502097383361411,0.13392411507202934,0.017935668597826155
GBM_grid__1_AutoML_20200514_221035_model_12,0.7469798309478702,0.08873394941473782,0.06714380315303653,0.4518581817525487,0.13234010255829864,0.017513902745141002
GBM_grid__1_AutoML_20200514_221035_model_2,0.7468653362915805,0.08912409040176675,0.0702768375385097,0.4177876819115588,0.13465599067924106,0.018132235825807856
GBM_grid__1_AutoML_20200514_221035_model_18,0.7464634398522018,0.08754275456794376,0.060553550122633165,0.41719854356357133,0.1320724425503491,0.01744313008121527
GBM_5_AutoML_20200514_221035,0.745964928395717,0.08732253601123753,0.08885129844822569,0.4181360806627635,0.1315702100018379,0.017310720159927732
DeepLearning_1_AutoML_20200514_221035,0.7458842864211993,0.08764625545245305,0.050848664893078016,0.3928103767663664,0.13194641184066805,0.017409855597627182
GBM_2_AutoML_20200514_221035,0.7457805110746569,0.08831949935804705,0.07367925567267128,0.44610038714079403,0.13346965058276372,0.017814147626685043
GBM_grid__1_AutoML_20200514_221035_model_9,0.7454495823974415,0.08925420222875867,0.06584942929761707,0.4356029204992436,0.13391049356763954,0.017932020287528834
GBM_grid__1_AutoML_20200514_221035_model_6,0.7436614207579334,0.09432536926993257,0.07500932858109849,0.4308261333890568,0.13259208139044262,0.01758066004744976
GBM_grid__1_AutoML_20200514_221035_model_21,0.7430153952167134,0.08689762110964035,0.07625355387942208,0.4390622493619892,0.1327565074229893,0.017624290263150214
GBM_4_AutoML_20200514_221035,0.7402310721634383,0.09711485379098724,0.06029612529735801,0.4515692688151214,0.13491903477642422,0.01820314594500197
GBM_grid__1_AutoML_20200514_221035_model_17,0.7367383143070528,0.09494142459020954,0.06551123462357808,0.4457827481479956,0.13201507554976752,0.017427980172410828
GBM_grid__1_AutoML_20200514_221035_model_3,0.7353418947146855,0.09005780858514037,0.0823061849991506,0.44131749892150185,0.13317968363216198,0.017736828132362756
DeepLearning_grid__2_AutoML_20200514_221035_model_1,0.7352643032947204,0.09398465814452332,0.04335684675607773,0.39887615028150253,0.13215969375943926,0.017466184654588757
GBM_grid__1_AutoML_20200514_221035_model_16,0.7342938879964604,0.08985988985157924,0.07152997689691935,0.4142665793191213,0.13147668165571186,0.017286117819197394
GBM_1_AutoML_20200514_221035,0.7320275378078811,0.09253899098885854,0.058796817444769764,0.4261102302634841,0.13870001395306064,0.019237693870579213
DeepLearning_grid__3_AutoML_20200514_221035_model_1,0.7313662877397732,0.08884523069601923,0.04385979102227928,0.39340205724314775,0.13174163471285644,0.01735585831681571
DeepLearning_grid__1_AutoML_20200514_221035_model_1,0.7276447947836873,0.1003675164421052,0.045631886694054345,0.40632306237036736,0.1320864235202178,0.017446823278362347
GBM_grid__1_AutoML_20200514_221035_model_5,0.7276397246490373,0.09695154565185718,0.07203464456680905,0.4196829660338545,0.13377713316459192,0.017896321357736958
GBM_grid__1_AutoML_20200514_221035_model_15,0.7249125430018739,0.11177348920290707,0.04115373197482555,0.412484547034594,0.13952841864419796,0.01946817960935056
GBM_grid__1_AutoML_20200514_221035_model_19,0.7179168446509896,0.09740582057796518,0.07084599362548932,0.4441949345033227,0.13383684256234996,0.01791230042705925
GBM_grid__1_AutoML_20200514_221035_model_4,0.713179361676544,0.0973440999716916,0.06720392917086246,0.4461415696272553,0.13510917505219874,0.01825448918328568
GBM_grid__1_AutoML_20200514_221035_model_22,0.672503450869223,0.1061559255119942,0.04585659515425663,0.4425128078803959,0.15220023158308196,0.023164910493943786
GBM_grid__1_AutoML_20200514_221035_model_23,0.5336252036139242,0.09244372868403056,0.02525730096256712,0.4729072623789597,0.13676482894395836,0.01870461843607019
