model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_021509,0.7089396591618551,0.5025954403325272,0.5025954403325272,0.5083519037596168,0.09554414042920402
StackedEnsemble_BestOfFamily_AutoML_20200516_021509,0.7181026640907768,0.515671436174271,0.515671436174271,0.5167894928088729,0.09705451102130902
GBM_grid__1_AutoML_20200516_021509_model_13,0.7380474484322773,0.5447140361373951,0.5447140361373951,0.5414714541140687,0.1001354051991287
GBM_grid__1_AutoML_20200516_021509_model_15,0.7540534551939484,0.5685966132899319,0.5685966132899319,0.5439199528460331,0.10218237080067408
GBM_grid__1_AutoML_20200516_021509_model_5,0.7643683746711925,0.5842590121974804,0.5842590121974804,0.5686750201948738,0.1033971414961112
GBM_grid__1_AutoML_20200516_021509_model_9,0.7648965621552793,0.5850667507969651,0.5850667507969651,0.5634147440862664,0.10386421463977204
GBM_grid__1_AutoML_20200516_021509_model_23,0.7689239185040169,0.5912439924475721,0.5912439924475721,0.564504123985978,0.10381558777762
GBM_grid__1_AutoML_20200516_021509_model_24,0.7740785368995342,0.5991975812885236,0.5991975812885236,0.5732548469689076,0.10483786217302557
XGBoost_grid__1_AutoML_20200516_021509_model_8,0.7741735277869329,0.5993446511260649,0.5993446511260649,0.5634718543897568,0.10487734557845686
GBM_grid__1_AutoML_20200516_021509_model_2,0.7746177030487433,0.6000325858765111,0.6000325858765111,0.574872909968104,0.10512873866009416
GBM_4_AutoML_20200516_021509,0.7751364875650758,0.6008365743547229,0.6008365743547229,0.5744382897759711,0.10492582558450043
XGBoost_grid__1_AutoML_20200516_021509_model_5,0.7754415461060586,0.6013095914273546,0.6013095914273546,0.5675483266795832,0.10591407049550816
GBM_grid__1_AutoML_20200516_021509_model_18,0.7764149475551213,0.6028201707870218,0.6028201707870218,0.5786888960260199,0.10538190918844684
GBM_grid__1_AutoML_20200516_021509_model_17,0.7764746860607429,0.6029129380931292,0.6029129380931292,0.5746785521607052,0.10500928116350874
GBM_grid__1_AutoML_20200516_021509_model_6,0.7765083525056133,0.6029652215109819,0.6029652215109819,0.5745386594291274,0.10521705793456408
GBM_grid__1_AutoML_20200516_021509_model_16,0.77666889569387,0.6032145735383355,0.6032145735383355,0.5774299277006789,0.1054637858799941
DeepLearning_grid__2_AutoML_20200516_021509_model_1,0.7788583623776423,0.6066203486455828,0.6066203486455828,0.5566775085085732,0.1061130032539688
