model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_082252,99.28783769696024,9858.07471453792,9858.07471453792,64.0398826536057,
StackedEnsemble_BestOfFamily_AutoML_20200516_082252,103.75137382899052,10764.347571402936,10764.347571402936,68.61254671132191,
GBM_grid__1_AutoML_20200516_082252_model_4,109.92365293819022,12083.209475275691,12083.209475275691,73.06772430106727,
GBM_grid__1_AutoML_20200516_082252_model_5,111.05879966864424,12334.056983840057,12334.056983840057,72.82460111650019,
XGBoost_grid__1_AutoML_20200516_082252_model_5,111.54651363978112,12442.624705189875,12442.624705189875,76.12311725963198,
XGBoost_grid__1_AutoML_20200516_082252_model_4,119.71053097954395,14330.61122740435,14330.61122740435,79.85067781832944,
GBM_4_AutoML_20200516_082252,122.7433680812715,15065.9344079345,15065.9344079345,82.9900315080085,
XGBoost_1_AutoML_20200516_082252,124.15679838699572,15414.910585709104,15414.910585709104,86.0019918278804,
XGBoost_2_AutoML_20200516_082252,124.97884394214131,15619.711433114111,15619.711433114111,84.37043824626859,
XGBoost_grid__1_AutoML_20200516_082252_model_3,125.53783883471957,15759.748979292019,15759.748979292019,86.8712899978977,
XGBoost_grid__1_AutoML_20200516_082252_model_8,126.80959765724943,16080.674057993481,16080.674057993481,85.0973433170385,
GBM_grid__1_AutoML_20200516_082252_model_2,128.62290098760036,16543.850658466046,16543.850658466046,89.06456591785204,
GBM_5_AutoML_20200516_082252,132.17316270252272,17469.744938787546,17469.744938787546,92.329330226039,
GBM_3_AutoML_20200516_082252,135.69104129320692,18412.05868723479,18412.05868723479,95.0992925312176,
GBM_grid__1_AutoML_20200516_082252_model_3,137.87163036486982,19008.58645946729,19008.58645946729,98.40267055465506,
DRF_1_AutoML_20200516_082252,137.97897062681116,19038.196335234417,19038.196335234417,95.51106915921591,0.6487117555951196
XGBoost_grid__1_AutoML_20200516_082252_model_2,141.50514846930741,20023.707043320734,20023.707043320734,102.18053796993851,
XGBoost_grid__1_AutoML_20200516_082252_model_1,141.80982631556282,20110.026839650083,20110.026839650083,102.66105334995888,
XGBoost_grid__1_AutoML_20200516_082252_model_6,145.3235968259863,21118.947794441825,21118.947794441825,106.1425247937205,
GBM_2_AutoML_20200516_082252,145.36895834797383,21132.134051174948,21132.134051174948,104.27172196910341,
XGBoost_grid__1_AutoML_20200516_082252_model_7,150.1950512640711,22558.55342421695,22558.55342421695,109.90474630297396,
XGBoost_3_AutoML_20200516_082252,150.58913735504376,22677.08828933624,22677.08828933624,110.52339498226135,
GBM_grid__1_AutoML_20200516_082252_model_6,151.999561904243,23103.866819081803,23103.866819081803,109.79687151411974,
GBM_1_AutoML_20200516_082252,156.00214288547883,24336.66858486134,24336.66858486134,114.622736034491,
DeepLearning_grid__3_AutoML_20200516_082252_model_2,162.06860083506862,26266.23137663681,26266.23137663681,113.88122946877851,
DeepLearning_grid__2_AutoML_20200516_082252_model_2,164.66015506569838,27112.96666625983,27112.96666625983,120.50904990543836,
XRT_1_AutoML_20200516_082252,172.10401868380745,29619.793247116348,29619.793247116348,134.99360784504378,0.7767762843916427
GBM_grid__1_AutoML_20200516_082252_model_7,176.082371210465,31005.001451099994,31005.001451099994,134.02922008994676,
DeepLearning_grid__3_AutoML_20200516_082252_model_1,192.8609859124931,37195.35988713886,37195.35988713886,151.44696899897576,0.8098700765527354
DeepLearning_grid__2_AutoML_20200516_082252_model_1,194.12844987667611,37685.85505152113,37685.85505152113,151.5744892177197,
DeepLearning_grid__1_AutoML_20200516_082252_model_1,198.75562273061,39503.79756703257,39503.79756703257,154.88202714817282,
GBM_grid__1_AutoML_20200516_082252_model_1,224.7664852070599,50519.97287233547,50519.97287233547,184.2327061228792,
DeepLearning_1_AutoML_20200516_082252,226.68287903218308,51385.127646319386,51385.127646319386,180.2264296372907,
GBM_grid__1_AutoML_20200516_082252_model_8,245.41232524664218,60227.20938296371,60227.20938296371,206.27945112725087,0.9478171560980226
GBM_grid__1_AutoML_20200516_082252_model_9,259.04468390611385,67104.14826001844,67104.14826001844,222.04777625273564,0.9783631326645632
GLM_1_AutoML_20200516_082252,268.37164399007,72023.33929793288,72023.33929793288,228.2925338489611,0.9866891280588675
GBM_grid__1_AutoML_20200516_082252_model_10,285.04191960994547,81248.89593492262,81248.89593492262,246.59802105237426,1.0233771941062242
DeepLearning_grid__1_AutoML_20200516_082252_model_2,508.2959906945539,258364.8141561581,258364.8141561581,209.4017352967173,
DeepLearning_grid__1_AutoML_20200516_082252_model_3,1460.3903486053832,2132739.9702997524,2132739.9702997524,242.23116098399763,
