model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_043345,60.109771192779284,3613.184592848277,3613.184592848277,25.573038109095982,
StackedEnsemble_BestOfFamily_AutoML_20200516_043345,61.084204055756466,3731.279985125296,3731.279985125296,25.94364022376836,
GBM_grid__1_AutoML_20200516_043345_model_54,61.67097246253931,3803.308844475282,3803.308844475282,27.13678074494405,
GBM_grid__1_AutoML_20200516_043345_model_89,61.800186737044356,3819.2630807335527,3819.2630807335527,26.397777763266635,
GBM_grid__1_AutoML_20200516_043345_model_28,61.97623651949939,3841.0538931209294,3841.0538931209294,27.316504084376998,
GBM_grid__1_AutoML_20200516_043345_model_110,62.01209958942812,3845.500495489151,3845.500495489151,27.78699975332196,
GBM_grid__1_AutoML_20200516_043345_model_93,62.074138630454186,3853.1986867128453,3853.1986867128453,25.049810134348817,
GBM_grid__1_AutoML_20200516_043345_model_106,62.21552597736322,3870.771672639959,3870.771672639959,28.23991735019258,
GBM_4_AutoML_20200516_043345,62.47606547675324,3903.2587574555578,3903.2587574555578,27.363720765163283,
GBM_grid__1_AutoML_20200516_043345_model_49,62.52557998055164,3909.44815190436,3909.44815190436,28.666310304256378,
GBM_grid__1_AutoML_20200516_043345_model_34,62.6118289095486,3920.2411193985854,3920.2411193985854,28.87076914696407,
GBM_grid__1_AutoML_20200516_043345_model_6,62.71743890273484,3933.477142518278,3933.477142518278,29.54061021307055,
GBM_3_AutoML_20200516_043345,62.72368446895082,3934.260593360501,3934.260593360501,28.106586624835447,
GBM_grid__1_AutoML_20200516_043345_model_23,63.00935463046206,3970.178770947331,3970.178770947331,28.970159065893107,
GBM_grid__1_AutoML_20200516_043345_model_47,63.02957594324659,3972.7274435854897,3972.7274435854897,24.31179950627194,
DRF_1_AutoML_20200516_043345,63.03514155051829,3973.429070293877,3973.429070293877,24.495129090468588,0.8787303162551909
GBM_grid__1_AutoML_20200516_043345_model_22,63.03516451236802,3973.4319651013,3973.4319651013,26.44201878831869,
GBM_grid__1_AutoML_20200516_043345_model_17,63.054463669647724,3975.865388666923,3975.865388666923,28.555441570058132,
GBM_grid__1_AutoML_20200516_043345_model_118,63.095236556929706,3981.008876174918,3981.008876174918,26.103578114418006,
GBM_grid__1_AutoML_20200516_043345_model_102,63.11008909618191,3982.883345728019,3982.883345728019,27.458816532386685,
GBM_grid__1_AutoML_20200516_043345_model_16,63.22787421787837,3997.764078111849,3997.764078111849,30.58373315801961,
GBM_grid__1_AutoML_20200516_043345_model_97,63.24881326664594,4000.4123796390477,4000.4123796390477,29.423999506039948,
GBM_grid__1_AutoML_20200516_043345_model_78,63.30538105393112,4007.5712703834215,4007.5712703834215,28.55211018472458,
GBM_grid__1_AutoML_20200516_043345_model_59,63.316762901450865,4009.012464318545,4009.012464318545,26.88231178522782,
GBM_grid__1_AutoML_20200516_043345_model_39,63.319656459046314,4009.3788940916443,4009.3788940916443,25.39233618875888,
GBM_grid__1_AutoML_20200516_043345_model_73,63.327490481106025,4010.3710506345737,4010.3710506345737,30.574152230255624,
GBM_grid__1_AutoML_20200516_043345_model_26,63.34160941616315,4012.159483429768,4012.159483429768,28.67030375831285,
GBM_grid__1_AutoML_20200516_043345_model_45,63.425603472282134,4022.807175823167,4022.807175823167,26.853300774687682,
GBM_grid__1_AutoML_20200516_043345_model_24,63.4290409055177,4023.2432301938375,4023.2432301938375,26.82652731584179,
GBM_grid__1_AutoML_20200516_043345_model_41,63.430786624506865,4023.464691803719,4023.464691803719,25.213647036780518,
GBM_grid__1_AutoML_20200516_043345_model_38,63.56348893106925,4040.317125090164,4040.317125090164,26.871981432674946,
GBM_grid__1_AutoML_20200516_043345_model_29,63.650402517305935,4051.3737406150653,4051.3737406150653,30.268553069984158,
GBM_grid__1_AutoML_20200516_043345_model_68,63.67163481042308,4054.07707943188,4054.07707943188,29.673388605687343,
XGBoost_grid__1_AutoML_20200516_043345_model_251,63.681839793433596,4055.376719476543,4055.376719476543,28.0254458863028,
GBM_grid__1_AutoML_20200516_043345_model_114,63.69841298772639,4057.48781715495,4057.48781715495,27.77532369515088,
GBM_grid__1_AutoML_20200516_043345_model_5,63.70184372464993,4057.9248939197228,4057.9248939197228,28.33778629052905,
GBM_grid__1_AutoML_20200516_043345_model_62,63.71480694017668,4059.5766234239854,4059.5766234239854,24.18790140382015,
XGBoost_grid__1_AutoML_20200516_043345_model_12,63.72642555631626,4061.0573141847194,4061.0573141847194,27.91501238488775,
GBM_grid__1_AutoML_20200516_043345_model_119,63.769751825584315,4066.581247896615,4066.581247896615,29.443189162580662,
GBM_2_AutoML_20200516_043345,63.82888362171352,4074.126384394247,4074.126384394247,28.479144677355947,
XGBoost_grid__1_AutoML_20200516_043345_model_159,63.835729333213756,4075.000339503327,4075.000339503327,27.02235630786773,
GBM_grid__1_AutoML_20200516_043345_model_2,63.83953934133131,4075.486783313388,4075.486783313388,29.961133957156022,
GBM_grid__1_AutoML_20200516_043345_model_9,63.86238126541436,4078.403740889147,4078.403740889147,28.57059598147003,
GBM_grid__1_AutoML_20200516_043345_model_91,63.900112005897974,4083.2243143663054,4083.2243143663054,27.182236879538628,
XGBoost_grid__1_AutoML_20200516_043345_model_201,63.9542203818643,4090.1423046520654,4090.1423046520654,28.481138677530268,
GBM_grid__1_AutoML_20200516_043345_model_92,63.99291599827961,4095.0932979628706,4095.0932979628706,27.83048259234614,
GBM_grid__1_AutoML_20200516_043345_model_72,64.014799988863,4097.894617614135,4097.894617614135,28.547161193591343,
GBM_grid__1_AutoML_20200516_043345_model_43,64.05185825340861,4102.640545714751,4102.640545714751,29.368954033017197,
XGBoost_grid__1_AutoML_20200516_043345_model_138,64.08501546211295,4106.889206779255,4106.889206779255,27.865156024687572,
GBM_grid__1_AutoML_20200516_043345_model_113,64.12605029687472,4112.150326677306,4112.150326677306,31.56334229594545,
XGBoost_grid__1_AutoML_20200516_043345_model_272,64.15113032827925,4115.367522395871,4115.367522395871,27.457074638302757,
