model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200514_133434_model_12,0.9401858853182103,0.3137585768502233,0.9276521624056218,0.11884057971014493,0.30409755429873464,0.09247532253047186
XGBoost_grid__1_AutoML_20200514_133434_model_9,0.9391514387733672,0.30749602118480895,0.9168669872500264,0.11739130434782608,0.3014503917454887,0.0908723386835086
XGBoost_grid__1_AutoML_20200514_133434_model_5,0.9385685780298256,0.3158209527451988,0.9267272590645552,0.12644927536231884,0.3063722958999609,0.0938639836950132
GBM_grid__1_AutoML_20200514_133434_model_1,0.9372715816005042,0.3151775759272719,0.9222800936250276,0.12681159420289856,0.3102415793358335,0.09624983754879228
StackedEnsemble_BestOfFamily_AutoML_20200514_133434,0.9365259399285863,0.3108407242177541,0.9243203407293888,0.12137681159420292,0.303093807884828,0.09186585637812501
XGBoost_grid__1_AutoML_20200514_133434_model_2,0.9365206889308968,0.31799210239348913,0.9132595018047668,0.1177536231884058,0.30608121511705105,0.09368571024753043
GBM_grid__1_AutoML_20200514_133434_model_7,0.9363159000210041,0.3161898457150789,0.9222894735010448,0.12862318840579712,0.3088757927619373,0.09540425535431526
GBM_1_AutoML_20200514_133434,0.93492963663096,0.3248269298628508,0.9238838005964496,0.1177536231884058,0.3075471182659969,0.0945852299537191
XGBoost_grid__1_AutoML_20200514_133434_model_8,0.9348508716656164,0.315263348939137,0.9162026540838362,0.11920289855072465,0.3059743343009669,0.09362029325091988
GBM_grid__1_AutoML_20200514_133434_model_5,0.9348403696702372,0.31961332375668555,0.9235831124459,0.12355072463768114,0.3106409498968418,0.09649779975281217
XRT_1_AutoML_20200514_133434,0.9337639151438774,0.3943201052979269,0.9120999595156044,0.11123188405797102,0.3182304802518013,0.10127063856129212
GBM_grid__1_AutoML_20200514_133434_model_2,0.9337114051669816,0.3284513718831025,0.9186916420772416,0.125,0.31401485617722513,0.09860532990000337
XGBoost_1_AutoML_20200514_133434,0.9336641461877756,0.32304226905868105,0.9171696317352688,0.13043478260869565,0.3132068271415886,0.09809851656810097
DRF_1_AutoML_20200514_133434,0.9333700903171605,0.4762267561201292,0.9081485757695312,0.11956521739130435,0.3092630963144019,0.09564366274197103
GBM_grid__1_AutoML_20200514_133434_model_6,0.9332073093887838,0.322001667815016,0.9156459731361576,0.1210144927536232,0.3105223150863603,0.09642410816659283
StackedEnsemble_AllModels_AutoML_20200514_133434,0.933181054400336,0.3343041061668289,0.9215706173722136,0.125,0.310667302898402,0.09651417309016748
GBM_2_AutoML_20200514_133434,0.9330707834488552,0.3277617432907412,0.9175255330550616,0.12536231884057972,0.3155095825082397,0.09954629665452372
XGBoost_grid__1_AutoML_20200514_133434_model_11,0.9329132535181685,0.3325269127289445,0.9190218694416852,0.1257246376811594,0.3140028944874882,0.09859781774652064
XGBoost_3_AutoML_20200514_133434,0.9327977315689979,0.3317714948370542,0.9084697246476999,0.11847826086956526,0.3115834496946412,0.09708424612361298
GBM_grid__1_AutoML_20200514_133434_model_4,0.9319628229363579,0.3269745023786401,0.9136012352929206,0.1318840579710145,0.3143506799901294,0.09881635001025674
GBM_3_AutoML_20200514_133434,0.9319208149548416,0.3331132085155378,0.9082564024317706,0.12862318840579712,0.3151905569299043,0.09934508717778323
GBM_4_AutoML_20200514_133434,0.9299044318420501,0.3361951448153696,0.9130732707136224,0.12862318840579712,0.31717832907926097,0.10060209243751198
XGBoost_grid__1_AutoML_20200514_133434_model_3,0.9296313799621928,0.3300080088581049,0.9057214715207792,0.12210144927536233,0.3128330106115575,0.09786449252829084
DeepLearning_grid__1_AutoML_20200514_133434_model_13,0.9286441923965554,0.3686202447239925,0.911766068505558,0.13007246376811593,0.3157459227548565,0.09969548773631576
DeepLearning_grid__1_AutoML_20200514_133434_model_6,0.9280298256668766,0.3646152528187325,0.9164091236251801,0.11702898550724634,0.31048491068005835,0.09640087976000382
DeepLearning_grid__1_AutoML_20200514_133434_model_19,0.927825036756984,0.3833506106760931,0.9179509498210506,0.12644927536231884,0.3175646861241758,0.10084732987314632
XGBoost_grid__1_AutoML_20200514_133434_model_1,0.9277095148078134,0.3853810952166899,0.9068342008840546,0.1242753623188406,0.3222518757924703,0.1038462714517657
DeepLearning_grid__3_AutoML_20200514_133434_model_9,0.9276517538332284,0.3926120541789262,0.9115993741874996,0.12644927536231884,0.3200639342359387,0.1024409219985873
DeepLearning_grid__2_AutoML_20200514_133434_model_16,0.9273524469649234,0.33891641237406184,0.9147556849915048,0.13043478260869565,0.3152361197950543,0.0993738112234418
GBM_5_AutoML_20200514_133434,0.9269691241335852,0.3326464710111325,0.9174183517016404,0.12391304347826085,0.3150341360194755,0.09924650685753736
DeepLearning_grid__2_AutoML_20200514_133434_model_19,0.9261394664986348,0.3498364407313809,0.9157686088467824,0.1289855072463768,0.3175592830043185,0.10084389822221686
DeepLearning_grid__3_AutoML_20200514_133434_model_6,0.9260659525309808,0.3833280539232952,0.9172739862376436,0.12644927536231884,0.3266046215929586,0.10667057884587967
DeepLearning_grid__1_AutoML_20200514_133434_model_12,0.9258296576349508,0.411998955643636,0.91102482090966,0.13478260869565215,0.3247493066364389,0.10546211216084778
DeepLearning_grid__2_AutoML_20200514_133434_model_11,0.9258139046418818,0.3883601297227361,0.9093749785235098,0.1391304347826087,0.3230339452993954,0.10435092981569276
DeepLearning_grid__3_AutoML_20200514_133434_model_4,0.925635370720437,0.3854897536913549,0.9180688569201564,0.13405797101449274,0.32738184400960274,0.10717887178712786
GBM_grid__1_AutoML_20200514_133434_model_3,0.9252993068683047,0.33882078070284355,0.9177237615187248,0.12826086956521734,0.3180341559188516,0.10114572433101643
DeepLearning_grid__3_AutoML_20200514_133434_model_15,0.9241703423650492,0.644601603783433,0.9001631021642913,0.1329710144927536,0.3435877976842488,0.11805257471751228
XGBoost_2_AutoML_20200514_133434,0.9235349716446124,0.33323440560514195,0.9115720716586664,0.1170289855072464,0.3137389952639671,0.09843215714924357
DeepLearning_grid__1_AutoML_20200514_133434_model_20,0.9234982146607856,0.4326455800341813,0.9101292337716328,0.12934782608695652,0.32566182002933475,0.10605562102481884
DeepLearning_grid__1_AutoML_20200514_133434_model_24,0.9231779038017224,0.3754821319672284,0.9126421519160066,0.13405797101449274,0.3230234083959493,0.10434412237173628
DeepLearning_grid__2_AutoML_20200514_133434_model_9,0.9227315689981096,0.4063155131316301,0.9163035138835376,0.12717391304347825,0.3246918387244387,0.10542479013425687
XGBoost_grid__1_AutoML_20200514_133434_model_4,0.9226580550304558,0.4098564271666593,0.8975781358667579,0.12717391304347825,0.3310715310628142,0.10960835868027594
DeepLearning_grid__2_AutoML_20200514_133434_model_15,0.9225530350766644,0.4412316364397127,0.9149809774308116,0.13043478260869565,0.3323289180639351,0.11044250978154573
DeepLearning_grid__2_AutoML_20200514_133434_model_4,0.9222064692291536,0.43739340933253296,0.9065905320131691,0.13659420289855073,0.330047755624674,0.10893152099288453
XGBoost_grid__1_AutoML_20200514_133434_model_6,0.9220069313169502,0.3323336313752132,0.9100751772321896,0.11811594202898552,0.3117974222696877,0.09721763253402196
DeepLearning_grid__1_AutoML_20200514_133434_model_4,0.921985927326192,0.3730876141908202,0.919621163870179,0.12971014492753624,0.3164974073839887,0.10017060888078648
XGBoost_grid__1_AutoML_20200514_133434_model_7,0.921697122453266,0.4005047264117622,0.8968318403630472,0.12427536231884055,0.33228943529099736,0.11041626880600992
DeepLearning_grid__2_AutoML_20200514_133434_model_6,0.9214555765595464,0.4023413332207061,0.9115414812777882,0.1318840579710145,0.3247073061390629,0.10543483466008713
DeepLearning_grid__1_AutoML_20200514_133434_model_9,0.9210985087166558,0.3970607665906382,0.9058373383519672,0.13333333333333333,0.32805579683433234,0.10762060583660876
DeepLearning_grid__1_AutoML_20200514_133434_model_21,0.9202951060701532,0.4024967706310198,0.9144922361555301,0.13115942028985508,0.3229487076169777,0.10429586775147616
GLM_1_AutoML_20200514_133434,0.9201533291325352,0.3460651826690232,0.9111910018452398,0.13478260869565215,0.3213858867662408,0.10328888821252297
DeepLearning_grid__2_AutoML_20200514_133434_model_13,0.9186042848141148,0.4566244069964553,0.9059185453435892,0.14057971014492754,0.3364535154465613,0.11320096805634945
DeepLearning_grid__3_AutoML_20200514_133434_model_16,0.9185465238395296,0.3583059556517751,0.905301101601893,0.13478260869565215,0.3242815879829363,0.10515854830473484
DeepLearning_grid__2_AutoML_20200514_133434_model_23,0.9178323881537492,0.4101755673206933,0.9056679778515544,0.1391304347826087,0.33210404006102523,0.11029309342485503
DeepLearning_grid__2_AutoML_20200514_133434_model_12,0.9176433522369251,0.4529171797827122,0.9063616950603126,0.1329710144927536,0.34100904254823866,0.11628716709966645
DeepLearning_grid__1_AutoML_20200514_133434_model_16,0.9173650493593782,0.3615154439266615,0.912427661421292,0.13695652173913042,0.3234369925992386,0.10461148818163993
DeepLearning_grid__2_AutoML_20200514_133434_model_21,0.9170762444864524,0.9203795814330401,0.9033439758263464,0.1358695652173913,0.3580083745279654,0.12816999623215594
DeepLearning_grid__1_AutoML_20200514_133434_model_8,0.9169817265280404,0.4222359184662839,0.9039284456067841,0.1391304347826087,0.3348494934278489,0.11212418324888697
DeepLearning_grid__3_AutoML_20200514_133434_model_11,0.9165668977105649,0.40615872834778666,0.9036853192386549,0.13731884057971014,0.3349087807776953,0.11216389144200233
DeepLearning_grid__2_AutoML_20200514_133434_model_10,0.9155324511657216,0.4114227604065884,0.9017186259859364,0.13442028985507248,0.3341830971049739,0.11167834239067242
DeepLearning_grid__1_AutoML_20200514_133434_model_23,0.9145242596093256,0.3899174584438894,0.9151762381426126,0.12355072463768114,0.32339612775727755,0.1045850554484014
DeepLearning_1_AutoML_20200514_133434,0.9136210880067211,0.3634977291074507,0.8925917902755391,0.13768115942028986,0.3278262763571937,0.10747006747022317
DeepLearning_grid__3_AutoML_20200514_133434_model_12,0.9130014702793532,0.5151568720319465,0.8962492487531969,0.15507246376811595,0.342014613272897,0.11697399569220927
DeepLearning_grid__2_AutoML_20200514_133434_model_18,0.9125971434572568,0.4293888690481719,0.9041327074804149,0.13695652173913045,0.33509974124608083,0.11229183658319032
DeepLearning_grid__3_AutoML_20200514_133434_model_1,0.9125918924595674,0.40674250745193946,0.8954445155573935,0.14420289855072466,0.3391175493611128,0.11500071228468675
DeepLearning_grid__1_AutoML_20200514_133434_model_11,0.9119512707414408,0.39600335242188944,0.9079580926015556,0.1507246376811594,0.3401297000050517,0.11568821282552648
DeepLearning_grid__3_AutoML_20200514_133434_model_10,0.9099978996009241,0.423660420548512,0.8994540267171367,0.13768115942028986,0.33430514062337346,0.11175992704721352
XGBoost_grid__1_AutoML_20200514_133434_model_10,0.9098298676748582,0.3713584692475171,0.8901916722533842,0.13260869565217392,0.3312050621597541,0.1096967932002466
DeepLearning_grid__1_AutoML_20200514_133434_model_2,0.9095043058181056,0.7483107642385334,0.8952180839016088,0.16702898550724635,0.3675156146227204,0.1350677269915159
DeepLearning_grid__1_AutoML_20200514_133434_model_1,0.9093520268851082,0.4841988097106998,0.8930952838491661,0.13260869565217392,0.33459002190862114,0.11195048276081156
DeepLearning_grid__1_AutoML_20200514_133434_model_18,0.9091787439613528,0.44347515583224734,0.903787461185423,0.14710144927536234,0.3404778465422033,0.11592516398601616
DeepLearning_grid__1_AutoML_20200514_133434_model_15,0.9060018903591684,0.4146221375430749,0.9021283824926032,0.14492753623188406,0.3389807090319784,0.11490792109582278
DeepLearning_grid__3_AutoML_20200514_133434_model_7,0.9059703843730308,0.6820278973045856,0.8979513903064181,0.14746376811594206,0.3811415196163213,0.14526885797543865
DeepLearning_grid__3_AutoML_20200514_133434_model_18,0.90502520478891,0.4465980907562638,0.8982468760022999,0.15652173913043474,0.3541450882786888,0.12541874355192026
DeepLearning_grid__1_AutoML_20200514_133434_model_5,0.9049831968073936,0.7674291868795521,0.8956637299504205,0.14963768115942028,0.3569128256120133,0.12738676508635144
DeepLearning_grid__1_AutoML_20200514_133434_model_10,0.9038069733249317,0.40849032371118604,0.8905890143637211,0.16014492753623188,0.34427071960823824,0.1185223283795742
