model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid__1_AutoML_20200514_133603_model_9,0.7561038011695906,0.4972909018738589,0.4936583563808006,0.30526315789473685,0.3950235052244694,0.15604356967982638
DeepLearning_grid__3_AutoML_20200514_133603_model_15,0.7483187134502923,0.4840220338082361,0.4939611933541315,0.3160453216374269,0.3951199357028854,0.15611976358985227
StackedEnsemble_BestOfFamily_AutoML_20200514_133603,0.7468140838206628,0.4744232937520956,0.494625929472415,0.30059088693957114,0.3901813155445556,0.15224145900008007
DeepLearning_grid__2_AutoML_20200514_133603_model_6,0.7462597465886942,0.4923529069627039,0.4765639412434489,0.3118542884990253,0.3951494576387724,0.156143093872216
GLM_1_AutoML_20200514_133603,0.7448769493177387,0.4806991124527215,0.4745088406098237,0.2969115497076024,0.3953624285004018,0.15631144986973536
DeepLearning_grid__3_AutoML_20200514_133603_model_6,0.7430190058479532,0.4856563729009003,0.4858169833830171,0.29230019493177384,0.3908178001924843,0.15273855294729258
DeepLearning_grid__3_AutoML_20200514_133603_model_11,0.7423367446393763,0.4802360378560536,0.4932603352865549,0.30838815789473684,0.3932490774372007,0.15464483690520947
DeepLearning_1_AutoML_20200514_133603,0.7416849415204678,0.49010302574410997,0.4922269955580393,0.31237816764132553,0.3986088054965424,0.15888897981938035
DeepLearning_grid__2_AutoML_20200514_133603_model_5,0.7380908869395711,0.5982227248042169,0.5091908721384861,0.31684941520467835,0.4176198607470213,0.17440634809036148
GBM_grid__1_AutoML_20200514_133603_model_3,0.7378045808966861,0.4830199462945655,0.4807877706593324,0.3159234892787525,0.3952409609041448,0.15621541717643175
StackedEnsemble_AllModels_AutoML_20200514_133603,0.7377253898635477,0.4799979554126936,0.4682448042456599,0.3120857699805069,0.3931459412059069,0.15456373108667842
DeepLearning_grid__1_AutoML_20200514_133603_model_10,0.7371101364522417,0.49692327067716396,0.4631434316780889,0.3155214424951267,0.4004264600463399,0.16034134990524304
DeepLearning_grid__2_AutoML_20200514_133603_model_10,0.7364522417153996,0.48786645735791206,0.4576448534383743,0.3274488304093567,0.3973211940037669,0.15786413120457898
DeepLearning_grid__3_AutoML_20200514_133603_model_10,0.7362634015594542,0.4871201368058752,0.49071418569328396,0.3103983918128655,0.3945148220202099,0.15564194479363785
DeepLearning_grid__3_AutoML_20200514_133603_model_8,0.736135477582846,0.5146373885942168,0.4687223293186024,0.31787280701754383,0.4001185171276563,0.1600948277484346
DeepLearning_grid__1_AutoML_20200514_133603_model_6,0.7350816276803119,0.5014510217306527,0.4694590096643721,0.3101059941520468,0.3980928247561947,0.15847789712236632
DeepLearning_grid__3_AutoML_20200514_133603_model_3,0.7340521442495127,0.529993889251,0.491946914636347,0.3097648635477583,0.3982820919110422,0.15862862473703584
GBM_5_AutoML_20200514_133603,0.7335952729044835,0.4812612950227381,0.4754077768833403,0.3236720272904483,0.39395424265509016,0.15519994530594566
DeepLearning_grid__2_AutoML_20200514_133603_model_4,0.7335526315789473,0.5094323183342728,0.4560142546171328,0.31787280701754383,0.4013845977821757,0.16110959533675892
DeepLearning_grid__1_AutoML_20200514_133603_model_11,0.7330409356725146,0.4969751364403057,0.4732349460330964,0.3230567738791423,0.40041541924673496,0.1603325079705386
DeepLearning_grid__1_AutoML_20200514_133603_model_4,0.732724171539961,0.5113612172166464,0.4798876422733121,0.32217348927875245,0.4034456899797551,0.1627684247632406
DeepLearning_grid__3_AutoML_20200514_133603_model_2,0.7316825048732943,0.5659052061843217,0.4738136718209938,0.3322794834307992,0.40797085479058737,0.16644021835856251
DeepLearning_grid__3_AutoML_20200514_133603_model_1,0.7313535575048733,0.5028592634105752,0.4783651503143693,0.330634746588694,0.3964943710297128,0.1572077862582475
DeepLearning_grid__3_AutoML_20200514_133603_model_9,0.7304032651072124,0.5469189725204677,0.4615332114555548,0.32532894736842105,0.40608297340151506,0.16490338128661552
XGBoost_grid__1_AutoML_20200514_133603_model_5,0.7283808479532164,0.4834575308849126,0.4622164115395854,0.32158260233918123,0.3945769820795505,0.15569099478700593
XGBoost_grid__1_AutoML_20200514_133603_model_10,0.7262731481481481,0.4882972456905144,0.4413236151288661,0.3306956627680312,0.3980638599895985,0.15845483662981869
XGBoost_grid__1_AutoML_20200514_133603_model_8,0.7262548732943471,0.4869854068661699,0.4592735452204957,0.3169590643274854,0.3953673521451065,0.15631534314223264
DeepLearning_grid__1_AutoML_20200514_133603_model_8,0.7261513157894737,0.5361702278774231,0.4681586158890806,0.31985258284600393,0.4061366816555471,0.1649470041861792
XGBoost_grid__1_AutoML_20200514_133603_model_6,0.7229958576998051,0.4876245619779878,0.451899625489005,0.330525097465887,0.3964194535601084,0.1571483831608949
DeepLearning_grid__1_AutoML_20200514_133603_model_1,0.7229714912280701,0.5225571804574524,0.4387782761622168,0.3163255360623781,0.4042366703622831,0.16340728566558513
DeepLearning_grid__2_AutoML_20200514_133603_model_9,0.7226486354775828,0.5034703527577296,0.4470027118402832,0.3200231481481481,0.40310702333901377,0.1624952722652402
DeepLearning_grid__1_AutoML_20200514_133603_model_3,0.7226120857699805,0.600524454012062,0.4773711682922402,0.3130908869395712,0.4157712699406289,0.1728657489080433
GBM_grid__1_AutoML_20200514_133603_model_5,0.7218140838206627,0.4873034726407049,0.4533148736042617,0.33516691033138396,0.3964387058211008,0.15716364747310926
GBM_grid__1_AutoML_20200514_133603_model_4,0.7207541423001949,0.4908998215615774,0.44409932868841706,0.3248477095516569,0.3976451255313037,0.15812164585880625
GBM_grid__1_AutoML_20200514_133603_model_1,0.7199378654970761,0.4895714877294165,0.4534308407891181,0.31899975633528266,0.3955583578477696,0.15646641446322415
DeepLearning_grid__1_AutoML_20200514_133603_model_7,0.7182504873294346,0.5390892897400089,0.451428497376113,0.3251888401559454,0.4034933565449029,0.16280688877587213
XGBoost_2_AutoML_20200514_133603,0.7180250974658869,0.4942848401053991,0.4657904982699973,0.3215095029239766,0.3979341735318808,0.15835160646450105
DeepLearning_grid__3_AutoML_20200514_133603_model_4,0.7176535087719298,0.5604831578364323,0.4799117158281907,0.32721734892787524,0.43513696163005655,0.1893441753766373
DeepLearning_grid__2_AutoML_20200514_133603_model_8,0.7152960526315789,0.50878890436781,0.4537946934238682,0.3209490740740741,0.3994339578586809,0.1595474866906505
XGBoost_1_AutoML_20200514_133603,0.7149792884990254,0.4984463574785065,0.4579456381692128,0.3216922514619883,0.3998350792800341,0.15986809062287116
DeepLearning_grid__1_AutoML_20200514_133603_model_5,0.7134015594541909,0.7455245855894209,0.4229466618199417,0.3460282651072125,0.4289522073867878,0.1839999962219978
DeepLearning_grid__2_AutoML_20200514_133603_model_1,0.7133162768031188,0.5150134918800355,0.4401407517271026,0.3328155458089669,0.40354415969720464,0.16284788882572301
DeepLearning_grid__2_AutoML_20200514_133603_model_2,0.7123416179337232,0.5467375519568323,0.4188777748841553,0.34287280701754386,0.4153659141049546,0.1725288426002445
GBM_grid__1_AutoML_20200514_133603_model_6,0.7087536549707603,0.4981271571212843,0.4704138164301409,0.32656554580896685,0.4007424606042783,0.16059451973117156
XGBoost_grid__1_AutoML_20200514_133603_model_2,0.7077789961013645,0.5063148566003356,0.4358162397200501,0.3273391812865497,0.402733124637226,0.16219396968006342
GBM_grid__1_AutoML_20200514_133603_model_7,0.7074744152046784,0.4964992634803042,0.4310774387913779,0.33614156920077976,0.40045784560105424,0.1603664861034378
XGBoost_grid__1_AutoML_20200514_133603_model_9,0.7057809454191033,0.5022488605715706,0.4329984415728187,0.3283442982456141,0.4021976967487129,0.1617629872699696
DeepLearning_grid__2_AutoML_20200514_133603_model_7,0.7036427875243665,0.6033312353907789,0.466976263283329,0.3403508771929825,0.4134714036478578,0.17095860163452975
XGBoost_grid__1_AutoML_20200514_133603_model_3,0.7034052144249513,0.5122924357150829,0.4466653509496897,0.3353374756335282,0.4038521121125526,0.16309652845776976
GBM_2_AutoML_20200514_133603,0.6984039961013645,0.5114578036031572,0.4414037820571433,0.3353374756335282,0.4054134796805634,0.16436008950670258
GBM_3_AutoML_20200514_133603,0.6965155945419104,0.5132826164024504,0.4403398513238305,0.3306652046783626,0.4066251868454517,0.16534404257709853
GBM_4_AutoML_20200514_133603,0.6941094054580896,0.5159906061973305,0.446732664580778,0.34315302144249515,0.4062673171112372,0.16505313295276253
DeepLearning_grid__3_AutoML_20200514_133603_model_14,0.6869152046783625,0.7496828949610514,0.4127915303634739,0.3573099415204678,0.4544886434132347,0.2065599269916024
DeepLearning_grid__3_AutoML_20200514_133603_model_7,0.6853557504873294,0.5682780352312771,0.4192559536207173,0.3543555068226121,0.41836853926994544,0.1750322346508679
XGBoost_3_AutoML_20200514_133603,0.6849719785575049,0.5314200218166337,0.4274488122701845,0.3437378167641325,0.4104393233752648,0.1684604381727452
GBM_grid__1_AutoML_20200514_133603_model_2,0.684155701754386,0.5152923321065087,0.4179608733183947,0.3518457602339181,0.4082381990335193,0.16665842715013132
DeepLearning_grid__2_AutoML_20200514_133603_model_3,0.6812865497076024,0.5694168468776327,0.4019991814777727,0.35935063352826513,0.4181315290531751,0.17483397558834618
XGBoost_grid__1_AutoML_20200514_133603_model_7,0.6791057504873295,0.5645750606753372,0.4105786244919918,0.3520772417153996,0.4197777225584218,0.17621333635633538
GBM_1_AutoML_20200514_133603,0.6756030701754386,0.5327788671315105,0.4285943892350267,0.3636817738791423,0.4119342976462307,0.16968986557729346
DeepLearning_grid__3_AutoML_20200514_133603_model_5,0.6744883040935672,0.6727095298700242,0.3739355508922427,0.3472648635477583,0.43981919173518735,0.19344092141859348
XRT_1_AutoML_20200514_133603,0.6713389376218324,0.6771549207186307,0.4146592803069028,0.3727643762183236,0.4271116388710857,0.18242435205914467
DeepLearning_grid__1_AutoML_20200514_133603_model_2,0.6696759259259261,0.6318989472769861,0.3879544580501224,0.3672392787524366,0.4293381268621781,0.18433122717752368
XGBoost_grid__1_AutoML_20200514_133603_model_1,0.6631396198830409,0.5880542640632913,0.3771232229950582,0.37443347953216377,0.4273511411415189,0.1826289978349584
XGBoost_grid__1_AutoML_20200514_133603_model_4,0.6629568713450292,0.5974506563426696,0.3817176314715737,0.3619639376218323,0.4314949975552971,0.18618793291524585
DRF_1_AutoML_20200514_133603,0.6563718323586745,0.9225577783186844,0.3927100083823225,0.37605994152046784,0.4354153404313229,0.18958651868292484
DeepLearning_grid__3_AutoML_20200514_133603_model_12,0.6507858187134502,0.6829588648964607,0.34673437755837605,0.3687865497076023,0.4554846539964307,0.20746627002624812
DeepLearning_grid__3_AutoML_20200514_133603_model_13,0.6450536062378168,0.6241827146620018,0.4014353043030944,0.3821393762183236,0.45316036788935204,0.2053543190256128
