model_id,logloss,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200514_133819_model_602,0.002671883286701855,0.0,0.020211871312480187,0.00040851974195225954
GBM_grid__1_AutoML_20200514_133819_model_21,0.002671883286701855,0.0,0.020211871312480187,0.00040851974195225954
GBM_grid__1_AutoML_20200514_133819_model_872,0.002695045033441443,0.0,0.02028954041721611,0.00041166545034184614
GBM_grid__1_AutoML_20200514_133819_model_362,0.002695045033441443,0.0,0.02028954041721611,0.00041166545034184614
GBM_grid__1_AutoML_20200514_133819_model_707,0.0031991074049238693,0.003968253968253968,0.026609786474554302,0.0007080807362213733
StackedEnsemble_BestOfFamily_AutoML_20200514_133819,0.00593451589496514,0.003968253968253968,0.026902984718670368,0.0007237705867730112
GBM_grid__1_AutoML_20200514_133819_model_175,0.006603991349306814,0.016215106732348113,0.040402502049481655,0.0016323621718583696
GBM_grid__1_AutoML_20200514_133819_model_684,0.006677722727149386,0.008659051289109092,0.03762910850138869,0.0014159498066092827
GBM_grid__1_AutoML_20200514_133819_model_533,0.007274248571116009,0.011904761904761904,0.04008415359325896,0.001606739369287975
GBM_grid__1_AutoML_20200514_133819_model_599,0.007547173374103022,0.003968253968253968,0.03932341811979267,0.0015463312126240386
GBM_grid__1_AutoML_20200514_133819_model_195,0.008064622316241301,0.003968253968253968,0.0394812316718106,0.0015587676543231805
GBM_grid__1_AutoML_20200514_133819_model_845,0.008258533282512867,0.003968253968253968,0.041000260101103685,0.0016810213283581542
GBM_grid__1_AutoML_20200514_133819_model_672,0.008673252550133353,0.008659051289109092,0.041818124540540916,0.0017487555400881912
GBM_grid__1_AutoML_20200514_133819_model_57,0.00979652388118126,0.00938159464171025,0.0475646297449448,0.002262394002773688
GBM_grid__1_AutoML_20200514_133819_model_308,0.010122650720459965,0.016215106732348113,0.04457202158198922,0.0019866651079053135
GBM_grid__1_AutoML_20200514_133819_model_343,0.010210942057948822,0.0175093093556681,0.048444017703381234,0.002346822851245513
GBM_grid__1_AutoML_20200514_133819_model_327,0.010251263525979295,0.017279740944281502,0.04979539158319897,0.002479581022924123
GBM_grid__1_AutoML_20200514_133819_model_341,0.010257160651169248,0.013921507880683049,0.05117932992410303,0.002619323811480187
GBM_grid__1_AutoML_20200514_133819_model_127,0.01065879336612758,0.018002284296882658,0.05535224141373273,0.0030638706295241487
GBM_grid__1_AutoML_20200514_133819_model_307,0.010746481091034809,0.00961116305309684,0.04773517801909272,0.002278647220514473
GBM_grid__1_AutoML_20200514_133819_model_411,0.011483814732038685,0.00961116305309684,0.051135148457484965,0.002614803407769026
GBM_grid__1_AutoML_20200514_133819_model_625,0.011788330285433486,0.021477563323922068,0.05591656794552581,0.003126662570806605
GBM_grid__1_AutoML_20200514_133819_model_565,0.012009483021862798,0.021970538265136633,0.056570379599214425,0.003200207847999216
GBM_grid__1_AutoML_20200514_133819_model_303,0.012505111880769205,0.021477563323922068,0.057948628413261226,0.003358043534978225
GBM_grid__1_AutoML_20200514_133819_model_634,0.012533797248160582,0.017660193437550424,0.05294582941539479,0.002803260852484084
GBM_grid__1_AutoML_20200514_133819_model_252,0.01267749339592356,0.009230710559827923,0.05008217641225908,0.0025082243941886395
GBM_grid__1_AutoML_20200514_133819_model_419,0.01314219841074659,0.018954396060870408,0.0630486636013217,0.003975133981912629
XGBoost_grid__1_AutoML_20200514_133819_model_329,0.013206271993654423,0.014301960373951962,0.0598920397202674,0.0035870564218540885
GBM_grid__1_AutoML_20200514_133819_model_617,0.01326710870482481,0.018002284296882658,0.05550666797403751,0.0030809901895800422
GBM_grid__1_AutoML_20200514_133819_model_84,0.013291306804878264,0.02521624888078944,0.05519974041470256,0.003047011341850546
GBM_grid__1_AutoML_20200514_133819_model_92,0.01333088966607872,0.023874761793112133,0.06470854126884233,0.0041871953131414705
DeepLearning_grid__2_AutoML_20200514_133819_model_3,0.013385854602794702,0.013316010491522841,0.05762386807334746,0.0033205101717345533
GBM_grid__1_AutoML_20200514_133819_model_823,0.013436555066075195,0.013198964528081893,0.054724559715446514,0.0029947774360494714
GBM_grid__1_AutoML_20200514_133819_model_434,0.013525187633226549,0.026661335585991756,0.061737926395501484,0.0038115715556163578
GBM_grid__1_AutoML_20200514_133819_model_74,0.013966981710584648,0.021477563323922068,0.05804073987962958,0.0033687274857748225
GBM_grid__1_AutoML_20200514_133819_model_109,0.014040532766628795,0.021970538265136633,0.057142129678129865,0.00326522298415221
GBM_grid__1_AutoML_20200514_133819_model_509,0.014044622499845885,0.013691939469296454,0.05609611637760222,0.003146774272649493
GBM_grid__1_AutoML_20200514_133819_model_682,0.014072115880133221,0.022693081617737785,0.06142056663580204,0.0037724860058629983
GBM_grid__1_AutoML_20200514_133819_model_10,0.014216656686393075,0.018954396060870408,0.06373278457245901,0.00406186782935947
GBM_grid__1_AutoML_20200514_133819_model_293,0.014454096333094031,0.02315221844051097,0.06497703916257666,0.00422201561833502
GBM_grid__1_AutoML_20200514_133819_model_480,0.014579520357177253,0.017660193437550424,0.05867137753885841,0.0034423305423072585
GBM_grid__1_AutoML_20200514_133819_model_728,0.014650018795773491,0.02712047240876493,0.06745177293687117,0.004549741672327228
DeepLearning_grid__3_AutoML_20200514_133819_model_3,0.01487120919664713,0.011101095969362049,0.0661644131451772,0.0043777295668456975
GBM_grid__1_AutoML_20200514_133819_model_168,0.015006868700433416,0.0194135328836436,0.0690142814836476,0.004762971048704145
GBM_grid__1_AutoML_20200514_133819_model_758,0.01510748317519941,0.027843015761366097,0.06940603531730824,0.004817197738467438
GBM_grid__1_AutoML_20200514_133819_model_295,0.015131147214103538,0.018231852708269256,0.05828345422134178,0.003396961035971242
GBM_grid__1_AutoML_20200514_133819_model_472,0.01549162888557519,0.023874761793112133,0.06862631642754613,0.004709571306413689
GBM_grid__1_AutoML_20200514_133819_model_282,0.0158912468137719,0.02315221844051097,0.06925821479019748,0.004796700315925129
GBM_grid__1_AutoML_20200514_133819_model_516,0.016011333496547316,0.027843015761366097,0.07166058675453663,0.00513523969400447
GBM_grid__1_AutoML_20200514_133819_model_91,0.016011333496547316,0.027843015761366097,0.07166058675453663,0.00513523969400447
GBM_grid__1_AutoML_20200514_133819_model_183,0.01617127596314035,0.02712047240876493,0.0700038648219397,0.0049005410900084066
GBM_grid__1_AutoML_20200514_133819_model_478,0.016322615792381014,0.0129693961166953,0.060945582069815915,0.0037143639738286657
GBM_grid__1_AutoML_20200514_133819_model_783,0.01634398448115384,0.018002284296882658,0.06305995174663953,0.003976557514288506
GBM_grid__1_AutoML_20200514_133819_model_347,0.0171407528645712,0.02654881313804611,0.07013754565744464,0.004919275310850131
GBM_grid__1_AutoML_20200514_133819_model_8,0.0172572262748664,0.02738387893859291,0.06867222526042073,0.004715874522217968
GBM_grid__1_AutoML_20200514_133819_model_860,0.017447732325282017,0.02616836064477719,0.06604708578499309,0.004362217540690236
GBM_grid__1_AutoML_20200514_133819_model_201,0.017529351758925518,0.02544581729217604,0.06553482552416043,0.00429481335648215
GBM_grid__1_AutoML_20200514_133819_model_330,0.01754448144230357,0.02330310252239329,0.07102498691658242,0.005044548766500704
GBM_grid__1_AutoML_20200514_133819_model_743,0.017602573743589454,0.021135472464589827,0.06416699651605802,0.004117403441891803
GBM_grid__1_AutoML_20200514_133819_model_627,0.017726258678922927,0.022922650029124383,0.07190499348771312,0.005170328088468068
GBM_grid__1_AutoML_20200514_133819_model_336,0.017789178339532242,0.029414071260430007,0.06735375094017203,0.004536527765710724
XGBoost_grid__1_AutoML_20200514_133819_model_213,0.017957382216365857,0.014038553844123995,0.0679372007626647,0.004615463247466609
GBM_grid__1_AutoML_20200514_133819_model_780,0.01802057453868304,0.027613447349979503,0.0680956563562766,0.004637018414592113
GBM_grid__1_AutoML_20200514_133819_model_29,0.018038263929767352,0.030174976246967838,0.07144246189835975,0.0051040253620985845
GBM_grid__1_AutoML_20200514_133819_model_659,0.01807854725133413,0.022693081617737785,0.064225369008443,0.0041248980242706715
GBM_grid__1_AutoML_20200514_133819_model_120,0.01815446083009837,0.022580559169792142,0.0657132841355154,0.00431823571187498
GBM_grid__1_AutoML_20200514_133819_model_494,0.018155818676920885,0.03482741193388628,0.06963895556534931,0.004849584132232697
XGBoost_grid__1_AutoML_20200514_133819_model_135,0.018457439225768684,0.014301960373951962,0.06757540188989307,0.004566434940580563
