model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200514_134022,0.1704806489834375,0.0411522633744856,0.2129692537672992,0.045355903050200284
GBM_grid__1_AutoML_20200514_134022_model_25,0.17608042184324496,0.05658436213991769,0.2237252633589267,0.050052993465021116
DeepLearning_grid__3_AutoML_20200514_134022_model_6,0.18038822989146108,0.04938271604938272,0.21112923512314855,0.044575553923685736
GBM_grid__1_AutoML_20200514_134022_model_15,0.1861805906203666,0.05555555555555555,0.2266234348444488,0.05135818122069611
DeepLearning_grid__2_AutoML_20200514_134022_model_6,0.18625097998628584,0.05246913580246913,0.217277816616224,0.04720964959351344
DeepLearning_grid__3_AutoML_20200514_134022_model_4,0.20197441200207572,0.05761316872427982,0.21695146758167252,0.04706793928584151
XGBoost_grid__1_AutoML_20200514_134022_model_22,0.20287838290412816,0.06584362139917695,0.24505728140161115,0.06005307116794844
XGBoost_grid__1_AutoML_20200514_134022_model_77,0.2066500464901484,0.0617283950617284,0.2469147084850407,0.06096687326625262
XGBoost_grid__1_AutoML_20200514_134022_model_155,0.21285551358446766,0.0699588477366255,0.2552084681633727,0.06513136222229524
XGBoost_grid__1_AutoML_20200514_134022_model_39,0.21344716847468265,0.0668724279835391,0.2555203278957841,0.06529063796796904
XGBoost_grid__1_AutoML_20200514_134022_model_33,0.2143849893317926,0.0720164609053498,0.2564605850765272,0.06577203169779465
XGBoost_grid__1_AutoML_20200514_134022_model_118,0.21502265162295325,0.06275720164609051,0.25511318128739685,0.06508273526657621
XGBoost_grid__1_AutoML_20200514_134022_model_153,0.21539716570620351,0.06687242798353908,0.2412874383167029,0.05821962788943672
XGBoost_grid__1_AutoML_20200514_134022_model_101,0.21670535826244966,0.06893004115226338,0.2500020662109741,0.0625010331097563
XGBoost_grid__1_AutoML_20200514_134022_model_111,0.21721924997937625,0.06481481481481481,0.25528038585302737,0.06516807540127055
XGBoost_grid__1_AutoML_20200514_134022_model_19,0.22044465840172767,0.07098765432098765,0.2571850713377316,0.06614416091899407
XGBoost_grid__1_AutoML_20200514_134022_model_1,0.2227627015023668,0.06481481481481481,0.2518050918347841,0.06340580427392402
XGBoost_grid__1_AutoML_20200514_134022_model_120,0.22632273806135506,0.06584362139917695,0.2627898443761855,0.06905850230725981
GBM_1_AutoML_20200514_134022,0.2270442143948267,0.07613168724279834,0.25894652564118364,0.06705330314164018
XGBoost_grid__1_AutoML_20200514_134022_model_128,0.2271307170641259,0.06995884773662553,0.2513582957293772,0.06318099283197702
XGBoost_grid__1_AutoML_20200514_134022_model_42,0.2286414581279101,0.0751028806584362,0.25578326159808457,0.06542507691375415
DeepLearning_grid__2_AutoML_20200514_134022_model_4,0.2300506543058025,0.05761316872427982,0.22477957554707045,0.05052585758312115
XGBoost_grid__1_AutoML_20200514_134022_model_80,0.23068013149155356,0.07304526748971192,0.2620650113873405,0.0686780701934469
GBM_grid__1_AutoML_20200514_134022_model_11,0.2315172223424184,0.07510288065843622,0.25955201998711364,0.06736725107939104
XGBoost_grid__1_AutoML_20200514_134022_model_133,0.23174287697163,0.07407407407407407,0.2500164300077862,0.06250821527383825
XGBoost_grid__1_AutoML_20200514_134022_model_130,0.23205049575888315,0.07818930041152262,0.2568148906131253,0.06595388804063153
GBM_grid__1_AutoML_20200514_134022_model_13,0.2321649494972675,0.07613168724279834,0.2601368238363709,0.06767116711567506
XGBoost_grid__1_AutoML_20200514_134022_model_94,0.2324160309281013,0.07613168724279834,0.2594575373885423,0.06731821370772681
XGBoost_grid__1_AutoML_20200514_134022_model_104,0.23418116556818386,0.07098765432098765,0.25938938715077525,0.06728285416645476
XGBoost_grid__1_AutoML_20200514_134022_model_148,0.23441184979096666,0.06893004115226338,0.2702293823162684,0.07302391906703194
XGBoost_grid__1_AutoML_20200514_134022_model_147,0.2346694700379447,0.07098765432098765,0.2499837536131269,0.062491877070508524
GBM_grid__1_AutoML_20200514_134022_model_32,0.2352369234542885,0.07613168724279834,0.26442736674250195,0.06992183228237367
XGBoost_grid__1_AutoML_20200514_134022_model_40,0.2353750066987048,0.06378600823045268,0.2674746091609105,0.07154266654578187
XGBoost_grid__1_AutoML_20200514_134022_model_55,0.2355142979279932,0.07407407407407407,0.26898209554564195,0.07235136772412486
GBM_grid__1_AutoML_20200514_134022_model_22,0.2372158866818567,0.06481481481481481,0.24706624123444454,0.06104172755771674
XGBoost_grid__1_AutoML_20200514_134022_model_143,0.23736117750071745,0.06790123456790123,0.2687611899263904,0.0722325772106493
XGBoost_grid__1_AutoML_20200514_134022_model_31,0.2378318112223441,0.07098765432098765,0.2695047588367297,0.07263281503564382
XGBoost_grid__1_AutoML_20200514_134022_model_140,0.23874881736566306,0.07304526748971192,0.2684168635249733,0.07204761262458415
XGBoost_grid__1_AutoML_20200514_134022_model_97,0.23899097065321265,0.05761316872427982,0.2688696073426312,0.07229086575258066
XGBoost_grid__1_AutoML_20200514_134022_model_123,0.2395394755274285,0.07304526748971192,0.2689414657040497,0.07232951197504253
XGBoost_grid__1_AutoML_20200514_134022_model_66,0.239851422373198,0.06893004115226338,0.2561914474865845,0.06563405776527137
XGBoost_grid__1_AutoML_20200514_134022_model_152,0.2405353112377731,0.07510288065843622,0.2724365046259705,0.07422164905281642
XGBoost_grid__1_AutoML_20200514_134022_model_41,0.2406014102873377,0.07098765432098765,0.2514634679529628,0.06323387571493075
GBM_grid__1_AutoML_20200514_134022_model_44,0.24145869823491675,0.07407407407407406,0.2647811166622839,0.07010903974092599
GBM_grid__1_AutoML_20200514_134022_model_9,0.2430969370996177,0.08127572016460904,0.26707126428087824,0.0713270602045867
GBM_grid__1_AutoML_20200514_134022_model_14,0.24344525738256145,0.07304526748971192,0.26752213020001386,0.07156809014675318
XGBoost_grid__1_AutoML_20200514_134022_model_52,0.2446369382135809,0.0668724279835391,0.24741276208213325,0.06121307484111028
XGBoost_grid__1_AutoML_20200514_134022_model_89,0.2448493562920369,0.08127572016460904,0.2746221431681784,0.07541732151828348
XGBoost_grid__1_AutoML_20200514_134022_model_96,0.24590889815379646,0.0720164609053498,0.27551188072553945,0.07590679642092388
XGBoost_grid__1_AutoML_20200514_134022_model_144,0.2461506102271518,0.07716049382716049,0.2708175681962501,0.0733421552437306
XGBoost_grid__1_AutoML_20200514_134022_model_106,0.2463967196173393,0.0720164609053498,0.2750748258447832,0.07566615981353783
XGBoost_grid__1_AutoML_20200514_134022_model_83,0.24656588596022355,0.07613168724279834,0.2554187418649713,0.06523873369588484
XGBoost_grid__1_AutoML_20200514_134022_model_90,0.24794918037241145,0.0751028806584362,0.273254325919815,0.07466792663389249
XGBoost_grid__1_AutoML_20200514_134022_model_138,0.2505023529996802,0.07201646090534979,0.2770482311534703,0.07675572238526669
XGBoost_grid__1_AutoML_20200514_134022_model_69,0.2506799826087223,0.07818930041152264,0.2787137249141963,0.0776813404555463
XGBoost_grid__1_AutoML_20200514_134022_model_26,0.2513183612337716,0.08024691358024691,0.27781033560811746,0.07717858257069485
XGBoost_grid__1_AutoML_20200514_134022_model_5,0.2526592766004502,0.06893004115226338,0.2780460861181414,0.0773096260056169
GBM_grid__1_AutoML_20200514_134022_model_2,0.25453928102801004,0.08641975308641975,0.27193537930295364,0.07394885051664128
XGBoost_grid__1_AutoML_20200514_134022_model_135,0.2558479644846382,0.07818930041152264,0.26016938477723034,0.06768810877536252
XGBoost_grid__1_AutoML_20200514_134022_model_127,0.2564862235378544,0.08230452674897121,0.2789815292685617,0.07783069367302538
XGBoost_grid__1_AutoML_20200514_134022_model_122,0.25998714976298226,0.06481481481481483,0.2837918822759142,0.08053783244570632
StackedEnsemble_AllModels_AutoML_20200514_134022,0.2610321185846454,0.03909465020576132,0.2492091715383872,0.062105211178849276
XGBoost_grid__1_AutoML_20200514_134022_model_27,0.26193891237001377,0.0823045267489712,0.2790753752767821,0.07788306508587678
GBM_grid__1_AutoML_20200514_134022_model_28,0.26260910714665625,0.09465020576131686,0.27573281079875617,0.07602858295098266
XGBoost_grid__1_AutoML_20200514_134022_model_119,0.26278126465179663,0.07716049382716049,0.2843358608783258,0.08084688178141865
XGBoost_grid__1_AutoML_20200514_134022_model_126,0.2630610958394863,0.07716049382716049,0.28637745919727964,0.08201204913628955
DeepLearning_grid__2_AutoML_20200514_134022_model_1,0.2637850108405608,0.06584362139917695,0.23683790727870696,0.0560921943241574
XGBoost_grid__1_AutoML_20200514_134022_model_32,0.264396445298588,0.08641975308641975,0.2834138508777391,0.08032341086934933
XGBoost_grid__1_AutoML_20200514_134022_model_136,0.26449612797995203,0.08436213991769546,0.2837758826298682,0.08052875156236074
XGBoost_grid__1_AutoML_20200514_134022_model_4,0.2690777856992513,0.08436213991769546,0.2875900379321296,0.08270802991780372
XGBoost_grid__1_AutoML_20200514_134022_model_64,0.2702167705861916,0.08641975308641976,0.29116497654664225,0.08477704356740673
XGBoost_grid__1_AutoML_20200514_134022_model_7,0.27464514295392883,0.08744855967078187,0.28640209066001715,0.08202615753442867
GBM_grid__1_AutoML_20200514_134022_model_40,0.27480205551510484,0.09979423868312756,0.2853873498607233,0.0814459394605269
XGBoost_grid__1_AutoML_20200514_134022_model_125,0.2755636914945071,0.0905349794238683,0.2917031626466777,0.08509073509807409
XGBoost_grid__1_AutoML_20200514_134022_model_116,0.27626922421102185,0.08539094650205761,0.2879895345538964,0.08293797201256989
XGBoost_grid__1_AutoML_20200514_134022_model_9,0.2769688634832091,0.08744855967078187,0.29528272185143184,0.08719188582399005
XGBoost_grid__1_AutoML_20200514_134022_model_68,0.2774755088605064,0.08436213991769548,0.29598294431565514,0.08760590332576422
DeepLearning_grid__3_AutoML_20200514_134022_model_1,0.2778526275561386,0.08024691358024692,0.2666300351928075,0.07109157566691776
XGBoost_grid__1_AutoML_20200514_134022_model_51,0.27797573754909977,0.08539094650205761,0.29222212346172616,0.08539376944048034
GBM_grid__1_AutoML_20200514_134022_model_8,0.2781534569596793,0.08847736625514402,0.28776465207684243,0.08280849498490618
XGBoost_grid__1_AutoML_20200514_134022_model_88,0.2815832604153607,0.08230452674897118,0.2964040386759721,0.08785535414342717
XGBoost_grid__1_AutoML_20200514_134022_model_38,0.2884279987224469,0.0905349794238683,0.29417918603511584,0.0865413934962833
XGBoost_grid__1_AutoML_20200514_134022_model_114,0.2889660448697333,0.09670781893004116,0.3020477120587121,0.09123282035990267
XGBoost_grid__1_AutoML_20200514_134022_model_49,0.2898891224594736,0.08744855967078187,0.3004183261259166,0.09025117067229757
DeepLearning_grid__3_AutoML_20200514_134022_model_3,0.2916224504353859,0.0617283950617284,0.23195421593732,0.05380275829109688
XGBoost_grid__1_AutoML_20200514_134022_model_30,0.29323320313196505,0.09979423868312758,0.3065327526143034,0.09396232842530172
XGBoost_grid__1_AutoML_20200514_134022_model_23,0.2939687053955486,0.0823045267489712,0.30174675781236826,0.091051105850276
GBM_grid__1_AutoML_20200514_134022_model_41,0.2956406263747008,0.09773662551440328,0.28332279633420765,0.08027180692263491
XGBoost_grid__1_AutoML_20200514_134022_model_65,0.29619045908907143,0.08847736625514402,0.30620038467845273,0.09375867557723244
GBM_grid__1_AutoML_20200514_134022_model_36,0.3004854049094561,0.11008230452674896,0.30843501938108275,0.09513216118060888
GBM_grid__1_AutoML_20200514_134022_model_39,0.3048655199482342,0.08333333333333333,0.28149250689039074,0.07923803143543669
GBM_grid__1_AutoML_20200514_134022_model_30,0.3111626864240407,0.11111111111111108,0.3163296879292822,0.10006447146543708
GBM_3_AutoML_20200514_134022,0.31358989528138964,0.10699588477366256,0.30681241037552115,0.0941338551604372
GBM_2_AutoML_20200514_134022,0.3176219640986555,0.11728395061728393,0.31122939374065633,0.09686373552817652
GBM_grid__1_AutoML_20200514_134022_model_38,0.3183872276348309,0.10905349794238683,0.3091834882443006,0.09559442940291354
XGBoost_grid__1_AutoML_20200514_134022_model_70,0.32094790854594785,0.08436213991769545,0.3199391154130966,0.10236103757131476
GBM_4_AutoML_20200514_134022,0.3214808485046277,0.11008230452674896,0.3090830987622373,0.09553236194046696
GBM_grid__1_AutoML_20200514_134022_model_26,0.32201739034238336,0.1111111111111111,0.3146106109732316,0.09897983653695007
GBM_grid__1_AutoML_20200514_134022_model_1,0.324791724195185,0.11419753086419752,0.32243684649146864,0.10396551997536292
GBM_grid__1_AutoML_20200514_134022_model_23,0.3273107494222944,0.1162551440329218,0.3147569781836864,0.09907195531532564
GBM_grid__1_AutoML_20200514_134022_model_24,0.3275289557995371,0.10905349794238682,0.3110664496608975,0.09676233610463568
GBM_grid__1_AutoML_20200514_134022_model_45,0.3281263256003948,0.11213991769547324,0.3192087554592713,0.10189422956185692
XGBoost_grid__1_AutoML_20200514_134022_model_105,0.34295741444590666,0.08950617283950618,0.3312075133993871,0.10969841693220517
GLM_1_AutoML_20200514_134022,0.35964316195354346,0.051440329218107005,0.3346195017693615,0.11197021096437572
XGBoost_grid__1_AutoML_20200514_134022_model_73,0.3911473136318181,0.1183127572016461,0.3504540099637346,0.12281801309966138
DRF_1_AutoML_20200514_134022,0.3912389913986968,0.058641975308641965,0.3397623263996781,0.11543843844052144
XGBoost_grid__1_AutoML_20200514_134022_model_151,0.3932800354696851,0.12139917695473253,0.3531618332750358,0.1247232804821842
XGBoost_grid__1_AutoML_20200514_134022_model_48,0.3953749376773952,0.1183127572016461,0.3515342119104193,0.12357630214347963
XGBoost_grid__1_AutoML_20200514_134022_model_95,0.3967156705397686,0.12551440329218108,0.35396521337493364,0.1252913722795623
