model_id,logloss,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200514_234858_model_5,0.33440998834282715,0.28958314268771684,0.32782284416385216,0.1074678171556773
XGBoost_grid__1_AutoML_20200514_234858_model_5,0.3384918442090134,0.2940691579571361,0.33077059342889703,0.1094091854773047
GBM_4_AutoML_20200514_234858,0.3386217159812373,0.2988118679740609,0.33112356059693804,0.1096428123823941
GBM_5_AutoML_20200514_234858,0.33989598190063786,0.3008758155915946,0.3327551656763359,0.11072600028428577
StackedEnsemble_AllModels_AutoML_20200514_234858,0.3406431175774523,0.283493243621508,0.3264613977586243,0.1065770442265147
GBM_grid__1_AutoML_20200514_234858_model_4,0.34188827224664897,0.2951587075941478,0.330875139184775,0.10947835773054423
StackedEnsemble_BestOfFamily_AutoML_20200514_234858,0.3452743699236059,0.2866270900057797,0.3277795679987888,0.10743944519747256
GBM_3_AutoML_20200514_234858,0.3464777282034582,0.30737702466430433,0.3360423800034706,0.11292448115839696
XGBoost_grid__1_AutoML_20200514_234858_model_3,0.3491915251900747,0.29324880963635297,0.3339785343406376,0.11154166140032046
XGBoost_1_AutoML_20200514_234858,0.3512689775415503,0.2997521673475037,0.3359623603367665,0.11287070756305136
XGBoost_grid__1_AutoML_20200514_234858_model_4,0.3516369219828472,0.2943377321983994,0.3327737834175953,0.1107383909300606
GBM_grid__1_AutoML_20200514_234858_model_2,0.35336454283187224,0.3131221207410779,0.33944001916146865,0.11521952660833823
XGBoost_2_AutoML_20200514_234858,0.3539916084161535,0.2971194077207374,0.336378636720537,0.11315058724196705
GBM_2_AutoML_20200514_234858,0.3549172833865341,0.31612700889702383,0.34060910722532234,0.11601456392483114
GBM_grid__1_AutoML_20200514_234858_model_9,0.3562309920010155,0.3160659291310601,0.3410907648343016,0.11634290985524888
GBM_grid__1_AutoML_20200514_234858_model_18,0.3642799487909668,0.3255498487427664,0.3453858276295351,0.11929136992733895
XGBoost_grid__1_AutoML_20200514_234858_model_8,0.36629177780596817,0.31439713517305085,0.34471926215757503,0.1188313697024629
GBM_grid__1_AutoML_20200514_234858_model_3,0.3666148469737549,0.3256011186818393,0.3468441710109688,0.12030087896428615
XGBoost_grid__1_AutoML_20200514_234858_model_7,0.36776391798802777,0.3138678012605918,0.34536074400637673,0.1192740435006381
