model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200514_134304,0.7806995884773663,0.5054964652144618,0.8872409370478523,0.35423280423280423,0.4090779414955885,0.1673447622182681
XGBoost_grid__1_AutoML_20200514_134304_model_1,0.7764462081128748,0.5536849768386696,0.8847264775406427,0.3632275132275132,0.4236990515330296,0.17952088626998888
XGBoost_grid__1_AutoML_20200514_134304_model_9,0.7736008230452676,0.5116413818559769,0.8853698821672086,0.3574074074074074,0.4125699002883533,0.17021392262394178
GLM_1_AutoML_20200514_134304,0.7709729570840682,0.5084766701543665,0.8837904078240965,0.3801587301587301,0.411787811748692,0.1695692019047762
GBM_grid__1_AutoML_20200514_134304_model_1,0.7692533803644915,0.510462216747564,0.8843969535067341,0.4126984126984127,0.41266395121010335,0.17029153662833454
DRF_1_AutoML_20200514_134304,0.7684567901234567,0.5107790322536204,0.8803464872606005,0.41058201058201055,0.41277828914601866,0.1703859159903142
GBM_grid__1_AutoML_20200514_134304_model_6,0.7680540858318636,0.5133109415426339,0.8782599774316423,0.3637566137566138,0.4123730172690118,0.17005150537154873
XGBoost_grid__1_AutoML_20200514_134304_model_5,0.7667195767195767,0.5126645548510563,0.8826545013185368,0.4018518518518519,0.4133470611846951,0.17085579299002407
GBM_grid__1_AutoML_20200514_134304_model_7,0.766469723691946,0.5126640937714052,0.87604511893878,0.3441798941798942,0.41270285073800905,0.17032364300727934
XGBoost_grid__1_AutoML_20200514_134304_model_2,0.7656554967666078,0.5223585414063211,0.8746484954166659,0.41984126984126985,0.4160234432207533,0.17307550530925128
DeepLearning_grid__1_AutoML_20200514_134304_model_48,0.7652704291593181,0.6073476341311685,0.8751691665053519,0.4132275132275132,0.42938029427488256,0.1843674371115847
GBM_2_AutoML_20200514_134304,0.7642004703115814,0.5192553123857931,0.8789020067682455,0.3941798941798942,0.41546289503864,0.17260941715388795
StackedEnsemble_AllModels_AutoML_20200514_134304,0.7640681951793064,0.515089659887314,0.8704264653039419,0.37777777777777777,0.4118970914191515,0.16965921391955685
GBM_grid__1_AutoML_20200514_134304_model_5,0.7640534979423869,0.5165569835380971,0.8790265871732733,0.4404761904761905,0.4154634126225796,0.17260984722799982
XGBoost_grid__1_AutoML_20200514_134304_model_6,0.7638918283362728,0.51666123792288,0.8789692301557727,0.3732804232804233,0.4158462568115481,0.17292810930417601
GBM_3_AutoML_20200514_134304,0.7634597295708407,0.5194994814986669,0.8771582550985362,0.41798941798941797,0.4146474496658632,0.1719325075144045
GBM_4_AutoML_20200514_134304,0.762633744855967,0.5241272064935264,0.8750928709891027,0.3555555555555556,0.4161271130753463,0.17316177423642204
XGBoost_grid__1_AutoML_20200514_134304_model_4,0.7621075837742505,0.6127169179206889,0.8691086540958719,0.37777777777777777,0.43416501264091256,0.18849925820148372
XGBoost_grid__1_AutoML_20200514_134304_model_8,0.7620282186948854,0.5165940934491635,0.8778133838264616,0.3878306878306879,0.4155612813977973,0.17269117859697922
DeepLearning_grid__1_AutoML_20200514_134304_model_70,0.7607613168724279,0.5878265657528886,0.8817055944469228,0.42063492063492064,0.4343123125544024,0.1886271848363529
DeepLearning_grid__1_AutoML_20200514_134304_model_36,0.7601557907113463,0.5738475390869116,0.8705078932011546,0.3835978835978836,0.4298497721297337,0.18477082659998398
GBM_1_AutoML_20200514_134304,0.7590917107583774,0.5302567008450518,0.8689252043554709,0.382010582010582,0.41964310642472585,0.17610033676979378
XRT_1_AutoML_20200514_134304,0.7587713109935332,0.5277098303406074,0.8652752054002555,0.4082010582010582,0.4189238762807115,0.17549721411805688
DeepLearning_grid__1_AutoML_20200514_134304_model_19,0.7576572604350382,0.5642800990700556,0.8663673984291966,0.4055555555555555,0.4201947306152917,0.17656361163685758
DeepLearning_grid__1_AutoML_20200514_134304_model_16,0.7566637272192828,0.5630911268574229,0.8674226973797218,0.4052910052910053,0.4229214001311563,0.17886251068889766
GBM_grid__1_AutoML_20200514_134304_model_4,0.7563874191651969,0.5231988186520399,0.8749039428655906,0.4060846560846561,0.41866953688427183,0.17528418111489066
GBM_5_AutoML_20200514_134304,0.7563433274544386,0.5232184630096015,0.8723219197427343,0.4727513227513227,0.4184369126911426,0.17508944990249484
