model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200514_161359,0.034010449896325096,0.010422189589277065,0.0926590436609353,0.008585698372159114
StackedEnsemble_BestOfFamily_AutoML_20200514_161359,0.038806000592167496,0.011756465369830578,0.09844564617756607,0.009691545251318531
XGBoost_grid__1_AutoML_20200514_161359_model_1,0.046267056909364127,0.013361768035358578,0.11110961276951127,0.012345346049790745
XGBoost_grid__1_AutoML_20200514_161359_model_2,0.06186380125815107,0.01822799422625208,0.12717453982203622,0.016173363578946682
XGBoost_grid__1_AutoML_20200514_161359_model_4,0.06477745686363864,0.02289945064448384,0.13552461269998722,0.01836692064748154
GBM_grid__1_AutoML_20200514_161359_model_1,0.0660554330027002,0.020230126976323055,0.1328518151071275,0.017649604777258392
XGBoost_grid__1_AutoML_20200514_161359_model_3,0.073896188510822,0.02268470986222953,0.1418092241973669,0.020109856067459075
XGBoost_3_AutoML_20200514_161359,0.07450453911529542,0.02102368425649176,0.13958206003858625,0.01948315148461549
XGBoost_1_AutoML_20200514_161359,0.08360788785394932,0.0248890650813955,0.14983926518034996,0.022451805389787232
XGBoost_2_AutoML_20200514_161359,0.08882931660325173,0.0244686320139459,0.15187950406560768,0.023067383755214943
XGBoost_grid__1_AutoML_20200514_161359_model_5,0.10548895855336604,0.02524677598248819,0.16378254615576845,0.026824722425266418
DeepLearning_grid__3_AutoML_20200514_161359_model_1,0.1135237109451341,0.03738290840511477,0.16704603865655285,0.027904379030846544
DeepLearning_grid__2_AutoML_20200514_161359_model_1,0.11714037845296844,0.03697514441827268,0.1685218249741651,0.02839960549262313
DeepLearning_grid__1_AutoML_20200514_161359_model_1,0.1906614488757178,0.036675327226220925,0.17408882175429902,0.03030691785980008
DeepLearning_1_AutoML_20200514_161359,0.2055109828978002,0.06037848341521181,0.22182311599938395,0.04920549479167617
DeepLearning_grid__2_AutoML_20200514_161359_model_2,0.2671313813933848,0.03576610613695613,0.17525848934573995,0.030715538087750845
DeepLearning_grid__3_AutoML_20200514_161359_model_2,0.293869710374289,0.03992978639238425,0.18553640387535605,0.03442375716299924
GBM_1_AutoML_20200514_161359,0.29914488469307443,0.05027896931538983,0.2940831815981725,0.08648491769890371
GBM_grid__1_AutoML_20200514_161359_model_2,0.3123389804786356,0.04965114780491832,0.3001060312565683,0.09006362999656835
XGBoost_grid__1_AutoML_20200514_161359_model_6,0.3131748456794745,0.06543562131126998,0.3044504078593233,0.09269005084570828
DRF_1_AutoML_20200514_161359,0.32218296216200354,0.02777625297721921,0.2984306870458254,0.08906087497064341
XRT_1_AutoML_20200514_161359,0.3299124993392542,0.030107225937645195,0.3015076273080478,0.09090684932492864
GBM_2_AutoML_20200514_161359,0.3301921958745775,0.049101044936892484,0.3098308915986635,0.09599518138882278
GBM_3_AutoML_20200514_161359,0.3794492413721245,0.05073386027837741,0.3368570067611215,0.11347264300406228
GBM_4_AutoML_20200514_161359,0.4875058021763935,0.052549831590796216,0.39498797892275306,0.1560155034934812
GBM_5_AutoML_20200514_161359,0.5211826207773891,0.0834220314846017,0.4157026485594004,0.17280869201930035
DeepLearning_grid__1_AutoML_20200514_161359_model_2,0.6507708013709336,0.04939267905184982,0.2177189961696172,0.047401561293105784
GBM_grid__1_AutoML_20200514_161359_model_3,1.2509256441585397,0.2233640082264292,0.7092508389007481,0.503036752481415
XGBoost_grid__1_AutoML_20200514_161359_model_7,1.25217185464819,0.2500936965416685,0.708346422814288,0.501754654713798
