model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GLM_1_AutoML_20200515_190243,0.6714914147864339,0.6395679097874697,0.5837337694281903,0.4070425104907863,0.4730978951112592,0.223821618358704
StackedEnsemble_BestOfFamily_AutoML_20200515_190243,0.6596119929453262,0.6443408830428521,0.569149863778153,0.3886152162014232,0.4755797427495716,0.2261760917137487
GBM_grid__1_AutoML_20200515_190243_model_1,0.6456749579354943,0.6594374821712172,0.5562520147683079,0.3929027549717205,0.4816780478207974,0.23201374175245446
GBM_grid__1_AutoML_20200515_190243_model_5,0.6375965456425227,0.6589004565194778,0.5597687601199105,0.3945447910965153,0.4821915498702855,0.232508690766308
DeepLearning_grid__3_AutoML_20200515_190243_model_19,0.6347584585132477,0.6643483361174825,0.5518500655598345,0.4489144316730523,0.4842160407819811,0.2344651741505772
DeepLearning_grid__1_AutoML_20200515_190243_model_4,0.6345050578767054,0.7634882906473078,0.5755603499563859,0.4517423827768655,0.5092129996730871,0.2592978790360634
DeepLearning_grid__2_AutoML_20200515_190243_model_19,0.6330961503375296,0.6890651011526711,0.5681256879974642,0.40394088669950734,0.4900199021687803,0.240119504521501
XGBoost_grid__1_AutoML_20200515_190243_model_8,0.632518396886213,0.6677716057882274,0.5372177095858539,0.3955482576172231,0.4860855210837295,0.23627913380724086
XGBoost_grid__1_AutoML_20200515_190243_model_5,0.6323866285552109,0.6567877565434972,0.5478213242052005,0.4424375114030286,0.481898661109104,0.23222631957874704
GBM_grid__1_AutoML_20200515_190243_model_7,0.6306635042267227,0.665189253208038,0.5432467405320005,0.41306330961503374,0.4855420493249067,0.2357510816626301
DeepLearning_grid__1_AutoML_20200515_190243_model_30,0.6298424861643253,0.7681664886694943,0.5432558321784364,0.4113300492610837,0.507295607214761,0.257348833099393
XGBoost_2_AutoML_20200515_190243,0.6269030387804334,0.6710324656858375,0.5475374179499122,0.4299397920087576,0.4864494992624336,0.2366331153326724
DeepLearning_grid__3_AutoML_20200515_190243_model_16,0.6261529728962679,0.6816692843904603,0.5318585415894119,0.4163473818646232,0.4906230106434656,0.24071093857285825
GBM_5_AutoML_20200515_190243,0.6258691641833404,0.6567592573861143,0.5424468502553222,0.4415252691114761,0.4818998711780481,0.2322274858414194
GBM_grid__1_AutoML_20200515_190243_model_3,0.6245717529242434,0.6577584737358757,0.5428501189850558,0.4477285166940339,0.482370890751421,0.2326816762443193
DeepLearning_grid__2_AutoML_20200515_190243_model_6,0.6243994404913945,0.8356709752100603,0.5654272306692966,0.4725415070242657,0.5122816993336988,0.26243253947222217
StackedEnsemble_AllModels_AutoML_20200515_190243,0.6236291025563057,0.6604243941021753,0.5259901410284005,0.4393358876117497,0.4837564844050938,0.2340203362039758
XGBoost_grid__1_AutoML_20200515_190243_model_11,0.6205173427395649,0.6578999456117459,0.5496272085940268,0.4630541871921182,0.4823579429487952,0.23266918512579315
DeepLearning_grid__3_AutoML_20200515_190243_model_23,0.6152668815504064,0.7729770093509623,0.5509912925459006,0.4596788907133734,0.5176860775098066,0.2679988748474894
GBM_4_AutoML_20200515_190243,0.6151249771939427,0.7089435870540062,0.529133618396783,0.44526546250684185,0.5015931920707147,0.2515957303316889
GBM_grid__1_AutoML_20200515_190243_model_4,0.6150236169393257,0.6763545034027761,0.5299394416943235,0.4462689290275497,0.4897803697463176,0.2398848105888396
XGBoost_grid__1_AutoML_20200515_190243_model_3,0.6142431429787752,0.7397030515962659,0.5126643388606942,0.4103265827403758,0.5083736097438519,0.2584437270839942
GBM_2_AutoML_20200515_190243,0.6137262056802286,0.7092701590066209,0.5091854412352314,0.3959131545338442,0.5020758989487953,0.2520802083052409
GBM_grid__1_AutoML_20200515_190243_model_6,0.6132295404326056,0.6880073543884191,0.53526908174249,0.4238277686553549,0.4945537651269954,0.24458342660128735
XGBoost_grid__1_AutoML_20200515_190243_model_6,0.6131585882543737,0.6715095411696973,0.5240557331343951,0.4253785805509943,0.48827642518177206,0.2384138673882906
DeepLearning_grid__1_AutoML_20200515_190243_model_13,0.6130673640252183,0.7671413965357555,0.5455031619183625,0.4551176792556103,0.5173760434732639,0.2676779703600488
DeepLearning_grid__2_AutoML_20200515_190243_model_23,0.6100366924121713,0.8164783168963383,0.5377601989751033,0.4687100893997446,0.5200385968292669,0.2704401421921528
DeepLearning_grid__3_AutoML_20200515_190243_model_12,0.6054653449289465,1.2132583785250544,0.5341683404749921,0.4904214559386973,0.6033436411524848,0.3640235493191384
DeepLearning_grid__1_AutoML_20200515_190243_model_29,0.6045936467392407,1.239839270246209,0.5128018264648362,0.456759715380405,0.5688288637718282,0.323566276259949
XRT_1_AutoML_20200515_190243,0.603944941109692,0.6739532468718815,0.5210464129352415,0.4429848567779602,0.4895616116224906,0.2396705715744103
XGBoost_1_AutoML_20200515_190243,0.6034381398366073,0.7163501456335266,0.5237375060137769,0.4806604634190841,0.503702778353109,0.2537164889206412
DeepLearning_grid__1_AutoML_20200515_190243_model_24,0.6022724969085123,1.1362567962482375,0.4925952235127166,0.4524721766101076,0.5574862675023058,0.3107909384536525
DeepLearning_grid__3_AutoML_20200515_190243_model_4,0.6015224310243468,0.8097135738293934,0.5300726391624809,0.4957124612297026,0.5330025424634477,0.2840917102724994
DeepLearning_grid__2_AutoML_20200515_190243_model_28,0.601309574489651,2.954866197532866,0.5055216003105061,0.4225506294471812,0.6147197363494518,0.37788035425753946
DeepLearning_grid__2_AutoML_20200515_190243_model_4,0.5998905309250138,1.0632157297910805,0.5109169548244105,0.42182083561393896,0.5511487332710503,0.3037649261862833
DeepLearning_grid__1_AutoML_20200515_190243_model_7,0.5995661781102394,1.2984676325976583,0.5169888500259942,0.4706257982120051,0.5772833301832776,0.3332560433074951
XGBoost_grid__1_AutoML_20200515_190243_model_9,0.5986235277423017,0.7076953017047112,0.5234800300699972,0.4885057471264368,0.5014347895926989,0.2514368482138744
GBM_grid__1_AutoML_20200515_190243_model_2,0.5979849581382148,0.7291278166627615,0.5051776120681024,0.4310344827586207,0.5086532458339366,0.2587281244973991
DeepLearning_grid__1_AutoML_20200515_190243_model_23,0.5979646860872915,0.7969038786877211,0.5294394643204554,0.4353220215289181,0.5187445854025798,0.26909594488449445
DeepLearning_grid__1_AutoML_20200515_190243_model_25,0.5975693810942853,1.2117600757688078,0.5169614933704058,0.4837620872103631,0.5640407119010631,0.31814192468185803
DeepLearning_grid__2_AutoML_20200515_190243_model_30,0.5968699953374283,1.1691718478776612,0.5275076397680576,0.4598613391716839,0.5942583375922253,0.3531429717978753
XGBoost_grid__1_AutoML_20200515_190243_model_1,0.5960287052241076,0.8192143184424858,0.5141041085447824,0.4419813902572523,0.5313075303087103,0.28228769176274104
GBM_3_AutoML_20200515_190243,0.5953597275436355,0.7259183158901868,0.5262328350867427,0.4589490968801314,0.5066231958622888,0.25666706258571903
XGBoost_grid__1_AutoML_20200515_190243_model_2,0.5930993938656773,0.7277467346916964,0.521570782610445,0.464696223316913,0.5092566110855173,0.2593422959343059
DeepLearning_grid__3_AutoML_20200515_190243_model_15,0.5928865373309818,0.8473140963938365,0.5166022068546315,0.4629629629629629,0.5413932043606499,0.29310660172789244
DeepLearning_grid__2_AutoML_20200515_190243_model_21,0.5913864055626508,0.9450602925980418,0.5133117202361739,0.4942528735632184,0.5508669884760625,0.3034544389926864
DeepLearning_grid__3_AutoML_20200515_190243_model_24,0.5908897403150277,0.971427362299307,0.5324003460196267,0.4617770479839445,0.5437785167176776,0.2956950752436776
DeepLearning_grid__1_AutoML_20200515_190243_model_1,0.5901498104563239,1.0403180216110062,0.5075405526542073,0.4713555920452472,0.5504948700042342,0.3030446019009788
DeepLearning_grid__2_AutoML_20200515_190243_model_12,0.5900281781507836,1.1032249362344078,0.5337131189724786,0.4672505017332603,0.5907253833496464,0.34895647853358674
GBM_1_AutoML_20200515_190243,0.5875853960145148,0.7620959454756484,0.4891677602446844,0.4758255792738552,0.5199777237769025,0.27037683322420875
DeepLearning_grid__1_AutoML_20200515_190243_model_20,0.585811591558718,1.0098476510699341,0.5001205048141412,0.454661558109834,0.5643814902761766,0.318526466566358
XGBoost_grid__1_AutoML_20200515_190243_model_4,0.5841391473575382,0.9341197540636812,0.5034872394144037,0.4617770479839445,0.5527872415243213,0.3055737343920684
DeepLearning_grid__1_AutoML_20200515_190243_model_8,0.5822842546980478,1.0924745837789904,0.498414405942987,0.4604086845466156,0.5717363223952174,0.32688242234600795
DeepLearning_grid__3_AutoML_20200515_190243_model_8,0.5821727584179691,0.9001458584347308,0.5048524189093034,0.4617770479839445,0.5529219092032468,0.3057226376769635
DeepLearning_grid__1_AutoML_20200515_190243_model_26,0.5817065012467312,1.0400934492332037,0.4981245441306166,0.4722678343367999,0.5764533670708326,0.3322984844073001
DeepLearning_grid__1_AutoML_20200515_190243_model_12,0.5814328285592654,0.8978756806327518,0.5128236209638973,0.5,0.5478065240150957,0.3000919877535016
DeepLearning_grid__1_AutoML_20200515_190243_model_6,0.5810577956171826,0.9234280524259616,0.5014764278901116,0.467797847108192,0.5492122182544846,0.3016340606800117
DeepLearning_grid__2_AutoML_20200515_190243_model_16,0.5809868434389507,0.7729574254559879,0.5154191376437309,0.4865900383141762,0.5160285800723825,0.2662854954515193
DeepLearning_grid__2_AutoML_20200515_190243_model_9,0.5804496340894809,0.8681381482592578,0.4928613911843879,0.4548440065681445,0.5515696787369808,0.3042291105020162
DeepLearning_grid__2_AutoML_20200515_190243_model_14,0.580044193071013,1.5823424902114762,0.4879669983684655,0.4376026272577997,0.6049844677941404,0.3660062062721593
DeepLearning_grid__3_AutoML_20200515_190243_model_2,0.5795880719252368,1.1940804294597804,0.5075319625682566,0.4763729246487866,0.5828593586122854,0.3397250319219247
DeepLearning_grid__1_AutoML_20200515_190243_model_9,0.5795576638488515,0.9777327611860702,0.5025319338294104,0.467797847108192,0.5541383234887592,0.3070692815589328
DeepLearning_grid__2_AutoML_20200515_190243_model_11,0.5789799103975349,0.9659183281150402,0.4987766312688373,0.4641488779419814,0.5531902680006887,0.3060194726106738
DRF_1_AutoML_20200515_190243,0.5789393662956882,0.7185183580089622,0.4957902301436199,0.4520160554643313,0.507545800451318,0.2576027395557691
DeepLearning_grid__2_AutoML_20200515_190243_model_22,0.5784629730989884,1.2834093784295262,0.4951007121956241,0.4360518153621602,0.5772675518710811,0.33323782644323136
DeepLearning_grid__2_AutoML_20200515_190243_model_27,0.5784122929716801,3.387311450474438,0.4869771914252196,0.4821200510855683,0.6280534784685767,0.39445117181647904
DeepLearning_grid__2_AutoML_20200515_190243_model_15,0.5779257637495185,0.9980571703686529,0.508151110569969,0.4772851669403394,0.5388697940576189,0.29038065494770066
DeepLearning_grid__1_AutoML_20200515_190243_model_14,0.5775507308074358,1.3960310629883266,0.4889368864756463,0.4923371647509578,0.5895974160061553,0.3476251129611354
DeepLearning_1_AutoML_20200515_190243,0.5773885544000487,0.7531601092856592,0.475684505840811,0.4957124612297026,0.5158569699413323,0.2661084134370526
XGBoost_3_AutoML_20200515_190243,0.5773176022218167,0.7649629331167146,0.5043319821174479,0.4708082466703156,0.5214614043886384,0.27192199626697106
DeepLearning_grid__2_AutoML_20200515_190243_model_1,0.5760404630136431,0.8559686817658295,0.5100011387163117,0.4837620872103631,0.5531092579364997,0.3059298512150654
DeepLearning_grid__2_AutoML_20200515_190243_model_20,0.5741754343286911,1.330431484981532,0.49219967161816797,0.4809341361065499,0.6044333412944245,0.36533966406834223
DeepLearning_grid__2_AutoML_20200515_190243_model_24,0.5738409454884551,1.0704403298729326,0.4871418028604149,0.4312169312169312,0.5735682401368885,0.3289805260937273
DeepLearning_grid__3_AutoML_20200515_190243_model_21,0.5737091771574531,1.1251930308061369,0.5006341129183162,0.5,0.5552401039135803,0.3082915729939634
DeepLearning_grid__1_AutoML_20200515_190243_model_18,0.5719556447525797,1.0742003112856808,0.4768039690525678,0.4756431308155446,0.5570111362800962,0.3102614059400439
DeepLearning_grid__1_AutoML_20200515_190243_model_21,0.5703440167041699,0.9267494188676076,0.4986920415657921,0.4892355409596789,0.5509981543176079,0.3035989660614105
DeepLearning_grid__2_AutoML_20200515_190243_model_13,0.5699284396602404,1.417699390811179,0.4825595628373497,0.4794745484400657,0.5930605351104199,0.3517207983054576
DeepLearning_grid__1_AutoML_20200515_190243_model_10,0.5694216383871556,0.9504570630347045,0.4569574974213194,0.4601350118591497,0.5610878578688859,0.3148195842478951
DeepLearning_grid__2_AutoML_20200515_190243_model_5,0.5668470879198849,1.758899351322849,0.4703281915601317,0.4911512497719394,0.6231126357820008,0.3882693568711924
DeepLearning_grid__3_AutoML_20200515_190243_model_14,0.5665227351051106,1.8376191636579733,0.4980984154997563,0.5,0.6334368412634253,0.40124223186978575
DeepLearning_grid__2_AutoML_20200515_190243_model_26,0.5662085183157981,1.4269343459192338,0.4937136386118861,0.4435322021528918,0.5983222129787742,0.35798947054381763
XGBoost_grid__1_AutoML_20200515_190243_model_7,0.5653266841006305,0.8716566020348356,0.4942306292102844,0.4651523444626893,0.5450490064822004,0.29707841946723385
DeepLearning_grid__1_AutoML_20200515_190243_model_22,0.5645259380891565,1.2518254677034035,0.4552593722691699,0.4262908228425469,0.5898936319764185,0.3479744970463303
DeepLearning_grid__2_AutoML_20200515_190243_model_3,0.5601066309878571,1.2039133626408092,0.496451052485889,0.4904214559386973,0.5941642200381689,0.3530311203735657
DeepLearning_grid__3_AutoML_20200515_190243_model_18,0.5599444545804698,1.202506052727896,0.494116779442167,0.4565772669220945,0.5912597853320151,0.3495881337508605
DeepLearning_grid__1_AutoML_20200515_190243_model_19,0.5597721421476209,0.7202711627949416,0.4909560300588182,0.5,0.5064995087138561,0.2565417523273776
DeepLearning_grid__2_AutoML_20200515_190243_model_25,0.5590626203653024,4.698846834576032,0.4749663613974325,0.4725415070242657,0.6360963729136261,0.4046185956338709
DeepLearning_grid__1_AutoML_20200515_190243_model_16,0.5562346692614892,0.7386802582975851,0.4684159392193123,0.483032293377121,0.5134262831448803,0.26360654822396673
DeepLearning_grid__3_AutoML_20200515_190243_model_11,0.5550588903079325,0.8616346299292874,0.4814549213225197,0.5,0.5422740865355631,0.2940611849279793
DeepLearning_grid__3_AutoML_20200515_190243_model_20,0.5546230412130795,2.328300805499267,0.4805553770672423,0.4773763911694946,0.6387949054394765,0.4080589312154297
DeepLearning_grid__1_AutoML_20200515_190243_model_17,0.5524640677897383,1.0898963029969448,0.4597959516030793,0.4980842911877394,0.5705289052060641,0.32550323167563017
DeepLearning_grid__3_AutoML_20200515_190243_model_6,0.552372843560583,0.9562772306070808,0.4738725315902807,0.4570333880678708,0.5637917345026754,0.3178611198935353
DeepLearning_grid__2_AutoML_20200515_190243_model_17,0.5511869285815646,1.1725632081640858,0.4701016827725971,0.4942528735632184,0.5819164608499189,0.3386267674080952
DeepLearning_grid__1_AutoML_20200515_190243_model_28,0.5502848223154737,0.8882165964736976,0.4710893412044969,0.4672505017332603,0.5620979245358887,0.3159540767675536
DeepLearning_grid__1_AutoML_20200515_190243_model_3,0.5498793812970058,1.7112441687717328,0.49288117847490504,0.5,0.6138581812305588,0.3768218666636896
DeepLearning_grid__1_AutoML_20200515_190243_model_11,0.5478420401792049,0.8106282872630258,0.4896911908227835,0.4930669585841999,0.5322350286833949,0.28327412575761424
DeepLearning_grid__3_AutoML_20200515_190243_model_5,0.5465547649455695,1.8253044092830382,0.4679571055653212,0.4727239554825762,0.6021539341184103,0.3625893603742788
DeepLearning_grid__2_AutoML_20200515_190243_model_18,0.5454904822720915,0.9248055167655704,0.4895546976029654,0.4509213647144682,0.5644139777454552,0.3185631382744473
DeepLearning_grid__3_AutoML_20200515_190243_model_17,0.5443349753694582,1.8622965584611904,0.4889309227479698,0.4660645867542419,0.6612112266110363,0.4372002861964712
DeepLearning_grid__1_AutoML_20200515_190243_model_15,0.5434024610269821,0.9054455209905248,0.485392278394437,0.4815727057106367,0.5497035224208561,0.3021739625618966
DeepLearning_grid__2_AutoML_20200515_190243_model_8,0.541871921182266,1.5942321065019287,0.4876816677128061,0.4926108374384236,0.6514526317072986,0.4243905313583653
DeepLearning_grid__3_AutoML_20200515_190243_model_25,0.5410407670944068,1.7941486852804869,0.4579594976614496,0.4834884145228973,0.6347455278870829,0.4029018851726515
DeepLearning_grid__2_AutoML_20200515_190243_model_7,0.5396724036570779,1.724676226799058,0.4525202715352991,0.4572158365261814,0.6118222415789117,0.3743264552906443
DeepLearning_grid__2_AutoML_20200515_190243_model_29,0.5389932899511444,2.248817492452583,0.4671771949129357,0.5,0.6467300196426539,0.4182597183069874
DeepLearning_grid__3_AutoML_20200515_190243_model_13,0.5385675768817532,1.8125610394449352,0.4694967687136094,0.4713555920452472,0.6153379320157646,0.3786407705774378
DeepLearning_grid__2_AutoML_20200515_190243_model_2,0.5346043909262299,1.8263138767604905,0.4636370604982917,0.4911512497719394,0.6655936285095554,0.443014878312516
DeepLearning_grid__3_AutoML_20200515_190243_model_10,0.5339962293985282,1.161172155221761,0.4933177267280237,0.5,0.5840568935877116,0.34112245494732746
DeepLearning_grid__3_AutoML_20200515_190243_model_22,0.5329826268523588,2.3055012695109074,0.4507532738379154,0.5,0.6168724822441956,0.3805316593501154
DeepLearning_grid__2_AutoML_20200515_190243_model_10,0.5327393622412779,1.2681690951019031,0.4770036055731692,0.5,0.5964853937887479,0.3557948250033176
DeepLearning_grid__1_AutoML_20200515_190243_model_2,0.5315129031604128,1.5015485407389406,0.4330702004515878,0.4885057471264368,0.6168601537447829,0.3805164492780372
DeepLearning_grid__1_AutoML_20200515_190243_model_5,0.5312290944474852,1.7114741394480384,0.4438194274432207,0.4875935048348841,0.6135862537716699,0.3764880908175521
DeepLearning_grid__3_AutoML_20200515_190243_model_9,0.5301344036976221,1.1785773767829897,0.4481920103973877,0.4756431308155446,0.596574982411244,0.3559017096389761
XGBoost_grid__1_AutoML_20200515_190243_model_10,0.5269719637535729,0.6895587590148512,0.468692051981391,0.5,0.4976727557138547,0.2476781717798221
DeepLearning_grid__1_AutoML_20200515_190243_model_27,0.5267489711934157,1.6926495688733123,0.4682134817783682,0.4871373836891078,0.6265211984848725,0.39252881215092106
DeepLearning_grid__3_AutoML_20200515_190243_model_7,0.5247927182793083,1.5807857185128251,0.4501012933971531,0.4854041233351578,0.6126263637331313,0.3753110615408789
DeepLearning_grid__3_AutoML_20200515_190243_model_3,0.5221168075574206,1.8092925517845282,0.4439390880927778,0.4930669585841999,0.6295218158237507,0.3962977165980322
DeepLearning_grid__3_AutoML_20200515_190243_model_1,0.5036286971152871,1.2093520648257852,0.443339062565784,0.4825761722313446,0.6149957688547079,0.3782197957091933
