model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200515_220600,0.6675670932538205,0.3289039846717518,0.4753298779520106,0.2259384928738733
DeepLearning_grid__3_AutoML_20200515_220600_model_19,0.6890179529628999,0.3544714305458961,0.4770734984984635,0.22759912296956344
DeepLearning_grid__3_AutoML_20200515_220600_model_16,0.6939060411446124,0.3327804456017889,0.48020520994899296,0.2305970436621565
DeepLearning_grid__2_AutoML_20200515_220600_model_16,0.7090971850840896,0.3591092326561389,0.4881229847806121,0.23826404827113365
DeepLearning_grid__3_AutoML_20200515_220600_model_23,0.7178414490034273,0.3606421601161077,0.4908590182281175,0.2409425757758714
DeepLearning_grid__2_AutoML_20200515_220600_model_19,0.721994399493369,0.3604550864308462,0.4917221607621776,0.2417906833846248
DeepLearning_grid__3_AutoML_20200515_220600_model_11,0.7447598674444126,0.3669772223870269,0.4875387048498358,0.2376939887266553
DeepLearning_grid__1_AutoML_20200515_220600_model_16,0.7460119418650412,0.3838072714791354,0.5005042908335092,0.25050454514275394
DeepLearning_grid__1_AutoML_20200515_220600_model_19,0.7500079379988724,0.378957874922925,0.5046598147966153,0.25468152867055405
XGBoost_grid__1_AutoML_20200515_220600_model_9,0.7635212009391288,0.3728999583367246,0.5111232367291494,0.26124696312448203
XGBoost_grid__1_AutoML_20200515_220600_model_2,0.7643112031593141,0.3553255873222717,0.5073410739091846,0.25739496527532474
DeepLearning_grid__2_AutoML_20200515_220600_model_11,0.7660067106464231,0.3562171787596946,0.4932369572778127,0.2432826960246749
DeepLearning_grid__3_AutoML_20200515_220600_model_15,0.7662270522149959,0.3809341938388055,0.4917741451093808,0.2418418097980624
DeepLearning_grid__3_AutoML_20200515_220600_model_6,0.7698684299123779,0.4148747630505705,0.4997260947086288,0.2497261697327374
XGBoost_grid__1_AutoML_20200515_220600_model_8,0.7711579052921493,0.3568568962544552,0.516000055588772,0.2662560573676159
XGBoost_3_AutoML_20200515_220600,0.7722941067266348,0.3539365693888187,0.5055499665617582,0.2555807686905948
DeepLearning_grid__1_AutoML_20200515_220600_model_36,0.7743128572543806,0.3772519758863839,0.5051372737092237,0.25516366529038714
XGBoost_grid__1_AutoML_20200515_220600_model_5,0.7761716694298124,0.3816215569880909,0.5252394033577537,0.275876430839609
DeepLearning_grid__2_AutoML_20200515_220600_model_36,0.7768078138501582,0.35817623244379937,0.5013732583763811,0.25137514421494944
DeepLearning_grid__1_AutoML_20200515_220600_model_79,0.7802073714241698,0.3751329520577921,0.5067545890562255,0.25680021352954396
DeepLearning_grid__1_AutoML_20200515_220600_model_71,0.7866418554446513,0.35301290398907104,0.5015424106996761,0.2515447897304424
GBM_grid__1_AutoML_20200515_220600_model_5,0.7887396379977042,0.3778835304793752,0.5140016131025574,0.2641976582720311
DeepLearning_grid__2_AutoML_20200515_220600_model_15,0.7899531928892906,0.3678635418447084,0.4981547225368063,0.24815812758572245
XGBoost_grid__1_AutoML_20200515_220600_model_6,0.7964062018085037,0.3898277471443117,0.5308497486151699,0.2818014556047891
GBM_grid__1_AutoML_20200515_220600_model_7,0.8009346139552206,0.35566444763550004,0.5192070229685016,0.26957593269981417
DeepLearning_grid__1_AutoML_20200515_220600_model_48,0.8034950390138068,0.38849300752662586,0.5129473186193211,0.26311495167875115
DeepLearning_grid__2_AutoML_20200515_220600_model_23,0.8060227115835735,0.358561325059902,0.4992602088571599,0.2492607561480949
DeepLearning_grid__1_AutoML_20200515_220600_model_6,0.8072549408146872,0.3858716743121975,0.5102501866956853,0.2603552530229817
DeepLearning_grid__1_AutoML_20200515_220600_model_23,0.8088994157445245,0.3785355940514122,0.5133018118243006,0.2634787500221097
GBM_grid__1_AutoML_20200515_220600_model_1,0.8103674910634004,0.382471392437748,0.5239764502309208,0.27455132039659663
GBM_grid__1_AutoML_20200515_220600_model_4,0.8109936823292253,0.3734160246690833,0.5260144262097585,0.27669117658078146
DeepLearning_grid__2_AutoML_20200515_220600_model_6,0.8116824350470612,0.3695072966888174,0.498015665805891,0.2480196033880849
XGBoost_2_AutoML_20200515_220600,0.8145513571121751,0.39026562161794304,0.5342122967425176,0.2853827779909157
XGBoost_1_AutoML_20200515_220600,0.8150578400506271,0.3783361799012673,0.5231643700859308,0.27370095812740874
XGBoost_grid__1_AutoML_20200515_220600_model_3,0.8186213068048114,0.3830014157120933,0.5226899538644847,0.2732047878708571
DeepLearning_grid__1_AutoML_20200515_220600_model_70,0.819267079545127,0.3679593503573552,0.5123707307471387,0.26252376572635683
GBM_5_AutoML_20200515_220600,0.8199936977648268,0.3841429717992656,0.5384180172334091,0.28989396128155565
GBM_grid__1_AutoML_20200515_220600_model_6,0.8261648457877123,0.3850398575580711,0.521759403456827,0.27223287509562405
DeepLearning_grid__1_AutoML_20200515_220600_model_69,0.8312009201013675,0.3858018680161371,0.5157504460679022,0.2659985226192401
DeepLearning_grid__1_AutoML_20200515_220600_model_11,0.837317141112253,0.3718183883689606,0.5025931970024206,0.2525999216731139
XGBoost_grid__1_AutoML_20200515_220600_model_1,0.8374940174263154,0.3600185070168905,0.510672671124898,0.26078657703383823
GBM_grid__1_AutoML_20200515_220600_model_3,0.8386005689021415,0.4023907696357682,0.5474897147098673,0.2997449877130918
GBM_2_AutoML_20200515_220600,0.8408891896850145,0.3923620946357578,0.5218452678304983,0.2723224835570845
XGBoost_grid__1_AutoML_20200515_220600_model_7,0.8432555756405373,0.3533186471903982,0.5124181832430811,0.2625723945181398
DeepLearning_grid__2_AutoML_20200515_220600_model_42,0.8464873751422148,0.3708844832661869,0.5185023567957816,0.26884469400278005
XRT_1_AutoML_20200515_220600,0.8483035911580161,0.3851047059525344,0.5369626738008745,0.2883289130553843
DeepLearning_grid__1_AutoML_20200515_220600_model_42,0.8496413618632833,0.35934737717459064,0.5017535363645691,0.2517566112543509
GBM_3_AutoML_20200515_220600,0.8504708500836248,0.3868021067468269,0.5254030655196478,0.27604838125744324
StackedEnsemble_AllModels_AutoML_20200515_220600,0.852486429242619,0.34820187450665385,0.5538861304557462,0.30678984551123994
GBM_4_AutoML_20200515_220600,0.8575808091690229,0.37476374445651933,0.5200957864929169,0.27049962712768577
DeepLearning_grid__2_AutoML_20200515_220600_model_24,0.8642031111425333,0.39881803651833214,0.5157801847513926,0.26602919898218075
GBM_1_AutoML_20200515_220600,0.8643860017139828,0.3562552750355275,0.5151376948569862,0.26536684466256943
DeepLearning_grid__1_AutoML_20200515_220600_model_87,0.8658741959377516,0.4338503860437548,0.5351658399496823,0.2864024762490489
DeepLearning_grid__1_AutoML_20200515_220600_model_4,0.8716671726986879,0.3677150935112469,0.5130311946549009,0.26320100668903484
DeepLearning_grid__1_AutoML_20200515_220600_model_21,0.8722538970813877,0.38784138118158656,0.5115699642398762,0.26170382831238825
DeepLearning_grid__1_AutoML_20200515_220600_model_30,0.8726452699593915,0.3808473931089297,0.5163385006879607,0.2666054472926912
DeepLearning_grid__1_AutoML_20200515_220600_model_44,0.8735079434509339,0.3754669982330277,0.5229923288040014,0.27352097598783265
GBM_grid__1_AutoML_20200515_220600_model_2,0.8746432187318809,0.380650294070881,0.5292914601656847,0.28014944980432266
DeepLearning_grid__1_AutoML_20200515_220600_model_54,0.8769786894065459,0.3882778716607,0.5181949351720205,0.2685259908379346
DeepLearning_grid__1_AutoML_20200515_220600_model_13,0.8846228785152855,0.39250995636622427,0.5265384991005226,0.27724279103503113
DeepLearning_grid__1_AutoML_20200515_220600_model_89,0.8846909333419538,0.4191185402054526,0.551080053420445,0.3036892252778805
DeepLearning_grid__3_AutoML_20200515_220600_model_9,0.8863496746732142,0.4035504452256831,0.5253480647055692,0.27599058908988683
XGBoost_grid__1_AutoML_20200515_220600_model_4,0.8877528343695208,0.38897681976043175,0.5257291410543623,0.2763911297537576
DeepLearning_grid__1_AutoML_20200515_220600_model_62,0.8880269775737487,0.38761342326428905,0.5197343853346655,0.2701238312992026
DeepLearning_grid__3_AutoML_20200515_220600_model_24,0.8925903375974469,0.4130908271436923,0.5333984910322686,0.2845139502355011
DeepLearning_grid__2_AutoML_20200515_220600_model_28,0.8972606351861188,0.4173731573368497,0.5428185460911709,0.2946519739805326
DeepLearning_grid__1_AutoML_20200515_220600_model_38,0.8980135224776411,0.4052411858364214,0.5337823082262118,0.2849235525753025
DeepLearning_grid__1_AutoML_20200515_220600_model_15,0.8983699080861149,0.3817200470373359,0.5103999022199002,0.2605080601860837
DeepLearning_grid__1_AutoML_20200515_220600_model_50,0.8991405506363424,0.3717996379037323,0.5178049625298223,0.26812197922051073
DeepLearning_grid__1_AutoML_20200515_220600_model_81,0.9056518638900318,0.4029429385492911,0.5281178934363446,0.2789085093676422
DeepLearning_grid__1_AutoML_20200515_220600_model_24,0.9072686565036514,0.3565953679165944,0.5116877856688561,0.26182439000269714
DeepLearning_grid__1_AutoML_20200515_220600_model_67,0.9121395835613058,0.3799613249137639,0.5248266313641733,0.2754429929890659
DeepLearning_grid__1_AutoML_20200515_220600_model_59,0.9151641744079873,0.3849350318726879,0.5273405026799459,0.27808800576673803
DeepLearning_grid__1_AutoML_20200515_220600_model_18,0.9190866666145556,0.4145474050129232,0.5439601592514641,0.2958926548528782
DeepLearning_grid__1_AutoML_20200515_220600_model_28,0.9268331975633256,0.4040449798283096,0.5589207557929317,0.3123924112561419
DeepLearning_grid__2_AutoML_20200515_220600_model_21,0.9301086341229954,0.3720800412587729,0.5178961173758804,0.26821638839301165
DeepLearning_grid__1_AutoML_20200515_220600_model_12,0.9410911422827194,0.4147246941386416,0.5299827521560369,0.2808817175828872
DeepLearning_grid__1_AutoML_20200515_220600_model_26,0.9429202909419222,0.3844209923697025,0.5385436974324826,0.2900293140442495
DeepLearning_grid__2_AutoML_20200515_220600_model_9,0.9480727358684397,0.3669635885893579,0.5250349572702333,0.27566170635575576
DRF_1_AutoML_20200515_220600,0.9503766632630892,0.3869148953385149,0.5341826098019556,0.28535106061482834
DeepLearning_1_AutoML_20200515_220600,0.9608748745604764,0.44266678502771695,0.5595916166217972,0.3131427773933965
DeepLearning_grid__2_AutoML_20200515_220600_model_30,0.9612761605341328,0.41538002585027184,0.5242034810764906,0.27478928957271065
DeepLearning_grid__1_AutoML_20200515_220600_model_8,0.9666140012473315,0.38172118710862135,0.5361535076039133,0.2874605837159796
DeepLearning_grid__3_AutoML_20200515_220600_model_18,0.9700716517076536,0.3591734982251795,0.5142428728157149,0.26444573224175955
DeepLearning_grid__1_AutoML_20200515_220600_model_72,0.9763796698047904,0.4012396254228066,0.5368106695406006,0.28816569493262795
DeepLearning_grid__1_AutoML_20200515_220600_model_9,0.9825482396331084,0.4366788147236091,0.5613252326850839,0.3150860168489637
DeepLearning_grid__2_AutoML_20200515_220600_model_18,0.9905246137694724,0.3856320476902817,0.5223463984409618,0.272845759964244
DeepLearning_grid__1_AutoML_20200515_220600_model_45,1.0012169692144344,0.3934115794164111,0.5412372415332017,0.2929377516224693
DeepLearning_grid__1_AutoML_20200515_220600_model_51,1.0037852087720067,0.4498768494738431,0.5562504576133129,0.3094145715950202
DeepLearning_grid__2_AutoML_20200515_220600_model_8,1.0236620059660186,0.4387301236280329,0.5462252110382694,0.2983619811738019
DeepLearning_grid__1_AutoML_20200515_220600_model_20,1.025464417478511,0.3727331053477858,0.5277967502511964,0.2785694095757238
DeepLearning_grid__1_AutoML_20200515_220600_model_1,1.0410795574138625,0.4411967077344563,0.5767135359033642,0.3325985024941609
DeepLearning_grid__2_AutoML_20200515_220600_model_43,1.0426033310785403,0.4120624779873449,0.558796233190146,0.3122532302274961
DeepLearning_grid__3_AutoML_20200515_220600_model_10,1.0433034292845982,0.42431676198652335,0.5571622852886772,0.3104298121481013
DeepLearning_grid__1_AutoML_20200515_220600_model_88,1.045545431586712,0.4041642617427916,0.5581848719598802,0.3115703512848678
