model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200514_162916,0.7650941312215923,0.297451010805924,0.4999757309919042,0.2499757315808889
StackedEnsemble_BestOfFamily_AutoML_20200514_162916,0.7733311741282991,0.30535584751841344,0.5052362463355698,0.2552636646112566
GBM_grid__1_AutoML_20200514_162916_model_2,0.8332019263706807,0.3089582029926782,0.5247515478401736,0.275364186960658
GBM_grid__1_AutoML_20200514_162916_model_6,0.844720331059004,0.3279212941171352,0.531393929131853,0.2823795079181888
XGBoost_grid__1_AutoML_20200514_162916_model_4,0.8486700975519859,0.31761791275481194,0.5269879041144107,0.2777162510828993
XGBoost_grid__1_AutoML_20200514_162916_model_9,0.8538694030186196,0.32237585186135365,0.5347493936751243,0.28595691403591306
XGBoost_grid__1_AutoML_20200514_162916_model_27,0.8596900910106701,0.3171040669865071,0.5371694088204048,0.2885509737724632
XGBoost_grid__1_AutoML_20200514_162916_model_30,0.8615427799577361,0.3351279080387658,0.5346956697165011,0.2858994592135776
XGBoost_grid__1_AutoML_20200514_162916_model_26,0.8632981753699159,0.32058279470210244,0.5235728696628749,0.2741285498470177
XGBoost_grid__1_AutoML_20200514_162916_model_19,0.8638825023117827,0.3221575922170778,0.5223580608288838,0.27285794371291183
XGBoost_grid__1_AutoML_20200514_162916_model_22,0.8702302180834376,0.3183314250596325,0.5185701142158535,0.2689149633578434
XGBoost_grid__1_AutoML_20200514_162916_model_1,0.8707342795534408,0.3201359922702348,0.5349463171231058,0.2861675622035745
XGBoost_grid__1_AutoML_20200514_162916_model_23,0.8739789899626473,0.3229319624852599,0.5430781386174165,0.2949338646441579
XGBoost_grid__1_AutoML_20200514_162916_model_7,0.8758804736828999,0.3209222419191727,0.5405333441647344,0.2921762961539112
XGBoost_grid__1_AutoML_20200514_162916_model_13,0.8795269609018211,0.3353139902887094,0.5459949727749754,0.2981105102955461
XGBoost_3_AutoML_20200514_162916,0.8803093802661193,0.3311201185553164,0.5475343926272149,0.29979391110965314
GBM_4_AutoML_20200514_162916,0.891687325540228,0.32947087040116857,0.5545422457146223,0.3075171022822165
GLM_1_AutoML_20200514_162916,0.8918908347461812,0.34452925088198644,0.5409441021441104,0.29262052164449776
GBM_3_AutoML_20200514_162916,0.8968866141378139,0.32979335630171835,0.5566590438557416,0.30986929110638844
GBM_2_AutoML_20200514_162916,0.898702972663361,0.3312750866504507,0.5574802917846527,0.31078427572830153
XGBoost_grid__1_AutoML_20200514_162916_model_16,0.9043422334628336,0.3472892489758092,0.5584682249152702,0.31188675824001283
GBM_grid__1_AutoML_20200514_162916_model_1,0.9079284029158716,0.33754847082300665,0.5595274739413002,0.3130709940951324
XGBoost_grid__1_AutoML_20200514_162916_model_2,0.9102666196951484,0.3515111796932629,0.5617986222353787,0.3156176919455697
GBM_1_AutoML_20200514_162916,0.9127214759803838,0.318112917689047,0.5565009366659038,0.3096932925100284
GBM_grid__1_AutoML_20200514_162916_model_5,0.9207727060343471,0.3660354952137483,0.5583046816089078,0.31170411750642385
XGBoost_grid__1_AutoML_20200514_162916_model_5,0.9415439496954808,0.3546642023931103,0.5749760013399814,0.3305974021169143
XGBoost_grid__1_AutoML_20200514_162916_model_3,0.9505935271004788,0.37435699586400223,0.5653326957239552,0.3196010568545141
XGBoost_1_AutoML_20200514_162916,0.9538245645464976,0.3755765001241944,0.567835411296315,0.3224370543220552
XGBoost_grid__1_AutoML_20200514_162916_model_12,0.9632853921585997,0.35783727842460106,0.5830531793254777,0.3399510099215477
XGBoost_grid__1_AutoML_20200514_162916_model_14,0.9650251382184671,0.3763966904952149,0.5802560224503861,0.336697051589943
GBM_grid__1_AutoML_20200514_162916_model_7,0.9718403134606209,0.3795128644363581,0.5824823087623843,0.3392856400211576
XGBoost_grid__1_AutoML_20200514_162916_model_8,0.9874668631224034,0.39266710146904105,0.5800523029414958,0.33646067414773284
GBM_grid__1_AutoML_20200514_162916_model_4,1.0022663068110216,0.3922976869680522,0.5860082382418919,0.3434056552873659
GBM_grid__1_AutoML_20200514_162916_model_8,1.0034678264884296,0.34105611038343386,0.594912230313158,0.3539205617761759
XGBoost_grid__1_AutoML_20200514_162916_model_20,1.0739168904916403,0.4230665337686662,0.6136223216838064,0.3765323536686248
DeepLearning_grid__3_AutoML_20200514_162916_model_1,1.0753671874288009,0.3998467909301232,0.5713703056968966,0.32646402623216514
DeepLearning_grid__2_AutoML_20200514_162916_model_4,1.0804865510334232,0.38558244707142375,0.5574484808456847,0.3107488087971616
DeepLearning_grid__2_AutoML_20200514_162916_model_3,1.0899203040729284,0.3941389994046057,0.5614363924860735,0.31521082280777635
XGBoost_grid__1_AutoML_20200514_162916_model_11,1.1051594495323809,0.4056690622250684,0.6335972610377318,0.4014454891945157
DeepLearning_grid__2_AutoML_20200514_162916_model_1,1.1172312855401103,0.3813261607121848,0.5646601483235444,0.3188410831047671
DeepLearning_grid__3_AutoML_20200514_162916_model_3,1.1207452405628917,0.4251589810006811,0.5943893552691693,0.3532987056572987
XGBoost_2_AutoML_20200514_162916,1.1226525536010667,0.4576898261023485,0.6177235792600756,0.38158242037387896
XGBoost_grid__1_AutoML_20200514_162916_model_28,1.1288122745986764,0.4566502353889421,0.6264069203654069,0.3923856298816733
XGBoost_grid__1_AutoML_20200514_162916_model_24,1.1298128973018828,0.465256018153885,0.6231923421321297,0.3883686952921295
XGBoost_grid__1_AutoML_20200514_162916_model_29,1.1415778794712292,0.4632124850230522,0.635939963687681,0.404419637415089
DeepLearning_grid__3_AutoML_20200514_162916_model_4,1.142894084292853,0.430772499609604,0.5914310949664158,0.34979074009317346
XGBoost_grid__1_AutoML_20200514_162916_model_6,1.1522438794114056,0.4666080870312045,0.6374975124076702,0.4064030783259675
XGBoost_grid__1_AutoML_20200514_162916_model_15,1.1982344263935232,0.4946958726936492,0.6508769000657391,0.4236407390391861
XRT_1_AutoML_20200514_162916,1.1995026498979515,0.3710530275709754,0.6705720254087629,0.4496668412608105
DRF_1_AutoML_20200514_162916,1.2006572243382905,0.3695284180377556,0.6709623775901444,0.4501905121414195
DeepLearning_1_AutoML_20200514_162916,1.2026320045633296,0.4510778825680714,0.6002835308721163,0.3603403174362949
XGBoost_grid__1_AutoML_20200514_162916_model_17,1.2454246132353757,0.5278024251521665,0.6642367028489295,0.4412103974116171
XGBoost_grid__1_AutoML_20200514_162916_model_25,1.3112120374067555,0.560658515187072,0.6800623615870783,0.46248481564739397
XGBoost_grid__1_AutoML_20200514_162916_model_21,1.3116208605387527,0.5572577636201038,0.6838119039769751,0.4675987200206158
XGBoost_grid__1_AutoML_20200514_162916_model_18,1.3129539249321387,0.563554388252264,0.6816629597326573,0.4646643906714864
GBM_grid__1_AutoML_20200514_162916_model_9,1.3223034742608513,0.4162767104444066,0.7062896736325264,0.4988451030799406
DeepLearning_grid__2_AutoML_20200514_162916_model_2,1.4393879457707035,0.4312009351771274,0.5946027509504045,0.3535524314377887
XGBoost_grid__1_AutoML_20200514_162916_model_10,1.4553535324877842,0.6303127717782975,0.7265431657879589,0.5278649717531895
DeepLearning_grid__3_AutoML_20200514_162916_model_2,1.4566531392885844,0.4476190265045456,0.6055894538559217,0.3667385866215135
GBM_5_AutoML_20200514_162916,1.4706771324576002,0.6402770549324244,0.7358734975658512,0.5415098044197988
GBM_grid__1_AutoML_20200514_162916_model_3,1.4851144999160346,0.6449963598100015,0.7390460945756603,0.5461891299075358
GBM_grid__1_AutoML_20200514_162916_model_10,1.828871487080445,0.639415930223748,0.8366755820859757,0.7000260296589063
DeepLearning_grid__1_AutoML_20200514_162916_model_1,1.9409703650969763,0.3974902352367167,0.5916470856981124,0.3500462740150696
DeepLearning_grid__1_AutoML_20200514_162916_model_4,2.212709743937855,0.4113376306158301,0.5805854540775035,0.33707946948638096
DeepLearning_grid__1_AutoML_20200514_162916_model_3,3.4922850584368508,0.4257700112605395,0.6155385957787457,0.3788877628932701
DeepLearning_grid__1_AutoML_20200514_162916_model_2,4.195295676927798,0.4902207826149854,0.6499815428163533,0.42247600600192703
