model_id,logloss,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200514_235219_model_2,0.2656766912866868,0.09566666666666668,0.2789569673015898,0.07781698960610026
XGBoost_grid__1_AutoML_20200514_235219_model_1,0.2793784169490536,0.10025396825396826,0.2843297601674556,0.0808434125168828
XGBoost_grid__1_AutoML_20200514_235219_model_3,0.32121516037041,0.11476190476190475,0.3135639318899339,0.09832233938227516
XGBoost_3_AutoML_20200514_235219,0.33683286360055825,0.12260317460317458,0.3256519568960151,0.10604919703020407
GBM_grid__1_AutoML_20200514_235219_model_1,0.3376117407258859,0.12126984126984128,0.32581418872669377,0.1061548855756336
XGBoost_1_AutoML_20200514_235219,0.37343743767596377,0.12082539682539685,0.33894115859926466,0.11488110899261188
DeepLearning_grid__3_AutoML_20200514_235219_model_1,0.3770742636041753,0.1328095238095238,0.3361839375593236,0.11301963987289118
DeepLearning_grid__2_AutoML_20200514_235219_model_1,0.3976488658752111,0.13685714285714284,0.33742782905720725,0.11385753982225988
XGBoost_2_AutoML_20200514_235219,0.41200734111907183,0.12241269841269843,0.3570770845828768,0.12750404433420695
StackedEnsemble_AllModels_AutoML_20200514_235219,0.4199944925624695,0.09628571428571428,0.35608897783927396,0.12679936013861898
GLM_1_AutoML_20200514_235219,0.43354639380790944,0.14774603174603174,0.3653185625792256,0.1334576521649516
DeepLearning_1_AutoML_20200514_235219,0.4762971696477841,0.15934920634920635,0.3646952506100959,0.13300262581756064
StackedEnsemble_BestOfFamily_AutoML_20200514_235219,0.597819595515234,0.24546031746031746,0.434790285825197,0.1890425926479565
DRF_1_AutoML_20200514_235219,0.6459402430041529,0.13031746031746033,0.3551155817994031,0.12610707643672855
XRT_1_AutoML_20200514_235219,0.6614456786694047,0.1320952380952381,0.35513891869575925,0.1261236515723931
GBM_1_AutoML_20200514_235219,0.6671255665842746,0.14639682539682536,0.4709373025317423,0.22178194291587372
DeepLearning_grid__1_AutoML_20200514_235219_model_1,0.6700704422561049,0.16606349206349208,0.3698295894609829,0.13677392524087914
GBM_2_AutoML_20200514_235219,0.7164956515707833,0.14014285714285715,0.4930639123500023,0.2431120216618908
DeepLearning_grid__3_AutoML_20200514_235219_model_2,0.7244766446679876,0.19319047619047616,0.3916181927459203,0.15336480888958084
GBM_grid__1_AutoML_20200514_235219_model_2,0.7290386227427078,0.13896825396825396,0.4982618601960905,0.24826488132606844
GBM_3_AutoML_20200514_235219,0.7656330354867609,0.1381904761904762,0.5145872280403968,0.2648000152622993
DeepLearning_grid__2_AutoML_20200514_235219_model_2,0.7817337528558984,0.2029206349206349,0.4091985134791986,0.16744342343358587
GBM_4_AutoML_20200514_235219,0.8756396207318015,0.1355873015873016,0.5606726943225152,0.31435387015886856
GBM_5_AutoML_20200514_235219,1.0189789308367272,0.14971428571428572,0.6186175902542633,0.3826877229719916
XGBoost_grid__1_AutoML_20200514_235219_model_4,1.2811499207114188,0.1738730158730159,0.7003640780298787,0.4905098417946419
GBM_grid__1_AutoML_20200514_235219_model_3,1.736648204355127,0.1921904761904762,0.8181339866303278,0.6693432200796334
DeepLearning_grid__1_AutoML_20200514_235219_model_2,1.7649489843002184,0.19325396825396826,0.4156869314918731,0.17279562501312926
