model_id,logloss,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200515_030202_model_2,2.8048332924122166,0.8017545603234224,0.8249854521504225,0.6806009962598372
XGBoost_2_AutoML_20200515_030202,2.8214182378059665,0.815652718497646,0.8339613619235373,0.6954915531813612
XGBoost_3_AutoML_20200515_030202,2.8376985548652853,0.8152150169079849,0.8354313100775869,0.6979454738579529
GBM_grid__1_AutoML_20200515_030202_model_3,2.8662614447908865,0.8077512726197648,0.8220830964008178,0.6758206173879563
XGBoost_1_AutoML_20200515_030202,2.9057118777190905,0.8164391285119023,0.8363330371252429,0.699452948987133
XGBoost_grid__1_AutoML_20200515_030202_model_3,2.928552784064427,0.8055798668393989,0.8204170201775577,0.6730840869970229
GBM_5_AutoML_20200515_030202,3.0256104241943484,0.8322044728572174,0.8643541588708049,0.7471081119572566
GBM_grid__1_AutoML_20200515_030202_model_1,3.0828587939537515,0.8429939545260909,0.8486916936038803,0.7202775907922226
DeepLearning_grid__2_AutoML_20200515_030202_model_1,3.093287908031045,0.8963913793862551,0.8654867309325132,0.7490672814202484
DeepLearning_grid__1_AutoML_20200515_030202_model_1,3.1090576411567405,0.8820247345035156,0.854791668119332,0.7306687958862302
GBM_2_AutoML_20200515_030202,3.1667530286982264,0.8419883787809763,0.8484239553374897,0.7198232079905107
DeepLearning_grid__3_AutoML_20200515_030202_model_1,3.2192828388312416,0.9090178265913238,0.8819904050090736,0.7779070745280695
DeepLearning_grid__1_AutoML_20200515_030202_model_3,3.3034564138413787,0.8919442248931935,0.8572260712941243,0.7348365373063591
GBM_grid__1_AutoML_20200515_030202_model_4,3.3072049830030843,0.8443432930792691,0.8595423588004807,0.7388130665722943
GBM_3_AutoML_20200515_030202,3.320216059669169,0.8464209460318766,0.8499466882853084,0.7224093729271631
DeepLearning_1_AutoML_20200515_030202,3.3511411092969334,0.9213024225604214,0.8700248957604897,0.7569433192430509
XGBoost_grid__1_AutoML_20200515_030202_model_4,3.3521399911240595,0.8352550590162616,0.8394066567821187,0.7046035354501335
DeepLearning_grid__2_AutoML_20200515_030202_model_3,3.460655399839576,0.905521631471922,0.9005551147236485,0.8109995146549236
DeepLearning_grid__2_AutoML_20200515_030202_model_2,3.5074574925975566,0.9106864069773378,0.866882135134614,0.7514846362155471
GBM_4_AutoML_20200515_030202,3.5370213188044035,0.8593722929409899,0.8592875679482909,0.7383751244304887
GBM_grid__1_AutoML_20200515_030202_model_5,3.5674024919395286,0.8674811325810954,0.8925762636468241,0.7966923864257247
DeepLearning_grid__1_AutoML_20200515_030202_model_2,3.6516601912471534,0.9008283039153896,0.8723575997213071,0.7610077817915203
DeepLearning_grid__3_AutoML_20200515_030202_model_2,3.7421011240058952,0.9244312641509572,0.8791042855330037,0.7728243448424928
DeepLearning_grid__1_AutoML_20200515_030202_model_4,3.784445916604043,0.9146734576915972,0.8659417247383652,0.7498550706428546
DeepLearning_grid__3_AutoML_20200515_030202_model_3,3.797591746809613,0.9438820463662564,0.909518915544361,0.8272246577329905
XGBoost_grid__1_AutoML_20200515_030202_model_1,3.8467150314973657,0.8595974655293352,0.8471084548535814,0.7175927342844222
GLM_1_AutoML_20200515_030202,4.127811004076757,0.99,0.9767561883698572,0.954052651518812
GBM_1_AutoML_20200515_030202,4.339113745823108,0.8607935785672002,0.8587846507754499,0.7375110764075113
GBM_grid__1_AutoML_20200515_030202_model_2,9.364812466197288,0.8827609041174003,0.8723637930179035,0.7610185873685834
DRF_1_AutoML_20200515_030202,11.386779060212765,0.8395791662203976,0.8472949801532795,0.7179087833929463
XRT_1_AutoML_20200515_030202,12.092033377025905,0.8451332119260107,0.8481366850068721,0.7193358364544462
