model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200515_031716,0.8134777144050441,0.5262494817843183,0.8288798358007221,0.2865782789601289,0.4200610781088097,0.17645130934193556
StackedEnsemble_BestOfFamily_AutoML_20200515_031716,0.8107696685468967,0.5292655445361849,0.8261363492900815,0.29098729883864244,0.4214634573188856,0.17763144585518809
GBM_5_AutoML_20200515_031716,0.8054873456641761,0.5327265238356079,0.8217103421105217,0.30420823150395393,0.4236578855995351,0.17948600403066878
XGBoost_grid__1_AutoML_20200515_031716_model_12,0.8049735547101831,0.5333951388356781,0.8212327983678737,0.3034656405477281,0.4240565659157233,0.17982397109623616
GBM_grid__1_AutoML_20200515_031716_model_37,0.8044912339861514,0.5340604618789764,0.8208901252095226,0.29892793651490396,0.4242287280346037,0.17997001368985774
GBM_grid__1_AutoML_20200515_031716_model_35,0.8040202993568495,0.534976269579875,0.8200171959412291,0.30608383036002274,0.4245100965727811,0.180208822092232
GBM_grid__1_AutoML_20200515_031716_model_3,0.8038372269396852,0.5352728983826752,0.8199701870812777,0.30189600601131383,0.4246574934499183,0.18033398674316745
GBM_grid__1_AutoML_20200515_031716_model_28,0.8038245032596895,0.5352657221570999,0.8197311377524168,0.3036056340099432,0.4246324817582024,0.1803127445641301
GBM_grid__1_AutoML_20200515_031716_model_21,0.8037424650402624,0.5356976757587866,0.8200536642815665,0.3020395971166586,0.4248293554830019,0.1804799812801028
GBM_3_AutoML_20200515_031716,0.8036038645632041,0.5354154750823436,0.820223314560134,0.30783374515911377,0.4247637167657729,0.1804242150806737
XGBoost_grid__1_AutoML_20200515_031716_model_106,0.8035167207929268,0.5350069463182505,0.8193976814692092,0.3036270807248101,0.42480282992127066,0.18045744430912006
XGBoost_grid__1_AutoML_20200515_031716_model_65,0.8032886482041414,0.5358456218016217,0.8190840047940797,0.301915813920114,0.4250703546695709,0.1806848064189148
GBM_2_AutoML_20200515_031716,0.8031223359287714,0.5363649857780901,0.8191080769671082,0.3012476193481699,0.4250955548286806,0.1807062307351038
