model_id,logloss,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200515_033421_model_12,0.6900274522708273,0.4543253559054013,0.4783922260478861,0.2288591219430517
GBM_3_AutoML_20200515_033421,0.6907204235118338,0.4611588574754654,0.4791585041264362,0.2295928720766839
GBM_5_AutoML_20200515_033421,0.6911882590187703,0.4586373778267736,0.4776498804283753,0.22814940827324126
GBM_2_AutoML_20200515_033421,0.692852950443425,0.4585148570956333,0.4810886254395966,0.23144626552736045
GBM_grid__1_AutoML_20200515_033421_model_3,0.6941949715374757,0.4574534513679667,0.4815254420893676,0.2318667513793609
GBM_4_AutoML_20200515_033421,0.6943955246874185,0.4631037237246166,0.4780584793110464,0.22853990964119014
XGBoost_grid__1_AutoML_20200515_033421_model_5,0.6945515906528832,0.4554455294512286,0.4801548331394997,0.2305486637872208
GBM_grid__1_AutoML_20200515_033421_model_12,0.6945600575031524,0.4627209316930941,0.4806309410456911,0.2310061014904666
XGBoost_grid__1_AutoML_20200515_033421_model_17,0.6949864613692613,0.4550496805320392,0.4792947053529344,0.2297234145793562
GBM_grid__1_AutoML_20200515_033421_model_9,0.695789804702536,0.4625749819574673,0.4816503660475899,0.2319870751137773
XGBoost_grid__1_AutoML_20200515_033421_model_14,0.6968133631325346,0.4564899999935778,0.4803244045177205,0.2307115335753028
GBM_grid__1_AutoML_20200515_033421_model_17,0.6970192871882174,0.4686270099106432,0.4751236222114463,0.2257424563833252
GBM_grid__1_AutoML_20200515_033421_model_21,0.6970919292026838,0.4638399103128169,0.4842588126628431,0.23450659764162665
GBM_grid__1_AutoML_20200515_033421_model_2,0.6976941622454257,0.4630183362948783,0.4823323769836976,0.2326445218867437
GBM_grid__1_AutoML_20200515_033421_model_6,0.6987570952664436,0.4691212351301308,0.4774832142520871,0.2279902198925045
GBM_1_AutoML_20200515_033421,0.6990516153103273,0.4624005438807427,0.4840162933207623,0.23427177219997025
XGBoost_grid__1_AutoML_20200515_033421_model_23,0.6991413375529638,0.4643601918202715,0.4835820963924228,0.2338516439512905
GBM_grid__1_AutoML_20200515_033421_model_11,0.7000761538244139,0.4667365939174349,0.4841866181488345,0.2344366811944053
GBM_grid__1_AutoML_20200515_033421_model_5,0.7002510135473661,0.4662044774320746,0.4754951715246013,0.22609565814321
GBM_grid__1_AutoML_20200515_033421_model_19,0.7003095102027557,0.4664232587357383,0.4803511410819695,0.23073721873875014
GBM_grid__1_AutoML_20200515_033421_model_18,0.700368427453682,0.4715566827509282,0.4820795934844416,0.2324007344541245
XGBoost_grid__1_AutoML_20200515_033421_model_20,0.7004337116581788,0.4616959178382062,0.4845696719607489,0.23480776698414774
GBM_grid__1_AutoML_20200515_033421_model_20,0.7007798167370233,0.4675054849116854,0.4820107744514963,0.23233438668733125
XGBoost_grid__1_AutoML_20200515_033421_model_2,0.7009024475672387,0.465298046880545,0.4850667840937204,0.235289785031024
XGBoost_grid__1_AutoML_20200515_033421_model_15,0.7013484661248987,0.4661740843665879,0.4849782651047198,0.2352039176239839
XGBoost_grid__1_AutoML_20200515_033421_model_11,0.7018481002882524,0.462484298152357,0.4852014031269509,0.2354204015963619
XGBoost_grid__1_AutoML_20200515_033421_model_16,0.7018918024692429,0.4663640874928868,0.4855143935861831,0.2357242263793591
GBM_grid__1_AutoML_20200515_033421_model_7,0.7024826146539023,0.4675893749241298,0.4865691620370486,0.2367495494454357
GBM_grid__1_AutoML_20200515_033421_model_10,0.7035896024165879,0.4689602673779163,0.4873299490195802,0.2374904792114266
XGBoost_3_AutoML_20200515_033421,0.7043018648676549,0.4643151357624266,0.4862409252817545,0.2364302374188568
XGBoost_grid__1_AutoML_20200515_033421_model_7,0.7045397844309076,0.4658221027851608,0.4853226238355618,0.23553804920663424
XGBoost_grid__1_AutoML_20200515_033421_model_8,0.7047483044002512,0.4605235117243625,0.4767531087136998,0.22729352666817684
XGBoost_grid__1_AutoML_20200515_033421_model_13,0.7048970107269514,0.4677320258642706,0.4862506812297116,0.23643972499635854
XGBoost_grid__1_AutoML_20200515_033421_model_21,0.7049280164275157,0.46591239805777507,0.48640286063072996,0.2365877428297574
XGBoost_grid__1_AutoML_20200515_033421_model_10,0.7059169625285608,0.4628026725730536,0.4865041469904422,0.2366862850388978
