model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200515_034105,0.15750537755343288,0.09802733537452313,0.216264905676318,0.04677050942718672
StackedEnsemble_BestOfFamily_AutoML_20200515_034105,0.2342184366902835,0.13710644680150638,0.2665402707914284,0.07104371595356798
XGBoost_grid__1_AutoML_20200515_034105_model_23,0.24731120409136464,0.17798304216141822,0.2902693059500591,0.08425626997672901
XGBoost_grid__1_AutoML_20200515_034105_model_27,0.24964369287584826,0.18084308398233012,0.29217766050589666,0.08536778529869901
XGBoost_grid__1_AutoML_20200515_034105_model_7,0.2507225505399712,0.18010616962776616,0.2925888278264066,0.0856082221688306
GBM_grid__1_AutoML_20200515_034105_model_109,0.2510222170126277,0.1904064977667352,0.293321009593852,0.0860372146691566
XGBoost_grid__1_AutoML_20200515_034105_model_16,0.2526193414653021,0.18359812360288805,0.2935993726146261,0.08620059159970203
XGBoost_grid__1_AutoML_20200515_034105_model_15,0.25317829806272274,0.18224706118612727,0.2935077641956628,0.08614680764313679
XGBoost_grid__1_AutoML_20200515_034105_model_17,0.2537150668430828,0.1954528571939037,0.29598656634063897,0.0876080474541215
GBM_grid__1_AutoML_20200515_034105_model_21,0.25398705081341066,0.18474321261976626,0.29326315468900604,0.08600327789814789
XGBoost_grid__1_AutoML_20200515_034105_model_20,0.2548940369332228,0.18198862098305726,0.29407301113188583,0.08647893587617425
GBM_grid__1_AutoML_20200515_034105_model_3,0.2559315008294145,0.19207446448585225,0.2954346571216357,0.08728163662857844
XGBoost_grid__1_AutoML_20200515_034105_model_13,0.25684767073348186,0.1822714627283505,0.2953837218411888,0.08725154312875279
XGBoost_grid__1_AutoML_20200515_034105_model_12,0.25693865534999466,0.1930919645584582,0.29667695442787273,0.08801721528859806
XGBoost_grid__1_AutoML_20200515_034105_model_1,0.2573453719246083,0.1831758625759535,0.29559621490998106,0.08737712226910771
XGBoost_grid__1_AutoML_20200515_034105_model_29,0.25763004170619386,0.1820144601349404,0.2955506040818674,0.08735015957315673
GBM_grid__1_AutoML_20200515_034105_model_123,0.2580864457230856,0.18917839581534035,0.2962540672541783,0.08776647236464319
XGBoost_grid__1_AutoML_20200515_034105_model_31,0.2587067431090371,0.18255932710301667,0.2961379570478471,0.08769768960447251
XGBoost_grid__1_AutoML_20200515_034105_model_25,0.25935712232387376,0.195170649599764,0.2989812295866521,0.08938977564514636
GBM_grid__1_AutoML_20200515_034105_model_38,0.2608892382147869,0.2012838369659952,0.30018999488825354,0.09011403303100968
XGBoost_3_AutoML_20200515_034105,0.26126562602118936,0.183212026812,0.2976019408445438,0.08856691519443935
XGBoost_grid__1_AutoML_20200515_034105_model_10,0.2633553685721218,0.18521669291113585,0.2982936206931909,0.08897908414625323
XGBoost_grid__1_AutoML_20200515_034105_model_6,0.2641585701864305,0.1867149728937783,0.29885643928583283,0.08931517130260669
XGBoost_grid__1_AutoML_20200515_034105_model_21,0.26435982771791616,0.1841685858185576,0.2989842599360537,0.08939158768950974
XGBoost_grid__1_AutoML_20200515_034105_model_18,0.2645111278407603,0.19552741978077184,0.30093123008688005,0.09055960524160277
XGBoost_grid__1_AutoML_20200515_034105_model_2,0.2647333343239293,0.1827689791807253,0.29903488494109964,0.0894218624117367
GBM_grid__1_AutoML_20200515_034105_model_138,0.264748713806027,0.2032924514633259,0.3024410931721627,0.09147061483917282
GBM_grid__1_AutoML_20200515_034105_model_140,0.265091166152281,0.20571455203388853,0.3022316435319446,0.09134396635202044
GBM_grid__1_AutoML_20200515_034105_model_42,0.26514324186593385,0.19309344009198207,0.2995224578932421,0.08971370278240896
XGBoost_grid__1_AutoML_20200515_034105_model_28,0.26639177755251275,0.1905343893027158,0.2997694429659468,0.08986171893611404
GBM_grid__1_AutoML_20200515_034105_model_57,0.2671861635271704,0.1993239468540829,0.30218867773878794,0.09131799695351704
XGBoost_grid__1_AutoML_20200515_034105_model_40,0.2672108409043556,0.19639803479737447,0.3017641250272615,0.09106158715346872
GBM_grid__1_AutoML_20200515_034105_model_101,0.2672296825154796,0.1920331561435046,0.3011032544817487,0.09066316985950072
GBM_grid__1_AutoML_20200515_034105_model_37,0.2675805498890106,0.19375931018627848,0.30157032302460224,0.09094465972916296
GBM_5_AutoML_20200515_034105,0.26763368093434164,0.19691225902283893,0.3026392976704287,0.09159054449445037
XGBoost_grid__1_AutoML_20200515_034105_model_5,0.2684175387232132,0.1922684223314944,0.30141332454842423,0.09084999221533373
XGBoost_grid__1_AutoML_20200515_034105_model_14,0.26904221947637724,0.1943030462384944,0.3018854422552974,0.09113482024567647
XGBoost_grid__1_AutoML_20200515_034105_model_37,0.2691937034693213,0.19006974770499185,0.3006047444166032,0.09036321236577133
GBM_grid__1_AutoML_20200515_034105_model_118,0.26928562628019515,0.2051746748238456,0.3046235483503973,0.09279550620958683
GBM_grid__1_AutoML_20200515_034105_model_116,0.2707775077644667,0.19658332420715727,0.3033768057487064,0.09203748626628834
XGBoost_grid__1_AutoML_20200515_034105_model_24,0.2712469762189505,0.1969995191455256,0.30460633051915376,0.09278501659234396
XGBoost_grid__1_AutoML_20200515_034105_model_36,0.2712821992874043,0.19631438961257094,0.3046088679963379,0.0927865624620104
GBM_1_AutoML_20200515_034105,0.2719262240771246,0.1895839401130579,0.3024376396903761,0.09146852590148576
GBM_grid__1_AutoML_20200515_034105_model_125,0.27207318519766915,0.1875890705143419,0.3021761627456876,0.09131043333170827
GBM_grid__1_AutoML_20200515_034105_model_91,0.2725288514404439,0.20923270548958708,0.3044759683571896,0.09270561530704834
XGBoost_grid__1_AutoML_20200515_034105_model_19,0.27257174380077004,0.19183063542941292,0.3020513715053118,0.0912350310282399
GBM_2_AutoML_20200515_034105,0.27266409055546303,0.196257478596915,0.3039842438897937,0.09240642053324956
GBM_grid__1_AutoML_20200515_034105_model_33,0.27347432321863185,0.18619937479859705,0.3027269907236706,0.09164363091260937
GBM_grid__1_AutoML_20200515_034105_model_4,0.2737224851124859,0.2071815351111563,0.3073624131645972,0.09447165302636458
GBM_grid__1_AutoML_20200515_034105_model_92,0.27388580284505065,0.20901611527082672,0.3048583419028369,0.09293860862774704
GBM_grid__1_AutoML_20200515_034105_model_46,0.27394785999777505,0.20350173815981645,0.3064039727945031,0.0938833945442546
XGBoost_grid__1_AutoML_20200515_034105_model_11,0.2741514500027268,0.18418390381241206,0.3025252009523942,0.09152149721128652
GBM_3_AutoML_20200515_034105,0.27532404207835753,0.20213826994195166,0.3065067160614543,0.09394636699077698
XGBoost_grid__1_AutoML_20200515_034105_model_41,0.27774843978621044,0.18546674840736696,0.304929868049557,0.09298222442872024
GBM_grid__1_AutoML_20200515_034105_model_100,0.2780069920336862,0.19154419560618827,0.3054721781530692,0.09331325162558043
GBM_grid__1_AutoML_20200515_034105_model_74,0.2789384582091427,0.1992705722757703,0.3043792051346683,0.0926467005184125
GBM_grid__1_AutoML_20200515_034105_model_39,0.2790319287527128,0.2152333152116011,0.31080676105350163,0.09660084271656844
XGBoost_2_AutoML_20200515_034105,0.2791973547766041,0.20129231027842276,0.3089304232524583,0.09543800641094302
GBM_grid__1_AutoML_20200515_034105_model_35,0.2793331414888166,0.2023803609982473,0.3048947743378276,0.0929608234185148
GBM_grid__1_AutoML_20200515_034105_model_132,0.2796353608679415,0.20513260675132508,0.30995076608826005,0.09606947739869932
XGBoost_grid__1_AutoML_20200515_034105_model_8,0.2796762457768807,0.20345766206642565,0.3099902051774082,0.09609392730593164
GBM_grid__1_AutoML_20200515_034105_model_41,0.27982701027451684,0.21655394887186974,0.3113128986287325,0.09691572085262347
GBM_grid__1_AutoML_20200515_034105_model_9,0.28106251749706673,0.19874701839642284,0.30798905224336914,0.09485725630176878
XGBoost_grid__1_AutoML_20200515_034105_model_33,0.281340714899263,0.198018323543436,0.3082722596753117,0.0950317860853228
GBM_grid__1_AutoML_20200515_034105_model_43,0.2816547492416913,0.20804595265570386,0.31144396165602817,0.09699734125200153
GBM_grid__1_AutoML_20200515_034105_model_52,0.2824550721144247,0.1975931046945508,0.30820739904235617,0.09499180082445416
XGBoost_grid__1_AutoML_20200515_034105_model_3,0.2832667586276638,0.20665215324306296,0.3123714627033888,0.0975759307114546
GBM_grid__1_AutoML_20200515_034105_model_7,0.2834149789963437,0.1897843243759599,0.30775306588001644,0.09471194955854974
XGBoost_grid__1_AutoML_20200515_034105_model_35,0.2834669673544106,0.2023986783411614,0.3110759325042965,0.09676823578341764
GBM_grid__1_AutoML_20200515_034105_model_114,0.2835097758373005,0.21600731463555511,0.3138121211617141,0.09847804738801433
XGBoost_grid__1_AutoML_20200515_034105_model_4,0.2841875031071084,0.216710663197763,0.3143227443216581,0.09879878759789848
GBM_grid__1_AutoML_20200515_034105_model_51,0.2842280993309632,0.19024037118432813,0.3082891848645025,0.0950422215044194
GBM_grid__1_AutoML_20200515_034105_model_5,0.28468339087723604,0.21501505433588494,0.3139513006384597,0.09856541917258052
XGBoost_1_AutoML_20200515_034105,0.2847388904620425,0.2020771117381258,0.3120653704540721,0.09738479543663726
XGBoost_grid__1_AutoML_20200515_034105_model_34,0.2848479006356733,0.210841975062122,0.3139891670449733,0.09858919702159613
GBM_grid__1_AutoML_20200515_034105_model_141,0.2853151885384839,0.20252611008586585,0.3080042238705951,0.09486660192212766
GBM_grid__1_AutoML_20200515_034105_model_131,0.2853899226872183,0.2215135847657892,0.3141929611756581,0.09871721685232862
GBM_grid__1_AutoML_20200515_034105_model_127,0.2857524837400344,0.18917161392342308,0.30910317891993433,0.09554477521840894
GBM_grid__1_AutoML_20200515_034105_model_2,0.2867389633346987,0.2054771273803634,0.3121714956567713,0.0974510427005856
GBM_grid__1_AutoML_20200515_034105_model_115,0.2869871844104643,0.1969094316339439,0.31043320359136417,0.09636877389199736
GBM_grid__1_AutoML_20200515_034105_model_68,0.2870267982740212,0.20919777478364132,0.31272612139487993,0.09779762700268517
GBM_grid__1_AutoML_20200515_034105_model_26,0.2875048592589943,0.20984127937388836,0.3132574232998189,0.09813021325244192
GBM_grid__1_AutoML_20200515_034105_model_72,0.2875295641164761,0.21413159544089,0.31346416873828503,0.09825978508278403
XGBoost_grid__1_AutoML_20200515_034105_model_39,0.287972131705537,0.21129763162362647,0.3152359308026041,0.0993736920689842
XGBoost_grid__1_AutoML_20200515_034105_model_9,0.2881688642540402,0.2133873386897588,0.31556385594035696,0.09958054717594636
GBM_grid__1_AutoML_20200515_034105_model_22,0.2887035960036695,0.20368806122410169,0.3091810503545554,0.09559292189834613
GBM_grid__1_AutoML_20200515_034105_model_102,0.2887955347245929,0.19898547860531696,0.3070679563254435,0.09429072980188448
GBM_grid__1_AutoML_20200515_034105_model_120,0.2890292257075277,0.20158267773628774,0.3102414197039607,0.09624973849992907
XGBoost_grid__1_AutoML_20200515_034105_model_22,0.28942379106496746,0.20043974213242047,0.3110971942325849,0.09678146425938668
GBM_grid__1_AutoML_20200515_034105_model_137,0.2902251137647409,0.2178004838386375,0.3177294754866199,0.1009520195930026
GBM_grid__1_AutoML_20200515_034105_model_86,0.2904295658368595,0.1984924672540537,0.3061385798160785,0.09372083005180544
XGBoost_grid__1_AutoML_20200515_034105_model_30,0.2907198438182647,0.21094353163194587,0.3165318382731441,0.10019240464057584
GBM_grid__1_AutoML_20200515_034105_model_133,0.2918227592064877,0.21546096032652776,0.31435038397062354,0.09881616390247844
GBM_grid__1_AutoML_20200515_034105_model_27,0.2927064034759944,0.20087805191564567,0.3112973014365085,0.0969060098816524
GBM_grid__1_AutoML_20200515_034105_model_40,0.2939341088243958,0.20533264184288527,0.3121236659042539,0.09742118281751032
GBM_grid__1_AutoML_20200515_034105_model_49,0.29419813263626143,0.2120288773902369,0.314739797111277,0.09906113988564777
GBM_grid__1_AutoML_20200515_034105_model_134,0.29430940337944417,0.1965898870604304,0.31334749673390266,0.09818665370940316
GBM_grid__1_AutoML_20200515_034105_model_19,0.29523143761840154,0.21477372205932896,0.318954809300683,0.10173217037603503
GBM_grid__1_AutoML_20200515_034105_model_122,0.29571535248249,0.22940927068284256,0.3210763452589531,0.10309001948484647
GBM_grid__1_AutoML_20200515_034105_model_121,0.2960910645627522,0.2038896072714674,0.3132298284297026,0.09811292541810092
GBM_grid__1_AutoML_20200515_034105_model_93,0.29752808779910994,0.2265519089578185,0.3210739818173333,0.10308850180003724
