model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200514_165704,0.8323886287682155,0.33656430327459,0.4882046966112211,0.2422409113271244,0.32005637481134386,0.10243608305737943
DRF_1_AutoML_20200514_165704,0.8255604610921675,0.3939382679310849,0.4589816043830134,0.2646105823875685,0.3229334090114842,0.10428598665577854
StackedEnsemble_AllModels_AutoML_20200514_165704,0.8242944933584406,0.3347746207687629,0.4952178960278626,0.2625981814172053,0.31856852036651384,0.10148590216850993
XRT_1_AutoML_20200514_165704,0.8185806741649279,0.41024303714518395,0.4701023287306939,0.27373742514462146,0.3239375487447137,0.10493553548673376
GBM_1_AutoML_20200514_165704,0.8171440022392996,0.3461888752866455,0.4533449790859915,0.2705014674198857,0.32808574532262186,0.10764025628390028
GBM_grid__1_AutoML_20200514_165704_model_2,0.8112647802263051,0.3490300760233616,0.46450745732265003,0.2999304459938589,0.32776637456218144,0.10743079629363622
XGBoost_grid__1_AutoML_20200514_165704_model_9,0.8111470897585967,0.34644641104777163,0.4641561800160651,0.28510568816055104,0.3244338086374281,0.10525729618698733
GBM_2_AutoML_20200514_165704,0.8089141516955909,0.3486785255288725,0.4511956651158231,0.30480770861960743,0.32721249055474066,0.10706801397503626
GBM_3_AutoML_20200514_165704,0.8078994690145385,0.3475874285597753,0.4658503732479702,0.2789264084686244,0.3249447525742289,0.10558909222552687
GBM_grid__1_AutoML_20200514_165704_model_1,0.8078994690145385,0.3470898403451547,0.4418940218644287,0.3038131711537483,0.3275408097853929,0.10728298207487093
GBM_grid__1_AutoML_20200514_165704_model_7,0.8078284306241199,0.3464569486145372,0.4508459527743622,0.2644918316453764,0.3268641489775162,0.10684017188679593
XGBoost_grid__1_AutoML_20200514_165704_model_8,0.8078029840365074,0.34792053516393784,0.4522026771078804,0.27591947003240197,0.32687493961032843,0.10684722614525588
GBM_grid__1_AutoML_20200514_165704_model_6,0.8076577264322187,0.3508375918887138,0.43792374665070544,0.2684339321763618,0.3281006322238316,0.10765002486567796
XGBoost_grid__1_AutoML_20200514_165704_model_5,0.8058775255738205,0.3457801783882782,0.43651494769097454,0.2723166573362512,0.3266131593171929,0.10667615583915804
GBM_grid__1_AutoML_20200514_165704_model_5,0.8055339966410504,0.3471366051032223,0.4525783694167255,0.2757180178804689,0.3262966087004357,0.10646947684940523
GBM_4_AutoML_20200514_165704,0.8052212156683122,0.3541959257908953,0.4441925886296208,0.2824337964612279,0.32947906172836616,0.10855645211740453
XGBoost_grid__1_AutoML_20200514_165704_model_2,0.8042075932617435,0.35123179412260097,0.4510417897922634,0.2996187252956045,0.3269669678968061,0.106907398095631
DeepLearning_grid__1_AutoML_20200514_165704_model_16,0.8036371655894278,0.3478249051538235,0.4712021275145451,0.2930683495343275,0.3249855936195899,0.1056156360602772
XGBoost_grid__1_AutoML_20200514_165704_model_6,0.8034611600251073,0.3512031575277013,0.4160531594033852,0.26780624968191763,0.3299834535861411,0.10888907964063696
GLM_1_AutoML_20200514_165704,0.8029723734880485,0.3474573505484209,0.4636960212744602,0.28473459209120056,0.3263066727047715,0.10647604465165886
GBM_grid__1_AutoML_20200514_165704_model_4,0.8008889341272669,0.3523140208811261,0.4236054937738084,0.2980558807063973,0.3308773068399774,0.10947979218167654
XGBoost_2_AutoML_20200514_165704,0.8004817887254653,0.3546828322324547,0.433847211454977,0.3030476529764025,0.3307459494123242,0.10939288305265972
XGBoost_grid__1_AutoML_20200514_165704_model_1,0.8004213530798854,0.379109674502103,0.4351881279842196,0.2741551732912617,0.33828200105137685,0.11443471223532373
DeepLearning_grid__1_AutoML_20200514_165704_model_18,0.8000036049332451,0.3981089078549875,0.4539275067213813,0.3004669448826912,0.3391873906066787,0.11504808594656762
GBM_5_AutoML_20200514_165704,0.797518321543081,0.35188326568173506,0.4088860408493779,0.2830529967598012,0.33089599738959324,0.1094921610884537
DeepLearning_grid__1_AutoML_20200514_165704_model_9,0.7972977844504385,0.4284756700593692,0.4328685206489809,0.2806419325835072,0.3501437580437029,0.12260065129696715
DeepLearning_grid__1_AutoML_20200514_165704_model_11,0.7969097239893463,0.3856449800278586,0.4418197819474644,0.2827688431981271,0.3412188249010757,0.11643028646687095
XGBoost_grid__1_AutoML_20200514_165704_model_7,0.7963552004342884,0.3792525153351161,0.4179040247304343,0.2824337964612279,0.3395260472310703,0.115277936748355
GBM_grid__1_AutoML_20200514_165704_model_3,0.7958632330737782,0.35280536011804664,0.40583793756469616,0.2895715642865625,0.33166106803234363,0.10999906404835487
XGBoost_3_AutoML_20200514_165704,0.7957360001357151,0.3624600293972226,0.4432365742337899,0.2938338677116732,0.3319608766929996,0.11019802365478493
XGBoost_grid__1_AutoML_20200514_165704_model_10,0.7937066347736103,0.35581849039886754,0.404306692716248,0.26703224930870106,0.3324124528746815,0.11049803882616237
XGBoost_1_AutoML_20200514_165704,0.7928255466775238,0.3657728684346004,0.4331881951301851,0.28748070300439377,0.3331770829357801,0.11100696859359567
XGBoost_grid__1_AutoML_20200514_165704_model_3,0.7924449081378188,0.3702515569675372,0.43055513789215455,0.2801139158905457,0.3337930565520437,0.11141780460235584
DeepLearning_grid__1_AutoML_20200514_165704_model_15,0.7923738697474002,0.44851880497088137,0.424506805084469,0.29547093151475057,0.3420599265093192,0.11700499332356087
DeepLearning_grid__1_AutoML_20200514_165704_model_13,0.7912563404414135,0.41288255812034097,0.4110733335830554,0.3011730876889409,0.35345971321433445,0.12493376886555956
