model_id,logloss,mean_per_class_error,rmse,mse
DeepLearning_grid__1_AutoML_20200514_172422_model_16,0.08961627768504943,0.02222222222222222,0.13689912591520598,0.018741370676347426
StackedEnsemble_BestOfFamily_AutoML_20200514_172422,0.08986433388491487,0.022777777777777782,0.1401965208148147,0.01965506444857877
DeepLearning_grid__2_AutoML_20200514_172422_model_16,0.09620529111832456,0.024444444444444442,0.14418605879750554,0.02078961955155773
GBM_grid__1_AutoML_20200514_172422_model_11,0.0971441971591838,0.028333333333333332,0.15678773718132374,0.024582394530439845
GBM_grid__1_AutoML_20200514_172422_model_13,0.09790349071284124,0.027222222222222217,0.15368208541846054,0.02361818337856701
GBM_grid__1_AutoML_20200514_172422_model_12,0.09837177124054536,0.03055555555555555,0.15712734173997395,0.024689001522270555
GBM_grid__1_AutoML_20200514_172422_model_17,0.09919485062925593,0.027222222222222224,0.1541762150111627,0.02377030527516827
GBM_5_AutoML_20200514_172422,0.09941101031149688,0.027222222222222217,0.1544292424097528,0.02384839091125019
GBM_grid__1_AutoML_20200514_172422_model_6,0.10008775851809863,0.028888888888888888,0.15673906038164892,0.024567133049322187
GBM_grid__1_AutoML_20200514_172422_model_9,0.10018864800699748,0.028888888888888888,0.15707862271987594,0.024673693715573118
GBM_grid__1_AutoML_20200514_172422_model_16,0.10032504206025776,0.027777777777777773,0.1532451356927958,0.0234840716135034
GLM_1_AutoML_20200514_172422,0.10160071103257633,0.02555555555555556,0.15571786559596024,0.02424805366576154
GBM_grid__1_AutoML_20200514_172422_model_7,0.10170229749547592,0.027222222222222217,0.15597059105986444,0.024326825275563468
GBM_grid__1_AutoML_20200514_172422_model_3,0.10304732008398597,0.027777777777777773,0.15863111783926293,0.025163831546934117
XGBoost_grid__1_AutoML_20200514_172422_model_31,0.10402778694390714,0.031111111111111107,0.17111806605228932,0.029281392529475658
GBM_grid__1_AutoML_20200514_172422_model_5,0.105490519964435,0.028888888888888888,0.1595360958030841,0.025451765864090828
XGBoost_grid__1_AutoML_20200514_172422_model_155,0.10627713526464876,0.03222222222222222,0.17277067345197036,0.029849705605047367
XGBoost_grid__1_AutoML_20200514_172422_model_30,0.10692229447358603,0.029444444444444436,0.1711483424882468,0.02929175513647423
XGBoost_grid__1_AutoML_20200514_172422_model_68,0.10763069266602447,0.03055555555555556,0.1713274834736461,0.029353106593412483
GBM_3_AutoML_20200514_172422,0.1078418274080172,0.03,0.1637925663243657,0.02682800478312173
