model_id,logloss,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200516_005608_model_5,0.3869809988435617,0.14171372292562318,0.32916471218115056,0.1083494077452997
GBM_grid__1_AutoML_20200516_005608_model_7,0.3906869185501286,0.14458807252450756,0.3298602054830257,0.10880775516130392
GBM_grid__1_AutoML_20200516_005608_model_4,0.3977774390362547,0.15347527995929414,0.3367826150931125,0.11342252982895555
GBM_grid__1_AutoML_20200516_005608_model_6,0.3986559629405664,0.14162198759813188,0.3299370617359958,0.1088584647069823
GBM_grid__1_AutoML_20200516_005608_model_1,0.4058385219925513,0.13573011438656554,0.3303623462066439,0.10913927979115844
GBM_3_AutoML_20200516_005608,0.411943871635001,0.1292441455990711,0.3342111611552511,0.11169710024074124
GBM_2_AutoML_20200516_005608,0.4126487185913513,0.136989130482913,0.3282464531749684,0.10774573402194673
XGBoost_grid__1_AutoML_20200516_005608_model_263,0.4148448949400741,0.1206140755461892,0.3393987094164375,0.1151914839535434
GBM_grid__1_AutoML_20200516_005608_model_2,0.4152300915409181,0.13355792942820016,0.3303681510069205,0.10914311519973142
XGBoost_grid__1_AutoML_20200516_005608_model_42,0.427598385766431,0.1386900170681577,0.3553436955116618,0.12626914193988462
GBM_4_AutoML_20200516_005608,0.4330565982888459,0.1393355951518929,0.3482719553031233,0.12129335485066067
XGBoost_grid__1_AutoML_20200516_005608_model_127,0.43345954447317697,0.14250373831308982,0.3635694696384171,0.1321827592531599
XGBoost_grid__1_AutoML_20200516_005608_model_101,0.43674902256563336,0.136849070919292,0.3577138581615116,0.12795920432079402
XGBoost_grid__1_AutoML_20200516_005608_model_309,0.4374327229542457,0.14566011362540807,0.3569184311579669,0.12739076650026435
XGBoost_grid__1_AutoML_20200516_005608_model_9,0.44417447145946776,0.13247305269921664,0.3688184081604383,0.13602701819799964
XGBoost_grid__1_AutoML_20200516_005608_model_220,0.4606210221786628,0.1601746374386355,0.3729984270741667,0.13912782659980247
XGBoost_grid__1_AutoML_20200516_005608_model_68,0.4613466475313771,0.14676254188768287,0.3761191637163915,0.1414656253147177
XGBoost_grid__1_AutoML_20200516_005608_model_235,0.4621025882954423,0.14928427428140806,0.3770271566208225,0.14214947682958226
XGBoost_grid__1_AutoML_20200516_005608_model_268,0.4660907537960707,0.1585783128837608,0.3591869434183033,0.1290152603221834
XGBoost_grid__1_AutoML_20200516_005608_model_155,0.4662828084754218,0.15756356884465275,0.3828581386474443,0.14658035432858568
XGBoost_grid__1_AutoML_20200516_005608_model_158,0.4677033621732023,0.1545674567640117,0.3724134556829102,0.13869178197368692
XGBoost_grid__1_AutoML_20200516_005608_model_205,0.4700434509907302,0.14004895094135533,0.3811363220727435,0.14526489600313808
XGBoost_grid__1_AutoML_20200516_005608_model_31,0.47094175379707204,0.14031041179744536,0.3788878207108394,0.14355598068300915
XGBoost_grid__1_AutoML_20200516_005608_model_286,0.4711916901378186,0.15434933223796765,0.3782724957389278,0.14309008103255713
XGBoost_grid__1_AutoML_20200516_005608_model_283,0.4734714548985798,0.14657305845516538,0.3841752503693677,0.14759062299636638
XGBoost_grid__1_AutoML_20200516_005608_model_214,0.47682322861436205,0.1597288464012347,0.3833590428187927,0.1469641557109409
XGBoost_grid__1_AutoML_20200516_005608_model_83,0.4770163584146114,0.15719030481209453,0.3644773139568774,0.13284371238922016
XGBoost_grid__1_AutoML_20200516_005608_model_39,0.4785125356529714,0.1336594708562231,0.3848528234566475,0.1481116957225535
XGBoost_grid__1_AutoML_20200516_005608_model_179,0.4805418961814478,0.1421586081711499,0.3839109272482713,0.1473876000606274
XGBoost_grid__1_AutoML_20200516_005608_model_226,0.4830042681623686,0.1499134657670452,0.3569890157364561,0.1274411573564837
XGBoost_grid__1_AutoML_20200516_005608_model_267,0.4834575457251419,0.16304935200132958,0.389239260296925,0.15150720175649735
XGBoost_grid__1_AutoML_20200516_005608_model_276,0.4854565435560823,0.1625497648818024,0.3831294507383908,0.14678817602310104
XGBoost_grid__1_AutoML_20200516_005608_model_30,0.4869220980837508,0.15791026892261334,0.392097408798201,0.15374037798626353
XGBoost_grid__1_AutoML_20200516_005608_model_189,0.4874815275292594,0.14847661232291365,0.38757754290391,0.1502163517634322
XGBoost_grid__1_AutoML_20200516_005608_model_171,0.4883441918612084,0.15268689175038708,0.3846446179045483,0.14795148208293593
XGBoost_grid__1_AutoML_20200516_005608_model_300,0.4885123192638259,0.1458027932967731,0.3755256607145029,0.14101952185506392
XGBoost_grid__1_AutoML_20200516_005608_model_66,0.4894687944738043,0.14362200169222278,0.3624461296513507,0.13136719689924378
XGBoost_grid__1_AutoML_20200516_005608_model_262,0.490219064792915,0.1514193320366031,0.3710994828701431,0.13771482618648762
XGBoost_grid__1_AutoML_20200516_005608_model_163,0.4921647893732464,0.16652856642615327,0.36187453292749056,0.13095317758148944
XGBoost_grid__1_AutoML_20200516_005608_model_128,0.494488419077563,0.1600050569268731,0.3706379236122756,0.13737247041961906
XGBoost_grid__1_AutoML_20200516_005608_model_240,0.4948176283659078,0.1609059230848398,0.3714000664780994,0.1379380093799367
XGBoost_grid__1_AutoML_20200516_005608_model_172,0.4990443893407934,0.17411501795082446,0.3858638991216212,0.14889094864534064
XGBoost_grid__1_AutoML_20200516_005608_model_38,0.4990457544294706,0.1655487712061461,0.3970154758873642,0.15762128809407025
XGBoost_grid__1_AutoML_20200516_005608_model_116,0.4991128831802296,0.1618421997344069,0.3852733512862818,0.14843555521136273
XGBoost_grid__1_AutoML_20200516_005608_model_133,0.4997262679176328,0.1653300469255789,0.3769651275794531,0.14210270741099335
XGBoost_grid__1_AutoML_20200516_005608_model_289,0.5005653171711019,0.15158582320027214,0.3666279781458195,0.13441607435929154
XGBoost_grid__1_AutoML_20200516_005608_model_147,0.5009946658225719,0.13664419304279402,0.3619040553590953,0.1309745452853591
XGBoost_grid__1_AutoML_20200516_005608_model_160,0.5015047829071952,0.1550415628050317,0.3899464968171036,0.1520582703799314
XGBoost_grid__1_AutoML_20200516_005608_model_104,0.5042158787848946,0.15642351035690286,0.3799102508140173,0.14433179867356952
XGBoost_grid__1_AutoML_20200516_005608_model_153,0.5046242235457086,0.1610296111225182,0.3689016776044738,0.13608844773939507
XGBoost_grid__1_AutoML_20200516_005608_model_190,0.5050520514006717,0.16658048663348726,0.3847314964338755,0.1480183243482492
XGBoost_grid__1_AutoML_20200516_005608_model_140,0.5051128481485969,0.15200033041932448,0.39489225091494895,0.15593988983267498
XGBoost_grid__1_AutoML_20200516_005608_model_41,0.5057514303763818,0.16639392072595827,0.3717328858924796,0.13818533845395126
XGBoost_grid__1_AutoML_20200516_005608_model_136,0.5059983321053141,0.14764844802583904,0.3914045085258607,0.1531974892943706
XGBoost_grid__1_AutoML_20200516_005608_model_32,0.5076950741403023,0.16797990398585458,0.3875631990568351,0.15020523326316798
XGBoost_grid__1_AutoML_20200516_005608_model_218,0.5082958206436797,0.15639023707757607,0.3958301090260643,0.156681475211586
XGBoost_grid__1_AutoML_20200516_005608_model_198,0.5087824501768345,0.17363987847191606,0.3993804317854878,0.15950472929316267
XGBoost_grid__1_AutoML_20200516_005608_model_238,0.5094960805199608,0.15312230550441244,0.39422565832219264,0.1554138696795662
XGBoost_grid__1_AutoML_20200516_005608_model_27,0.5107703746725646,0.17164277090959107,0.3937180042795965,0.1550138668939084
XGBoost_grid__1_AutoML_20200516_005608_model_151,0.5112149469483884,0.15803801084063665,0.4002542249015911,0.1602034445515735
XGBoost_grid__1_AutoML_20200516_005608_model_51,0.5114040737839644,0.15669764068447695,0.3929774306584008,0.15443126100687815
XGBoost_grid__1_AutoML_20200516_005608_model_84,0.5144517442532349,0.15684249582933213,0.4002984034688798,0.16023881181973407
XGBoost_grid__1_AutoML_20200516_005608_model_244,0.5145541880018487,0.15457599265860228,0.3968432495523117,0.1574845647152383
