model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200515_064420,0.9860527566698412,0.1450328707271132,0.9621396566613648,0.05788127234489506,0.2010277611458985,0.040412160751332415
XGBoost_grid__1_AutoML_20200515_064420_model_12,0.9858164519384576,0.13648122476861982,0.9617082525648212,0.060304310651435884,0.20011037625540426,0.04004416268507945
XGBoost_grid__1_AutoML_20200515_064420_model_28,0.9858120154450474,0.13597609055529364,0.961161882609975,0.06100768754363432,0.19954221321582347,0.039817094855069166
XGBoost_grid__1_AutoML_20200515_064420_model_5,0.9857428671351725,0.1367629493480109,0.961069064570818,0.06061156204149426,0.2002962809102212,0.04011860014646625
GBM_5_AutoML_20200515_064420,0.9855444544390548,0.1374562514837542,0.9607325374994412,0.060125947492845326,0.20060526135987566,0.04024247088526405
XGBoost_grid__1_AutoML_20200515_064420_model_14,0.9854910992070091,0.13764138067757256,0.9603850181798179,0.05966295103498909,0.2009543796347767,0.04038266269439795
StackedEnsemble_BestOfFamily_AutoML_20200515_064420,0.9853229159064641,0.14736903255858724,0.9602669658190909,0.059928398994698685,0.2025447225092648,0.04102436461635507
XGBoost_grid__1_AutoML_20200515_064420_model_37,0.9851292849491292,0.13891163484233487,0.9597219802979416,0.062464444245589536,0.20205611837269388,0.04082667497184009
GBM_grid__1_AutoML_20200515_064420_model_3,0.9850846255622988,0.13956722832544105,0.9590867626268126,0.06107305406100904,0.20234025858979865,0.040941580246186576
XGBoost_grid__1_AutoML_20200515_064420_model_8,0.9850784547079746,0.14161327163634,0.959376493184381,0.06166106838703045,0.20304846913459407,0.041228680817902194
GBM_grid__1_AutoML_20200515_064420_model_5,0.9849618449202964,0.1424938552884319,0.9591338995774784,0.06074841351111336,0.2033274209717906,0.04134204011903975
GBM_3_AutoML_20200515_064420,0.9849203619716465,0.1405154930483208,0.9583299493103884,0.0634492476317411,0.20271709474281566,0.041094220500967685
XGBoost_grid__1_AutoML_20200515_064420_model_9,0.9848710974453684,0.1457563660327883,0.9590898175073832,0.0615511292460604,0.20465997421995996,0.04188570504771466
