model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_BestOfFamily_AutoML_20200516_042555,0.14256407969660728,0.020324516819740592,0.020324516819740592,0.11236038859199754,0.10081372837300548
DeepLearning_grid__3_AutoML_20200516_042555_model_4,0.14371372748494265,0.02065363546761637,0.02065363546761637,0.11147944330801593,0.10141712779567927
DeepLearning_grid__2_AutoML_20200516_042555_model_1,0.14434213907079907,0.020834653111533902,0.020834653111533902,0.11041544153838624,0.1030346553093832
DeepLearning_grid__2_AutoML_20200516_042555_model_5,0.1446111997101668,0.020912399081613752,0.020912399081613752,0.11259765974393099,0.10304481681334664
DeepLearning_grid__3_AutoML_20200516_042555_model_8,0.14492473848840962,0.021003179825933915,0.021003179825933915,0.11202590805161412,0.1028928479364278
DeepLearning_grid__2_AutoML_20200516_042555_model_7,0.14549102930126914,0.021167639607142758,0.021167639607142758,0.11273697377427715,0.10374327928730354
DeepLearning_grid__3_AutoML_20200516_042555_model_1,0.14570868581113586,0.02123102112080831,0.02123102112080831,0.11553509341107784,0.10389952243846548
DeepLearning_grid__2_AutoML_20200516_042555_model_3,0.1460791981882976,0.021339132143335927,0.021339132143335927,0.11411244049983055,0.10404787215907046
DeepLearning_grid__2_AutoML_20200516_042555_model_2,0.14657562244630262,0.021484413095521057,0.021484413095521057,0.11328820991511937,0.10440524115009757
DeepLearning_grid__3_AutoML_20200516_042555_model_9,0.14724199887002318,0.02168020623123991,0.02168020623123991,0.1159605634252668,0.10494550402851223
DeepLearning_grid__3_AutoML_20200516_042555_model_6,0.14882164363257974,0.02214788161350256,0.02214788161350256,0.11520896520955112,0.10543120898676787
DeepLearning_grid__3_AutoML_20200516_042555_model_5,0.14912012678706554,0.02223681221299051,0.02223681221299051,0.11569361631913895,0.10594148431837083
GBM_3_AutoML_20200516_042555,0.14993571093959293,0.022480717414961163,0.022480717414961163,0.11912069562887705,0.1068916621438104
DeepLearning_grid__3_AutoML_20200516_042555_model_2,0.1515761874031822,0.022975340587684617,0.022975340587684617,0.11856227249061015,0.10777687523083387
DeepLearning_grid__2_AutoML_20200516_042555_model_6,0.15210654601378248,0.023136401340242932,0.023136401340242932,0.11545065104922475,0.10786994607986623
GBM_grid__1_AutoML_20200516_042555_model_7,0.15379875846553218,0.023654058105539104,0.023654058105539104,0.11920620530138595,0.1098093803313274
XGBoost_grid__1_AutoML_20200516_042555_model_14,0.15587367817636982,0.024296603548230503,0.024296603548230503,0.12501118822227708,0.1117236371298774
XGBoost_grid__1_AutoML_20200516_042555_model_12,0.155884353020645,0.02429993151666507,0.02429993151666507,0.1250434880035104,0.11220292726229797
GBM_grid__1_AutoML_20200516_042555_model_6,0.15590868336703098,0.02430751754924112,0.02430751754924112,0.12319407346232072,0.11147978471193312
XGBoost_grid__1_AutoML_20200516_042555_model_11,0.1560627961221875,0.024355596333475463,0.024355596333475463,0.12366160410607795,0.11206867405441492
GBM_grid__1_AutoML_20200516_042555_model_1,0.15609526261140394,0.024365731009723158,0.024365731009723158,0.12255033177008175,0.11166378457386493
GBM_2_AutoML_20200516_042555,0.1566584630951517,0.02454187405933501,0.02454187405933501,0.12419288026841055,0.11199006909016024
GBM_4_AutoML_20200516_042555,0.15754187344063408,0.024819441887184768,0.024819441887184768,0.12528245919286224,0.1128289073457496
XGBoost_grid__1_AutoML_20200516_042555_model_5,0.1576312512951097,0.024847611384862016,0.024847611384862016,0.12407440261544313,0.11342358168521452
GBM_1_AutoML_20200516_042555,0.15769989088623715,0.0248692555855311,0.0248692555855311,0.12422094097944625,0.11340477063837508
DeepLearning_grid__3_AutoML_20200516_042555_model_3,0.15807490872927776,0.024987676769769485,0.024987676769769485,0.12254620316414885,0.11227433228632523
GBM_grid__1_AutoML_20200516_042555_model_5,0.15857128777368404,0.02514485330620452,0.02514485330620452,0.1237705400303384,0.1132916802047344
DeepLearning_grid__2_AutoML_20200516_042555_model_4,0.15879472645708093,0.025215765150579158,0.025215765150579158,0.12104673703806287,0.11099251987680804
DRF_1_AutoML_20200516_042555,0.1589699412135328,0.025271442209434083,0.025271442209434083,0.12505824009873212,0.11390277195943856
