model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200515_065400,0.9958674538781764,0.08306647325899769,0.9983114730619472,0.03303508963869123,0.14685853660773932,0.02156742977456671
XGBoost_grid__1_AutoML_20200515_065400_model_40,0.9956509990869844,0.07488214202336338,0.9982568277822268,0.03190500526317047,0.14640989465549314,0.0214358572530326
XGBoost_grid__1_AutoML_20200515_065400_model_5,0.9956128801407836,0.0752443795419531,0.9982390182506616,0.0347165029581968,0.14685039060295724,0.02156503722024112
XGBoost_grid__1_AutoML_20200515_065400_model_39,0.9956109469401844,0.07600836752076373,0.9982176699073709,0.03497707496622337,0.1455811307756014,0.02119386563790275
XGBoost_grid__1_AutoML_20200515_065400_model_23,0.9955146205719921,0.07613803226946199,0.9981951243894566,0.034874920978833615,0.14610206341988158,0.0213458129355471
XGBoost_grid__1_AutoML_20200515_065400_model_68,0.9954988977165264,0.07658177946786097,0.9981646161238876,0.03656852441436999,0.14695628343562994,0.02159614924121321
GBM_grid__1_AutoML_20200515_065400_model_5,0.9954953063952552,0.07703616153470276,0.998148912054722,0.03618446444238158,0.14722707671828755,0.021675812119012528
GBM_5_AutoML_20200515_065400,0.9954877442442952,0.07515897988107981,0.9981538518403578,0.03680582924522535,0.14570769681748938,0.0212307329118574
XGBoost_grid__1_AutoML_20200515_065400_model_30,0.9954673577652501,0.07711844648048119,0.9981767374582357,0.03386984769501945,0.14704205934639406,0.021621367216828467
XGBoost_grid__1_AutoML_20200515_065400_model_49,0.9954613544005436,0.07584522819247086,0.9981602991490144,0.033260438680861135,0.14582606253084268,0.021265240513249243
XGBoost_grid__1_AutoML_20200515_065400_model_65,0.9954381432581719,0.07615517289791017,0.9981572971103916,0.033587355892057434,0.14730549181223299,0.02169890791804385
GBM_grid__1_AutoML_20200515_065400_model_6,0.9954367398411365,0.07766060413305079,0.9981270560160892,0.03700878983776912,0.14755969688912365,0.021773864146010048
GBM_2_AutoML_20200515_065400,0.9954324378967204,0.07651341571067269,0.9981602164780262,0.0356763892699043,0.14684065998930973,0.02156217942609607
StackedEnsemble_BestOfFamily_AutoML_20200515_065400,0.9954252043134508,0.08635848834899452,0.9981337412825044,0.03265044384833945,0.15026940043236775,0.022580892706303292
GBM_4_AutoML_20200515_065400,0.9954065243487684,0.07794817014195654,0.9981067702520632,0.035439318766394286,0.1477829195050629,0.0218397912974399
XGBoost_grid__1_AutoML_20200515_065400_model_9,0.9953907989462668,0.07731402518551042,0.9981229879857886,0.034919932205431256,0.14702561533841654,0.021616531565640026
XGBoost_grid__1_AutoML_20200515_065400_model_27,0.9953648777572056,0.07735081675754966,0.9980976163796526,0.034456868259551625,0.14799596501237594,0.0219028056599444
GBM_3_AutoML_20200515_065400,0.9953229051449884,0.07785662258906767,0.9981024751722845,0.03415187084329078,0.1481089886542784,0.021936272520193173
GBM_grid__1_AutoML_20200515_065400_model_11,0.9953223269677344,0.07750465611498872,0.9981055648358442,0.035009661749444865,0.1483366555281488,0.022003763373276683
GBM_grid__1_AutoML_20200515_065400_model_9,0.9953204014082442,0.07764693576540674,0.9980673084314694,0.03504394740592013,0.1480309439859652,0.021913160377375968
XGBoost_grid__1_AutoML_20200515_065400_model_4,0.9953110996314484,0.08264123507393162,0.9980185552936937,0.03662496419312605,0.1493923393921725,0.022318071069066053
GBM_grid__1_AutoML_20200515_065400_model_4,0.9953072052128502,0.07753242416344187,0.9979642575761902,0.03374559816718523,0.1470640181433641,0.021627825432471725
GBM_grid__1_AutoML_20200515_065400_model_7,0.995291449245912,0.0776522900435269,0.9981087767842179,0.03585649275813122,0.14858778277631726,0.022078329190382044
