model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200515_070037,0.5298791871380344,0.691674226789493,0.5295943109022501,0.4999298227583605,0.4992641302627845,0.24926467176705466
StackedEnsemble_AllModels_AutoML_20200515_070037,0.5295114646308616,0.6916906574976933,0.5289840807730993,0.4998824802163306,0.49927242593972293,0.24927295530373614
GLM_1_AutoML_20200515_070037,0.5288354252360726,0.6917525388667879,0.5292645312161706,0.4999883436297937,0.4993032878948385,0.24930377330259595
GBM_grid__1_AutoML_20200515_070037_model_8,0.5282881007230482,0.6918674124933133,0.5279203435157324,0.4999417181489684,0.4993603458347,0.2493607549921512
GBM_grid__1_AutoML_20200515_070037_model_1,0.527774734141906,0.6918488263316893,0.5275348420756569,0.4997147496458126,0.4993512197260958,0.24935164064193965
GBM_grid__1_AutoML_20200515_070037_model_7,0.5276197485757173,0.6919046639267065,0.5275657452474212,0.4999645528485779,0.4993785741315757,0.2493789603016857
GBM_1_AutoML_20200515_070037,0.5258149688719712,0.6926315361787113,0.5239512420686839,0.4999057929567433,0.4997341371054329,0.2497342077885116
DeepLearning_grid__1_AutoML_20200515_070037_model_13,0.5247770744151452,0.6942922226249926,0.5260504086215648,0.4999883436297937,0.5005383463213906,0.2505386361381524
GBM_3_AutoML_20200515_070037,0.5224458794262862,0.6937546193378438,0.5223375119160738,0.4998356157151038,0.500283336550454,0.25028341683005484
XGBoost_3_AutoML_20200515_070037,0.5220800853186783,0.6952306017112261,0.5208215638889345,0.4999883436297937,0.5009753541138621,0.2509763054295095
GBM_grid__1_AutoML_20200515_070037_model_3,0.5215754429821929,0.6933538711117251,0.5229912353502879,0.49940762067362204,0.5000956878139664,0.2500956969701241
XGBoost_grid__1_AutoML_20200515_070037_model_7,0.5215014036180294,0.6963339222788758,0.5201729469235403,0.5,0.5014627911558641,0.25146493091382977
GBM_2_AutoML_20200515_070037,0.5212911907644263,0.6932712934844323,0.5212839985613337,0.4999645528485779,0.5000498252583672,0.2500498277409235
XGBoost_grid__1_AutoML_20200515_070037_model_2,0.5210720910364722,0.6946689687331374,0.5208766211951139,0.4999531354987732,0.5007108538274718,0.2507113591406358
XGBoost_grid__1_AutoML_20200515_070037_model_6,0.5209411451201801,0.6949739226527054,0.5201599593929717,0.5,0.5008705296121624,0.250871287433968
XGBoost_grid__1_AutoML_20200515_070037_model_1,0.5206538952991148,0.6962125024417671,0.5194349927334216,0.5,0.5014238990735137,0.25142592656208523
DeepLearning_grid__1_AutoML_20200515_070037_model_4,0.5205068045927594,0.6983763324994596,0.5233739484623637,0.4999053149159402,0.5025220224896205,0.25252838308705866
GBM_grid__1_AutoML_20200515_070037_model_2,0.5204626733883072,0.6946517595419228,0.5198690741867782,0.4998820021755275,0.5007156310725526,0.2507161432003845
XGBoost_grid__1_AutoML_20200515_070037_model_10,0.5196517506286735,0.6958337312958176,0.5211702413672901,0.4999766872595874,0.5012876288771487,0.251289286865274
GBM_grid__1_AutoML_20200515_070037_model_9,0.5193743935373014,0.6940349901747827,0.5193379733768972,0.5,0.5004229091760466,0.2504230880282178
DeepLearning_grid__1_AutoML_20200515_070037_model_12,0.5188104661561391,0.697962791665674,0.5212074257673001,0.4999883436297937,0.5022912541497915,0.2522965039953705
DeepLearning_grid__2_AutoML_20200515_070037_model_4,0.5186335782828427,0.6930567572893431,0.5218778934689758,0.5,0.4999526289199581,0.24995263116397734
DeepLearning_grid__2_AutoML_20200515_070037_model_6,0.5179994736600411,0.6934817160790722,0.5208955651502194,0.4999293447175574,0.5001645072779246,0.2501645343405691
XGBoost_grid__1_AutoML_20200515_070037_model_5,0.5167568121819234,0.6996351934855614,0.5178449623646143,0.4998934195253322,0.5031105731054558,0.25312024877050016
GBM_4_AutoML_20200515_070037,0.5162574011449614,0.6970514430831489,0.5176967505626123,0.5,0.5018680254616726,0.2518715149807981
DeepLearning_grid__1_AutoML_20200515_070037_model_11,0.5157729251567208,0.6948694192180797,0.5177188105160563,0.5,0.5008182259881385,0.25081889548190617
GBM_5_AutoML_20200515_070037,0.5151697869844061,0.6971337197943183,0.5167839159473229,0.5,0.5019336320643722,0.2519373709973326
DeepLearning_grid__1_AutoML_20200515_070037_model_10,0.5151015133885481,0.6950629991335929,0.5182200116350473,0.4999883436297937,0.5008185767289972,0.2508192467968585
XRT_1_AutoML_20200515_070037,0.5145401824929283,0.6999613817354765,0.5175670897161957,0.5,0.5032468297444671,0.2532573716478565
GBM_grid__1_AutoML_20200515_070037_model_6,0.5137937417416023,0.6966709733577283,0.5154349445262912,0.4999647918689794,0.5017062640864592,0.251709175423592
DeepLearning_grid__1_AutoML_20200515_070037_model_6,0.513279443034128,0.7050528709791601,0.5174683234252728,0.5,0.5056505804797776,0.25568250953953603
DeepLearning_grid__3_AutoML_20200515_070037_model_4,0.5132317643197515,0.6930617626199518,0.5167549008972713,0.4999291056971559,0.4999568355380831,0.24995683740125385
DRF_1_AutoML_20200515_070037,0.5130443135014265,0.7009660891588858,0.5158326295059669,0.4999883436297937,0.5037246337556901,0.2537385066523041
GBM_grid__1_AutoML_20200515_070037_model_5,0.5129399677876624,0.7037674343635723,0.5156658117393901,0.5,0.5050283223132067,0.2550536063384922
XGBoost_grid__1_AutoML_20200515_070037_model_4,0.5122705855635452,0.7190509030194326,0.5133188193736538,0.5,0.511105203824114,0.2612285293760891
XGBoost_grid__1_AutoML_20200515_070037_model_8,0.5121011200988431,0.7200279724140496,0.5139162543213157,0.5,0.5120570812182479,0.2622024544257513
DeepLearning_grid__1_AutoML_20200515_070037_model_1,0.511673841053887,0.6987212357995564,0.5154652540346778,0.5,0.5024720506608815,0.2524781616953515
DeepLearning_grid__1_AutoML_20200515_070037_model_9,0.5106361110899432,0.7029722740768984,0.5137055870869738,0.5,0.5045302598504611,0.2545507831047737
GBM_grid__1_AutoML_20200515_070037_model_4,0.5099373040703122,0.7060416691146209,0.515030980877068,0.4997414086718471,0.5061002349332904,0.2561374477995317
DeepLearning_grid__1_AutoML_20200515_070037_model_14,0.5099123418761929,0.7523717754166892,0.5134611603209256,0.5,0.5224387591154132,0.27294225702605274
XGBoost_1_AutoML_20200515_070037,0.5097913938266306,0.7221059438055699,0.5109533009394503,0.5,0.5126780015697644,0.2628387332935674
DeepLearning_grid__1_AutoML_20200515_070037_model_5,0.5091023262229386,0.7259957951017129,0.5136571949529748,0.5,0.5148078094230873,0.2650270806429978
DeepLearning_grid__2_AutoML_20200515_070037_model_1,0.5090004106386469,0.7030784946652546,0.5105753867415093,0.4999766872595874,0.5047019516087159,0.25472405995764663
XGBoost_grid__1_AutoML_20200515_070037_model_9,0.5089801444767601,0.7314736416670481,0.5110535094103319,0.499965030889381,0.5166715936739298,0.2669495357095584
DeepLearning_grid__1_AutoML_20200515_070037_model_2,0.5076328019110411,0.7527379569835209,0.5126846577640763,0.5,0.524843608732993,0.2754608136278709
XGBoost_grid__1_AutoML_20200515_070037_model_3,0.5075908831092366,0.7279519790205459,0.5106695360428456,0.5,0.5148412122914854,0.2650614738737663
DeepLearning_grid__1_AutoML_20200515_070037_model_8,0.5074348642722251,0.731061139898165,0.5149504211125406,0.4999288666767544,0.5171681850955869,0.2674629316750633
DeepLearning_1_AutoML_20200515_070037,0.506969673344312,0.7847855564785228,0.5122235942127799,0.5,0.5373956872144584,0.2887941246367
XGBoost_2_AutoML_20200515_070037,0.5068418863301642,0.7656613148069289,0.510101156404688,0.5,0.5288580089314321,0.27969079361091875
DeepLearning_grid__1_AutoML_20200515_070037_model_7,0.5055408360007908,0.7091640875878172,0.5086007313047023,0.4999881046093922,0.5074545502489961,0.2575101205684109
DeepLearning_grid__1_AutoML_20200515_070037_model_15,0.5050302825673368,1.2520357151873005,0.5110931078692781,0.5,0.6017513324585088,0.3621046661155908
DeepLearning_grid__3_AutoML_20200515_070037_model_1,0.5047742046797762,0.7106880861616263,0.5084508944913791,0.5,0.5081818606444974,0.2582488034881034
DeepLearning_grid__2_AutoML_20200515_070037_model_2,0.5042583379665273,0.7410938686682731,0.5090077822651904,0.4998577333535086,0.5205366204910857,0.2709583732722806
DeepLearning_grid__1_AutoML_20200515_070037_model_3,0.5033979406454689,0.7378863573190401,0.5082560875324342,0.4999055539363417,0.5191171077453387,0.2694825715538856
DeepLearning_grid__2_AutoML_20200515_070037_model_5,0.5024161699356482,0.7022538205998486,0.5081387036728989,0.5,0.5043326318283625,0.25435140352692265
DeepLearning_grid__2_AutoML_20200515_070037_model_7,0.5019064717054795,1.0366418379471811,0.5091048146397112,0.4999645528485779,0.5947642195184465,0.3537444768193869
DeepLearning_grid__2_AutoML_20200515_070037_model_8,0.5010276812587992,1.4247009952672591,0.5060873552774526,0.5,0.6095808945263654,0.3715888669715639
DeepLearning_grid__2_AutoML_20200515_070037_model_3,0.5010257182571717,0.7199716486537602,0.5077674329402495,0.4999643138281763,0.5126786530306572,0.2628394012733289
DeepLearning_grid__3_AutoML_20200515_070037_model_3,0.5004429934385946,0.7509622220643659,0.5059359784358044,0.5,0.5242450114527365,0.27483283203307984
DeepLearning_grid__3_AutoML_20200515_070037_model_5,0.5001253829693072,1.2797644540857671,0.5052245279914079,0.5,0.6007152170049266,0.36085877194127597
DeepLearning_grid__3_AutoML_20200515_070037_model_2,0.5000794037485431,0.7780708435369599,0.5052345931459548,0.5,0.5340847715483653,0.28524654319986953
