model_id,logloss,mean_per_class_error,rmse,mse
GBM_4_AutoML_20200515_080924,0.0010818530384431805,0.05087051591319065,0.012156172570848564,0.00014777253157225101
GBM_grid__1_AutoML_20200515_080924_model_49,0.0011104497120551088,0.05173174066098237,0.012707244871593977,0.00016147407222665138
GBM_grid__1_AutoML_20200515_080924_model_23,0.0011162624628161268,0.05270797531068642,0.013498591164760671,0.00018221196343335487
GBM_3_AutoML_20200515_080924,0.0011253959808844402,0.051780331525899774,0.0129042348537122,0.00016651927715976067
GBM_grid__1_AutoML_20200515_080924_model_30,0.0011472050758184755,0.1152902231900408,0.01501681368150824,0.0002255046931451331
GBM_2_AutoML_20200515_080924,0.0011581983742763552,0.05087051591319065,0.013057984662029344,0.00017051096343379362
GBM_grid__1_AutoML_20200515_080924_model_6,0.0011739447683912414,0.051794677670462315,0.01343305619196514,0.00018044699865649304
GBM_grid__1_AutoML_20200515_080924_model_34,0.0011780853482550415,0.05364996524003559,0.013971442278199237,0.000195201199333053
GBM_grid__1_AutoML_20200515_080924_model_54,0.0011812183341016642,0.05087051591319065,0.01295951283269397,0.00016794897286075966
GBM_grid__1_AutoML_20200515_080924_model_38,0.0012157129471992614,0.05267721261784653,0.013135635845121214,0.00017254492905563332
GBM_grid__1_AutoML_20200515_080924_model_26,0.0012368611167190415,0.07744166087748187,0.014101823305699309,0.00019886142054516422
GBM_grid__1_AutoML_20200515_080924_model_24,0.001238785891799815,0.06952298111305147,0.013935512482165721,0.00019419850814059652
GBM_grid__1_AutoML_20200515_080924_model_45,0.0012594339696160928,0.05364996524003559,0.014050302106301869,0.0001974109892783507
GBM_grid__1_AutoML_20200515_080924_model_50,0.001267495979782742,0.11224613097905847,0.015517943251332275,0.000240806562751569
GBM_grid__1_AutoML_20200515_080924_model_46,0.001280941523924808,0.06676135995828404,0.014707135563594416,0.0002162998364859436
GBM_grid__1_AutoML_20200515_080924_model_36,0.001408404640096234,0.13206957264825078,0.01586038111890744,0.00025155168923699563
GBM_grid__1_AutoML_20200515_080924_model_10,0.0014494074293009713,0.1790195099715361,0.017327014646701472,0.00030022543656700736
GBM_grid__1_AutoML_20200515_080924_model_16,0.001449859876432091,0.12908244698101606,0.017827757445995133,0.00031782893555323485
GBM_grid__1_AutoML_20200515_080924_model_19,0.0014561328534887716,0.14491980650987685,0.016030761142638,0.0002569853028123124
GBM_grid__1_AutoML_20200515_080924_model_9,0.0014811566062206325,0.12906461880893852,0.016678367597851924,0.000278167945729077
GBM_grid__1_AutoML_20200515_080924_model_31,0.0014958973390964475,0.2322392219835417,0.01751019031616057,0.00030660676490816335
GBM_grid__1_AutoML_20200515_080924_model_18,0.001496841722707122,0.17176994050286806,0.01808691792497935,0.0003271366000249393
GBM_grid__1_AutoML_20200515_080924_model_53,0.0015520684963773275,0.19652841829677092,0.019155230128200067,0.0003669228412643038
GBM_grid__1_AutoML_20200515_080924_model_2,0.0015766162915777213,0.11130065902219433,0.015583620094748715,0.0002428492152574559
GBM_grid__1_AutoML_20200515_080924_model_13,0.001579314772185358,0.17572384832655946,0.01798780465902254,0.00032356111645115296
GBM_grid__1_AutoML_20200515_080924_model_17,0.00158023209179517,0.16477890452322422,0.017701153843845664,0.0003133308474034921
GBM_grid__1_AutoML_20200515_080924_model_22,0.0015809592024311342,0.11130065902219433,0.015673725023964292,0.00024566565612684437
GBM_grid__1_AutoML_20200515_080924_model_1,0.001589162805108068,0.1520839738523265,0.017790024294563632,0.0003164849644011641
XGBoost_grid__1_AutoML_20200515_080924_model_9,0.001592434922525391,0.14701842676399499,0.01664670909292776,0.0002771129236245637
GBM_grid__1_AutoML_20200515_080924_model_29,0.001609791119203769,0.2441618120603811,0.018671117666445733,0.00034861063491426186
GBM_grid__1_AutoML_20200515_080924_model_11,0.0016180364615851074,0.14002390875683626,0.01707977062393176,0.00029171856456612253
