model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200514_201020_model_292,0.9873395809716948,0.1445316080892767,0.9853663761125551,0.05268863833477883,0.2027115376025065,0.04109196747717239
GBM_grid__1_AutoML_20200514_201020_model_264,0.9872658640042304,0.1515177363978802,0.985637281806652,0.05268863833477884,0.20654952006651006,0.04266270423970566
GBM_grid__1_AutoML_20200514_201020_model_22,0.9871346966960508,0.15633810273278712,0.9851566993582902,0.05225498699045967,0.20612716029326125,0.042488406210563816
GBM_grid__1_AutoML_20200514_201020_model_54,0.9871092154483684,0.14194636383581374,0.9848387227847124,0.051387684301821335,0.20046540146387526,0.04018637718407267
GBM_grid__1_AutoML_20200514_201020_model_157,0.9866563826482294,0.14571005392284436,0.9821385043556712,0.04986990459670425,0.20068540715458053,0.04027463264479976
GBM_grid__1_AutoML_20200514_201020_model_89,0.9865453370633116,0.1535406638328119,0.9834130669968816,0.05268863833477884,0.20684716838001468,0.04278575106683015
GBM_grid__1_AutoML_20200514_201020_model_139,0.9864750050586388,0.14610918569923606,0.9841967702134846,0.05203816131830009,0.20330000207512086,0.04133089084374417
GBM_grid__1_AutoML_20200514_201020_model_249,0.9864168965307142,0.1490236523655935,0.9843174733159028,0.050520381613183,0.20373908312297773,0.04150961399179163
GBM_grid__1_AutoML_20200514_201020_model_28,0.9863829528760524,0.15010470813911184,0.9843494450700301,0.05095403295750217,0.20560614042086614,0.042273884978764935
GBM_grid__1_AutoML_20200514_201020_model_146,0.9861728971294764,0.1449657596878224,0.9833984194286106,0.05095403295750217,0.2019895660745628,0.040799784802990166
StackedEnsemble_AllModels_AutoML_20200514_201020,0.9859185547863748,0.18784670237595774,0.9816486303841286,0.05290546400693842,0.21136160603585094,0.044673728506054264
GBM_grid__1_AutoML_20200514_201020_model_286,0.9856488860839668,0.14946854008870325,0.9830630733694132,0.052471812662619265,0.20615085217612006,0.042498173852940496
GBM_grid__1_AutoML_20200514_201020_model_172,0.9855101026095054,0.1589972441113228,0.9822270825774141,0.054206418039895926,0.20880826004463685,0.043600889462868685
GBM_grid__1_AutoML_20200514_201020_model_253,0.9854899808862434,0.1488531330115857,0.9826465608268998,0.05485689505637467,0.2059137315873754,0.04240046485623769
GBM_grid__1_AutoML_20200514_201020_model_155,0.9854863138432192,0.14283299388237694,0.9820745203794448,0.05247181266261925,0.20166770274483845,0.040669862330380516
GBM_grid__1_AutoML_20200514_201020_model_219,0.9854692009757718,0.1560204456194232,0.9823494054078059,0.05485689505637468,0.2088769965245915,0.0436295996771342
GBM_grid__1_AutoML_20200514_201020_model_56,0.9854253845129678,0.1484524698145626,0.9816337510086691,0.053122289679097996,0.2046917136456765,0.04189869763520363
GBM_grid__1_AutoML_20200514_201020_model_194,0.9853982107838896,0.14541037588315472,0.9828179174344184,0.051387684301821335,0.20405331741766866,0.041637756349155834
GBM_grid__1_AutoML_20200514_201020_model_102,0.9852422204152371,0.15498537130942058,0.9819769635531788,0.05290546400693842,0.20677562789808654,0.04275616029264795
GBM_grid__1_AutoML_20200514_201020_model_110,0.9852214405047656,0.15003711373488568,0.9813191357884404,0.053122289679097996,0.20615444141164108,0.04249965371374576
GBM_grid__1_AutoML_20200514_201020_model_187,0.9851937966419664,0.1514335976002302,0.9816068765924542,0.05398959236773634,0.20616152041928654,0.04250257250159191
XGBoost_grid__1_AutoML_20200514_201020_model_94,0.9851565620512576,0.1766304319066022,0.98120409575323,0.05355594102341717,0.21294271123342656,0.045344598267442485
GBM_grid__1_AutoML_20200514_201020_model_93,0.9851211139686884,0.15454416068110444,0.9814536106591619,0.05095403295750217,0.20653315966674385,0.04265594604192871
GBM_grid__1_AutoML_20200514_201020_model_317,0.9850992057372864,0.17107098554294234,0.9826007998312588,0.052471812662619265,0.21275290087267307,0.045263796829737454
GBM_4_AutoML_20200514_201020,0.9850381823802908,0.14957767803136526,0.9818109388509936,0.052471812662619265,0.20582755499874172,0.042364982396760065
GBM_grid__1_AutoML_20200514_201020_model_49,0.9849992553081858,0.15154210144139785,0.9823675186172578,0.05398959236773634,0.2074992068924147,0.04305592086098112
GBM_grid__1_AutoML_20200514_201020_model_122,0.9849877840453916,0.15772871652884413,0.9810808754245156,0.05117085862966175,0.20805508323669414,0.043286917660627734
GBM_grid__1_AutoML_20200514_201020_model_325,0.9849702950709676,0.1533869216183444,0.9815168822279048,0.05355594102341717,0.20905884299785,0.043705599835599684
StackedEnsemble_BestOfFamily_AutoML_20200514_201020,0.9849193325756029,0.1561928415570615,0.9799818197103658,0.05398959236773634,0.2072569869127732,0.04295545862416143
XGBoost_grid__1_AutoML_20200514_201020_model_127,0.9848509751325588,0.15403386373727365,0.9818271578396844,0.05333911535125759,0.20685612952926002,0.04278945832382601
GBM_grid__1_AutoML_20200514_201020_model_266,0.9847776342720712,0.14914865463148594,0.9810886382211896,0.054423243712055515,0.2054367128658756,0.04220424299313622
GBM_grid__1_AutoML_20200514_201020_model_304,0.9847362625046168,0.15106312534600036,0.9812412795649341,0.05485689505637468,0.2070098931739726,0.04285309587189955
GBM_grid__1_AutoML_20200514_201020_model_334,0.9847052336790256,0.15540772163237995,0.9808628317371656,0.05203816131830009,0.20749534134671352,0.04305431668058917
GBM_grid__1_AutoML_20200514_201020_model_6,0.9846481594452872,0.14727130131323338,0.9810051085929212,0.053339115351257585,0.2039854115862177,0.041610048139998634
XGBoost_grid__1_AutoML_20200514_201020_model_160,0.984548773176652,0.1626554805705336,0.9815547559215734,0.054423243712055515,0.20998112162840246,0.044092071440321935
GBM_grid__1_AutoML_20200514_201020_model_44,0.9845467045882796,0.1563359332384646,0.98124081229619,0.054206418039895926,0.2098122461019785,0.044021178614357184
GBM_grid__1_AutoML_20200514_201020_model_178,0.9844545583789488,0.1518262489334209,0.9817527302354396,0.05485689505637467,0.20735795218006092,0.042997320332308464
GBM_grid__1_AutoML_20200514_201020_model_23,0.9844504212022036,0.15208093358447491,0.9811213433232012,0.056374674761491765,0.2079670400112572,0.04325028973104385
GBM_grid__1_AutoML_20200514_201020_model_243,0.9844428990626658,0.1486052009572263,0.9805415529751084,0.05398959236773634,0.2067425970606239,0.042742501439371486
GBM_grid__1_AutoML_20200514_201020_model_180,0.9844409245010376,0.15234367931444587,0.9806277684935972,0.05464006938421509,0.20747159254612374,0.0430444617136248
GBM_grid__1_AutoML_20200514_201020_model_169,0.9844012452149792,0.1515158378732569,0.9808983511020762,0.054206418039895926,0.2073601464470621,0.04299823033454705
GBM_grid__1_AutoML_20200514_201020_model_91,0.9843305371033294,0.15073933533088885,0.9808567278549699,0.053122289679097996,0.2060660690114242,0.04246322479782103
GBM_grid__1_AutoML_20200514_201020_model_183,0.9843305371033294,0.1507393330169293,0.9808567278549699,0.053122289679097996,0.20606606853344944,0.04246322460083229
GBM_grid__1_AutoML_20200514_201020_model_118,0.9843133302091379,0.1547009892969572,0.9805672337797589,0.05464006938421509,0.20907521611738766,0.04371244599453235
GBM_grid__1_AutoML_20200514_201020_model_260,0.9843106034335556,0.1638443592635751,0.9807709317419928,0.05398959236773634,0.21028050186743732,0.04421788946562133
GBM_grid__1_AutoML_20200514_201020_model_38,0.9843066543102988,0.1509795602423708,0.981037712884646,0.054423243712055515,0.20683086717833485,0.04277900761774199
GBM_grid__1_AutoML_20200514_201020_model_144,0.984257290269586,0.17022053651145932,0.9800421974354829,0.053339115351257585,0.2121452535361239,0.045005608597906296
GBM_grid__1_AutoML_20200514_201020_model_347,0.9842124395125956,0.14522445825530278,0.9802967180388321,0.05268863833477884,0.203433402540063,0.04138514926902732
GBM_grid__1_AutoML_20200514_201020_model_294,0.9842047293195696,0.15587353665434553,0.9795794393133848,0.05203816131830009,0.20876946013927886,0.043584687486845936
GBM_grid__1_AutoML_20200514_201020_model_326,0.9841945744311948,0.17752441220216536,0.9794732665785132,0.05160450997398092,0.21331864683136031,0.04550484508596263
GBM_grid__1_AutoML_20200514_201020_model_83,0.9841535787707169,0.16080574656025046,0.9812299502191923,0.056374674761491765,0.2122930074931884,0.045068321030502935
GBM_grid__1_AutoML_20200514_201020_model_16,0.984146620791645,0.15227874633580965,0.9804886915010982,0.05485689505637467,0.20812022811194889,0.043314029349369634
GBM_grid__1_AutoML_20200514_201020_model_280,0.9841458685776912,0.15530475013861528,0.9806394763708792,0.05355594102341717,0.20779817581101864,0.043180081870387
GBM_grid__1_AutoML_20200514_201020_model_161,0.9841314824858264,0.14695237154511825,0.9804143808008584,0.051387684301821335,0.20351670300699626,0.041419048402837916
XGBoost_grid__1_AutoML_20200514_201020_model_89,0.9841098563346568,0.15927503549489944,0.9806902545469692,0.05355594102341717,0.20881292840203866,0.04360283906783493
GBM_grid__1_AutoML_20200514_201020_model_17,0.984084093006742,0.14811126475040784,0.9796001474353624,0.054423243712055515,0.20551617331278635,0.04223689749313123
XGBoost_grid__1_AutoML_20200514_201020_model_69,0.9840788275090658,0.15124815077918824,0.9799821163832618,0.05507372072853425,0.20686028866763145,0.04279117902765581
GBM_grid__1_AutoML_20200514_201020_model_290,0.9840698949683656,0.15556841461189871,0.9797889253970302,0.05464006938421509,0.20995301657589469,0.04408026916931791
GBM_grid__1_AutoML_20200514_201020_model_244,0.9840569192776641,0.15761811313215293,0.9804504319712722,0.054206418039895926,0.21016218965949984,0.044168145962475584
GBM_3_AutoML_20200514_201020,0.9840141371090462,0.15096580208488503,0.9802895974076208,0.05659150043365135,0.2084399040633211,0.04344719360592651
GBM_grid__1_AutoML_20200514_201020_model_198,0.9839863051927584,0.162936843882763,0.9800995359465005,0.05507372072853426,0.2122211403203668,0.0450378123988768
GBM_grid__1_AutoML_20200514_201020_model_182,0.9839786890264772,0.1519256803702843,0.9801312500335374,0.05485689505637467,0.20818818341786915,0.043342319714832316
GBM_grid__1_AutoML_20200514_201020_model_41,0.9839509511369338,0.1668455840996027,0.980085116283973,0.05268863833477884,0.21241293116231985,0.04511925332496842
GBM_grid__1_AutoML_20200514_201020_model_131,0.9839387276601859,0.15647923957292406,0.9794485300727144,0.0559410234171726,0.2089186433634128,0.043646999544808884
GBM_grid__1_AutoML_20200514_201020_model_158,0.9839360949113478,0.1805935980599632,0.9808621880694826,0.054206418039895926,0.21540283042403946,0.046398379354687484
GBM_grid__1_AutoML_20200514_201020_model_159,0.9838166809461948,0.1613926299578812,0.9803340198737892,0.055290546400693835,0.21120843216894508,0.044609001819263874
GBM_grid__1_AutoML_20200514_201020_model_338,0.983806714111308,0.16291884363234715,0.9796965355669952,0.05333911535125759,0.21041739450404964,0.044275479909872864
GBM_grid__1_AutoML_20200514_201020_model_133,0.9837532128938498,0.14867166399090384,0.979048649965603,0.05398959236773634,0.2046411362421912,0.04187799464249504
GBM_2_AutoML_20200514_201020,0.9837392969357059,0.1496756084164464,0.9804789455846556,0.054206418039895926,0.20726054626159204,0.04295693403665354
XGBoost_grid__1_AutoML_20200514_201020_model_171,0.9837070457624404,0.15183296780625072,0.9791188573417492,0.05485689505637468,0.2073777914085718,0.04300554836949712
GBM_grid__1_AutoML_20200514_201020_model_62,0.9836520401170744,0.1800518204315161,0.9801327273738519,0.053122289679097996,0.21452832051193466,0.04602240030167136
GBM_grid__1_AutoML_20200514_201020_model_281,0.9836388763728844,0.15731170124986274,0.9797417909277659,0.05355594102341717,0.20891081117082552,0.043643727024052316
