model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200514_201740,0.33576065308121705,0.1546753778695548,0.3298324215024825,0.1087894262741913
DeepLearning_grid__2_AutoML_20200514_201740_model_28,0.3382531948830417,0.15633463597000322,0.3275631619411237,0.1072976250608668
DeepLearning_grid__2_AutoML_20200514_201740_model_19,0.3779324466676488,0.18196780309578706,0.3541506779921525,0.12542270272230133
DeepLearning_grid__1_AutoML_20200514_201740_model_19,0.3857919211783226,0.18843175798906128,0.35208475749652424,0.12396367646138627
DeepLearning_grid__1_AutoML_20200514_201740_model_16,0.3862540219665251,0.1976065113022802,0.3622169446875167,0.13120111501875958
DeepLearning_grid__2_AutoML_20200514_201740_model_11,0.389591080089823,0.20758329693257596,0.3655166319267004,0.133602408215039
DeepLearning_grid__3_AutoML_20200514_201740_model_11,0.39011748447512135,0.2083291671244981,0.3657911819017359,0.13380318875706884
DeepLearning_grid__1_AutoML_20200514_201740_model_15,0.3903017998380149,0.18313459889656075,0.3523672377917208,0.1241626702689671
DeepLearning_grid__2_AutoML_20200514_201740_model_23,0.3924910732572293,0.2061454000531628,0.3680696278514685,0.13547525094671847
DeepLearning_grid__3_AutoML_20200514_201740_model_19,0.3930080907810406,0.20322058523020192,0.3660532107735177,0.13399495311760135
DeepLearning_grid__1_AutoML_20200514_201740_model_11,0.39570991159564944,0.21304548388854955,0.3630780272142612,0.1318256538457998
DeepLearning_grid__2_AutoML_20200514_201740_model_15,0.3957872462465096,0.19585032341458802,0.3672598236380713,0.13487977805866722
DeepLearning_grid__2_AutoML_20200514_201740_model_16,0.3983752873391677,0.20025116159090955,0.36754143336297335,0.13508670523850902
DeepLearning_grid__1_AutoML_20200514_201740_model_18,0.3999558231524096,0.18048340752996173,0.3603037758838269,0.12981881091614295
DeepLearning_grid__3_AutoML_20200514_201740_model_15,0.403537441419055,0.1955270125226105,0.3665688293964006,0.13437270668504747
DeepLearning_grid__1_AutoML_20200514_201740_model_6,0.4046749992163979,0.2195434878199385,0.3704699810606865,0.13724800686710542
DeepLearning_grid__3_AutoML_20200514_201740_model_6,0.40971679851863496,0.21978053986046325,0.37585905660940816,0.14127003043531428
GLM_1_AutoML_20200514_201740,0.4110093626572365,0.19233229524786333,0.36910419284087603,0.13623790517271456
DeepLearning_grid__3_AutoML_20200514_201740_model_18,0.4130749722458713,0.1858689466512367,0.36808052079878745,0.1354832697915066
DeepLearning_grid__2_AutoML_20200514_201740_model_24,0.4138398962474599,0.17018964832865918,0.35533811876928906,0.12626517865049736
DeepLearning_grid__2_AutoML_20200514_201740_model_6,0.4168444994507565,0.2128653977132289,0.37687759212034655,0.1420367194424303
DeepLearning_grid__2_AutoML_20200514_201740_model_18,0.4171821767923696,0.19192887169559908,0.3712275201595771,0.13780987172382922
DeepLearning_grid__3_AutoML_20200514_201740_model_16,0.4369533207047875,0.2420153279904537,0.38943938897490704,0.15166303768514888
DeepLearning_grid__2_AutoML_20200514_201740_model_21,0.4383031600208683,0.18313657505246905,0.3704039018588887,0.13719905051228928
