model_id,logloss,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200515_101042_model_5,0.8472479598126833,0.3865889103038153,0.5213896440542259,0.2718471609269925
XGBoost_grid__1_AutoML_20200515_101042_model_2,0.8691121329811612,0.3960054463769367,0.5286335263760503,0.2794534052087783
StackedEnsemble_AllModels_AutoML_20200515_101042,0.8833384552496383,0.3670411210921853,0.526436805002715,0.2771357096614665
XGBoost_3_AutoML_20200515_101042,0.8988216642071025,0.40635562318189616,0.5423368867224689,0.2941292986998201
XGBoost_grid__1_AutoML_20200515_101042_model_1,0.9009626083336209,0.4061531543621659,0.5316838676710193,0.2826877351416139
XGBoost_1_AutoML_20200515_101042,0.9031037738739668,0.4036738723077879,0.5338079268216707,0.2849509027376501
XGBoost_grid__1_AutoML_20200515_101042_model_3,0.9089971600761804,0.3995136026456731,0.5243450402496685,0.27493772123442656
XGBoost_grid__1_AutoML_20200515_101042_model_4,0.9090628344658064,0.3989598646822031,0.5137001011500681,0.26388779392159023
StackedEnsemble_BestOfFamily_AutoML_20200515_101042,0.9105664625146364,0.3795866939843512,0.5369267672843191,0.28829035342638937
XGBoost_2_AutoML_20200515_101042,0.9112145644354024,0.4041159623700657,0.5362985190082568,0.2876161014904496
GBM_grid__1_AutoML_20200515_101042_model_2,0.9118034332874636,0.4190926372774162,0.5355493952452579,0.2868131547475615
GBM_grid__1_AutoML_20200515_101042_model_3,0.9191065449847056,0.4152116125410797,0.5492136263010445,0.3016356073147434
GBM_3_AutoML_20200515_101042,0.9568486260831544,0.43207173952942135,0.5637836525318404,0.3178520068621429
GBM_2_AutoML_20200515_101042,0.9604152809157318,0.4339847685145074,0.5651391111461046,0.3193822149470092
GBM_4_AutoML_20200515_101042,0.9604529763583236,0.432994060778516,0.5641530542633273,0.3182686686346408
XGBoost_grid__1_AutoML_20200515_101042_model_6,0.9832033848139607,0.4483837657586035,0.5749539720597868,0.3305720699873262
GBM_grid__1_AutoML_20200515_101042_model_1,0.9870341593883732,0.4451341950825567,0.5729255651595835,0.32824370321342816
GBM_1_AutoML_20200515_101042,0.9909686686403396,0.4460703407480591,0.5734380608129829,0.32883120958895423
GBM_5_AutoML_20200515_101042,1.0253432028055434,0.4590463478796412,0.5927351185080922,0.3513349207128021
DRF_1_AutoML_20200515_101042,1.1147863780759353,0.4634712157452897,0.5980738602559291,0.3576923423214286
XRT_1_AutoML_20200515_101042,1.122959679029306,0.4580289880624756,0.5964239585755216,0.3557215383628955
DeepLearning_grid__2_AutoML_20200515_101042_model_1,1.1974506896257515,0.538128322248831,0.6221861027195543,0.3871155464173478
DeepLearning_grid__3_AutoML_20200515_101042_model_1,1.2189504755885885,0.5213939486987091,0.6409681943815114,0.41084022620869504
DeepLearning_grid__1_AutoML_20200515_101042_model_1,1.2600169881093986,0.5630883596236126,0.600999852199136,0.36120082234338335
DeepLearning_1_AutoML_20200515_101042,1.3195273734075323,0.6352924744965114,0.6453414797138977,0.4164656254393229
GBM_grid__1_AutoML_20200515_101042_model_4,1.3517178270083543,0.4951395221549674,0.7038290556447004,0.4953753395697108
DeepLearning_grid__3_AutoML_20200515_101042_model_3,1.4452683824365031,0.6764439838882398,0.6780431355800252,0.4597424937071923
DeepLearning_grid__2_AutoML_20200515_101042_model_3,1.474615968478907,0.6426094620158476,0.6768226879207666,0.4580889508842914
GLM_1_AutoML_20200515_101042,1.4930232615168504,0.7135465111294672,0.7305779441149912,0.5337441324272872
XGBoost_grid__1_AutoML_20200515_101042_model_7,1.6585656891159908,0.5695466274283826,0.7860129966002212,0.6178164308244593
DeepLearning_grid__2_AutoML_20200515_101042_model_2,1.8342612245577703,0.5835726819562232,0.6705011898846864,0.4495718456367803
GBM_grid__1_AutoML_20200515_101042_model_5,1.9624117457962107,0.5510864081030605,0.8536289804780197,0.7286824363119433
DeepLearning_grid__3_AutoML_20200515_101042_model_2,2.154739289925945,0.6062657790506961,0.7006585804367546,0.4909224463396481
DeepLearning_grid__1_AutoML_20200515_101042_model_2,2.210497489930184,0.5750054239040435,0.6576745260324209,0.4325357821919695
DeepLearning_grid__1_AutoML_20200515_101042_model_3,2.836595344377481,0.6563003449663221,0.6893451147042877,0.4751966871666676
