model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_032443,113.26552887264437,12829.08003079983,12829.08003079983,75.8772691142574,
StackedEnsemble_BestOfFamily_AutoML_20200516_032443,114.48248650899565,13106.239717282373,13106.239717282373,76.9366412825931,
XGBoost_2_AutoML_20200516_032443,127.67853803891012,16301.809075753417,16301.809075753417,86.74815397708689,
GBM_grid__1_AutoML_20200516_032443_model_2,127.98604929774584,16380.428814845027,16380.428814845027,88.3681636071226,
XGBoost_1_AutoML_20200516_032443,134.93393763819768,18207.167526549016,18207.167526549016,94.98718808877584,
DRF_1_AutoML_20200516_032443,140.82602920928284,19831.970502853783,19831.970502853783,96.85563951219065,0.6468865180501651
XGBoost_grid__1_AutoML_20200516_032443_model_1,142.63869167138074,20345.796361723227,20345.796361723227,103.317126178632,
XGBoost_grid__1_AutoML_20200516_032443_model_3,149.0405969182744,22213.099529755542,22213.099529755542,106.77259972171068,
XGBoost_grid__1_AutoML_20200516_032443_model_2,150.56954817550562,22671.18883777591,22671.18883777591,110.16371315082098,
GBM_4_AutoML_20200516_032443,165.70855052685135,27459.32371771006,27459.32371771006,123.8620542218943,
GBM_5_AutoML_20200516_032443,172.89257937112404,29891.844001600428,29891.844001600428,131.43250352881822,
XRT_1_AutoML_20200516_032443,173.4923656055183,30099.600923398844,30099.600923398844,135.1947896060591,0.7731758239801532
XGBoost_3_AutoML_20200516_032443,174.66599977318694,30508.211476766948,30508.211476766948,132.95740003457743,
GBM_3_AutoML_20200516_032443,183.6230402233989,33717.42090088397,33717.42090088397,142.22375019997054,
GBM_2_AutoML_20200516_032443,194.5781310402431,37860.64907911402,37860.64907911402,153.54535971186814,
DeepLearning_grid__3_AutoML_20200516_032443_model_1,197.01685179173526,38815.63988992657,38815.63988992657,156.45531585756524,
DeepLearning_grid__2_AutoML_20200516_032443_model_1,199.45629565140857,39782.8138749821,39782.8138749821,157.8797072530455,
GBM_grid__1_AutoML_20200516_032443_model_3,199.81089841104358,39924.39512382838,39924.39512382838,158.79073348725407,
GBM_1_AutoML_20200516_032443,203.7472543306814,41512.943647291366,41512.943647291366,162.88504587730958,
DeepLearning_grid__1_AutoML_20200516_032443_model_1,203.96370532922887,41601.193091628505,41601.193091628505,159.8465957561545,
GBM_grid__1_AutoML_20200516_032443_model_1,223.90043926064084,50131.4067011079,50131.4067011079,183.39651433031293,
DeepLearning_1_AutoML_20200516_032443,226.64527476814018,51368.080574725784,51368.080574725784,180.46776062457263,
GBM_grid__1_AutoML_20200516_032443_model_4,234.2738580053967,54884.240544732784,54884.240544732784,199.16201841822843,0.9260991710771974
GLM_1_AutoML_20200516_032443,268.3103243972069,71990.43017813441,71990.43017813441,228.2594069092506,0.9838761669962522
GBM_grid__1_AutoML_20200516_032443_model_5,276.03357311548547,76194.53348690206,76194.53348690206,238.7984536249181,1.005381052660187
XGBoost_grid__1_AutoML_20200516_032443_model_4,422.2079331345412,178259.53880174118,178259.53880174118,348.9447526070126,
