model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200514_184854,0.8676676366429438,0.15165031387929767,0.9871818554046288,0.3388908514717632,0.1972923484906673,0.0389242707729629
StackedEnsemble_BestOfFamily_AutoML_20200514_184854,0.8640051301951476,0.15264122111880254,0.9865342320140178,0.3293947510378409,0.19788723177769116,0.039159356500637656
XGBoost_grid__1_AutoML_20200514_184854_model_26,0.8595642391326235,0.15336481173127567,0.9859564264298244,0.31862206863122444,0.1990401824190446,0.03961699421740656
XGBoost_grid__1_AutoML_20200514_184854_model_39,0.8578490963175586,0.1537537597692936,0.986317450923572,0.32415638366362176,0.1994143208483331,0.03976607135940194
XGBoost_grid__1_AutoML_20200514_184854_model_22,0.8565002905922844,0.15495316596506706,0.986202185221146,0.3512831127878632,0.19965468683716373,0.03986199397604594
XGBoost_grid__1_AutoML_20200514_184854_model_33,0.8555959387290412,0.15518693179683274,0.9859272428011489,0.35044340492561565,0.2005898527216222,0.04023628901488208
XGBoost_grid__1_AutoML_20200514_184854_model_19,0.8551053738330319,0.15461406718203713,0.9855844406672324,0.3185990869087569,0.19917007371420414,0.039668718263321516
XGBoost_grid__1_AutoML_20200514_184854_model_42,0.8523509300587121,0.1528017125562275,0.9851911839131321,0.3446491328774729,0.1986056729488108,0.03944421332744999
XGBoost_grid__1_AutoML_20200514_184854_model_55,0.8485007957684957,0.15673765011532168,0.9851314441863572,0.3415281411718718,0.20197436759357265,0.04079364516482361
XGBoost_grid__1_AutoML_20200514_184854_model_32,0.8471833632570118,0.16016623194069685,0.9853201926014544,0.3573293193330367,0.20398503230177414,0.04160989340315584
GBM_grid__1_AutoML_20200514_184854_model_16,0.84584830439692,0.1627717024968776,0.9838364768785121,0.3720208598137068,0.20231094340169312,0.04092971782008308
GBM_grid__1_AutoML_20200514_184854_model_25,0.8455146055698628,0.16876053375518907,0.9835997036068898,0.3683569723541475,0.2046791399348453,0.04189355032446798
GBM_grid__1_AutoML_20200514_184854_model_69,0.8434312070074435,0.16424951485226674,0.982714103087942,0.3638013413524786,0.2036921726357443,0.041490501193069865
GBM_grid__1_AutoML_20200514_184854_model_70,0.8433908835723801,0.16136704488611253,0.983260939865696,0.34625570286699103,0.2043045400911803,0.041740345101868685
GBM_grid__1_AutoML_20200514_184854_model_78,0.8429322506201111,0.1617777415085128,0.983007175356177,0.35655053411947696,0.20174713311697,0.0407019057209164
XGBoost_grid__1_AutoML_20200514_184854_model_23,0.8419347384442786,0.1584416851811246,0.9843727953813982,0.3763215202008814,0.202266118617156,0.04091158274044943
GBM_grid__1_AutoML_20200514_184854_model_18,0.8418406082608328,0.16090235748637613,0.9830750052807852,0.3669383780955089,0.20225835532611008,0.04090844229922299
XGBoost_grid__1_AutoML_20200514_184854_model_40,0.8418400284467339,0.16191200414764456,0.9845736332540721,0.3736703571306962,0.2053707336420101,0.04217713823665746
GLM_1_AutoML_20200514_184854,0.841829454745984,0.16562361854967833,0.9843554812348618,0.3905152639224171,0.20889490070868827,0.043637079542092734
GBM_grid__1_AutoML_20200514_184854_model_15,0.8416217020832932,0.1672491923287752,0.9830585441758559,0.3784209005482827,0.2042262739595705,0.041708370975409526
GBM_grid__1_AutoML_20200514_184854_model_56,0.8415961480946412,0.16683081685391646,0.9830011465486092,0.3523888499007833,0.2043290329712542,0.04175035371496789
GBM_grid__1_AutoML_20200514_184854_model_13,0.8407294208953827,0.16079817699651322,0.9827834167644964,0.3850008944950235,0.20342715222534152,0.04138260626251227
GBM_grid__1_AutoML_20200514_184854_model_44,0.8402794219021508,0.1667289782699701,0.98271292511156,0.3950908405290899,0.20409160501652698,0.04165338323822207
GBM_grid__1_AutoML_20200514_184854_model_61,0.8401178224417363,0.1670903961068692,0.9828933305929642,0.3573193465305348,0.20446725431170334,0.04180685808576679
GBM_grid__1_AutoML_20200514_184854_model_20,0.8394847076139816,0.16329944216360634,0.9828285874366196,0.35668452388670685,0.20364325096387145,0.04147057366313433
GBM_grid__1_AutoML_20200514_184854_model_17,0.8394677243319197,0.16173395035929547,0.9828406989767212,0.3665015039850623,0.20152884828810008,0.040613876692328056
GBM_grid__1_AutoML_20200514_184854_model_76,0.8391759724194029,0.16251628175131794,0.9828121840495628,0.3236095873420889,0.20189100073020208,0.04075997617584246
GBM_grid__1_AutoML_20200514_184854_model_23,0.8378250899054471,0.1692186863049315,0.9821671365811808,0.3611371693623278,0.2039034265326843,0.0415766073517698
GBM_grid__1_AutoML_20200514_184854_model_63,0.8375937757061899,0.16391918314088855,0.9827114756081154,0.37327446006393344,0.20311204693960966,0.04125450361199818
GBM_grid__1_AutoML_20200514_184854_model_58,0.8367947286253905,0.16333282156526913,0.9823983885087256,0.35407130174274193,0.2018492623846304,0.04074312472521936
GBM_grid__1_AutoML_20200514_184854_model_36,0.8361067317576516,0.1617359580393507,0.98216299435672,0.3689068047931439,0.20346693674064356,0.04139879434662104
GBM_grid__1_AutoML_20200514_184854_model_34,0.8360062657874154,0.16719593147846895,0.9828199554384012,0.3430386623203802,0.20274152138445026,0.0411041244932815
GBM_grid__1_AutoML_20200514_184854_model_68,0.8354390178413015,0.1636803731948014,0.9821989438027016,0.3689757499605463,0.2019220097094043,0.04077249800508476
XGBoost_grid__1_AutoML_20200514_184854_model_4,0.8350712154031517,0.16530467207116034,0.9841059077434896,0.3748190215710875,0.2072977522445777,0.04297235808565431
XGBoost_grid__1_AutoML_20200514_184854_model_9,0.8350305440796291,0.1645366459328999,0.9840030977300799,0.3868253586229268,0.2065009068575349,0.04264262453298431
GBM_grid__1_AutoML_20200514_184854_model_73,0.8341993225873751,0.16567146014338194,0.9822341370032852,0.37757013404985706,0.2018951027863637,0.04076163252911636
GBM_grid__1_AutoML_20200514_184854_model_65,0.83419108922717,0.16245427514591226,0.982113984732885,0.3735493762834317,0.2031269192961424,0.04126054534274154
GBM_grid__1_AutoML_20200514_184854_model_54,0.8334862461243381,0.16471461941979446,0.981537072197742,0.3624267602549873,0.20213633137744225,0.040859096462731136
GBM_grid__1_AutoML_20200514_184854_model_52,0.8330678944388342,0.16429206643519725,0.981763471153382,0.3672622938774055,0.2032772928611708,0.0413216577929662
DRF_1_AutoML_20200514_184854,0.8327882869961718,0.39587307932058297,0.9814055553726384,0.35573077186223323,0.2026399948577675,0.04106296751595605
GBM_grid__1_AutoML_20200514_184854_model_12,0.8321750018106012,0.1636849579586984,0.9819339904307852,0.3828555507026872,0.20312736012350824,0.04126072443074541
GBM_grid__1_AutoML_20200514_184854_model_67,0.8320892842026275,0.16600972439269834,0.981818468158851,0.34052343930121226,0.20327030942581595,0.041318818694066964
GBM_grid__1_AutoML_20200514_184854_model_57,0.8319892399153725,0.1657495128549183,0.9818867487625208,0.38651943816224654,0.2029186253811139,0.041175968526560865
GBM_grid__1_AutoML_20200514_184854_model_29,0.8319297088205222,0.16546578035946488,0.981875016121229,0.3449810711780842,0.2023317374485311,0.04093813197894133
XGBoost_grid__1_AutoML_20200514_184854_model_41,0.8318753433421897,0.1609875535983455,0.9827537797524496,0.3980229920537005,0.20451709863971032,0.041827243636005
GBM_grid__1_AutoML_20200514_184854_model_22,0.8315756743317037,0.17879719948661849,0.98088939879633,0.3817068862622959,0.206054472770492,0.04245844574872543
GBM_grid__1_AutoML_20200514_184854_model_5,0.8300553174276621,0.16859192052019822,0.9824552479695708,0.3571673614420883,0.20325803259131214,0.04131382781289092
DeepLearning_grid__1_AutoML_20200514_184854_model_1,0.8299486105493064,0.23950690221035795,0.9827949313456508,0.42808685910380345,0.21615546176272898,0.046723183649858606
XGBoost_grid__1_AutoML_20200514_184854_model_1,0.8297101488235203,0.16560147238178827,0.9829362980609696,0.3713021327987237,0.20722991956472955,0.04294423956280427
GBM_grid__1_AutoML_20200514_184854_model_24,0.8296004374539246,0.16946619536089072,0.9812589880610568,0.3637653507100456,0.20380283277065345,0.04153559464534293
GBM_grid__1_AutoML_20200514_184854_model_43,0.8294413048389493,0.16880442455508365,0.9813377588149204,0.3629126339278325,0.20436829201702392,0.04176639878195556
XGBoost_grid__1_AutoML_20200514_184854_model_49,0.828985750172442,0.16760090085589568,0.9831096227618532,0.3846930237505559,0.20848247297051573,0.043464941535901816
GBM_grid__1_AutoML_20200514_184854_model_59,0.8289479673773396,0.17637014140109394,0.9817708090976464,0.36755520541812026,0.2055053970757809,0.04223246822727439
GBM_grid__1_AutoML_20200514_184854_model_6,0.8286168408164668,0.16706920287931126,0.981107976620425,0.3580380735455179,0.20286621442549596,0.04115470095533129
GBM_grid__1_AutoML_20200514_184854_model_11,0.8286058559748103,0.16518473141922835,0.9809278453253426,0.3632415361109802,0.20525513560161007,0.04212967069083533
GBM_grid__1_AutoML_20200514_184854_model_49,0.8285829058785664,0.1657643248574859,0.9813297817661859,0.3618589324947745,0.2031467384574344,0.04126859734589325
GBM_grid__1_AutoML_20200514_184854_model_71,0.8277431031376482,0.16858114942923244,0.981251114150925,0.368834823508278,0.2043421529390036,0.041755715467747125
GBM_grid__1_AutoML_20200514_184854_model_19,0.8275445115377207,0.16782121620472715,0.9812852773286272,0.3605823505220804,0.20460487286405532,0.04186315399971625
GBM_grid__1_AutoML_20200514_184854_model_9,0.8273492406912691,0.16534580492354847,0.9804911724939904,0.3839502291794292,0.2040581257557416,0.041639718686946034
GBM_grid__1_AutoML_20200514_184854_model_55,0.8272459810712834,0.16683213980268788,0.9813197780706095,0.3598785827108502,0.2050251067091236,0.04203529438108751
XGBoost_grid__1_AutoML_20200514_184854_model_30,0.8271341612867825,0.1675769952755867,0.9832195230839308,0.4370120956600493,0.20828988072200907,0.04338467441118876
GBM_5_AutoML_20200514_184854,0.826912134655183,0.16780492468997876,0.9811428022250646,0.378230974533616,0.2048342953128865,0.0419570885363268
GBM_grid__1_AutoML_20200514_184854_model_77,0.8264942151947348,0.17577032608498402,0.9808269952394274,0.37993944421550574,0.20643836526979492,0.0426167986552653
GBM_grid__1_AutoML_20200514_184854_model_72,0.8263994630288919,0.1739551795651715,0.9814100474004976,0.3701504322408687,0.2054358652536528,0.04220389473251697
GBM_grid__1_AutoML_20200514_184854_model_26,0.8262853239879949,0.16579111768172905,0.9806906861166446,0.3655128471518319,0.20430254116653715,0.04173952832710461
GBM_grid__1_AutoML_20200514_184854_model_66,0.8262577986314067,0.16811274148078853,0.9817559084288544,0.36618864683934377,0.20533479046445854,0.04216237617508311
GBM_grid__1_AutoML_20200514_184854_model_28,0.8256374502559036,0.16652193692147624,0.980609678425926,0.3874341634268236,0.20308182550427667,0.04124222785014948
GBM_4_AutoML_20200514_184854,0.8256174624826016,0.16677900731178188,0.9809761451053172,0.3715529814620782,0.20338268489414174,0.04136451651474975
GBM_3_AutoML_20200514_184854,0.8250182931348219,0.166888565557249,0.9810734969645141,0.3642152337404577,0.20500989788265,0.042029058229854574
GBM_grid__1_AutoML_20200514_184854_model_45,0.8246195813341607,0.1677552302470734,0.9812321805372156,0.3516020421685089,0.2032811423544142,0.041323222836915606
GBM_grid__1_AutoML_20200514_184854_model_37,0.8241942191690971,0.1677981686454501,0.9810435467260084,0.39992138775025704,0.20571776028226751,0.04231979689555248
XGBoost_grid__1_AutoML_20200514_184854_model_38,0.8240821990851799,0.1685931813566419,0.98268210873797,0.3709162085344629,0.20829305961819825,0.04338599868511027
