model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200514_185112_model_6,0.9921971644630384,0.018725129332189196,0.8917812753867153,0.11257268857286364,0.06929832290602594,0.0048022575575878395
XGBoost_grid__1_AutoML_20200514_185112_model_2,0.9920240254313908,0.018359941648836718,0.8967304312816969,0.0942100993431309,0.06765035004434082,0.0045765698611218465
XGBoost_grid__1_AutoML_20200514_185112_model_8,0.9920024078777158,0.01765540667741831,0.9046545077987184,0.09006383810445542,0.06655965776996693,0.00443018804245512
XGBoost_2_AutoML_20200514_185112,0.9916897778496648,0.01937185113339157,0.8863096509741558,0.0999880646067794,0.07052674378026914,0.004974021588247733
XGBoost_grid__1_AutoML_20200514_185112_model_9,0.9915341940530038,0.01832954179951131,0.9001382289556299,0.09274962054633408,0.06807799182761097,0.004634612971280267
XGBoost_grid__1_AutoML_20200514_185112_model_1,0.9914346281265004,0.019977352635952683,0.895509524505987,0.09198588055981424,0.0690825661813053,0.004772400950194427
XGBoost_grid__1_AutoML_20200514_185112_model_5,0.9914033151722212,0.017555356151373113,0.9058181481619376,0.09367933784710902,0.06637355772788861,0.004405449165457361
XGBoost_grid__1_AutoML_20200514_185112_model_4,0.9911751813729004,0.02040381424348346,0.9036783331774167,0.10239314985462736,0.0682151645943787,0.004653308680638176
XGBoost_grid__1_AutoML_20200514_185112_model_7,0.9911384158842028,0.01971610462791134,0.8946118594502644,0.10407696590556707,0.06855395320973036,0.0046996445006819
XGBoost_1_AutoML_20200514_185112,0.991104815994958,0.019087672718224216,0.8931010664208637,0.10567889162998774,0.06849998591813036,0.004692248070784058
XGBoost_3_AutoML_20200514_185112,0.9907608188483789,0.018637257838992782,0.8971439657081809,0.10839664903363576,0.06764573451507687,0.004575945398084264
StackedEnsemble_BestOfFamily_AutoML_20200514_185112,0.9903012592670368,0.022123452276295988,0.8959845509900859,0.1077222439487731,0.07004720081893072,0.004906610342567609
DRF_1_AutoML_20200514_185112,0.990145037535885,0.02205461883744657,0.8720219382461621,0.11455428762932725,0.07570722821696484,0.0057315844042955975
XGBoost_grid__1_AutoML_20200514_185112_model_3,0.9899924989736776,0.019226929128198803,0.893461116376331,0.11293222484070925,0.06891070591953997,0.004748685390329322
GBM_grid__1_AutoML_20200514_185112_model_4,0.9897824199240856,0.021642893637042183,0.8668466753652141,0.10101980929827074,0.07344255563996108,0.005393808978928778
StackedEnsemble_AllModels_AutoML_20200514_185112,0.9897445711504044,0.02167735713909923,0.9041806865273384,0.1004391324374992,0.0684974924514295,0.00469190647213364
GBM_5_AutoML_20200514_185112,0.9892376419240244,0.023190596138817857,0.8392529081357349,0.13177651479320132,0.07824666382751118,0.006122540400135547
GBM_grid__1_AutoML_20200514_185112_model_3,0.9891672163635832,0.02171744195640995,0.859015768550233,0.11346823425065225,0.07430907531811203,0.005521838674632846
GBM_grid__1_AutoML_20200514_185112_model_1,0.9884798900961648,0.022119423074242348,0.8567217591366195,0.11045049718026337,0.07431859676170245,0.005523253824628531
GBM_4_AutoML_20200514_185112,0.98808236061664,0.024360465916085573,0.8488507172627316,0.10461077865429308,0.07769540036272489,0.006036575237524111
GBM_2_AutoML_20200514_185112,0.9878367738925814,0.02607905061452067,0.8293600928790282,0.10129525857838033,0.0757051980591494,0.0057312770131750365
GBM_grid__1_AutoML_20200514_185112_model_5,0.9871394994580626,0.027191062915607737,0.8221759050722176,0.1233061771040232,0.08162260778166333,0.0066622501010792454
GBM_grid__1_AutoML_20200514_185112_model_2,0.9869318036354344,0.02825458395847985,0.7992488977523825,0.11410846771252856,0.0809994307942122,0.0065609077889863705
XGBoost_grid__1_AutoML_20200514_185112_model_10,0.9856816506364764,0.030375401503940164,0.8368555262399274,0.11698256119407666,0.07974356009137044,0.0063590353760460076
GBM_3_AutoML_20200514_185112,0.9834482720767972,0.026778205360465088,0.8051974796186946,0.09897950823218953,0.07856075033482636,0.00617179149317092
GLM_1_AutoML_20200514_185112,0.9819020633100392,0.035652548892157215,0.7265348328656049,0.13196433835462806,0.09317596398725628,0.00868176026495448
GBM_1_AutoML_20200514_185112,0.9809582452497259,0.03288129011830375,0.7524900180281475,0.12558250791330652,0.08442021802355018,0.007126773211143745
GBM_grid__1_AutoML_20200514_185112_model_6,0.9728140004136464,0.04454264532028819,0.7298819304265857,0.17740247423012473,0.09461897192179276,0.008952749847537005
DeepLearning_grid__2_AutoML_20200514_185112_model_1,0.9619922542475634,0.05837072203219916,0.7283851986198443,0.14801471596911678,0.09311135592466556,0.00866972460212975
DeepLearning_1_AutoML_20200514_185112,0.9526863066314456,0.060861349724112286,0.6070495487209427,0.1765585531000601,0.10542315352654248,0.011114041299480943
DeepLearning_grid__1_AutoML_20200514_185112_model_1,0.9523034857547,0.0732884704691616,0.7146756458320765,0.15714237293166444,0.09004460750107655,0.008108031340022932
DeepLearning_grid__3_AutoML_20200514_185112_model_1,0.9416231744797412,0.07741331706464158,0.6726320103267189,0.18736697486084333,0.1009162702592329,0.010184093603034535
DeepLearning_grid__1_AutoML_20200514_185112_model_2,0.7230364860854269,0.30331930252157896,0.3601750017722285,0.3256432115928441,0.11849729240858743,0.01404160830816627
