model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_021921,60.258970868549525,3631.143570136699,3631.143570136699,25.79937891380373,
StackedEnsemble_BestOfFamily_AutoML_20200516_021921,61.277146855394314,3754.8887267375617,3754.8887267375617,26.118154337390777,
GBM_grid__1_AutoML_20200516_021921_model_28,61.98065445593314,3841.6015267857847,3841.6015267857847,27.295816402923013,
GBM_4_AutoML_20200516_021921,62.41878075671588,3896.104191154965,3896.104191154965,27.335201359371734,
GBM_3_AutoML_20200516_021921,62.71723430742952,3933.4514791730144,3933.4514791730144,28.12717945288616,
GBM_grid__1_AutoML_20200516_021921_model_6,62.71743890273484,3933.477142518278,3933.477142518278,29.54061021307055,
GBM_grid__1_AutoML_20200516_021921_model_23,62.98753490139095,3967.4295529539427,3967.4295529539427,28.95328114780312,
DRF_1_AutoML_20200516_021921,63.03514155051829,3973.429070293877,3973.429070293877,24.495129090468588,0.8787303162551909
GBM_grid__1_AutoML_20200516_021921_model_17,63.054463669647724,3975.865388666923,3975.865388666923,28.555441570058132,
GBM_grid__1_AutoML_20200516_021921_model_22,63.10136174984167,3981.781854684382,3981.781854684382,26.517556545951567,
GBM_grid__1_AutoML_20200516_021921_model_16,63.16283180019783,3989.5433210200817,3989.5433210200817,30.563841687844715,
GBM_grid__1_AutoML_20200516_021921_model_26,63.34160941616315,4012.159483429768,4012.159483429768,28.67030375831285,
GBM_grid__1_AutoML_20200516_021921_model_24,63.4290409055177,4023.2432301938375,4023.2432301938375,26.82652731584179,
GBM_grid__1_AutoML_20200516_021921_model_29,63.625638820807026,4048.2219153557867,4048.2219153557867,30.265166253155343,
GBM_grid__1_AutoML_20200516_021921_model_5,63.70184372464993,4057.9248939197228,4057.9248939197228,28.33778629052905,
XGBoost_grid__1_AutoML_20200516_021921_model_12,63.72642555631626,4061.0573141847194,4061.0573141847194,27.91501238488775,
GBM_grid__1_AutoML_20200516_021921_model_2,63.83953934133131,4075.486783313388,4075.486783313388,29.961133957156022,
GBM_2_AutoML_20200516_021921,63.84182474995745,4075.778587404281,4075.778587404281,28.44848391353321,
GBM_grid__1_AutoML_20200516_021921_model_9,63.902007921585295,4083.466616410349,4083.466616410349,28.57075047659277,
GBM_grid__1_AutoML_20200516_021921_model_13,64.33041611598995,4138.4024376564175,4138.4024376564175,28.89426721039362,
GBM_grid__1_AutoML_20200516_021921_model_19,64.35447099637864,4141.497937223739,4141.497937223739,28.161215193159997,
XGBoost_grid__1_AutoML_20200516_021921_model_50,64.37066257235375,4143.582200003822,4143.582200003822,26.919964164403467,
XGBoost_grid__1_AutoML_20200516_021921_model_28,64.45331913540781,4154.230347570726,4154.230347570726,28.079708596425967,
GBM_grid__1_AutoML_20200516_021921_model_12,64.52145896570855,4163.018667063611,4163.018667063611,30.321371656873907,
XGBoost_grid__1_AutoML_20200516_021921_model_65,64.54598220518254,4166.183818831743,4166.183818831743,27.50645869550398,
XGBoost_grid__1_AutoML_20200516_021921_model_5,64.59446152007385,4172.444459068299,4172.444459068299,28.62700280238139,
GBM_1_AutoML_20200516_021921,64.64273818120807,4178.683599564217,4178.683599564217,29.20412586655632,
XGBoost_grid__1_AutoML_20200516_021921_model_8,64.72281022312407,4189.042163178531,4189.042163178531,28.47340780311594,
GBM_grid__1_AutoML_20200516_021921_model_18,64.73772293420164,4190.972770705457,4190.972770705457,32.01101391043953,
XGBoost_grid__1_AutoML_20200516_021921_model_9,64.84278663026271,4204.586977977776,4204.586977977776,26.874465140802716,
GBM_grid__1_AutoML_20200516_021921_model_11,64.84489166290095,4204.8599747733615,4204.8599747733615,31.311692162523514,
XGBoost_grid__1_AutoML_20200516_021921_model_14,65.16988720322672,4247.114198081295,4247.114198081295,28.220612064167696,
XGBoost_grid__1_AutoML_20200516_021921_model_17,65.19958290144939,4250.985610522971,4250.985610522971,30.026205719452076,
XGBoost_grid__1_AutoML_20200516_021921_model_40,65.27639313070208,4261.00750015397,4261.00750015397,27.33978977228013,
XGBoost_grid__1_AutoML_20200516_021921_model_63,65.3051166034328,4264.758254587953,4264.758254587953,29.266186768477716,
GBM_grid__1_AutoML_20200516_021921_model_4,65.35863924280048,4271.751723670539,4271.751723670539,29.86673596503058,
XGBoost_grid__1_AutoML_20200516_021921_model_4,65.38562958926244,4275.280556784232,4275.280556784232,28.184891909836217,
XGBoost_grid__1_AutoML_20200516_021921_model_32,65.53656783809197,4295.041723996832,4295.041723996832,26.736040118593106,
XGBoost_grid__1_AutoML_20200516_021921_model_59,65.61775407205103,4305.689649460171,4305.689649460171,27.922758772476765,
GBM_grid__1_AutoML_20200516_021921_model_31,65.65495362303521,4310.572935242905,4310.572935242905,30.377837552131552,
XGBoost_grid__1_AutoML_20200516_021921_model_42,65.69835376150584,4316.273686971967,4316.273686971967,27.84622201933173,
XGBoost_grid__1_AutoML_20200516_021921_model_62,65.80620932618888,4330.457185882188,4330.457185882188,30.66745786042833,
XGBoost_grid__1_AutoML_20200516_021921_model_68,65.83660788598739,4334.458937933259,4334.458937933259,27.532698908217906,
GBM_grid__1_AutoML_20200516_021921_model_32,65.96211048480842,4351.0000196100755,4351.0000196100755,32.83085832477801,
XGBoost_grid__1_AutoML_20200516_021921_model_48,66.10909720578134,4370.412733363447,4370.412733363447,27.261672042285987,
XGBoost_grid__1_AutoML_20200516_021921_model_61,66.18122387632975,4379.95439376888,4379.95439376888,30.7320806807235,
XGBoost_grid__1_AutoML_20200516_021921_model_34,66.23094056231179,4386.537487768476,4386.537487768476,28.866996687234106,
