model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200515_161922,0.8812606479616001,0.43444360919891534,0.8890558168737344,0.20221124141977534,0.3722837874549632,0.13859521840181224
StackedEnsemble_BestOfFamily_AutoML_20200515_161922,0.8805254526046415,0.43448373711460186,0.8883939930883022,0.2109324963416962,0.372219981001771,0.13854771425695875
GBM_grid__1_AutoML_20200515_161922_model_6,0.8743492814172303,0.44679190134173946,0.8850967584362737,0.2076534543577998,0.3781621496581737,0.14300661143409096
GBM_grid__1_AutoML_20200515_161922_model_9,0.8735147639952212,0.4465690113216481,0.8857281005610341,0.2124099562417379,0.3791036340318286,0.14371956533613864
GBM_grid__1_AutoML_20200515_161922_model_5,0.8731819820584056,0.44722530776068586,0.8843863146357168,0.2170996543167985,0.3777725395140387,0.14271209161088594
GBM_grid__1_AutoML_20200515_161922_model_11,0.8730308782049923,0.4457172115867055,0.8803604410643285,0.21652528294417464,0.3779155569206182,0.142820168162621
XRT_1_AutoML_20200515_161922,0.8726155635201719,0.4742929671520096,0.8797149962359001,0.2053725814546971,0.3825462897607826,0.1463416638097406
XGBoost_grid__1_AutoML_20200515_161922_model_5,0.8712570426766766,0.4479195075268536,0.8844079530579159,0.21038003944605854,0.3796016012986167,0.144097375708474
XGBoost_grid__1_AutoML_20200515_161922_model_9,0.8709230236322891,0.4631813066234962,0.8813237671721394,0.2023837295612156,0.3825965396875462,0.14638011218088412
DRF_1_AutoML_20200515_161922,0.8705034674357941,0.4697829223390654,0.8800554376993864,0.22109763252956688,0.3845642074323515,0.1478896296380727
XGBoost_grid__1_AutoML_20200515_161922_model_12,0.8697327494185595,0.4499671345237855,0.8792232220412676,0.2096773623452732,0.3800534220843073,0.1444406036379926
XGBoost_grid__1_AutoML_20200515_161922_model_26,0.8686092790137071,0.5161725907717203,0.8781683485383794,0.21511992874260388,0.3927965147427904,0.15428910199408313
GBM_1_AutoML_20200515_161922,0.8684044493457469,0.4528458509445273,0.8748594265383786,0.22132066535179806,0.3807746520493847,0.14498933564333
GBM_grid__1_AutoML_20200515_161922_model_4,0.8683328738362353,0.452843381055829,0.8777438198652938,0.20331509483313187,0.3807077833085031,0.14493841627167411
XGBoost_grid__1_AutoML_20200515_161922_model_8,0.8682911656380999,0.4576302986886333,0.879826613245753,0.21196389059727555,0.3820515238429876,0.14596336687074893
XGBoost_grid__1_AutoML_20200515_161922_model_23,0.8676697841777475,0.4642341891939876,0.8820307432807716,0.2282908828706551,0.3854917899542453,0.14860392012212803
XGBoost_grid__1_AutoML_20200515_161922_model_4,0.867613584148057,0.5250237810473093,0.8804362374366639,0.22108101994217408,0.3954680712618841,0.1563949953875946
XGBoost_grid__1_AutoML_20200515_161922_model_2,0.8663236344099704,0.4598598943156503,0.8788355866625236,0.2147017863833337,0.38325502884973534,0.14688441713861147
GBM_3_AutoML_20200515_161922,0.8661799532019879,0.455170227497003,0.8755633647148913,0.2180642447635004,0.38156051274563263,0.14558842488671006
GBM_4_AutoML_20200515_161922,0.8659070826175783,0.4570080926171698,0.8696331399226606,0.21111063983203612,0.3819907981584552,0.14591696987773364
GBM_grid__1_AutoML_20200515_161922_model_10,0.8657142705660297,0.4575915272298941,0.873972904265955,0.22334492679857768,0.3832436576008147,0.1468757010912505
