model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid__1_AutoML_20200514_133301_model_4,0.7544834307992203,0.4961596859298526,0.4778060138913677,0.3007614522417153,0.3951944756348715,0.156178673572321
DeepLearning_grid__1_AutoML_20200514_133301_model_1,0.7512853313840157,0.5046607614758961,0.5199824396570264,0.2917884990253411,0.38853751355966204,0.15096139944312453
DeepLearning_grid__1_AutoML_20200514_133301_model_11,0.7487268518518518,0.4863726575159565,0.5141584821842256,0.3076632553606238,0.39320167207083184,0.15460755491929798
StackedEnsemble_BestOfFamily_AutoML_20200514_133301,0.7486415692007797,0.471458126733717,0.5128502896338226,0.3037768031189084,0.3877722298840151,0.1503673022692214
DeepLearning_grid__3_AutoML_20200514_133301_model_1,0.7468628167641326,0.4862139677870057,0.5195181152513634,0.2992750974658869,0.3882806821538519,0.15076188813386052
DeepLearning_grid__1_AutoML_20200514_133301_model_6,0.7462292884990254,0.4926279228764958,0.496779125872756,0.31392543859649125,0.3930133160224326,0.15445946657094853
GLM_1_AutoML_20200514_133301,0.7460769980506823,0.4788311905967077,0.5041788612492641,0.3036549707602339,0.3934955234639168,0.1548387269861419
StackedEnsemble_AllModels_AutoML_20200514_133301,0.7418311403508772,0.4728033055361209,0.5077159844695349,0.30337475633528266,0.3888466514557624,0.15120171834835913
GBM_grid__1_AutoML_20200514_133301_model_3,0.7391508284600391,0.4832259067104346,0.4923733388061546,0.30824805068226124,0.3948968881433185,0.15594355226527662
DeepLearning_grid__1_AutoML_20200514_133301_model_10,0.7371954191033138,0.4997502223423126,0.5097777567318471,0.3099963450292398,0.3918750394157766,0.15356604651711653
DeepLearning_grid__1_AutoML_20200514_133301_model_12,0.734904970760234,0.5151056028235624,0.4786378581736435,0.31652655945419106,0.3976514521715235,0.15812667741412145
DeepLearning_grid__1_AutoML_20200514_133301_model_7,0.734837962962963,0.5342465542745072,0.5186025399694886,0.31466861598440543,0.3970389890094764,0.1576399587936671
DeepLearning_1_AutoML_20200514_133301,0.7330957602339181,0.487130210516873,0.4737936840732309,0.3100450779727095,0.3964445935502912,0.15716831575525558
GBM_5_AutoML_20200514_133301,0.7311464424951267,0.4836192691318035,0.4757626622474483,0.3080165692007797,0.3948460744209429,0.15590342248562886
DeepLearning_grid__1_AutoML_20200514_133301_model_3,0.7289656432748538,0.6212400803476029,0.5006139208782127,0.3023696393762183,0.4151608795357031,0.17235855589685856
DeepLearning_grid__1_AutoML_20200514_133301_model_2,0.7270650584795322,0.6552198771206684,0.4675703914223581,0.3128898635477583,0.4292897349526672,0.1842896765357312
DeepLearning_grid__1_AutoML_20200514_133301_model_9,0.7251035575048732,0.5576979781350107,0.4700038252504203,0.3304641812865497,0.4091378549411601,0.16739378434585372
XGBoost_grid__1_AutoML_20200514_133301_model_5,0.7217348927875243,0.4842916409713583,0.4854220249559343,0.3066398635477583,0.394202953357525,0.15539596843579506
GBM_grid__1_AutoML_20200514_133301_model_4,0.7213693957115009,0.4872563275194735,0.4885690308182168,0.3111415692007797,0.39480342587021,0.15586974507885434
GBM_grid__1_AutoML_20200514_133301_model_1,0.7196576510721248,0.4881023055312786,0.4673557655091856,0.31610623781676417,0.3952230433500517,0.1562012539948768
XGBoost_grid__1_AutoML_20200514_133301_model_6,0.7188779239766082,0.489083146835774,0.4651760038716975,0.3082175925925926,0.3949378512954323,0.15597590638585304
DeepLearning_grid__3_AutoML_20200514_133301_model_2,0.7182322124756335,0.6271389646809935,0.4659920694393641,0.32615131578947365,0.4235266390036677,0.1793748139457431
DeepLearning_grid__1_AutoML_20200514_133301_model_5,0.7175316764132553,0.6487375980321856,0.4733639907672,0.33900462962962963,0.41590358254770143,0.1729757899760127
XGBoost_grid__1_AutoML_20200514_133301_model_8,0.7165813840155946,0.4897100448149383,0.4747714922790415,0.3101364522417154,0.3959158809416406,0.15674938478179534
DeepLearning_grid__2_AutoML_20200514_133301_model_1,0.7113730506822612,0.5120117701189077,0.4665204512573314,0.335057261208577,0.39824164538731976,0.15859640812079975
XGBoost_2_AutoML_20200514_133301,0.7099841617933723,0.4997722920551666,0.462010177103633,0.3156128167641325,0.39923699629870746,0.15939017921361415
DeepLearning_grid__2_AutoML_20200514_133301_model_6,0.709198343079922,0.5407103959298754,0.4789423110799058,0.3136939571150097,0.4151879646162179,0.17238104596215784
XGBoost_grid__1_AutoML_20200514_133301_model_3,0.7085648148148148,0.5055908654873928,0.4802125114086072,0.3192799707602339,0.4000645829784963,0.16005167055375813
GBM_grid__1_AutoML_20200514_133301_model_7,0.7072551169590643,0.4974486699357139,0.4463150273666059,0.3286854288499025,0.400244865381373,0.16019595226415334
