model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_032457,9.364902953300891,87.70140732474378,87.70140732474378,7.206432443319466,
StackedEnsemble_BestOfFamily_AutoML_20200516_032457,9.367113697294096,87.74281901803467,87.74281901803467,7.210426139467175,
GBM_grid__1_AutoML_20200516_032457_model_3,9.377135816001443,87.9306761117371,87.9306761117371,7.224419645839906,
GBM_2_AutoML_20200516_032457,9.383832304564152,88.05630872018175,88.05630872018175,7.233096548591441,
GBM_3_AutoML_20200516_032457,9.38736037509829,88.12253481196552,88.12253481196552,7.232484001581828,
GBM_grid__1_AutoML_20200516_032457_model_21,9.391090134586001,88.1925739159185,88.1925739159185,7.246882853531058,
XGBoost_grid__1_AutoML_20200516_032457_model_12,9.391993069532084,88.20953381813868,88.20953381813868,7.233799339161787,
GBM_5_AutoML_20200516_032457,9.392522791846018,88.21948439534691,88.21948439534691,7.2330949380561105,
GBM_grid__1_AutoML_20200516_032457_model_27,9.396118576358722,88.28704430099344,88.28704430099344,7.247600820354857,
GBM_grid__1_AutoML_20200516_032457_model_2,9.398642777837646,88.33448606539974,88.33448606539974,7.247736075487634,
GBM_1_AutoML_20200516_032457,9.398910774888254,88.33952375431052,88.33952375431052,7.251365743293363,
XGBoost_grid__1_AutoML_20200516_032457_model_5,9.399679328622936,88.35397148094134,88.35397148094134,7.2452356697998015,
GBM_grid__1_AutoML_20200516_032457_model_26,9.403217841387066,88.42050577258006,88.42050577258006,7.251399851040066,
GBM_grid__1_AutoML_20200516_032457_model_19,9.403385405834324,88.42365709065798,88.42365709065798,7.232509197108438,
GBM_4_AutoML_20200516_032457,9.40638622545626,88.48010182245329,88.48010182245329,7.238395268359027,
XGBoost_grid__1_AutoML_20200516_032457_model_6,9.411603262068232,88.57827596257341,88.57827596257341,7.269028917314974,
XGBoost_3_AutoML_20200516_032457,9.414094834311282,88.62518154940643,88.62518154940643,7.269317956789793,
XGBoost_grid__1_AutoML_20200516_032457_model_11,9.414624839974023,88.63516087745592,88.63516087745592,7.272912792498072,
XGBoost_grid__1_AutoML_20200516_032457_model_14,9.414808690158203,88.63862267227843,88.63862267227843,7.250165586267107,
DeepLearning_grid__1_AutoML_20200516_032457_model_1,9.41493432550851,88.64098835363838,88.64098835363838,7.259560040899767,
XGBoost_grid__1_AutoML_20200516_032457_model_16,9.415381867875597,88.64941571792052,88.64941571792052,7.2736542679788485,
GBM_grid__1_AutoML_20200516_032457_model_5,9.418229868754091,88.7030538606917,88.7030538606917,7.240790956722809,
GBM_grid__1_AutoML_20200516_032457_model_9,9.418745186249096,88.7127608834905,88.7127608834905,7.2685067061860895,
DeepLearning_grid__1_AutoML_20200516_032457_model_2,9.420655255524085,88.74874544343355,88.74874544343355,7.2387278703996305,
XGBoost_grid__1_AutoML_20200516_032457_model_13,9.420786101258628,88.75121076566771,88.75121076566771,7.276497154109516,
