model_id,logloss,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200514_133545_model_21,0.002671883286701855,0.0,0.020211871312480187,0.00040851974195225954
StackedEnsemble_BestOfFamily_AutoML_20200514_133545,0.004704236638319293,0.003968253968253968,0.02128173480729389,0.0004529122364079847
GBM_grid__1_AutoML_20200514_133545_model_175,0.006603991349306814,0.016215106732348113,0.040402502049481655,0.0016323621718583696
GBM_grid__1_AutoML_20200514_133545_model_195,0.008064622316241301,0.003968253968253968,0.0394812316718106,0.0015587676543231805
GBM_grid__1_AutoML_20200514_133545_model_57,0.00979652388118126,0.00938159464171025,0.0475646297449448,0.002262394002773688
GBM_grid__1_AutoML_20200514_133545_model_127,0.01065879336612758,0.018002284296882658,0.05535224141373273,0.0030638706295241487
GBM_grid__1_AutoML_20200514_133545_model_84,0.013291306804878264,0.02521624888078944,0.05519974041470256,0.003047011341850546
GBM_grid__1_AutoML_20200514_133545_model_92,0.01333088966607872,0.023874761793112133,0.06470854126884233,0.0041871953131414705
GBM_grid__1_AutoML_20200514_133545_model_74,0.013966981710584648,0.021477563323922068,0.05804073987962958,0.0033687274857748225
GBM_grid__1_AutoML_20200514_133545_model_109,0.014040532766628795,0.021970538265136633,0.057142129678129865,0.00326522298415221
GBM_grid__1_AutoML_20200514_133545_model_10,0.014216656686393075,0.018954396060870408,0.06373278457245901,0.00406186782935947
GBM_grid__1_AutoML_20200514_133545_model_168,0.015006868700433416,0.0194135328836436,0.0690142814836476,0.004762971048704145
GBM_grid__1_AutoML_20200514_133545_model_91,0.016011333496547316,0.027843015761366097,0.07166058675453663,0.00513523969400447
GBM_grid__1_AutoML_20200514_133545_model_183,0.01617127596314035,0.02712047240876493,0.0700038648219397,0.0049005410900084066
GBM_grid__1_AutoML_20200514_133545_model_8,0.0172572262748664,0.02738387893859291,0.06867222526042073,0.004715874522217968
GBM_grid__1_AutoML_20200514_133545_model_201,0.017529351758925518,0.02544581729217604,0.06553482552416043,0.00429481335648215
GBM_grid__1_AutoML_20200514_133545_model_29,0.018038263929767352,0.030174976246967838,0.07144246189835975,0.0051040253620985845
GBM_grid__1_AutoML_20200514_133545_model_120,0.01815446083009837,0.022580559169792142,0.0657132841355154,0.00431823571187498
XGBoost_grid__1_AutoML_20200514_133545_model_135,0.018457439225768684,0.014301960373951962,0.06757540188989307,0.004566434940580563
GBM_grid__1_AutoML_20200514_133545_model_217,0.01937153428376344,0.031088726377018906,0.077419012123335,0.005993703438153093
GBM_grid__1_AutoML_20200514_133545_model_131,0.019741354655344687,0.031088726377018906,0.07647257452120816,0.005848054653901735
GBM_grid__1_AutoML_20200514_133545_model_209,0.019817920490061498,0.029414071260430007,0.06727287501045624,0.004525639712172468
GBM_grid__1_AutoML_20200514_133545_model_121,0.02013187051260428,0.03577952369787403,0.07921846142535208,0.006275564630599994
GBM_grid__1_AutoML_20200514_133545_model_5,0.020669162116722168,0.03204083814100665,0.07796874693784603,0.006079125499057875
GBM_grid__1_AutoML_20200514_133545_model_160,0.02109454275447239,0.03554995528648744,0.07850697583274108,0.006163345254402591
GBM_grid__1_AutoML_20200514_133545_model_7,0.02114977084192416,0.03158170131823347,0.07704394430823891,0.005935769354571021
GBM_grid__1_AutoML_20200514_133545_model_6,0.021379536631158155,0.027350040820151533,0.07820544180449862,0.006116091127836821
GBM_grid__1_AutoML_20200514_133545_model_218,0.021669758116994987,0.03589204614581968,0.07805097177398497,0.0060919541948634
GBM_grid__1_AutoML_20200514_133545_model_133,0.02171368521083081,0.03589656966131498,0.07937016216951595,0.006299622642815261
GBM_grid__1_AutoML_20200514_133545_model_164,0.021812572373371888,0.035628639615991706,0.07892748542520754,0.006229547955546349
GBM_grid__1_AutoML_20200514_133545_model_114,0.021987600611215626,0.039747777666128,0.08031115006681465,0.006449880825054422
DeepLearning_grid__3_AutoML_20200514_133545_model_1,0.02263495529047533,0.019145602838320327,0.07504797882378586,0.00563219912553541
GBM_grid__1_AutoML_20200514_133545_model_170,0.02423500515006797,0.031088726377018906,0.08108730913706481,0.006575151703089916
GBM_grid__1_AutoML_20200514_133545_model_161,0.02430937240601815,0.02361135526328416,0.08143624798387589,0.00663186248569133
GBM_grid__1_AutoML_20200514_133545_model_182,0.024684355152776945,0.027350040820151533,0.08295096216228838,0.0068808621236493995
DeepLearning_grid__1_AutoML_20200514_133545_model_3,0.024752761699847633,0.026969588326882614,0.07379542210788607,0.005445764324081079
XGBoost_grid__1_AutoML_20200514_133545_model_41,0.024775402490228127,0.023913123427048804,0.07906365858331138,0.006251062108578426
GBM_grid__1_AutoML_20200514_133545_model_236,0.025152456747548874,0.015103188056057391,0.0747799552701447,0.005592041710204842
GBM_grid__1_AutoML_20200514_133545_model_203,0.025311816012912915,0.03650206705047519,0.08366265363948057,0.006999439613999693
GBM_grid__1_AutoML_20200514_133545_model_51,0.025624461174872992,0.039747777666128,0.08577551155727779,0.0073574383829126955
GBM_grid__1_AutoML_20200514_133545_model_108,0.02578642561532517,0.027237518372205886,0.0791115379014514,0.006258635429132782
