model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200514_142148,0.18590859573983629,0.05041152263374485,0.2243096356223134,0.050314812633015016
XGBoost_grid__1_AutoML_20200514_142148_model_22,0.207897676840957,0.06584362139917695,0.24606483170906734,0.06054790140401165
XGBoost_grid__1_AutoML_20200514_142148_model_77,0.20992581880244665,0.06584362139917695,0.2537882808939783,0.06440849151912084
XGBoost_grid__1_AutoML_20200514_142148_model_33,0.2172614876324368,0.07304526748971192,0.2608666222970575,0.06805139462867565
XGBoost_grid__1_AutoML_20200514_142148_model_153,0.2201440352196165,0.07098765432098765,0.2476725059428515,0.061341670200011814
XGBoost_grid__1_AutoML_20200514_142148_model_133,0.22164928601508188,0.07304526748971192,0.251387861390422,0.06319585685444999
XGBoost_grid__1_AutoML_20200514_142148_model_1,0.22547430862721424,0.07613168724279835,0.25812198121493035,0.06662695718632085
XGBoost_grid__1_AutoML_20200514_142148_model_111,0.2269645287067485,0.0720164609053498,0.25850187143733,0.06682321753660188
XGBoost_grid__1_AutoML_20200514_142148_model_155,0.2271172967004305,0.07407407407407407,0.2644998562178653,0.0699601739392714
XGBoost_grid__1_AutoML_20200514_142148_model_19,0.2289485504169505,0.0699588477366255,0.2610593102952058,0.06815196349180852
XGBoost_grid__1_AutoML_20200514_142148_model_39,0.2312529559847707,0.07407407407407406,0.2655859877493673,0.07053591688880707
XGBoost_grid__1_AutoML_20200514_142148_model_101,0.2323885838401217,0.07304526748971192,0.2628107613343181,0.06906949627312392
XGBoost_grid__1_AutoML_20200514_142148_model_42,0.23276176431401904,0.08127572016460904,0.2625150397324276,0.06891414608571805
XGBoost_grid__1_AutoML_20200514_142148_model_118,0.23327063117765004,0.07098765432098765,0.2620063442615987,0.06864732443332736
XGBoost_grid__1_AutoML_20200514_142148_model_130,0.2372633303656048,0.06790123456790123,0.2577081362551315,0.06641348349209343
XGBoost_grid__1_AutoML_20200514_142148_model_148,0.2380027843943772,0.07098765432098765,0.2718100803031285,0.07388071975439317
XGBoost_grid__1_AutoML_20200514_142148_model_97,0.2424740602647028,0.06790123456790123,0.27154143998439256,0.07373475362879747
XGBoost_grid__1_AutoML_20200514_142148_model_80,0.2428747197639128,0.08024691358024692,0.2734769045578057,0.07478961732651915
XGBoost_grid__1_AutoML_20200514_142148_model_69,0.2450800386037581,0.06995884773662553,0.274438458993659,0.07531646777481425
XGBoost_grid__1_AutoML_20200514_142148_model_120,0.2468336205347167,0.07613168724279834,0.27792805114154656,0.07724400161133813
XGBoost_grid__1_AutoML_20200514_142148_model_104,0.2473724958509001,0.08127572016460906,0.2695720622562262,0.07266909674907471
XGBoost_grid__1_AutoML_20200514_142148_model_40,0.2480769915751748,0.06893004115226338,0.2740318166372012,0.07509343652948465
XGBoost_grid__1_AutoML_20200514_142148_model_143,0.2488422010473455,0.07613168724279835,0.27544031810956243,0.07586736884029695
XGBoost_grid__1_AutoML_20200514_142148_model_52,0.2498230463855798,0.07818930041152264,0.26236784622379977,0.06883688673211545
XGBoost_grid__1_AutoML_20200514_142148_model_83,0.2512488955853002,0.0802469135802469,0.2587179194978217,0.06693496186928137
XGBoost_grid__1_AutoML_20200514_142148_model_147,0.25172150360181944,0.08333333333333331,0.2616175120233648,0.06844372259729542
XGBoost_grid__1_AutoML_20200514_142148_model_89,0.2517565009017858,0.08641975308641975,0.278277540468164,0.07743838952901065
XGBoost_grid__1_AutoML_20200514_142148_model_152,0.25183116873671985,0.0823045267489712,0.2788275679896728,0.0777448126710356
XGBoost_grid__1_AutoML_20200514_142148_model_123,0.2523478664382091,0.08436213991769546,0.280670397629467,0.07877587210548312
XGBoost_grid__1_AutoML_20200514_142148_model_96,0.2526890152635817,0.07921810699588477,0.2781134405864241,0.07734708583481842
GBM_1_AutoML_20200514_142148,0.2527559126525255,0.0823045267489712,0.2759620340816944,0.07615504425450625
XGBoost_grid__1_AutoML_20200514_142148_model_41,0.2528133713044915,0.0823045267489712,0.2650329814679431,0.07024248126578707
XGBoost_grid__1_AutoML_20200514_142148_model_128,0.2532490082009659,0.07921810699588477,0.26778200915050715,0.07170720442468229
XGBoost_grid__1_AutoML_20200514_142148_model_31,0.2536801265902623,0.08436213991769548,0.2765400796498337,0.07647441565273634
XGBoost_grid__1_AutoML_20200514_142148_model_106,0.2547954075169499,0.07407407407407406,0.27920134844483085,0.07795339297341186
GBM_grid__1_AutoML_20200514_142148_model_2,0.2551154515367498,0.08024691358024692,0.27109014370803,0.07348986601564035
XGBoost_grid__1_AutoML_20200514_142148_model_55,0.2558712500864968,0.0823045267489712,0.2811396311109048,0.07903949218117562
XGBoost_grid__1_AutoML_20200514_142148_model_140,0.2578802674678389,0.0823045267489712,0.28072868638113835,0.07880859535727952
XGBoost_grid__1_AutoML_20200514_142148_model_5,0.25830837181972205,0.07098765432098765,0.28214275253425625,0.07960453280760656
XGBoost_grid__1_AutoML_20200514_142148_model_66,0.2590427965115223,0.08539094650205761,0.27196843118961805,0.07396682756374202
