model_id,logloss,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200514_194730_model_2,0.3557068572651351,0.3161174121215947,0.3407834902508529,0.11613338722755315
StackedEnsemble_AllModels_AutoML_20200514_194730,0.3585920857504071,0.29985102242077943,0.3355716924154114,0.11260836075054348
StackedEnsemble_BestOfFamily_AutoML_20200514_194730,0.3636465653552991,0.3024987438806987,0.3377059435605733,0.1140453043161371
GBM_grid__1_AutoML_20200514_194730_model_3,0.3712442366187445,0.3295060939839409,0.3492204624000169,0.1219549313588816
XGBoost_grid__1_AutoML_20200514_194730_model_1,0.3712533868862048,0.3150356872321705,0.34708860979781264,0.12047050305137826
XGBoost_grid__1_AutoML_20200514_194730_model_2,0.3847252708703218,0.3295372026641573,0.35514975352148315,0.12613134742637022
XGBoost_2_AutoML_20200514_194730,0.4037119816250535,0.3429819734927915,0.3627771333691808,0.13160724849556035
GBM_4_AutoML_20200514_194730,0.4049130994777764,0.3531062264803269,0.3636296744212267,0.13222654011968732
XGBoost_1_AutoML_20200514_194730,0.4107256736479265,0.3512374142679805,0.3668667670434937,0.13459122476094507
GBM_3_AutoML_20200514_194730,0.4200861783613897,0.3652912737703784,0.3711181444532777,0.13772867714244388
XGBoost_grid__1_AutoML_20200514_194730_model_3,0.42814138696354404,0.37008032546204456,0.3749631344080771,0.14059735216512975
GBM_5_AutoML_20200514_194730,0.4323776136408326,0.3716627027304306,0.3769483968003891,0.14209009385038365
GBM_2_AutoML_20200514_194730,0.4327104494350229,0.37685277927347743,0.3770831859670888,0.1421917291390901
GBM_1_AutoML_20200514_194730,0.4507226395627002,0.3939315105014735,0.3855624999131704,0.14865844133929354
GBM_grid__1_AutoML_20200514_194730_model_4,0.4561743386678552,0.3850098257629644,0.3865232447392679,0.14940021872377202
XGBoost_3_AutoML_20200514_194730,0.4634975101673845,0.3995086219228367,0.39246067570201504,0.15402538197248214
GBM_grid__1_AutoML_20200514_194730_model_1,0.5197308968251583,0.4458674045312559,0.4165893606048983,0.17354669536919795
DRF_1_AutoML_20200514_194730,0.5224464018560535,0.43922629217099607,0.4145202605029695,0.17182704636744972
DeepLearning_grid__2_AutoML_20200514_194730_model_1,0.5500779380960065,0.4698559433671646,0.4255735269584869,0.181112826847886
DeepLearning_grid__1_AutoML_20200514_194730_model_1,0.5552879759851052,0.4699917882103642,0.4186692881884166,0.17528397287219544
XRT_1_AutoML_20200514_194730,0.5764677800174143,0.4971119132329138,0.4370880755845611,0.19104598581821505
DeepLearning_grid__3_AutoML_20200514_194730_model_1,0.6637265835891063,0.5707025591946885,0.457602183774594,0.2093997585952773
DeepLearning_1_AutoML_20200514_194730,0.7577578824067651,0.5068946105533837,0.4657121850396333,0.2168878392943896
GBM_grid__1_AutoML_20200514_194730_model_5,0.8259338209239884,0.4580932853187602,0.5590600398668887,0.3125481281759672
GLM_1_AutoML_20200514_194730,0.8403972792637607,0.6666666666666666,0.5415453126472901,0.2932713256502512
XGBoost_grid__1_AutoML_20200514_194730_model_4,0.9132659610574468,0.4839555378930014,0.5965852262233299,0.35591393214794165
DeepLearning_grid__1_AutoML_20200514_194730_model_2,1.7648518966285678,0.5791642719654574,0.5300725341871121,0.2809768914995471
DeepLearning_grid__3_AutoML_20200514_194730_model_2,4.253472287662868,0.6613394856454208,0.5725924508717951,0.3278621147953691
