model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200514_143623_model_1,0.7868988830099941,0.4926886806387038,0.8955457947148342,0.3812169312169312,0.4048499652604527,0.1639034943713898
StackedEnsemble_BestOfFamily_AutoML_20200514_143623,0.786302175191064,0.4979660613419475,0.8935689770574506,0.34100529100529103,0.4058059345232701,0.16467845649430454
GLM_1_AutoML_20200514_143623,0.7780364491475603,0.5016110780182399,0.887816632662955,0.4021164021164021,0.4086556347630891,0.16699942782362331
XGBoost_grid__1_AutoML_20200514_143623_model_9,0.7777777777777778,0.505370536977233,0.8854062574056856,0.3582010582010582,0.4089023341024357,0.16720111883441993
GBM_grid__1_AutoML_20200514_143623_model_4,0.7767048794826573,0.5054645217575354,0.8839220666020495,0.3862433862433863,0.41005532844338216,0.16814537238481006
XGBoost_grid__1_AutoML_20200514_143623_model_5,0.7763521457965903,0.5042361629492959,0.8866318408906123,0.34708994708994706,0.4088725944128833,0.16717679846192213
GBM_grid__1_AutoML_20200514_143623_model_5,0.7744326866549089,0.506450600100912,0.8906275094437968,0.4002645502645503,0.4121021734838417,0.16982820139010635
GBM_grid__1_AutoML_20200514_143623_model_7,0.7744209288653733,0.5045679354221436,0.8839098244549739,0.3899470899470899,0.4093041590583097,0.1675298946224301
GBM_4_AutoML_20200514_143623,0.7723309817754263,0.5176682823522227,0.8818040570759528,0.37857142857142856,0.4137614086774878,0.17119850331077902
StackedEnsemble_AllModels_AutoML_20200514_143623,0.7712492651381541,0.5137389796310379,0.8811426330806622,0.3473544973544973,0.4120916214749683,0.16981950448986854
GBM_grid__1_AutoML_20200514_143623_model_6,0.7712139917695474,0.5117908750026444,0.8838078480604127,0.35238095238095235,0.4122672888982878,0.16996431749554425
XGBoost_grid__1_AutoML_20200514_143623_model_4,0.7698412698412699,0.5994949751807612,0.8871306198888994,0.3888888888888889,0.432829580566788,0.1873414458136216
XRT_1_AutoML_20200514_143623,0.7696590241034685,0.5105712486180539,0.8835515812834316,0.3740740740740741,0.4126631728735279,0.17029089424604715
XGBoost_grid__1_AutoML_20200514_143623_model_8,0.7696119929453262,0.5113079855949559,0.8887628814756611,0.3751322751322751,0.415333999661568,0.17250233127487538
GBM_2_AutoML_20200514_143623,0.7689476778365667,0.5171653901406464,0.8843956669631698,0.4095238095238095,0.4157935085505314,0.1728842417527608
XGBoost_grid__1_AutoML_20200514_143623_model_6,0.7682392710170488,0.5119093640226471,0.8845270159696759,0.3917989417989418,0.4142282235884894,0.17158502121727556
GBM_5_AutoML_20200514_143623,0.767254556143445,0.5130310173140206,0.8851417065572074,0.41455026455026456,0.4146456166701502,0.17193098742376914
DeepLearning_grid__1_AutoML_20200514_143623_model_19,0.7669517930629042,0.5163780067219028,0.8772529510156515,0.3994708994708995,0.4135036629383403,0.17098527926342452
GBM_grid__1_AutoML_20200514_143623_model_3,0.7667930629041739,0.5152075865124066,0.8835437418003681,0.4346560846560847,0.4150617656712282,0.17227626932211754
GBM_grid__1_AutoML_20200514_143623_model_2,0.7666137566137566,0.5240107602270201,0.8796909637986526,0.3624338624338624,0.4163288463271169,0.17332970828406816
XGBoost_1_AutoML_20200514_143623,0.7665343915343915,0.5314903166542705,0.8807454161953812,0.3822751322751322,0.4213797521437039,0.1775608955166893
XGBoost_grid__1_AutoML_20200514_143623_model_2,0.7646531452087008,0.5238751982381318,0.8821512692397407,0.3801587301587302,0.4180205065734989,0.17474114391596465
GBM_3_AutoML_20200514_143623,0.7644826572604351,0.5185984472242492,0.8787365323776949,0.3388888888888889,0.414328939933024,0.17166847046602335
XGBoost_grid__1_AutoML_20200514_143623_model_7,0.7642621987066432,0.5674555278549624,0.8816831621389954,0.4068783068783069,0.4296237323208865,0.1845765513733287
XGBoost_grid__1_AutoML_20200514_143623_model_10,0.7634303350970018,0.5145433356308042,0.8770877924368499,0.4388888888888889,0.41462883366346337,0.17191706970512394
DRF_1_AutoML_20200514_143623,0.7618371546149324,0.5134006548496405,0.8780177282709739,0.39629629629629626,0.4142827731765731,0.1716302161508719
XGBoost_3_AutoML_20200514_143623,0.7603115814226925,0.5393651313409373,0.8723629513242607,0.3801587301587302,0.41996720922896025,0.17637245682756125
DeepLearning_grid__1_AutoML_20200514_143623_model_16,0.7588830099941211,0.6514325259886797,0.8724994558083768,0.40291005291005294,0.4346872228740176,0.1889529817299258
DeepLearning_grid__1_AutoML_20200514_143623_model_4,0.7572192827748383,0.6600184138115109,0.8742431059595261,0.382010582010582,0.4592414982179117,0.21090275368543213
GBM_1_AutoML_20200514_143623,0.7568930041152263,0.5308534708950904,0.8694157955885501,0.3851851851851852,0.419332352019851,0.1758396214505002
XGBoost_2_AutoML_20200514_143623,0.7565255731922399,0.527519238174359,0.870152219341753,0.4029100529100529,0.4192849310288088,0.1757998533878329
XGBoost_grid__1_AutoML_20200514_143623_model_3,0.7537977660199883,0.5526258719524832,0.8749254386204445,0.3838624338624339,0.42735690642255003,0.1826339254670522
DeepLearning_1_AutoML_20200514_143623,0.7535684891240446,0.5477729973878046,0.8665396755622619,0.4351851851851852,0.4244272967317043,0.1801385302109822
XGBoost_grid__1_AutoML_20200514_143623_model_1,0.7516960611405056,0.5889709758512567,0.8740648969555445,0.4415343915343915,0.4356495027745426,0.1897904892677062
DeepLearning_grid__1_AutoML_20200514_143623_model_6,0.7506966490299823,0.6082216876552824,0.8672227854820496,0.4063492063492063,0.4495797748569279,0.20212197396040596
DeepLearning_grid__1_AutoML_20200514_143623_model_11,0.7338859494415051,0.5690027604395207,0.8656852079686039,0.3867724867724868,0.4339742133965008,0.1883336178931116
DeepLearning_grid__1_AutoML_20200514_143623_model_13,0.7296502057613169,0.8276634614992158,0.8525544908550812,0.4042328042328043,0.458439459880557,0.2101667383755768
DeepLearning_grid__1_AutoML_20200514_143623_model_18,0.7293680188124633,0.7145038765566919,0.8523588530864279,0.4060846560846561,0.4549920654727756,0.2070177796431825
DeepLearning_grid__2_AutoML_20200514_143623_model_6,0.7278042328042328,0.9620262509220604,0.8501019595976701,0.4391534391534392,0.4714703117047285,0.22228425481895386
DeepLearning_grid__1_AutoML_20200514_143623_model_17,0.7213168724279836,1.209175045390305,0.8404943014818766,0.44656084656084655,0.4790780237262975,0.2295157528174949
DeepLearning_grid__1_AutoML_20200514_143623_model_12,0.7211699000587891,0.7926825074877987,0.8582264903096944,0.4582010582010582,0.4655392281014156,0.21672677290126185
DeepLearning_grid__1_AutoML_20200514_143623_model_2,0.7197648442092887,0.8950126601511839,0.8419444637370865,0.4108465608465608,0.4723285073018305,0.22309421880997532
DeepLearning_grid__1_AutoML_20200514_143623_model_9,0.7196560846560847,0.6674437060392525,0.8436132823198016,0.3775132275132275,0.4523405398127198,0.20461196395806272
DeepLearning_grid__3_AutoML_20200514_143623_model_8,0.7189770723104056,0.8687354071160768,0.8453676541615542,0.434920634920635,0.4795112680082554,0.22993105614688494
DeepLearning_grid__1_AutoML_20200514_143623_model_7,0.715243974132863,0.8207756625610103,0.8378984824225513,0.4126984126984127,0.4626995593093324,0.21409088218505035
DeepLearning_grid__1_AutoML_20200514_143623_model_15,0.7146208112874779,0.9678173961782228,0.8259435602068819,0.3994708994708995,0.4516403653540874,0.2039790196171736
DeepLearning_grid__3_AutoML_20200514_143623_model_6,0.713559670781893,0.6330518413700876,0.8478731144091719,0.39735449735449735,0.4474784107881981,0.20023692812153132
DeepLearning_grid__3_AutoML_20200514_143623_model_1,0.7061581422692533,0.7393686005048055,0.8497517598609544,0.4597883597883598,0.4791002658074352,0.22953706469675506
DeepLearning_grid__2_AutoML_20200514_143623_model_9,0.7060141093474427,0.7949591506875412,0.8516543670498817,0.4185185185185185,0.4699240981856863,0.22082865805563054
DeepLearning_grid__1_AutoML_20200514_143623_model_8,0.7051763668430335,0.7247628529048418,0.8354262125544772,0.4505291005291005,0.4857993143916744,0.2360009738634209
DeepLearning_grid__1_AutoML_20200514_143623_model_3,0.7049647266313933,0.9888087870569201,0.8240004065965373,0.4063492063492063,0.4723138895933672,0.22308041030281545
DeepLearning_grid__1_AutoML_20200514_143623_model_14,0.7031216931216931,1.1495628481963809,0.8342560809031229,0.4706349206349206,0.4934750644393107,0.2435176392233819
DeepLearning_grid__1_AutoML_20200514_143623_model_1,0.7018577307466196,0.7279570105849106,0.835352711120562,0.4354497354497355,0.4697935475434456,0.22070597731345565
DeepLearning_grid__2_AutoML_20200514_143623_model_1,0.7017460317460317,0.6515071186474313,0.8414872838363977,0.4301587301587302,0.4629734155819581,0.2143443835356244
DeepLearning_grid__2_AutoML_20200514_143623_model_10,0.6995238095238095,0.8245363071688439,0.8453370637209463,0.4502645502645503,0.4758942976434776,0.2264753825295788
DeepLearning_grid__2_AutoML_20200514_143623_model_11,0.6957848324514991,0.6376025954329119,0.8422992045714401,0.4664021164021164,0.4579272967055024,0.20969740906800927
DeepLearning_grid__1_AutoML_20200514_143623_model_10,0.6957524985302763,0.7926454401254691,0.8201530348818616,0.4103174603174603,0.4849816891671917,0.23520723882746256
DeepLearning_grid__2_AutoML_20200514_143623_model_4,0.6956937095825985,1.005600300784457,0.8409571881869763,0.4415343915343915,0.4940693771135588,0.24410454940138
DeepLearning_grid__3_AutoML_20200514_143623_model_5,0.6923398001175779,3.835919829770604,0.8079669718043585,0.4291005291005291,0.5084037003498716,0.258474322529442
DeepLearning_grid__2_AutoML_20200514_143623_model_7,0.6863639035861259,1.5146518444384691,0.8254866971858125,0.43412698412698414,0.5309458860124894,0.2819035338735873
DeepLearning_grid__3_AutoML_20200514_143623_model_2,0.679838330393886,1.4104782456753482,0.8129030703130403,0.4722222222222222,0.5015593910574259,0.25156182275789585
