model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200514_152336,0.035773551353092466,0.010727609659693195,0.09455652396317134,0.008940936223997796
StackedEnsemble_BestOfFamily_AutoML_20200514_152336,0.03968593142159835,0.011487548603695885,0.09809749618514507,0.009623118757794551
XGBoost_grid__1_AutoML_20200514_152336_model_1,0.046267056909364127,0.013361768035358578,0.11110961276951127,0.012345346049790745
XGBoost_grid__1_AutoML_20200514_152336_model_2,0.09458832674478904,0.02323657274755745,0.15523104799433102,0.024096678261418297
DeepLearning_grid__2_AutoML_20200514_152336_model_1,0.12700541278133215,0.03479678993690805,0.16717803902394215,0.027948496731890718
DeepLearning_grid__3_AutoML_20200514_152336_model_1,0.12805858154066627,0.03577683885112711,0.16928067097326802,0.02865594556515982
DeepLearning_1_AutoML_20200514_152336,0.2040408072021717,0.06007126816841669,0.22205438580437656,0.04930815025495891
GBM_grid__1_AutoML_20200514_152336_model_1,0.21720592318087772,0.04814583213279803,0.24712418387064744,0.061070362253733565
DeepLearning_grid__1_AutoML_20200514_152336_model_1,0.24886804250710726,0.04093268698099185,0.1877458063063713,0.03524848778562949
XGBoost_3_AutoML_20200514_152336,0.3057120307429331,0.06629967826069535,0.3001317366662495,0.09007905935429893
XGBoost_1_AutoML_20200514_152336,0.3222647142472454,0.059687529211528076,0.3085518662967653,0.09520425419521696
DRF_1_AutoML_20200514_152336,0.3382819759542886,0.04595583621862983,0.3098755499354037,0.09602285644776888
XGBoost_2_AutoML_20200514_152336,0.3425572448122979,0.05929429953656079,0.3202810067291045,0.10257992327140866
XRT_1_AutoML_20200514_152336,0.3680757922906988,0.04440243998336536,0.31016928230060525,0.09620498368287256
GLM_1_AutoML_20200514_152336,0.6046966311937955,0.16395546522031554,0.4588609876521754,0.2105534059891299
GBM_1_AutoML_20200514_152336,0.8284286258372116,0.10777476848923476,0.5566161385649909,0.30982152571100113
GBM_2_AutoML_20200514_152336,0.8704233966748414,0.09784430389380863,0.5746091815564427,0.3301757115289649
GBM_3_AutoML_20200514_152336,0.8982944121924878,0.08961927621289348,0.5866284206289152,0.3441329038895754
GBM_4_AutoML_20200514_152336,0.994443636039979,0.09390619882196627,0.6245852169184449,0.39010669319306096
GBM_grid__1_AutoML_20200514_152336_model_2,1.0087767549877311,0.1161042269782762,0.6288796862489748,0.395489659776609
GBM_5_AutoML_20200514_152336,1.0138045332036376,0.14789077019852634,0.6306555766929722,0.3977264564139454
XGBoost_grid__1_AutoML_20200514_152336_model_3,1.1953417140257476,0.2204498996060163,0.6910054832566831,0.477488577890802
GBM_grid__1_AutoML_20200514_152336_model_3,1.4312285271134002,0.28271650600617704,0.7595805280395618,0.5769625785768595
