model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GLM_1_AutoML_20200515_162101,0.6596829451235582,0.6417981241786868,0.5750001283428038,0.4230979748221127,0.4747886259069686,0.2254242392906273
StackedEnsemble_BestOfFamily_AutoML_20200515_162101,0.6406981694338016,0.6541558566963118,0.5443100176954795,0.3939974457215836,0.4806845333323291,0.23105762058491905
XGBoost_grid__1_AutoML_20200515_162101_model_7,0.6398061991931724,0.7720646201126288,0.5598774663318834,0.43149060390439703,0.5106789892949887,0.2607930301073511
GBM_grid__1_AutoML_20200515_162101_model_7,0.6391879016400089,0.6634433720649451,0.545603785087509,0.3914431673052363,0.4843942586027437,0.23463779776730176
XGBoost_grid__1_AutoML_20200515_162101_model_4,0.6375864096170609,0.8198483128517687,0.5492663425511701,0.4230067505929575,0.5209667114132019,0.2714063144006865
XGBoost_grid__1_AutoML_20200515_162101_model_5,0.6358227411867259,0.6525045505072292,0.5590523467679291,0.4055829228243021,0.4797961043174889,0.2302043017182387
GBM_grid__1_AutoML_20200515_162101_model_5,0.6342617932656247,0.6636828956182949,0.5526785660319347,0.4240102171136654,0.4846092196724022,0.23484609579149454
DeepLearning_1_AutoML_20200515_162101,0.6336739037888464,0.7015121967163339,0.5317792251622171,0.4490968801313629,0.496000252394814,0.2460162503757192
XGBoost_grid__1_AutoML_20200515_162101_model_9,0.6291126923310831,0.682397066491103,0.5526510702044449,0.43431855500821015,0.4914303484216814,0.24150378734985525
XGBoost_grid__1_AutoML_20200515_162101_model_8,0.6290316041273896,0.6652781402592739,0.5255236847090136,0.41598248494800216,0.4856006292867381,0.2358079711636761
XGBoost_3_AutoML_20200515_162101,0.6270246710859738,0.7202695771690719,0.5295977012932871,0.4285714285714286,0.5025347926588021,0.25254121783262523
XGBoost_grid__1_AutoML_20200515_162101_model_6,0.6249670579172495,0.6632240556135733,0.5418091152251404,0.4239189928845101,0.4839833285211578,0.23423986228641894
DRF_1_AutoML_20200515_162101,0.6239939994729268,0.6801047534710828,0.5285694487118606,0.4392446633825944,0.4924087436035018,0.2424663707771792
XRT_1_AutoML_20200515_162101,0.6224533236027491,0.669261499538557,0.5358193834446039,0.40065681444991785,0.4872987531750742,0.23746007484598186
GBM_grid__1_AutoML_20200515_162101_model_2,0.6197470048044761,0.7011129630466066,0.5469065652084545,0.4279328589673417,0.4987879901427624,0.2487894591106564
GBM_grid__1_AutoML_20200515_162101_model_4,0.6173346307445925,0.6661876377469523,0.5411395153228461,0.4476372924648787,0.4861551760012454,0.23634685515280185
DeepLearning_grid__3_AutoML_20200515_162101_model_4,0.6160980356382655,1.3575485049917526,0.5218664692941433,0.4224594052180259,0.5789806407089181,0.3352185823157093
DeepLearning_grid__1_AutoML_20200515_162101_model_4,0.6154290579577936,0.8008312518951863,0.5306561737502687,0.4541142127349024,0.5214747689887262,0.27193593469184546
XGBoost_grid__1_AutoML_20200515_162101_model_2,0.6119929453262787,0.7033580260298153,0.5157912798798643,0.4087757708447364,0.5006870296412156,0.2506875016509435
XGBoost_2_AutoML_20200515_162101,0.6110198868819559,0.6795956218092208,0.5203909182663948,0.4089582193030469,0.4914317481861883,0.2415051631253332
GBM_5_AutoML_20200515_162101,0.610817166372722,0.6613313562934766,0.5381302126204267,0.4462689290275497,0.4841432712035586,0.2343947070516825
XGBoost_1_AutoML_20200515_162101,0.6100164203612479,0.6999789810312101,0.5115320702001585,0.3988323298668126,0.500338091592089,0.25033820589801364
GBM_grid__1_AutoML_20200515_162101_model_1,0.6093068985789293,0.6756784131597454,0.5300515201457293,0.42410144134282063,0.4906044233490066,0.24069270020961125
DeepLearning_grid__1_AutoML_20200515_162101_model_6,0.6092562184516207,0.8282586548175408,0.5329558911097367,0.4806604634190841,0.5225308536364004,0.27303849300198524
GBM_grid__1_AutoML_20200515_162101_model_3,0.6079182630906769,0.6621366679637347,0.5337472580490416,0.4477285166940339,0.4845380489508243,0.23477712088107144
GBM_4_AutoML_20200515_162101,0.6069756127227391,0.7197368584510058,0.5210287489026523,0.4419813902572523,0.5052672158166042,0.2552949593790628
StackedEnsemble_AllModels_AutoML_20200515_162101,0.6066613959334265,0.6658384549960215,0.509243563889448,0.4496442255062945,0.4865540880520271,0.2367348806001397
DeepLearning_grid__1_AutoML_20200515_162101_model_8,0.6050903119868637,1.000527768162516,0.5314287970374799,0.4796569968983762,0.5433866572384031,0.2952690592647257
GBM_grid__1_AutoML_20200515_162101_model_6,0.6047254150702427,0.7042228768202975,0.5152184290520405,0.4357781426746944,0.500601460636071,0.2506018223909677
DeepLearning_grid__2_AutoML_20200515_162101_model_8,0.6022826329339739,1.3138289590970165,0.5373531331401603,0.4267469439883233,0.5716331658168584,0.32676447626180394
DeepLearning_grid__2_AutoML_20200515_162101_model_6,0.6010865819294937,1.3482282388510674,0.5199708829555737,0.4622331691297208,0.590208417084318,0.34834597559717634
XGBoost_grid__1_AutoML_20200515_162101_model_3,0.6007622291147195,0.7384503756565696,0.5063160230934768,0.4684364167122787,0.5110738953352525,0.2611965264931487
DeepLearning_grid__2_AutoML_20200515_162101_model_4,0.6002858359180198,1.6836212723658526,0.504573854685359,0.4477285166940339,0.5832278743154816,0.3401547533785552
GBM_3_AutoML_20200515_162101,0.5995560420847778,0.7246250129273254,0.5115772938397202,0.4644225506294471,0.5073719859823853,0.2574263321597098
DeepLearning_grid__1_AutoML_20200515_162101_model_12,0.598947880557076,0.8910883262662261,0.5282453837659146,0.4622331691297208,0.5406794730197775,0.29233429254494425
DeepLearning_grid__3_AutoML_20200515_162101_model_6,0.5971639400758174,1.5939513035226236,0.5207846950606254,0.4603174603174603,0.6074680545015642,0.3690174372399153
DeepLearning_grid__1_AutoML_20200515_162101_model_13,0.5970727158466622,0.9309370950418396,0.5084637433624766,0.42765918627987604,0.5472259151601332,0.29945620222284525
DeepLearning_grid__1_AutoML_20200515_162101_model_10,0.5896430091832391,0.8302883509241257,0.5191585166805675,0.4803867907316183,0.5246019203828587,0.2752071748693832
DeepLearning_grid__2_AutoML_20200515_162101_model_12,0.5891057998337691,2.718390098652054,0.4679633665558582,0.4428024083196497,0.6635518889731948,0.4403011093598952
GBM_2_AutoML_20200515_162101,0.5885989985606844,0.7366404184009464,0.4981904152758397,0.4698960043787629,0.5115258852701929,0.26165873130145456
GBM_1_AutoML_20200515_162101,0.5881023333130613,0.7485971655795237,0.4850050997569826,0.4501003466520708,0.5161286852790249,0.2663888197678547
DeepLearning_grid__1_AutoML_20200515_162101_model_9,0.5857203673295628,0.8814804125070658,0.5021752924254843,0.4718117131910235,0.5423355618487834,0.2941278616458356
XGBoost_grid__1_AutoML_20200515_162101_model_1,0.5852439741328629,0.8340892077203691,0.5149164521272416,0.43942711184090494,0.5352762156582856,0.2865206270494555
DeepLearning_grid__1_AutoML_20200515_162101_model_1,0.5811287477954145,1.0025555604600702,0.4908531176350978,0.4586754241926656,0.5613766484170928,0.31514374138800816
DeepLearning_grid__3_AutoML_20200515_162101_model_5,0.5800543290964747,5.826000916448937,0.491932055157501,0.4712643678160919,0.6612169419227824,0.4372078442857161
DeepLearning_grid__1_AutoML_20200515_162101_model_7,0.5775912749092826,1.5153980159744052,0.5062637709708789,0.496898376208721,0.5913353834111967,0.349677535674067
DeepLearning_grid__2_AutoML_20200515_162101_model_9,0.5775811388838208,1.443618268393704,0.5038047839232551,0.4496442255062945,0.6144541383293375,0.37755388811004864
DeepLearning_grid__2_AutoML_20200515_162101_model_11,0.5775608668328975,1.1921333862981431,0.4919727609654197,0.47299762817004204,0.600824010726988,0.3609894918660637
DeepLearning_grid__3_AutoML_20200515_162101_model_10,0.5765067201848811,1.1254611393188438,0.5006452904553534,0.4777412880861157,0.5565577995735875,0.3097565842661936
DeepLearning_grid__2_AutoML_20200515_162101_model_5,0.5743781548379249,1.9251818788572579,0.48180976217014393,0.4629629629629629,0.6296548050055811,0.3964651734666163
DeepLearning_grid__2_AutoML_20200515_162101_model_7,0.5668572239453465,2.518840482622976,0.4823850064181228,0.4885057471264368,0.6356498044794529,0.4040506739347666
DeepLearning_grid__3_AutoML_20200515_162101_model_8,0.5630359423462872,1.1810457174456364,0.4741541729484707,0.4856777960226236,0.5845484781920961,0.3416969233566953
DeepLearning_grid__1_AutoML_20200515_162101_model_3,0.5619919317237325,1.51059259683707,0.4959342960811617,0.4330414158000365,0.6095259801725322,0.3715219205052862
DeepLearning_grid__3_AutoML_20200515_162101_model_9,0.5560522208031786,1.52590508459173,0.4821801281039711,0.4911512497719394,0.5981301571766203,0.3577596849241285
DeepLearning_grid__3_AutoML_20200515_162101_model_1,0.5541365119909181,1.0404306768428664,0.4755191468584107,0.4357781426746944,0.5951185757985241,0.3541661192604637
DeepLearning_grid__1_AutoML_20200515_162101_model_14,0.5539236554562225,1.3317048255261137,0.4733702980744166,0.48996533479292104,0.59806153670043,0.3576776016804799
DeepLearning_grid__1_AutoML_20200515_162101_model_11,0.5530215491901316,0.8381023860896439,0.4800184104053116,0.4892355409596789,0.5353642468908447,0.2866148768490014
DeepLearning_grid__3_AutoML_20200515_162101_model_7,0.5527478765026658,2.3124460023429942,0.4694457214909721,0.466794380587484,0.6222509686349663,0.3871962679671539
DeepLearning_grid__1_AutoML_20200515_162101_model_15,0.5510957043524093,0.8058311941865781,0.4713897051932448,0.4770114942528736,0.5302713655437611,0.28118772111564505
DeepLearning_grid__3_AutoML_20200515_162101_model_3,0.5504368626973991,1.2862756540996934,0.4715066113154719,0.4603174603174603,0.5978012453867849,0.3573663289859911
DeepLearning_grid__1_AutoML_20200515_162101_model_2,0.5489164588781448,1.5508497046348542,0.4867323376121195,0.4849480021893815,0.5934395349553774,0.3521704816480545
XGBoost_grid__1_AutoML_20200515_162101_model_10,0.5482880252995196,0.6833971980343178,0.4677288405806544,0.4873198321474184,0.4948526528244633,0.24487914800740884
DeepLearning_grid__1_AutoML_20200515_162101_model_5,0.5446187840823855,1.704889675144208,0.4536317364123712,0.4656084656084656,0.6167527534702664,0.3803839589131552
DeepLearning_grid__2_AutoML_20200515_162101_model_10,0.5368748606296501,1.7797892099448265,0.4642179899424254,0.4980842911877394,0.6304313729327968,0.3974437159779311
DeepLearning_grid__2_AutoML_20200515_162101_model_1,0.5349895598937745,1.1073164398685116,0.4674772886152793,0.5,0.5752941593648937,0.3309633697993597
DeepLearning_grid__3_AutoML_20200515_162101_model_12,0.5343205822133025,1.2751402652973085,0.48914831913312207,0.4980842911877394,0.6478762680213245,0.4197436586652391
DeepLearning_grid__3_AutoML_20200515_162101_model_11,0.5336009244055221,1.0657378843593035,0.4649271040077879,0.4911512497719394,0.5888974288984791,0.3468001817632392
DeepLearning_grid__2_AutoML_20200515_162101_model_3,0.5329826268523588,1.2899321081479689,0.4788636695684985,0.48996533479292104,0.6020672955130141,0.3624850283263549
DeepLearning_grid__3_AutoML_20200515_162101_model_2,0.5302560360031624,2.4872771311518718,0.4663094103938051,0.5,0.6636939437058984,0.4404896509118883
DeepLearning_grid__2_AutoML_20200515_162101_model_2,0.5179103569908167,1.5604389777039862,0.4659400985297889,0.4906951286261632,0.6172612921066771,0.3810115027332046
