model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_021658,0.002061291147140764,4.248921193280884e-06,4.248921193280884e-06,0.001522234119860447,0.002010369000719612
DeepLearning_1_AutoML_20200516_021658,0.00206657937259223,4.2707503032236934e-06,4.2707503032236934e-06,0.0015338720852640505,0.0020162161120809955
StackedEnsemble_BestOfFamily_AutoML_20200516_021658,0.002070286374520292,4.2860856725243744e-06,4.2860856725243744e-06,0.0015291609699417095,0.002018992759224051
GBM_2_AutoML_20200516_021658,0.0022064044830434567,4.868220742794263e-06,4.868220742794263e-06,0.0016017654779724804,0.002150788311795773
GBM_grid__1_AutoML_20200516_021658_model_38,0.0022178597334304995,4.918901797172407e-06,4.918901797172407e-06,0.001597164756172595,0.0021611464433845527
GBM_3_AutoML_20200516_021658,0.0022182853339700838,4.920789822906763e-06,4.920789822906763e-06,0.0016000783604764675,0.0021616809230009205
GBM_grid__1_AutoML_20200516_021658_model_4,0.002219866768879712,4.927808471576452e-06,4.927808471576452e-06,0.0016105228902001682,0.002162123776072107
GBM_grid__1_AutoML_20200516_021658_model_29,0.00222087629833453,4.932291532504084e-06,4.932291532504084e-06,0.001602714126720434,0.0021632124690391208
GBM_grid__1_AutoML_20200516_021658_model_5,0.002221376576043781,4.934513892595992e-06,4.934513892595992e-06,0.0016034690104946474,0.0021633836406913967
GBM_grid__1_AutoML_20200516_021658_model_19,0.0022219749602530627,4.937172723991597e-06,4.937172723991597e-06,0.0016132100053800561,0.002165188209259694
GBM_grid__1_AutoML_20200516_021658_model_31,0.002228075478488025,4.964320337839643e-06,4.964320337839643e-06,0.0016081115296243688,0.002170570550354349
GBM_1_AutoML_20200516_021658,0.002228444817364346,4.9659663040380124e-06,4.9659663040380124e-06,0.0016073972988547422,0.0021719462598862845
XGBoost_grid__1_AutoML_20200516_021658_model_58,0.002241569633835389,5.024634423332921e-06,5.024634423332921e-06,0.0016331767348658768,0.0021844309270604807
GBM_grid__1_AutoML_20200516_021658_model_10,0.0022423224423647648,5.028009935532684e-06,5.028009935532684e-06,0.0016184434350017562,0.0021854601067308166
XGBoost_grid__1_AutoML_20200516_021658_model_13,0.0022480472959160343,5.0537166446753955e-06,5.0537166446753955e-06,0.0016485945016082866,0.0021920456828957526
GBM_grid__1_AutoML_20200516_021658_model_7,0.0022503792296534346,5.064206677255586e-06,5.064206677255586e-06,0.0016236830223303298,0.0021932036406170324
XGBoost_grid__1_AutoML_20200516_021658_model_161,0.0022513988339413144,5.06879670947231e-06,5.06879670947231e-06,0.0016477013119520158,0.0021952056768677246
GBM_grid__1_AutoML_20200516_021658_model_26,0.002261928600549465,5.116320993983658e-06,5.116320993983658e-06,0.001631932812628535,0.0022035442749693854
GBM_grid__1_AutoML_20200516_021658_model_8,0.002264236459264777,5.1267667434638945e-06,5.1267667434638945e-06,0.0016372291522320592,0.00220739806470027
XGBoost_grid__1_AutoML_20200516_021658_model_151,0.002264688342080175,5.128813286753851e-06,5.128813286753851e-06,0.0016462247824568538,0.002206874211664249
GBM_grid__1_AutoML_20200516_021658_model_24,0.0022659568700476944,5.134560536916343e-06,5.134560536916343e-06,0.001632920767355218,0.0022076008032715804
GBM_grid__1_AutoML_20200516_021658_model_12,0.0022663899840015263,5.136523559582437e-06,5.136523559582437e-06,0.0016325205618960895,0.0022074802163366248
XGBoost_grid__1_AutoML_20200516_021658_model_149,0.0022663941011153003,5.13654222157023e-06,5.13654222157023e-06,0.0016698524805621349,0.0022099207361273164
GBM_4_AutoML_20200516_021658,0.0022672823177730885,5.140569108486508e-06,5.140569108486508e-06,0.0016273935041166442,0.002208588146410999
XGBoost_grid__1_AutoML_20200516_021658_model_147,0.002267555094802941,5.141806107966777e-06,5.141806107966777e-06,0.0016551200759664015,0.002210213697074061
XGBoost_grid__1_AutoML_20200516_021658_model_60,0.002272775309495275,5.165507607451343e-06,5.165507607451343e-06,0.0016581464267205349,0.0022145945233509622
GBM_grid__1_AutoML_20200516_021658_model_34,0.002274545179446009,5.173555773341076e-06,5.173555773341076e-06,0.0016324035107267716,0.0022155152636595594
XGBoost_grid__1_AutoML_20200516_021658_model_27,0.0022746386956229484,5.1739811956252674e-06,5.1739811956252674e-06,0.0016526319625807325,0.002216711913536579
GBM_5_AutoML_20200516_021658,0.0022773006150091555,5.1860980911210784e-06,5.1860980911210784e-06,0.0016395066257196091,0.002216356449938716
GBM_grid__1_AutoML_20200516_021658_model_17,0.002279478617908964,5.196022769504159e-06,5.196022769504159e-06,0.0016408708682833545,0.0022198686929991453
XGBoost_grid__1_AutoML_20200516_021658_model_66,0.002280170675976938,5.199178311585127e-06,5.199178311585127e-06,0.0016593449339529936,0.0022224413432507225
GBM_grid__1_AutoML_20200516_021658_model_35,0.002281039536660127,5.203141367806646e-06,5.203141367806646e-06,0.0016429571469763554,0.0022197396166040444
XGBoost_grid__1_AutoML_20200516_021658_model_158,0.002291095717000857,5.249119584459671e-06,5.249119584459671e-06,0.0016791426852660663,0.002233888807981785
XGBoost_grid__1_AutoML_20200516_021658_model_21,0.0022924581337384394,5.255364294943529e-06,5.255364294943529e-06,0.0016782846447299564,0.0022347136596286656
XGBoost_grid__1_AutoML_20200516_021658_model_100,0.00229380708655895,5.261550950348055e-06,5.261550950348055e-06,0.001689951728279571,0.002236092648857511
GBM_grid__1_AutoML_20200516_021658_model_2,0.002293885491996737,5.261910650393114e-06,5.261910650393114e-06,0.001656222403205367,0.002234895891127451
XGBoost_grid__1_AutoML_20200516_021658_model_31,0.002298659339839455,5.283834760631158e-06,5.283834760631158e-06,0.0016767672978830837,0.0022398442533827128
XGBoost_3_AutoML_20200516_021658,0.0022995832827727354,5.2880832744078315e-06,5.2880832744078315e-06,0.0016801532304192596,0.0022418845867243947
GBM_grid__1_AutoML_20200516_021658_model_6,0.002299752080852491,5.288859633385363e-06,5.288859633385363e-06,0.0016572106167488119,0.0022397457246604463
GBM_grid__1_AutoML_20200516_021658_model_14,0.0023007715054513475,5.29354952029686e-06,5.29354952029686e-06,0.0016510651643738062,0.0022429480084950387
GBM_grid__1_AutoML_20200516_021658_model_37,0.0023032333154608267,5.30488370544867e-06,5.30488370544867e-06,0.0016561572818252885,0.0022415939783800697
GBM_grid__1_AutoML_20200516_021658_model_9,0.002306340744788034,5.3192076310694195e-06,5.3192076310694195e-06,0.0016559519381442289,0.002246254951588781
XGBoost_grid__1_AutoML_20200516_021658_model_135,0.0023068813053738896,5.32170135708354e-06,5.32170135708354e-06,0.0016660912475337409,0.002248580597498012
