model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200515_170830,0.7025882534881824,0.33935260158944364,0.4894379371011386,0.23954949427381805
DeepLearning_grid__1_AutoML_20200515_170830_model_19,0.7324387081233696,0.35402099890038485,0.4950911820221659,0.24511527851610546
DeepLearning_grid__2_AutoML_20200515_170830_model_11,0.7384600935451973,0.3645468148647973,0.4925677389956855,0.2426229774993217
DeepLearning_grid__1_AutoML_20200515_170830_model_16,0.7421312549682086,0.3436887401909332,0.4949803199674387,0.245005517155068
DeepLearning_grid__1_AutoML_20200515_170830_model_23,0.7613907257865734,0.3627182048782926,0.5002760456373613,0.25027612183855513
XGBoost_grid__1_AutoML_20200515_170830_model_9,0.7670045857525443,0.3660869008347079,0.5082931583654556,0.2583619348411301
XGBoost_3_AutoML_20200515_170830,0.7722445606478828,0.3592481381516469,0.5038945004628617,0.2539096675967169
XGBoost_grid__1_AutoML_20200515_170830_model_5,0.7743395517523011,0.34849068451042137,0.5233650235771621,0.27391094790392345
DeepLearning_grid__1_AutoML_20200515_170830_model_6,0.7798331034162531,0.3520428475033738,0.5003725057472403,0.25037264450777197
XGBoost_grid__1_AutoML_20200515_170830_model_8,0.7822590782286989,0.3719260446343779,0.5218410786939137,0.27231811141242745
XGBoost_grid__1_AutoML_20200515_170830_model_2,0.7881605290652703,0.355795534063078,0.5153438686911128,0.26557930299752297
GBM_grid__1_AutoML_20200515_170830_model_7,0.7883711017824576,0.37166604188534014,0.5146994227785155,0.2649154958085371
GBM_grid__1_AutoML_20200515_170830_model_4,0.7888709373088121,0.3546048258109661,0.5144950968623445,0.2647052046953932
XGBoost_1_AutoML_20200515_170830,0.7892318228062517,0.3670936109861549,0.5138558479476505,0.2640478324699989
GBM_grid__1_AutoML_20200515_170830_model_5,0.7947744579528959,0.3511828984855301,0.5135065151384733,0.2636889410896592
DeepLearning_grid__2_AutoML_20200515_170830_model_6,0.7953756589709002,0.3699818501024642,0.5044527507247627,0.2544725777137796
XGBoost_grid__1_AutoML_20200515_170830_model_6,0.7955353679022469,0.3842657882241215,0.5309718400775797,0.2819310949553709
XRT_1_AutoML_20200515_170830,0.7957360556961273,0.37609733468286105,0.5355552069154217,0.2868193796542201
GBM_5_AutoML_20200515_170830,0.7961296439987812,0.3726419190783226,0.5281074245538618,0.27889745186891285
XGBoost_2_AutoML_20200515_170830,0.7992301989528926,0.38610230169440696,0.5283807229023066,0.27918618833476416
DeepLearning_grid__1_AutoML_20200515_170830_model_11,0.8010104573973106,0.33818544759334235,0.4919068558201829,0.2419723548028982
GBM_grid__1_AutoML_20200515_170830_model_1,0.8156898324390074,0.3740093779677113,0.5208771381700641,0.27131299306823603
XGBoost_grid__1_AutoML_20200515_170830_model_3,0.8199786094903407,0.3636058941870345,0.5185823461293195,0.2689276497169893
GBM_grid__1_AutoML_20200515_170830_model_6,0.8201585909294553,0.3762405970410356,0.5194574439913254,0.2698360361180009
GBM_grid__1_AutoML_20200515_170830_model_3,0.8216790480133438,0.3911282925975909,0.5406483145639054,0.2923006000407916
DeepLearning_grid__1_AutoML_20200515_170830_model_4,0.8217523814764319,0.3669811503473784,0.5003570075291394,0.25035713498351525
GBM_2_AutoML_20200515_170830,0.8230576338243566,0.3624151859349228,0.5117561180224838,0.26189432433344234
GBM_grid__1_AutoML_20200515_170830_model_2,0.8266914771524679,0.35999600139951016,0.5135838250777609,0.2637683453815041
DeepLearning_grid__1_AutoML_20200515_170830_model_24,0.8343675974589507,0.4123670465337132,0.5170765533688818,0.2673681620438421
GBM_3_AutoML_20200515_170830,0.8475282745265955,0.3575720372869496,0.5121803640765499,0.26232872534558715
DeepLearning_grid__1_AutoML_20200515_170830_model_15,0.8490950003364358,0.3371230069475684,0.4940204580106298,0.2440562129330325
XGBoost_grid__1_AutoML_20200515_170830_model_1,0.8602942559381253,0.3900671639926026,0.5182056456634895,0.268537091197514
StackedEnsemble_AllModels_AutoML_20200515_170830,0.8618327103577824,0.34646323786674665,0.5598439880065755,0.31342529090710664
GBM_4_AutoML_20200515_170830,0.8707800867091363,0.3716210263907632,0.5215073912086715,0.2719699590852743
XGBoost_grid__1_AutoML_20200515_170830_model_7,0.8769305424969176,0.3693960551307042,0.5165587689508103,0.2668329617799766
XGBoost_grid__1_AutoML_20200515_170830_model_4,0.8817711988221858,0.3846778002699055,0.518246185266943,0.2685791085437386
GBM_1_AutoML_20200515_170830,0.8823350302415068,0.3817895611535963,0.5215174743734042,0.2719804760768143
