model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200514_152358,0.7651595058279298,0.2988660845395228,0.5009296680843841,0.2509305323671312
StackedEnsemble_BestOfFamily_AutoML_20200514_152358,0.7728387852143431,0.3050572091223921,0.5058872706448434,0.25592193060048896
XGBoost_grid__1_AutoML_20200514_152358_model_4,0.8480966244580436,0.3212788343458089,0.5265139902002947,0.277216981876636
XGBoost_grid__1_AutoML_20200514_152358_model_9,0.8525507081501998,0.3255726142299961,0.5352193935459975,0.2864597992277453
XGBoost_grid__1_AutoML_20200514_152358_model_7,0.8596265495504017,0.3172847512690091,0.5338510117712127,0.2849969027691476
XGBoost_grid__1_AutoML_20200514_152358_model_1,0.8615852772204976,0.3187884124507738,0.5319580845927188,0.2829794037635541
XGBoost_3_AutoML_20200514_152358,0.8756734845041348,0.3306648184053341,0.5457178786042874,0.2978080030283638
XGBoost_grid__1_AutoML_20200514_152358_model_13,0.8812242587248974,0.33281993781878744,0.5453809663698443,0.2974403984785053
GLM_1_AutoML_20200514_152358,0.8896282242132582,0.3451181331622629,0.5399761594225176,0.29157425274469223
GBM_grid__1_AutoML_20200514_152358_model_1,0.9020247527633196,0.3377766579657833,0.5577887441958914,0.3111282831516296
XGBoost_grid__1_AutoML_20200514_152358_model_16,0.9089498442642764,0.3547218657238881,0.5603162351081014,0.3139542833257172
XGBoost_grid__1_AutoML_20200514_152358_model_2,0.9102263527738168,0.3545410653682709,0.5611738318920801,0.31491606960044066
GBM_grid__1_AutoML_20200514_152358_model_2,0.9286098303009886,0.3285653961353977,0.5692699014474241,0.3240682206939599
XGBoost_grid__1_AutoML_20200514_152358_model_5,0.9354622929761924,0.3542811150501966,0.5735680131946381,0.3289802657600445
XGBoost_1_AutoML_20200514_152358,0.951639426993208,0.3741558769046925,0.5665316537463111,0.32095811469653
XGBoost_grid__1_AutoML_20200514_152358_model_3,0.9530428592986876,0.3765551229164839,0.565923418954291,0.3202693161209139
XGBoost_grid__1_AutoML_20200514_152358_model_12,0.9569203493912134,0.3635424767228752,0.5811770226430876,0.337766731648284
XGBoost_grid__1_AutoML_20200514_152358_model_14,0.9658056450793832,0.3798235287267496,0.5801185353658083,0.3365375150749706
XGBoost_grid__1_AutoML_20200514_152358_model_8,0.9938604060596689,0.39971853467842144,0.5820851400151197,0.3388231102264215
DeepLearning_grid__2_AutoML_20200514_152358_model_1,1.1055269319025949,0.3746410248688181,0.5624791909760699,0.3163828402810941
XGBoost_grid__1_AutoML_20200514_152358_model_11,1.1080122219641042,0.4109667632645425,0.6352197546042639,0.4035041366395013
XGBoost_2_AutoML_20200514_152358,1.1283475928966318,0.4628070721647294,0.6190652277523426,0.3832417562120599
XGBoost_grid__1_AutoML_20200514_152358_model_6,1.1565688512664871,0.4679828727912447,0.6392800648717644,0.4086790013424472
GBM_3_AutoML_20200514_152358,1.1883558261183438,0.39769476404170334,0.6613864879754661,0.4374320864765212
DeepLearning_1_AutoML_20200514_152358,1.19137840821966,0.4390019330090361,0.5949086323000736,0.3539162807851442
GBM_2_AutoML_20200514_152358,1.1916979780944421,0.3959338282209141,0.6624141021540809,0.4387924427325972
GBM_4_AutoML_20200514_152358,1.19190844083911,0.38885006601809335,0.6632421279065079,0.4398901202299526
GBM_1_AutoML_20200514_152358,1.192654997330837,0.3902661923589739,0.6623062896821148,0.4386496213524894
XRT_1_AutoML_20200514_152358,1.196169484567019,0.3689732386793401,0.6696029632834161,0.4483681284379317
DRF_1_AutoML_20200514_152358,1.2035399110358511,0.3668573870782742,0.6719223907484321,0.4514796991890887
XGBoost_grid__1_AutoML_20200514_152358_model_15,1.2067760827237894,0.5002186559973648,0.654332277603459,0.42815072951373023
DeepLearning_grid__3_AutoML_20200514_152358_model_1,1.213951979463841,0.38518227799894855,0.5725599836490621,0.32782493487621434
XGBoost_grid__1_AutoML_20200514_152358_model_17,1.2482669083146418,0.5258377421334199,0.6667792990028699,0.44459463357875856
XGBoost_grid__1_AutoML_20200514_152358_model_10,1.4520849223883974,0.6307297104709529,0.7252377796251003,0.5259698369955456
GBM_5_AutoML_20200514_152358,1.614503527597949,0.6875327593741452,0.7808717308520118,0.6097606600438167
DeepLearning_grid__2_AutoML_20200514_152358_model_2,1.6230550296115651,0.4542999855933591,0.6173153172800805,0.3810782009486065
GBM_grid__1_AutoML_20200514_152358_model_3,1.7938908000680949,0.7325831168876159,0.8273497828861196,0.6845076632417093
XGBoost_grid__1_AutoML_20200514_152358_model_18,1.8202309977394555,0.7264849899764734,0.8339292444621875,0.695437984769275
GBM_grid__1_AutoML_20200514_152358_model_4,1.8230446899690604,0.6161500175225247,0.8362258033719722,0.6992735942251003
DeepLearning_grid__1_AutoML_20200514_152358_model_1,2.10673296025147,0.4207328670425729,0.5899523977490749,0.34804383160988284
