model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_032153,1.0375357978941384,1.0764805319118262,1.0764805319118262,0.8267704357574855,
StackedEnsemble_BestOfFamily_AutoML_20200516_032153,1.038198803299909,1.0778567551733629,1.0778567551733629,0.8272244568582826,
GBM_grid__1_AutoML_20200516_032153_model_10,1.0564564571910648,1.1161002459406966,1.1161002459406966,0.8422722216376802,
GBM_grid__1_AutoML_20200516_032153_model_37,1.0645917889758634,1.1333556771548294,1.1333556771548294,0.8488121261585251,
GBM_grid__1_AutoML_20200516_032153_model_57,1.0715227774618048,1.1481610626194605,1.1481610626194605,0.8533104798791536,
GBM_grid__1_AutoML_20200516_032153_model_8,1.0729125345964348,1.1511413068941458,1.1511413068941458,0.8554688602339261,
GBM_2_AutoML_20200516_032153,1.0737506592367636,1.1529404782113843,1.1529404782113843,0.8559478226151905,
GBM_1_AutoML_20200516_032153,1.0746148606484625,1.1547970987265146,1.1547970987265146,0.8568834314631253,
GBM_grid__1_AutoML_20200516_032153_model_60,1.0748317379933428,1.15526326499779,1.15526326499779,0.8576243624703711,
GBM_grid__1_AutoML_20200516_032153_model_3,1.076573437518021,1.159010366369368,1.159010366369368,0.8561366405865102,
GBM_grid__1_AutoML_20200516_032153_model_27,1.0771183932824158,1.160184033147293,1.160184033147293,0.8574759048004718,
GBM_5_AutoML_20200516_032153,1.079044548944014,1.1643371386057908,1.1643371386057908,0.8595149916119058,
GBM_grid__1_AutoML_20200516_032153_model_21,1.0797124124086577,1.1657788935093232,1.1657788935093232,0.8600458916959391,
GBM_grid__1_AutoML_20200516_032153_model_40,1.080384916073098,1.167231566878275,1.167231566878275,0.8593866070873187,
GBM_grid__1_AutoML_20200516_032153_model_74,1.0823930517166904,1.1715747184045702,1.1715747184045702,0.8604235373135237,
GBM_grid__1_AutoML_20200516_032153_model_64,1.082822131294396,1.172503768020938,1.172503768020938,0.8627707929324024,
GBM_3_AutoML_20200516_032153,1.0834277395908738,1.1738156669149904,1.1738156669149904,0.8620217136266793,
GBM_grid__1_AutoML_20200516_032153_model_33,1.0834333604716806,1.1738278465829586,1.1738278465829586,0.8629256838064413,
GBM_grid__1_AutoML_20200516_032153_model_14,1.0853481701997787,1.1779806505560078,1.1779806505560078,0.8647427925850385,
GBM_grid__1_AutoML_20200516_032153_model_75,1.0857996346861911,1.178960846684666,1.178960846684666,0.8645043436619619,
GBM_grid__1_AutoML_20200516_032153_model_1,1.086971556947652,1.1815071656132028,1.1815071656132028,0.8659193167746492,
GBM_grid__1_AutoML_20200516_032153_model_38,1.0875868392618535,1.1828451329355891,1.1828451329355891,0.8656560165628127,
GBM_grid__1_AutoML_20200516_032153_model_46,1.0884301300980506,1.1846801481052591,1.1846801481052591,0.867757375189143,
GBM_grid__1_AutoML_20200516_032153_model_42,1.091504245988814,1.1913815190116093,1.1913815190116093,0.8684190695960584,
GBM_grid__1_AutoML_20200516_032153_model_51,1.0916107336356224,1.1916139937885015,1.1916139937885015,0.8698624872420186,
