model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200514_205641,0.8960035844305608,0.3906479001476025,0.8706056942438499,0.1877254533774769,0.3514773524368073,0.12353632927598768
StackedEnsemble_BestOfFamily_AutoML_20200514_205641,0.8853215920100388,0.4080076744232719,0.8595477048977858,0.1991931906671748,0.3605211729016956,0.1299755161104143
XGBoost_grid__1_AutoML_20200514_205641_model_2,0.8822906404539463,0.4130188663500999,0.8540845392114512,0.20285402523422966,0.3635272728522429,0.13215207810738902
XGBoost_grid__1_AutoML_20200514_205641_model_1,0.8731268401269058,0.4278425695070601,0.8441126860086003,0.2089797183623862,0.370438641361147,0.13722478701349253
XGBoost_3_AutoML_20200514_205641,0.8587571071509353,0.4523228674354228,0.8289467219718609,0.2258579123876984,0.3819903004298217,0.14591658962246545
XGBoost_grid__1_AutoML_20200514_205641_model_3,0.8576258791041486,0.455605042503531,0.8273114978617463,0.22564792995354774,0.38270625383297613,0.14646407672287046
XGBoost_1_AutoML_20200514_205641,0.8561568378544587,0.4502728803472652,0.8257337978575191,0.233460136724082,0.3816535116530375,0.14565940295709526
XGBoost_2_AutoML_20200514_205641,0.8501840491759947,0.45873764703422903,0.8203186002346169,0.231135420751989,0.38515038376744004,0.14834081811620628
GBM_grid__1_AutoML_20200514_205641_model_1,0.8436661458155928,0.4857136151507702,0.8119007177815131,0.2470757048105631,0.3972811794249216,0.1578323355252568
GBM_1_AutoML_20200514_205641,0.8281111413666862,0.5734462076526693,0.7973874375776967,0.2564133750420515,0.4385886248778096,0.192359981872208
GBM_2_AutoML_20200514_205641,0.8239057321662061,0.590038967994758,0.7911178806300866,0.2577973457927154,0.4473083348089898,0.2000847463895913
GBM_3_AutoML_20200514_205641,0.8232211756724963,0.5988754618260144,0.7939703335771762,0.25451132418082256,0.4518987743113815,0.2042125022241289
GBM_4_AutoML_20200514_205641,0.8230109553598342,0.6046910363710504,0.7850565954374082,0.2549055788824367,0.4549955206949314,0.2070209238524518
GBM_5_AutoML_20200514_205641,0.810362164118917,0.615915611000783,0.7776711319314078,0.2775096565495907,0.4609309598233667,0.21245734972369007
GBM_grid__1_AutoML_20200514_205641_model_2,0.8061051288522962,0.6144037611946538,0.7646006733858034,0.2733836087638609,0.46008368809456396,0.21167700005069606
DRF_1_AutoML_20200514_205641,0.7944506890768283,0.7943645415652845,0.7559044621538027,0.2973975987977286,0.41743039559533823,0.1742481351668806
XRT_1_AutoML_20200514_205641,0.7931864419380793,0.7401656457129783,0.7574676721221226,0.2982037176399556,0.41752722574125545,0.17432898423518928
XGBoost_grid__1_AutoML_20200514_205641_model_4,0.7872064204670363,0.5928499077448519,0.7053558761366829,0.258787736902406,0.44809532364871857,0.20078941907584985
DeepLearning_1_AutoML_20200514_205641,0.7172056280101357,0.6864504230638038,0.633621080326922,0.3707197538983498,0.4724466087054785,0.2232057980773075
DeepLearning_grid__2_AutoML_20200514_205641_model_1,0.6934857072496537,0.660961543928029,0.6258799403783398,0.3980215592766698,0.4681759095298227,0.2191886822640767
GLM_1_AutoML_20200514_205641,0.6640992053173279,0.6622436655129462,0.5635266434400631,0.4074254047383933,0.4845915111328424,0.2348289326620117
DeepLearning_grid__1_AutoML_20200514_205641_model_1,0.6592190312170029,0.8565855413805038,0.5572953568180254,0.4034424890959384,0.5012322449199528,0.25123376334749553
DeepLearning_grid__3_AutoML_20200514_205641_model_1,0.551165424047185,0.6932579452743499,0.4734993027208127,0.4788303490445403,0.4974053684238813,0.2474121005368971
