model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200514_210902,0.8145765230505463,0.525561248500086,0.8300502071551915,0.29097988787932044,0.41961766947245893,0.17607898853349782
StackedEnsemble_BestOfFamily_AutoML_20200514_210902,0.8120564428371118,0.5284262138574312,0.8278590000239043,0.29161816032615384,0.4209437782055229,0.17719366440994047
GBM_5_AutoML_20200514_210902,0.8071537957610748,0.5308529558240821,0.8237780662807906,0.30045959017467616,0.42279712390529617,0.17875740798259035
XGBoost_grid__1_AutoML_20200514_210902_model_12,0.8068891236854784,0.5314672929130592,0.8228541134096169,0.2977416589146501,0.42308131450925096,0.17899779868687574
GBM_3_AutoML_20200514_210902,0.8054821519888485,0.5332377645065388,0.8219604621338771,0.30793055994657664,0.4237443668077311,0.17955928840128496
GBM_grid__1_AutoML_20200514_210902_model_3,0.8054699928723892,0.5334150347550382,0.8213097809744604,0.30622125970916064,0.4237833541388802,0.17959233124519955
GBM_2_AutoML_20200514_210902,0.8053187016975955,0.5340991552544953,0.8212330015142891,0.29939182067068393,0.42397419678191023,0.17975411953686593
GBM_grid__1_AutoML_20200514_210902_model_21,0.8050581982705128,0.5343171322705355,0.8214062821764195,0.3045782120721047,0.4241441420827464,0.179898253263109
XGBoost_grid__1_AutoML_20200514_210902_model_5,0.8036154874602571,0.5352672772494268,0.8195113207893158,0.31153367065899,0.4248160232725711,0.1804686536291216
GBM_4_AutoML_20200514_210902,0.8032287616953987,0.5356424530206495,0.8196885338769414,0.3003491060439681,0.4249559955963539,0.1805875981932884
XGBoost_grid__1_AutoML_20200514_210902_model_28,0.8030078470301559,0.5356489285540215,0.818840445540369,0.30106668356306643,0.4250002376898576,0.18062520203643545
GBM_grid__1_AutoML_20200514_210902_model_2,0.8029750660130152,0.536358701315631,0.8190395471189987,0.29720368294515004,0.4250992100158405,0.18070933835609165
GBM_1_AutoML_20200514_210902,0.8029173161363333,0.5368291917040987,0.8191003465088557,0.30029841591706896,0.4252805912663875,0.18086358130788813
GBM_grid__1_AutoML_20200514_210902_model_17,0.8027854731575615,0.5359924994111409,0.8197657253516948,0.3097590585886589,0.4252432622452029,0.1808318320849424
GBM_grid__1_AutoML_20200514_210902_model_9,0.802596751755271,0.5369545959159667,0.8184606745410692,0.3041614397256374,0.4253474566494939,0.1809204588781931
GBM_grid__1_AutoML_20200514_210902_model_10,0.8014133722134816,0.5396449666706936,0.8179896647956221,0.3079688415286716,0.4264560108414415,0.18186472918279567
GBM_grid__1_AutoML_20200514_210902_model_11,0.8014070787859068,0.5384676288205735,0.8174806738420546,0.3045193704310667,0.4260490571193398,0.18151779907227847
XGBoost_grid__1_AutoML_20200514_210902_model_14,0.8010226007105645,0.5384273951228661,0.8167581741583171,0.3062407205312042,0.4262506355044079,0.18168960426791164
GBM_grid__1_AutoML_20200514_210902_model_12,0.8009222416184711,0.5388235431795083,0.8171367665516679,0.309046663407236,0.4262410425895013,0.18168142638778506
GBM_grid__1_AutoML_20200514_210902_model_5,0.8007978103720431,0.5391398211687791,0.8167978822667933,0.3002837980761617,0.4265835260775123,0.18197350472072368
GBM_grid__1_AutoML_20200514_210902_model_6,0.8005661656498452,0.5385871494601749,0.8174299221973355,0.3068985079116022,0.4264632905458563,0.1818709381831995
GBM_grid__1_AutoML_20200514_210902_model_19,0.8005301250577445,0.5387026972874825,0.816981489722596,0.3090651680014,0.4264165144185276,0.18183104376884632
XGBoost_grid__1_AutoML_20200514_210902_model_23,0.7999269774299359,0.5388950800997642,0.8159574206058571,0.30532952116739737,0.4265705472894776,0.18196243181484448
GBM_grid__1_AutoML_20200514_210902_model_7,0.7998765733210771,0.5410076004290856,0.8154264017154872,0.2995138993543147,0.4270740445842869,0.18239223955758144
XGBoost_grid__1_AutoML_20200514_210902_model_20,0.7996123524324967,0.5391179451283997,0.8151824942301654,0.30868087416290324,0.4267093690343904,0.1820808856217276
XGBoost_grid__1_AutoML_20200514_210902_model_11,0.7994984778284825,0.5396199020866274,0.8155805815591091,0.3043969021444841,0.4268113967147496,0.18216796836559535
XGBoost_grid__1_AutoML_20200514_210902_model_15,0.7990960867782732,0.5396144393973579,0.8146594329749759,0.31252956924069114,0.4269687234091229,0.18230229076961607
GBM_grid__1_AutoML_20200514_210902_model_20,0.7988482920860996,0.5404651417455485,0.8152537031116751,0.31171909074314696,0.4271794308927783,0.1824822661778779
XGBoost_grid__1_AutoML_20200514_210902_model_16,0.7987088229902912,0.5404167350251652,0.8144002625659157,0.3108118206487919,0.42721393645713396,0.18251174750320012
GBM_grid__1_AutoML_20200514_210902_model_8,0.7981196910194629,0.5430431246750926,0.8145861706577912,0.30903396575230496,0.4280681083379424,0.18324230537602432
GBM_grid__1_AutoML_20200514_210902_model_18,0.7978080550393779,0.5418510151633562,0.8135371729839841,0.3061227520041099,0.4277253951302088,0.1829490136392932
XGBoost_grid__1_AutoML_20200514_210902_model_17,0.7977409613913762,0.5423824018127161,0.814665013986859,0.3188255900457856,0.4283342494485111,0.1834702292506193
XGBoost_grid__1_AutoML_20200514_210902_model_27,0.7976286359229081,0.5417616593283435,0.8126104908231131,0.3102599132816803,0.427768843395262,0.1829861833797202
XGBoost_grid__1_AutoML_20200514_210902_model_6,0.7975784155355468,0.5416149966679964,0.8132981229108621,0.3137188005569739,0.4277962674023785,0.18300964640340733
GBM_grid__1_AutoML_20200514_210902_model_4,0.7974335249806743,0.5428716284354231,0.8136073955736274,0.3068828720010769,0.4283146235657456,0.1834534167602664
XGBoost_grid__1_AutoML_20200514_210902_model_2,0.7974108782784092,0.5420318624599436,0.8127866858462722,0.31596181586811634,0.42787761635565097,0.18307925457819368
XGBoost_grid__1_AutoML_20200514_210902_model_10,0.7971082990209086,0.5420773120438223,0.8129270577987809,0.3122576603933356,0.4280473151718083,0.18322450402579332
XGBoost_grid__1_AutoML_20200514_210902_model_21,0.7969437868554731,0.5422050164949289,0.8128745756263688,0.30429648971389145,0.4281451326263246,0.18330825459161304
XGBoost_grid__1_AutoML_20200514_210902_model_7,0.7969250957053983,0.5424727672610402,0.8125315365481677,0.3109079567231762,0.4281384335759266,0.1833025183048481
XGBoost_grid__1_AutoML_20200514_210902_model_13,0.7965966431529329,0.5427694644561131,0.8121052542369627,0.3157964657471258,0.4282957013443262,0.18343720779002826
GBM_grid__1_AutoML_20200514_210902_model_14,0.7964373883082805,0.5450765106897076,0.8127260480255802,0.3072102907658157,0.4289909054844669,0.18403319698838289
XGBoost_3_AutoML_20200514_210902,0.7963617888445136,0.5430650182939321,0.8120454298602434,0.3129774974549496,0.428418393342117,0.1835423197538409
XGBoost_grid__1_AutoML_20200514_210902_model_1,0.7962834750437799,0.5430670686570108,0.8122649181444744,0.31008611094109784,0.42847008571601947,0.18358661435349305
XGBoost_grid__1_AutoML_20200514_210902_model_8,0.7947301662109476,0.5496208580217483,0.8120596332566179,0.3171838418582572,0.4312883383924144,0.18600963083328967
GBM_grid__1_AutoML_20200514_210902_model_16,0.7930456374548578,0.5478921070254932,0.8097656160682435,0.3156337067949729,0.43059461281467376,0.1854117205850188
XGBoost_grid__1_AutoML_20200514_210902_model_9,0.792032396903674,0.5566095941258273,0.8081215717446885,0.32050238858457913,0.4335722183937962,0.18798486856291774
GBM_grid__1_AutoML_20200514_210902_model_1,0.7910689013314878,0.5513607373112056,0.8073528340942493,0.3143674222187236,0.4318166593675768,0.1864656273073738
XGBoost_grid__1_AutoML_20200514_210902_model_25,0.7908721278771876,0.5552790473082224,0.8071629510423834,0.31600787868694186,0.4335314725719236,0.18794953771038053
XGBoost_grid__1_AutoML_20200514_210902_model_18,0.7896041207508507,0.5559280591545003,0.8061331907415158,0.32542822682785266,0.4339594952262206,0.1883208434969962
XGBoost_grid__1_AutoML_20200514_210902_model_4,0.7886038277982906,0.5585195181205072,0.8046477411950752,0.3155546985630522,0.4346602544166757,0.18892953676956928
XRT_1_AutoML_20200514_210902,0.7883586405084111,0.5610939680978244,0.8047523101054788,0.31612219159427674,0.4358585409477672,0.1899726677171165
GBM_grid__1_AutoML_20200514_210902_model_13,0.7876590962978957,0.5527036618559463,0.8041849379339405,0.3167215076110452,0.4328665603288663,0.18737345905094407
DRF_1_AutoML_20200514_210902,0.7875726734992182,0.5598934947956287,0.8041821868564393,0.3203165325161665,0.4355068992158261,0.18966625926458366
XGBoost_1_AutoML_20200514_210902,0.7863379599034289,0.5597087419462615,0.8024946977955223,0.3197444662883894,0.4354060286972256,0.18957840982588925
