model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20200516_032031,43355.75058996863,1879721109.2195656,1879721109.2195656,28289.88873701582,0.2143278114175835
StackedEnsemble_BestOfFamily_AutoML_20200516_032031,44304.36228496987,1962876517.477861,1962876517.477861,29128.082361476834,0.21983142878755707
GBM_grid__1_AutoML_20200516_032031_model_54,44962.30356404592,2021608741.7854168,2021608741.7854168,29737.527541661424,0.2234850862138343
GBM_4_AutoML_20200516_032031,45353.79174242684,2056966425.415425,2056966425.415425,30026.836716151935,0.2240545156888834
GBM_grid__1_AutoML_20200516_032031_model_139,45536.75737673852,2073596272.3879488,2073596272.3879488,30424.095627047966,0.2295070934687461
GBM_grid__1_AutoML_20200516_032031_model_155,45676.53156533493,2086345535.839038,2086345535.839038,30343.082938290187,0.2274996236573558
GBM_grid__1_AutoML_20200516_032031_model_28,45747.97394310652,2092877119.8991523,2092877119.8991523,30209.342978078625,0.2262195676186324
GBM_grid__1_AutoML_20200516_032031_model_29,45779.11261445241,2095727151.766716,2095727151.766716,30465.36978766716,0.2287973022706651
GBM_grid__1_AutoML_20200516_032031_model_34,45820.1645650978,2099487480.7726445,2099487480.7726445,30496.206030859248,0.22782821070849515
XGBoost_grid__1_AutoML_20200516_032031_model_28,46008.8449961548,2116813817.8801992,2116813817.8801992,30719.99088110583,0.2320486524388635
GBM_grid__1_AutoML_20200516_032031_model_23,46135.00200755749,2128438410.237334,2128438410.237334,30824.52671639218,0.2307839060294399
GBM_grid__1_AutoML_20200516_032031_model_146,46177.72685147705,2132382457.1696239,2132382457.1696239,30589.62189995737,0.2293539276596735
GBM_grid__1_AutoML_20200516_032031_model_80,46200.79291628133,2134513266.0931113,2134513266.0931113,30731.772856415184,0.2290691452646307
GBM_grid__1_AutoML_20200516_032031_model_57,46222.384162594266,2136508797.674445,2136508797.674445,30728.61333930043,0.2294521960886419
GBM_grid__1_AutoML_20200516_032031_model_49,46283.64333893875,2142175640.7260895,2142175640.7260895,30679.763766709686,0.22861432812423915
XGBoost_grid__1_AutoML_20200516_032031_model_50,46291.121840608685,2142867961.2620773,2142867961.2620773,30727.272557458215,0.2314282877671197
GBM_grid__1_AutoML_20200516_032031_model_6,46294.31879143117,2143163952.3626566,2143163952.3626566,30764.853319637667,0.2294380463771448
XGBoost_grid__1_AutoML_20200516_032031_model_5,46342.944286272585,2147668485.1205645,2147668485.1205645,31004.931932289986,0.2319921915569544
XGBoost_grid__1_AutoML_20200516_032031_model_40,46460.162664781485,2158546714.8379555,2158546714.8379555,30935.268294039517,
XGBoost_grid__1_AutoML_20200516_032031_model_92,46489.418754163366,2161266056.0999565,2161266056.0999565,31237.788006765284,0.23290704258700934
GBM_grid__1_AutoML_20200516_032031_model_106,46531.91495277217,2165219109.172022,2165219109.172022,30907.46285180469,0.2305835394553916
XGBoost_grid__1_AutoML_20200516_032031_model_65,46544.97396671593,2166434601.5622635,2166434601.5622635,31035.47513782064,0.2339265448597665
XGBoost_grid__1_AutoML_20200516_032031_model_78,46580.70286262664,2169761879.176314,2169761879.176314,31013.737708881126,0.23419774640708105
GBM_grid__1_AutoML_20200516_032031_model_168,46609.856105760446,2172478686.1996946,2172478686.1996946,30675.14486948326,0.2280817950916543
GBM_grid__1_AutoML_20200516_032031_model_161,46639.3967832103,2175233332.3017273,2175233332.3017273,30984.76599675251,0.2292400666588484
GBM_grid__1_AutoML_20200516_032031_model_170,46661.69963043083,2177314212.400549,2177314212.400549,30524.41448836585,0.2280267072443569
