model_id,logloss,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200514_215242_model_5,0.693933107882485,0.4553672502458741,0.4795238919649157,0.22994316296518014
GBM_grid__1_AutoML_20200514_215242_model_3,0.6946110941959109,0.4590530809854628,0.4814282356716643,0.2317731461019316
GBM_grid__1_AutoML_20200514_215242_model_2,0.6985832703503172,0.4628062858531362,0.4823831703497714,0.2326935230366965
StackedEnsemble_BestOfFamily_AutoML_20200514_215242,0.702618201850239,0.4681633859235273,0.4801091546339826,0.23050480036335744
XGBoost_grid__1_AutoML_20200514_215242_model_2,0.7027592727432882,0.466860963245761,0.4857053450492048,0.2359096822093671
GBM_3_AutoML_20200514_215242,0.7034946327338397,0.4697508060084092,0.4880045668392715,0.23814845725598505
GBM_2_AutoML_20200514_215242,0.7052438025703411,0.4721789129968096,0.4888009376102586,0.2389263566086679
XGBoost_3_AutoML_20200514_215242,0.7057744709259078,0.4693230939497176,0.4873991529382251,0.2375579342848993
XGBoost_grid__1_AutoML_20200514_215242_model_6,0.7059854987681677,0.4631246250988378,0.4861523549792022,0.2363441122518243
XGBoost_grid__1_AutoML_20200514_215242_model_1,0.7078590377200115,0.4662892914520985,0.4863683673164643,0.2365541887260832
GBM_1_AutoML_20200514_215242,0.7084651829119549,0.4731617532322989,0.48980599264349894,0.23990991042948334
GBM_grid__1_AutoML_20200514_215242_model_4,0.7085375881010785,0.4665389105208582,0.4847265217804742,0.23495980091739654
XGBoost_grid__1_AutoML_20200514_215242_model_4,0.7102291175467267,0.4636737919363676,0.4769255965869318,0.22745802467980086
GBM_4_AutoML_20200514_215242,0.7107230158547041,0.4723159099266911,0.4915445023655546,0.24161599780580076
XGBoost_1_AutoML_20200514_215242,0.7138134150684776,0.4670265005025011,0.486600195033728,0.23677974980686214
XGBoost_grid__1_AutoML_20200514_215242_model_3,0.7218990894661406,0.4666361440053024,0.4853661915487368,0.23558033989852506
GBM_grid__1_AutoML_20200514_215242_model_1,0.7251028232849116,0.4830852576328463,0.4963226212585494,0.24633614437295745
GBM_5_AutoML_20200514_215242,0.7271251343904253,0.4727038449838928,0.501548533429239,0.25155093138502044
XGBoost_2_AutoML_20200514_215242,0.7282019647078436,0.4735364067946926,0.493131098566822,0.2431782803737208
XGBoost_grid__1_AutoML_20200514_215242_model_7,0.7286435781721026,0.4855529078195553,0.4999380536768895,0.2499380575142364
StackedEnsemble_AllModels_AutoML_20200514_215242,0.7795714499193456,0.5755100484319595,0.5199218054819946,0.27031868381565705
DeepLearning_grid__2_AutoML_20200514_215242_model_1,0.8021819941756473,0.5081900331505729,0.5191523841228454,0.2695191979404344
DRF_1_AutoML_20200514_215242,0.8231173771923882,0.4885874945520887,0.5089566865517995,0.2590369087857867
XRT_1_AutoML_20200514_215242,0.8370652745142484,0.4916173866710462,0.510271341359342,0.2603768418126622
GLM_1_AutoML_20200514_215242,0.849619450504698,0.5560547800277271,0.5462121252119045,0.2983476857285053
GBM_grid__1_AutoML_20200514_215242_model_5,0.8928966374099323,0.4825755599749609,0.5786292495536632,0.3348118084390355
DeepLearning_grid__3_AutoML_20200514_215242_model_1,0.9228119066047192,0.5756317403101758,0.5598176268665648,0.31339577535051233
DeepLearning_1_AutoML_20200514_215242,0.9329900957575756,0.5703221566494489,0.5542785446744483,0.3072247050864243
DeepLearning_grid__1_AutoML_20200514_215242_model_1,1.1672339795759905,0.5457225439067304,0.5464834552213297,0.298644166830643
XGBoost_grid__1_AutoML_20200514_215242_model_8,1.1739096667552174,0.5099998562801031,0.6873976115016284,0.4725154762981435
GBM_grid__1_AutoML_20200514_215242_model_6,1.25574336431596,0.5231544855136541,0.7136460004845109,0.5092906140075385
DeepLearning_grid__3_AutoML_20200514_215242_model_2,1.7411001435169604,0.6229207095406811,0.6347412071595783,0.4028964000663987
DeepLearning_grid__2_AutoML_20200514_215242_model_2,2.0230675444102637,0.6732291825510429,0.6334044044670954,0.4012011395983158
DeepLearning_grid__1_AutoML_20200514_215242_model_2,3.068535875485624,0.6853447636487566,0.6894320639339974,0.4753165707802914
