model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200514_152407,0.8827845661766784,0.3951280806249396,0.8340644423781425,0.18131049888309755,0.3576608093332732,0.12792125453293202
StackedEnsemble_AllModels_AutoML_20200514_152407,0.8826040986910424,0.3950850704635294,0.8356521012161019,0.17795979151154134,0.3573188296311111,0.12767674600894702
GBM_1_AutoML_20200514_152407,0.880958822919537,0.3948070861104488,0.8370545842678442,0.18093819806403574,0.3582743988308919,0.12836054485763698
GBM_3_AutoML_20200514_152407,0.8781786256638626,0.3983161417971913,0.8297799352095716,0.17758749069247953,0.3591194643382566,0.12896678966659636
GBM_grid__1_AutoML_20200514_152407_model_6,0.8774609139583145,0.4015488725305248,0.8246414385207155,0.17609828741623232,0.3601992871385814,0.1297435264551422
GBM_2_AutoML_20200514_152407,0.8770242990737112,0.3993599820189064,0.8228624597230126,0.18056589724497396,0.3592936343382245,0.12909191567596975
GBM_grid__1_AutoML_20200514_152407_model_2,0.8766023766264944,0.4041478199070694,0.8211538502037674,0.18093819806403574,0.3618733904131215,0.1309523506890875
GBM_grid__1_AutoML_20200514_152407_model_7,0.8762128884278483,0.40052533989580025,0.8204909327355281,0.17944899478778856,0.36019497612472345,0.12974042082549012
GBM_4_AutoML_20200514_152407,0.8747724751323566,0.4055398325740115,0.8227660428410165,0.18615040953090092,0.3626516472528839,0.13151621725523008
DRF_1_AutoML_20200514_152407,0.8735377559602783,0.4399307991192908,0.8193086911839415,0.18987341772151894,0.3648560696292768,0.1331199515453237
XRT_1_AutoML_20200514_152407,0.8728937836574633,0.44189899814211575,0.8165511696803841,0.18912881608339532,0.3659633614903333,0.1339291819533044
GBM_grid__1_AutoML_20200514_152407_model_5,0.8727901049483574,0.4023770133664318,0.8261663694065183,0.1768428890543559,0.3615168973291023,0.13069446705446067
GBM_grid__1_AutoML_20200514_152407_model_4,0.8723593115955488,0.40762026444490695,0.8217758372951164,0.18987341772151897,0.3644278093406965,0.13280762822085904
XGBoost_grid__1_AutoML_20200514_152407_model_12,0.8719437651117263,0.4061324509617485,0.8148492710920007,0.1906180193596426,0.3632156910906347,0.1319256382544474
XGBoost_grid__1_AutoML_20200514_152407_model_8,0.8713264055256871,0.4068475736182766,0.8222382636717266,0.18801191362620998,0.3634144249907589,0.13207004429136393
