model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200514_215840,0.20740449894699445,0.13151792132942822,0.25187610387562503,0.06344157170356465
StackedEnsemble_BestOfFamily_AutoML_20200514_215840,0.2411620959010944,0.13989674714305889,0.26971630954908593,0.07274688763677832
XGBoost_grid__1_AutoML_20200514_215840_model_7,0.2498285325578739,0.1815117447408803,0.2919769516205969,0.0852505402776564
GBM_grid__1_AutoML_20200514_215840_model_3,0.2541773963664836,0.1898938693495745,0.29425264223588393,0.0865846174627991
GBM_grid__1_AutoML_20200514_215840_model_21,0.2547030437909807,0.1871971031999995,0.2936141603623368,0.08620927516528001
XGBoost_grid__1_AutoML_20200514_215840_model_1,0.2558458058103335,0.1833089354355624,0.2949775275910844,0.08701174178374899
XGBoost_grid__1_AutoML_20200514_215840_model_10,0.2602904085154653,0.1861222880427714,0.2967187773166309,0.08804203281227642
XGBoost_grid__1_AutoML_20200514_215840_model_2,0.2620737641055351,0.18240266603351207,0.2977598729958165,0.08866094196648475
XGBoost_grid__1_AutoML_20200514_215840_model_6,0.2630570544938546,0.18509209875893265,0.2981276666395902,0.08888010561596664
GBM_5_AutoML_20200514_215840,0.2665518917589733,0.1986696604406472,0.30209635869352025,0.09126220993588403
XGBoost_grid__1_AutoML_20200514_215840_model_5,0.2675710829531194,0.19397417876556705,0.3008280942869988,0.09049754231234744
XGBoost_3_AutoML_20200514_215840,0.26816811680801445,0.18111796130341054,0.3003214776920348,0.09019298996312737
XGBoost_grid__1_AutoML_20200514_215840_model_12,0.2697741028469641,0.19561902956478294,0.30085556862765234,0.09051407317426803
GBM_1_AutoML_20200514_215840,0.27016600183627,0.18846106584819844,0.3014733507501165,0.09088618121250278
GBM_2_AutoML_20200514_215840,0.27028256487188657,0.1972842011135774,0.3028812295986561,0.09173703924319383
GBM_grid__1_AutoML_20200514_215840_model_33,0.2713989124977879,0.18776917393407416,0.3015612087194599,0.09093916260434166
GBM_grid__1_AutoML_20200514_215840_model_37,0.2714992328330325,0.1934068707037296,0.30261729678276145,0.09157722831210592
GBM_grid__1_AutoML_20200514_215840_model_4,0.27320742269737697,0.2058301481271124,0.3071789598532044,0.09435891337649656
GBM_3_AutoML_20200514_215840,0.2758012275548365,0.2026202845022833,0.30661079114601936,0.09401017724718792
XGBoost_2_AutoML_20200514_215840,0.2774126407938534,0.2021362185513805,0.3081763827459959,0.09497268288240657
XGBoost_grid__1_AutoML_20200514_215840_model_8,0.27902082828609537,0.20330943624957426,0.30983468998348995,0.09599753511716533
GBM_grid__1_AutoML_20200514_215840_model_35,0.2790764174673476,0.20089071360317426,0.3047226257171196,0.09285587862393578
GBM_grid__1_AutoML_20200514_215840_model_9,0.2825257260462296,0.20097729425369126,0.30875900281329416,0.0953321218182598
XGBoost_grid__1_AutoML_20200514_215840_model_4,0.283315993735331,0.21713543356865264,0.3141748800378608,0.09870585524680417
XGBoost_1_AutoML_20200514_215840,0.28347905032152765,0.20521715850911132,0.3114394085048514,0.0969945051698517
GBM_grid__1_AutoML_20200514_215840_model_5,0.28355566505923946,0.2138358521590275,0.313822745767554,0.0984847157610868
XGBoost_grid__1_AutoML_20200514_215840_model_3,0.2836143806052456,0.20730890184142972,0.31286693181668296,0.09788571702438496
GBM_grid__1_AutoML_20200514_215840_model_7,0.284056059135411,0.19178337557343308,0.3081317350871501,0.09494516616781763
GBM_grid__1_AutoML_20200514_215840_model_2,0.2855053003790197,0.2067274895835772,0.3113291501911804,0.09692583975876257
GBM_grid__1_AutoML_20200514_215840_model_26,0.2867153450314697,0.21029359850826326,0.3131815117010963,0.09808265927138393
XGBoost_grid__1_AutoML_20200514_215840_model_9,0.2885100879123205,0.2155885858439948,0.3161248630611813,0.0999349290454506
GBM_grid__1_AutoML_20200514_215840_model_38,0.28876418720341024,0.20687045888645872,0.30963951219515273,0.09587662751245214
GBM_grid__1_AutoML_20200514_215840_model_22,0.28929794119244856,0.2043120973000093,0.30955942233647993,0.09582703595729516
GBM_grid__1_AutoML_20200514_215840_model_27,0.2893044623905921,0.2020041953814292,0.3096350676225437,0.09587387510161724
XGBoost_grid__1_AutoML_20200514_215840_model_11,0.2916109520239313,0.19078581835865704,0.3108222794326989,0.09661048939173876
GBM_grid__1_AutoML_20200514_215840_model_19,0.29351736208285084,0.21832504993249244,0.31835522687541035,0.10135005047889398
GBM_4_AutoML_20200514_215840,0.2976671828043757,0.2170580682075889,0.3184263733923986,0.10139535527183524
GBM_grid__1_AutoML_20200514_215840_model_29,0.30001552559334843,0.2173655925337628,0.3192560955287382,0.1019244545322548
GBM_grid__1_AutoML_20200514_215840_model_31,0.3059044830990668,0.2098568212216383,0.3189085814275892,0.10170268330815728
GBM_grid__1_AutoML_20200514_215840_model_28,0.3066023637623642,0.2140388188357353,0.320777591411742,0.1028982631519185
GBM_grid__1_AutoML_20200514_215840_model_24,0.309100082332391,0.22979274941172825,0.32607077325935885,0.10632214917395623
GBM_grid__1_AutoML_20200514_215840_model_6,0.30918621230559745,0.22373124441640044,0.3232400536162051,0.10448413226180717
GBM_grid__1_AutoML_20200514_215840_model_34,0.30973887870983713,0.22047139666615315,0.32464678362768595,0.10539553411980154
XGBoost_grid__1_AutoML_20200514_215840_model_13,0.31641837007168644,0.20019951210077014,0.3236395546977194,0.1047425613649381
GBM_grid__1_AutoML_20200514_215840_model_10,0.3276643854865426,0.20661763665224694,0.328442664764628,0.10787458403768983
GBM_grid__1_AutoML_20200514_215840_model_23,0.3290743499930905,0.2259979680735099,0.3329529747018669,0.11085768336282203
GBM_grid__1_AutoML_20200514_215840_model_17,0.3324541282596034,0.21911341239604806,0.3324718646562389,0.11053754078799644
GBM_grid__1_AutoML_20200514_215840_model_12,0.33521707611178675,0.21760300449687894,0.3336414390018215,0.11131660981920616
GBM_grid__1_AutoML_20200514_215840_model_8,0.3447667876286495,0.2188104009010469,0.33870119998461423,0.11471850287101765
GBM_grid__1_AutoML_20200514_215840_model_14,0.3640511231276692,0.2180381836606277,0.3478228908460252,0.12098076339648595
GBM_grid__1_AutoML_20200514_215840_model_32,0.3674911141828035,0.21810947378809767,0.3491439934930443,0.12190152819227094
XRT_1_AutoML_20200514_215840,0.37396936194936425,0.2745945311594999,0.3583325919846707,0.1284022464784525
XGBoost_grid__1_AutoML_20200514_215840_model_14,0.3870019522390174,0.23417334452491945,0.3550767730339996,0.12607951474823847
GBM_grid__1_AutoML_20200514_215840_model_11,0.3892563448221921,0.22951223202815846,0.3592027014737649,0.12902658074605067
GBM_grid__1_AutoML_20200514_215840_model_18,0.3897056659950442,0.2325568070373836,0.3600210749590013,0.12961517441463485
DRF_1_AutoML_20200514_215840,0.3936097866961076,0.2701336079270564,0.3633697258765636,0.13203755768360895
GBM_grid__1_AutoML_20200514_215840_model_1,0.4070994040519293,0.25827297925107245,0.3704562682241136,0.1372378466665364
GBM_grid__1_AutoML_20200514_215840_model_39,0.4081524531925192,0.2322780726998697,0.3583067058185224,0.12838369543452113
GBM_grid__1_AutoML_20200514_215840_model_25,0.4107641609014975,0.24504024349537715,0.37002436643845604,0.13691803175818076
GBM_grid__1_AutoML_20200514_215840_model_16,0.4169761773735989,0.2623537271613772,0.37369373043924176,0.13964700416959666
GBM_grid__1_AutoML_20200514_215840_model_20,0.4193580413290834,0.26128631615259995,0.374981391654699,0.1406110440872948
GBM_grid__1_AutoML_20200514_215840_model_36,0.4417025453581165,0.2794090886073733,0.3844671914761769,0.14781502132157925
GBM_grid__1_AutoML_20200514_215840_model_13,0.4446987249592617,0.2962747497405798,0.3875701653558168,0.15021063307393515
XGBoost_grid__1_AutoML_20200514_215840_model_15,0.4450440691998988,0.2648145735772024,0.3842187491520766,0.14762404719998634
GBM_grid__1_AutoML_20200514_215840_model_30,0.4456155315976698,0.2909605201778207,0.3875073639440162,0.1501619571108402
GBM_grid__1_AutoML_20200514_215840_model_15,0.4513020946298853,0.30860712441186416,0.3900387753173403,0.1521302462510507
GBM_grid__1_AutoML_20200514_215840_model_40,0.6781243089543743,0.30946726659729784,0.4902103426195757,0.24030618001120174
XGBoost_grid__1_AutoML_20200514_215840_model_16,0.6911609666437613,0.4173210987011096,0.4960695907097475,0.2460850388269364
DeepLearning_grid__1_AutoML_20200514_215840_model_1,0.7131978293099683,0.3102383089765104,0.4788873236730383,0.22933306877472534
GLM_1_AutoML_20200514_215840,0.7247565555548958,0.4913224953400388,0.5019725985180473,0.2519764896629608
DeepLearning_grid__3_AutoML_20200514_215840_model_1,0.8151841201430713,0.41360629726282944,0.5199351161593173,0.2703325250156028
DeepLearning_1_AutoML_20200514_215840,0.8630662509473006,0.36076018655435493,0.5117499261742535,0.26188798693935395
GBM_grid__1_AutoML_20200514_215840_model_41,0.9493329918683964,0.24346069437383897,0.6122852040305024,0.3748931710746739
DeepLearning_grid__1_AutoML_20200514_215840_model_2,0.9960985211315488,0.41536103482123465,0.5053929303200091,0.2554220140174455
DeepLearning_grid__2_AutoML_20200514_215840_model_1,1.0414353659983435,0.3699868494262157,0.5363889012370088,0.2877130533702455
DeepLearning_grid__1_AutoML_20200514_215840_model_4,1.3375719846579976,0.5561122502016383,0.5971010516512104,0.35652966588298146
DeepLearning_grid__1_AutoML_20200514_215840_model_3,1.8725314397206472,0.5624556084042875,0.608466201668562,0.3702311185729672
DeepLearning_grid__3_AutoML_20200514_215840_model_3,1.8969347581095457,0.5771555378971068,0.6276794689455233,0.3939815157357341
DeepLearning_grid__2_AutoML_20200514_215840_model_4,1.9180499417036696,0.6006170600961703,0.6311043504253577,0.3982927011258128
DeepLearning_grid__2_AutoML_20200514_215840_model_3,2.724922927287385,0.5274115597947691,0.6459954373005989,0.4173101050131921
DeepLearning_grid__1_AutoML_20200514_215840_model_5,3.1512694371120964,0.5421202276611902,0.623410336869518,0.3886404481157659
DeepLearning_grid__3_AutoML_20200514_215840_model_2,4.277529383502201,0.5879070041034601,0.6662092133059515,0.4438347158937349
DeepLearning_grid__2_AutoML_20200514_215840_model_2,5.22436540101305,0.6342422450935838,0.6938297706116402,0.4813997505870013
