model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200514_220401_model_5,0.8312485617553275,0.07549617444557162,0.09470814843312593,0.392677931856204,0.12951228146478036,0.016773431050212492
XGBoost_grid__1_AutoML_20200514_220401_model_11,0.8302899814788969,0.07537631356275562,0.0958142890378756,0.3904432735399219,0.129387350472096,0.016741086462188994
StackedEnsemble_BestOfFamily_AutoML_20200514_220401,0.8247977969572922,0.07905812179369921,0.09780396110031764,0.4039620602530283,0.13088091143670386,0.017129812978502315
StackedEnsemble_AllModels_AutoML_20200514_220401,0.8242343058642476,0.07844401774897886,0.10407296264902548,0.4006733082323536,0.13048637172292304,0.01702669320541285
XGBoost_grid__1_AutoML_20200514_220401_model_14,0.8242088704533708,0.07581598736492112,0.09634984399247838,0.39578047294272506,0.1294252750579345,0.016750901823822
XGBoost_grid__1_AutoML_20200514_220401_model_12,0.8221528955454249,0.07619643652695593,0.09205065253029499,0.35961309816608283,0.12968122110040362,0.01681721910609176
XGBoost_grid__1_AutoML_20200514_220401_model_20,0.8171985972307347,0.07732726581502165,0.08203396604662691,0.3766335401863533,0.13055478181779526,0.017044551055492112
XGBoost_grid__1_AutoML_20200514_220401_model_2,0.8170413241960186,0.07721744609746176,0.08131947324362199,0.3771652264235985,0.13045523513442095,0.01701856837397706
GLM_1_AutoML_20200514_220401,0.8164918006884029,0.076698328825457,0.0854145732962217,0.3941299958232824,0.12980887403750804,0.01685034377888563
XGBoost_grid__1_AutoML_20200514_220401_model_16,0.8151081906005692,0.07729874233065091,0.0841761175231891,0.3720861801998164,0.13033736061394952,0.016987827571810717
XGBoost_grid__1_AutoML_20200514_220401_model_6,0.8126785792516702,0.0776559634250216,0.08360072049530884,0.3724481793400685,0.13052740556721562,0.0170374036041084
XGBoost_grid__1_AutoML_20200514_220401_model_23,0.8126465060600538,0.08257891313774278,0.07596876467778392,0.4066410826824848,0.13456339798576275,0.018107308077474776
XGBoost_grid__1_AutoML_20200514_220401_model_25,0.8126278072904809,0.0773777884905685,0.08311999626057917,0.4079820556212696,0.13037825156233604,0.016998488480451778
XGBoost_grid__1_AutoML_20200514_220401_model_15,0.8120962764055507,0.07756212634175902,0.08642149900900006,0.4067695872930167,0.13035888135017082,0.016993437946867914
XGBoost_3_AutoML_20200514_220401,0.8117245606841309,0.07802147337096227,0.08240542917013678,0.404576111463196,0.13077271756534722,0.017101503659426073
XGBoost_grid__1_AutoML_20200514_220401_model_7,0.8115380672912226,0.07928016611516601,0.07653771307780276,0.3969468016333686,0.13212824799654999,0.017457873918637814
