model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200514_162420_model_41,0.9998454268641326,0.013156824893862478,0.9998565566501698,0.0035459755745372006,0.05658666250141791,0.0032020503730493762
GBM_grid__1_AutoML_20200514_162420_model_39,0.9998400967559992,0.0157089167425774,0.999850726497467,0.003452940959845873,0.06273150961349748,0.003935242298388327
XGBoost_grid__1_AutoML_20200514_162420_model_163,0.9998354934807931,0.018206724752531392,0.9998452609024702,0.004242766074152465,0.06423312929611766,0.004125894899171768
XGBoost_grid__1_AutoML_20200514_162420_model_128,0.9998325861490842,0.013357129853064044,0.9998577641905662,0.003483952498076316,0.05786885717260154,0.0033488046304629565
XGBoost_grid__1_AutoML_20200514_162420_model_42,0.9998267714856659,0.014565526827441385,0.9998460240782044,0.003940888131690497,0.06046497286424684,0.0036560129434741054
XGBoost_grid__1_AutoML_20200514_162420_model_214,0.9998262869303812,0.013382102230401559,0.9998404369108034,0.0027871619984610524,0.05217761939356947,0.0027225039655801968
GBM_grid__1_AutoML_20200514_162420_model_47,0.9998192608787508,0.01812124784526477,0.9998341851329512,0.003151063017383905,0.06035838094165087,0.0036431341498974435
XGBoost_grid__1_AutoML_20200514_162420_model_153,0.9998190186011084,0.01494795378358379,0.9998318682732869,0.0032130860938447913,0.056770452190240336,0.003222884241884364
XGBoost_grid__1_AutoML_20200514_162420_model_101,0.9998132039376899,0.014287784207451987,0.9998269009223394,0.003940888131690497,0.05772561054842721,0.003332246113188692
XGBoost_grid__1_AutoML_20200514_162420_model_52,0.9998129616600476,0.017606723204039304,0.9998245660505792,0.005032591188459056,0.06576049738836871,0.004324443016765648
XGBoost_grid__1_AutoML_20200514_162420_model_171,0.9998127193824052,0.014692630210768713,0.9998265737546956,0.0031200514791534626,0.056557322392020284,0.00319873071615492
XGBoost_grid__1_AutoML_20200514_162420_model_186,0.9998083583848416,0.014569085957322862,0.9998220628751928,0.0024542725177686426,0.05423846777979379,0.002941811387099729
GBM_grid__1_AutoML_20200514_162420_model_4,0.9998071469966296,0.01820497422551151,0.9998210391278812,0.004846521959076399,0.06770925732519788,0.004584543527529862
XGBoost_grid__1_AutoML_20200514_162420_model_33,0.9998056933307751,0.015784395024015987,0.9998200114545196,0.0027871619984610524,0.0574152415399639,0.003296509961092396
XGBoost_grid__1_AutoML_20200514_162420_model_26,0.9998037551096356,0.016407607277721382,0.9998223319292892,0.003182074555614348,0.0570141943686338,0.003250618359504354
XGBoost_grid__1_AutoML_20200514_162420_model_155,0.9997984250015021,0.016516794782421098,0.9998164668112962,0.0032440976320752338,0.05757956258440039,0.0033154060274108808
XGBoost_grid__1_AutoML_20200514_162420_model_89,0.9997964867803628,0.01706850153436726,0.9998143014615768,0.003847853516999168,0.06136812917327983,0.0037660472782283594
XGBoost_grid__1_AutoML_20200514_162420_model_213,0.9997918835051568,0.0119139917774289,0.9998048783356668,0.002090371498845789,0.050565995027563815,0.002556919853127608
XGBoost_grid__1_AutoML_20200514_162420_model_226,0.9997913989498716,0.012408694069363348,0.9998009313819348,0.00308903994092302,0.05412788032522725,0.002929827428502123
XGBoost_grid__1_AutoML_20200514_162420_model_152,0.9997911566722292,0.0173664635346604,0.9998070850802752,0.0035769871127676444,0.05763278025605696,0.003321537360042948
