model_id,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200514_162736,0.0936672803332356,0.023888888888888887,0.14865422811560985,0.02209807953664777
GBM_5_AutoML_20200514_162736,0.09546563514360673,0.025555555555555557,0.14861647665808242,0.02208685713426236
GBM_grid__1_AutoML_20200514_162736_model_3,0.09652216360236536,0.027777777777777773,0.15274739561165102,0.023331766866142224
GBM_grid__1_AutoML_20200514_162736_model_11,0.10755956623402667,0.031111111111111114,0.1636132889931845,0.02676930833516731
GBM_grid__1_AutoML_20200514_162736_model_6,0.10889183844473747,0.03222222222222222,0.16236814890131596,0.026363415777639912
GBM_grid__1_AutoML_20200514_162736_model_12,0.1091073614052244,0.031111111111111114,0.16175841503599026,0.026165784834955682
GBM_grid__1_AutoML_20200514_162736_model_7,0.10950698754378348,0.03333333333333333,0.1609605383502641,0.025908294906006844
GBM_grid__1_AutoML_20200514_162736_model_5,0.11051602522684324,0.03,0.1605178117961821,0.02576596790383454
GBM_grid__1_AutoML_20200514_162736_model_13,0.11075437317685947,0.03333333333333333,0.16630156636644247,0.02765621097593227
GBM_grid__1_AutoML_20200514_162736_model_9,0.1116976772254508,0.030000000000000013,0.16517037043124605,0.027281251268395038
XGBoost_grid__1_AutoML_20200514_162736_model_31,0.11384706257502347,0.03166666666666668,0.17519662602476552,0.03069385777046155
XGBoost_grid__1_AutoML_20200514_162736_model_39,0.11392933081193647,0.03166666666666666,0.17624332343248925,0.031061709054529013
GLM_1_AutoML_20200514_162736,0.11419450266380822,0.027222222222222217,0.1677620862107657,0.028144117569788383
GBM_grid__1_AutoML_20200514_162736_model_4,0.11597839118524655,0.034444444444444444,0.16526593617510965,0.02731282965983541
XGBoost_grid__1_AutoML_20200514_162736_model_30,0.11632901561425445,0.034444444444444444,0.1792217488462561,0.032120435259510506
XGBoost_grid__1_AutoML_20200514_162736_model_52,0.11719120391151965,0.03333333333333333,0.17173280305687344,0.02949215564577088
XGBoost_grid__1_AutoML_20200514_162736_model_38,0.11741794363836786,0.03388888888888888,0.1759256216802122,0.030949824363569144
XGBoost_grid__1_AutoML_20200514_162736_model_42,0.11777806351179668,0.03722222222222223,0.17452311605167342,0.030458318036385868
GBM_grid__1_AutoML_20200514_162736_model_10,0.11785138708335305,0.03222222222222222,0.16758335494511212,0.02808418085465943
XGBoost_grid__1_AutoML_20200514_162736_model_9,0.11834892215173624,0.03666666666666667,0.18130618335680285,0.032871932123410615
XGBoost_grid__1_AutoML_20200514_162736_model_22,0.1189299023670706,0.034444444444444444,0.17740531460216102,0.031472645649091725
GBM_grid__1_AutoML_20200514_162736_model_2,0.1208348663096282,0.03555555555555555,0.1727669988132687,0.029848435878943987
XGBoost_grid__1_AutoML_20200514_162736_model_33,0.1212998508783769,0.035,0.18470259583340776,0.03411504890759918
XGBoost_grid__1_AutoML_20200514_162736_model_19,0.12202163515140345,0.033888888888888885,0.18162289467543768,0.032986875870285134
