model_id,logloss,mean_per_class_error,rmse,mse
GBM_grid__1_AutoML_20200515_175746_model_1,0.4181341614062235,0.16142158750023225,0.34010343394973963,0.11567034578440492
GBM_grid__1_AutoML_20200515_175746_model_2,0.4305231726854005,0.15265942787672748,0.3405481783844834,0.11597306180098994
XGBoost_grid__1_AutoML_20200515_175746_model_9,0.4785700631092013,0.13817791496155032,0.3803858685789003,0.14469340901452446
XGBoost_grid__1_AutoML_20200515_175746_model_31,0.4813039251048726,0.13128624548798426,0.38532255344214617,0.14847347019117554
XGBoost_grid__1_AutoML_20200515_175746_model_30,0.4887443090435264,0.1467401009583474,0.3904775514324972,0.15247271817271849
XGBoost_grid__1_AutoML_20200515_175746_model_39,0.4929533664274598,0.1336991068796847,0.3885526882582581,0.15097319155271913
XGBoost_grid__1_AutoML_20200515_175746_model_22,0.4951279593892859,0.1604424830743193,0.3829159361760522,0.14662461417758246
XGBoost_grid__1_AutoML_20200515_175746_model_32,0.5256277926328778,0.151001880096251,0.3973473005358805,0.15788487724315134
XGBoost_grid__1_AutoML_20200515_175746_model_4,0.5383578832195602,0.16924755252262488,0.3995425936745149,0.15963428416015848
XGBoost_3_AutoML_20200515_175746,0.5481525772851987,0.15791175104419128,0.4161025455615289,0.17314132842278426
XGBoost_grid__1_AutoML_20200515_175746_model_7,0.5556561930200605,0.1634627833621122,0.41253235776519065,0.17018294620330726
XGBoost_grid__1_AutoML_20200515_175746_model_27,0.5568101536462254,0.1518051270144099,0.40205944300580604,0.1616517957101389
XGBoost_grid__1_AutoML_20200515_175746_model_13,0.5577691190891314,0.15351283519381365,0.4181195572768312,0.17482396417737328
XGBoost_grid__1_AutoML_20200515_175746_model_35,0.5604277556842304,0.1774673701644557,0.4234205964544382,0.1792850015018322
XGBoost_grid__1_AutoML_20200515_175746_model_38,0.5616314350613062,0.19596616636453007,0.4171747706184924,0.17403478924059174
XGBoost_grid__1_AutoML_20200515_175746_model_34,0.5780090444188263,0.16874132048225304,0.4316002811313009,0.18627880267261798
XGBoost_grid__1_AutoML_20200515_175746_model_1,0.5787302846368271,0.1754695839343016,0.4104459778531381,0.16846590073581874
XGBoost_grid__1_AutoML_20200515_175746_model_16,0.6061062108372467,0.17915798367762126,0.4385281469295337,0.1923069356494507
