model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200514_225623_model_5,0.9856568965752092,0.1373507130680008,0.9606310016896246,0.06007501190519339,0.2008007646355572,0.040320947078224416
StackedEnsemble_AllModels_AutoML_20200514_225623,0.9855597098917852,0.14547090806583934,0.9605852721062746,0.06063378526585956,0.20181390456577025,0.04072885207608182
GBM_grid__1_AutoML_20200514_225623_model_3,0.9852255796043424,0.13908367932044982,0.9590631065301256,0.05961793216296834,0.20217009733797672,0.04087274825764699
XGBoost_grid__1_AutoML_20200514_225623_model_8,0.9851729941166936,0.14132461463892287,0.9589878027219167,0.05884165282417567,0.20246730769328825,0.04099301068456865
GBM_grid__1_AutoML_20200514_225623_model_5,0.9850717066538224,0.14165457806942974,0.9591286099159654,0.061477757199658686,0.2030083459788281,0.04121238853705958
StackedEnsemble_BestOfFamily_AutoML_20200514_225623,0.9849731303290892,0.14756569647632184,0.9590488237026926,0.060508089787303286,0.2034778439327133,0.04140323297150561
GBM_grid__1_AutoML_20200514_225623_model_2,0.9847337830504952,0.14151758700535838,0.9581751435783056,0.06447713872142924,0.20383317659079894,0.04154796387909583
GBM_grid__1_AutoML_20200514_225623_model_4,0.9846992572964774,0.14320318697375095,0.9578233264138436,0.06321401423935011,0.20441241834344195,0.041784436773014334
GBM_5_AutoML_20200514_225623,0.9845826122003832,0.14242348508130542,0.9580491133519328,0.06263375331495473,0.204280820663147,0.04173065369080883
GBM_3_AutoML_20200514_225623,0.9845375688788738,0.14276654662656588,0.9576099383481701,0.062344396482414265,0.20481710737735032,0.04195004747442505
GBM_4_AutoML_20200514_225623,0.9844894883379416,0.14298605266243256,0.9573660814579572,0.06325528738156262,0.2045966646654677,0.04185979519223384
GBM_2_AutoML_20200514_225623,0.9843495875366912,0.14366067997521906,0.9574803476209856,0.06584425837017971,0.20547818787564967,0.04222128569266078
XGBoost_grid__1_AutoML_20200514_225623_model_6,0.9843223651719959,0.14306954757371376,0.9570934303507592,0.06352228631700953,0.2051982549922593,0.04210632385186826
XGBoost_grid__1_AutoML_20200514_225623_model_2,0.9840357677390692,0.1443164037738724,0.9560358917278108,0.06308294203467618,0.20610856699600325,0.04248074138914595
XGBoost_3_AutoML_20200514_225623,0.983979745745102,0.14448680669884487,0.9560950491979632,0.06572809787714863,0.20605536071298647,0.04245881167855897
XGBoost_grid__1_AutoML_20200514_225623_model_9,0.9839522385111684,0.146054140773038,0.9562290197930292,0.06509606178794401,0.20688600349263486,0.04280181844115455
XGBoost_grid__1_AutoML_20200514_225623_model_4,0.9837678850944184,0.15555587143740585,0.9551634486844496,0.06163553896824803,0.20951473898296008,0.043896425851097896
GBM_grid__1_AutoML_20200514_225623_model_6,0.9837098258154352,0.14666489028039845,0.9553946631499948,0.06733763437898795,0.20690379110269155,0.04280917877266621
XGBoost_grid__1_AutoML_20200514_225623_model_7,0.9836022690602674,0.14660406363529266,0.9547523369680015,0.06601422480587021,0.2077361519965968,0.043154308846353163
GBM_1_AutoML_20200514_225623,0.9835693908843632,0.14727175455749672,0.9551893583894724,0.06595856215203348,0.20811944645439776,0.043313703992484937
XGBoost_1_AutoML_20200514_225623,0.9834191277838162,0.1504086190080474,0.9542847728236892,0.06486631312049207,0.20894657494183447,0.04365867117992368
XGBoost_2_AutoML_20200514_225623,0.983243631522868,0.15118419787097234,0.9536597742372876,0.06474172006419733,0.20933872996267053,0.043822703862383884
XGBoost_grid__1_AutoML_20200514_225623_model_1,0.9827802054868896,0.15047226276606576,0.9524762881641092,0.06618357233783494,0.21021913468054404,0.04419208458583671
XGBoost_grid__1_AutoML_20200514_225623_model_3,0.9827708819842379,0.1543978092338694,0.9523424809834355,0.06756169686845932,0.21126765626737734,0.04463402258471071
DRF_1_AutoML_20200514_225623,0.978502749632178,0.1859015555951095,0.9418050938632062,0.0749459726058512,0.2312501220324241,0.053476618940011066
XRT_1_AutoML_20200514_225623,0.9784765353358468,0.1872986050596252,0.941664373133136,0.07592910117424218,0.2312318362432333,0.05346816209241747
GBM_grid__1_AutoML_20200514_225623_model_1,0.9780014307456272,0.1720638185001143,0.9418395542791776,0.07822544674501705,0.22598207087168626,0.05106789635545582
DeepLearning_grid__3_AutoML_20200514_225623_model_1,0.9624905172661088,0.27253485059314353,0.9055165776973632,0.10114931195505768,0.2866053398281956,0.08214262081803549
GBM_grid__1_AutoML_20200514_225623_model_7,0.9611071747118992,0.3065533325426294,0.8988354776068178,0.10645615997392556,0.29360333609560496,0.08620291896646876
DeepLearning_grid__2_AutoML_20200514_225623_model_1,0.9545056493277224,0.2561433084033413,0.8770210142917538,0.10890833389840532,0.27884257269098994,0.07775318034493002
DeepLearning_1_AutoML_20200514_225623,0.9478355939125108,0.28712159949606264,0.8784895618081812,0.12895880317635314,0.2903511261090751,0.08430377643280802
GLM_1_AutoML_20200514_225623,0.9234511784507342,0.3137790323232145,0.8426910652871934,0.15404718746357898,0.3086686073816715,0.09527630918294047
DeepLearning_grid__1_AutoML_20200514_225623_model_1,0.9080105624206594,0.4209550414671687,0.8192333236379735,0.17033466406660053,0.3251859198676848,0.10574588248019233
