model_id,rmse,mean_residual_deviance,mse,mae,rmsle
StackedEnsemble_BestOfFamily_AutoML_20200516_021318,21.82912949197661,476.5108943774832,476.5108943774832,17.085196451875447,0.030712185517511
DeepLearning_grid__1_AutoML_20200516_021318_model_19,22.102274055781546,488.51051843687384,488.51051843687384,17.350230890385067,0.031065620450725636
DeepLearning_grid__1_AutoML_20200516_021318_model_15,22.52138333561734,507.21270734982244,507.21270734982244,17.670315818327385,0.03179157756993068
DeepLearning_grid__1_AutoML_20200516_021318_model_4,22.77596930507977,518.744777785936,518.744777785936,17.929149159870864,0.03230972390915637
DeepLearning_grid__1_AutoML_20200516_021318_model_21,22.78009118150442,518.9325542376555,518.9325542376555,18.046690243088484,0.03218713103100075
DeepLearning_grid__1_AutoML_20200516_021318_model_16,22.81790626647229,520.6568463855156,520.6568463855156,17.953167067182182,0.03220425557003539
DeepLearning_grid__1_AutoML_20200516_021318_model_18,23.054821498788943,531.5247943410208,531.5247943410208,18.125457478954,0.032674060318076285
DeepLearning_grid__1_AutoML_20200516_021318_model_24,23.05630298822103,531.5931074846502,531.5931074846502,18.23680145596324,0.032472905730563134
DeepLearning_grid__2_AutoML_20200516_021318_model_4,23.09433521262683,533.3483189131756,533.3483189131756,18.00347566251524,0.03265758251735458
DeepLearning_grid__1_AutoML_20200516_021318_model_11,23.28125473301446,542.0168219435083,542.0168219435083,18.224805145608524,0.032923705788307236
DeepLearning_grid__1_AutoML_20200516_021318_model_6,23.299716081177287,542.8767694634713,542.8767694634713,18.43302716091207,0.03290979650207721
XGBoost_grid__1_AutoML_20200516_021318_model_10,23.41401761244291,548.2162207557868,548.2162207557868,18.38348575794987,0.03336057254217065
DeepLearning_grid__1_AutoML_20200516_021318_model_7,23.445998754729427,549.714857606774,549.714857606774,18.433205268407395,0.03320787349546946
XGBoost_grid__1_AutoML_20200516_021318_model_15,23.44928588165125,549.8690083594087,549.8690083594087,18.590566623092663,0.033404700143542264
XGBoost_grid__1_AutoML_20200516_021318_model_72,23.552028902773145,554.6980654370616,554.6980654370616,18.65453862154989,0.033442405124418734
DeepLearning_grid__1_AutoML_20200516_021318_model_23,23.666826341203013,560.1186690646606,560.1186690646606,18.711711359758702,0.03382150692118673
