model_id,rmse,mean_residual_deviance,mse,mae,rmsle
DeepLearning_grid__2_AutoML_20200516_021159_model_2,0.1410310202392099,0.019889748669712437,0.019889748669712437,0.10988480767546123,0.1008266040906738
DeepLearning_grid__2_AutoML_20200516_021159_model_1,0.14297635994853414,0.02044223950413281,0.02044223950413281,0.11170802675311607,0.10248889544704236
DeepLearning_grid__3_AutoML_20200516_021159_model_3,0.14411948197628388,0.02077042508511241,0.02077042508511241,0.1131470750752391,0.10291578308753348
DeepLearning_grid__3_AutoML_20200516_021159_model_1,0.1452756917771753,0.021105026621336842,0.021105026621336842,0.11582378079266742,0.104497663827245
GBM_3_AutoML_20200516_021159,0.14747875304809707,0.0217499826006216,0.0217499826006216,0.11503461415499258,0.1055983492565431
DRF_1_AutoML_20200516_021159,0.1504285030023089,0.022628734515515656,0.022628734515515656,0.11670984352220813,0.10748996580604506
GBM_4_AutoML_20200516_021159,0.1504981886927639,0.022649704799802783,0.022649704799802783,0.11805604192204927,0.10785952995473022
DeepLearning_grid__3_AutoML_20200516_021159_model_2,0.15191596187638365,0.023078459472826853,0.023078459472826853,0.11957081224641347,0.10751697821255707
XGBoost_grid__1_AutoML_20200516_021159_model_6,0.15204871764865605,0.02311881253860073,0.02311881253860073,0.11539855698379972,0.10851944105024944
GBM_grid__1_AutoML_20200516_021159_model_6,0.15243314720062376,0.023235864365487028,0.023235864365487028,0.11783627931434584,0.10930588131473692
XRT_1_AutoML_20200516_021159,0.15277200121174006,0.023339284354239903,0.023339284354239903,0.11953347891069135,0.10959154194601152
GBM_grid__1_AutoML_20200516_021159_model_8,0.15348264044799848,0.023556920918889574,0.023556920918889574,0.12006769269077455,0.110371228565511
GBM_grid__1_AutoML_20200516_021159_model_7,0.15357358803683485,0.02358484694250746,0.02358484694250746,0.12074799056681823,0.1101545186362022
XGBoost_grid__1_AutoML_20200516_021159_model_5,0.153808212329483,0.02365696617999132,0.02365696617999132,0.12170812743433153,0.11030199037954977
GBM_grid__1_AutoML_20200516_021159_model_5,0.1546367665237632,0.023912529560924857,0.023912529560924857,0.12064081207704305,0.11084133916440178
GBM_grid__1_AutoML_20200516_021159_model_1,0.1553573297232492,0.024135899898738367,0.024135899898738367,0.12294485586612562,0.1120147381291322
GBM_2_AutoML_20200516_021159,0.15562180907814496,0.024218147460754604,0.024218147460754604,0.12279860405524735,0.11153650958194912
GBM_1_AutoML_20200516_021159,0.15570969319612749,0.024245508555232147,0.024245508555232147,0.12041938701561675,0.11165702032540954
XGBoost_grid__1_AutoML_20200516_021159_model_2,0.15607925540824455,0.024360733968792042,0.024360733968792042,0.12033696879297193,0.1118369067624827
XGBoost_grid__1_AutoML_20200516_021159_model_8,0.15626147528554926,0.024417648658416315,0.024417648658416315,0.12456362344030487,0.11243587983752484
XGBoost_grid__1_AutoML_20200516_021159_model_9,0.1568706512039576,0.024608401209153717,0.024608401209153717,0.12309663500900755,0.11305690924322202
DeepLearning_grid__2_AutoML_20200516_021159_model_3,0.1569221944964458,0.02462457512558036,0.02462457512558036,0.11271489344385313,0.15669255165414256
GBM_grid__1_AutoML_20200516_021159_model_4,0.15744168271103534,0.02478788345488233,0.02478788345488233,0.12153262713443035,0.11286914694799595
XGBoost_grid__1_AutoML_20200516_021159_model_4,0.15755378418421592,0.024823194910766486,0.024823194910766486,0.12239458447563566,0.11312305651150642
GBM_grid__1_AutoML_20200516_021159_model_2,0.15791504057259534,0.02493716003904444,0.02493716003904444,0.12503608196784155,0.1129216852910851
XGBoost_grid__1_AutoML_20200516_021159_model_7,0.1619283493847117,0.02622079033445726,0.02622079033445726,0.12605207340475094,0.11568462704521965
XGBoost_grid__1_AutoML_20200516_021159_model_1,0.16263052126572333,0.02644868644716089,0.02644868644716089,0.12618670630106618,0.11548517076664246
XGBoost_1_AutoML_20200516_021159,0.1642645555955747,0.02698284422501166,0.02698284422501166,0.13317647916623032,0.11827050128213902
XGBoost_3_AutoML_20200516_021159,0.1657059898715068,0.027458475079295917,0.027458475079295917,0.1292018370593517,0.11822365463556188
XGBoost_grid__1_AutoML_20200516_021159_model_3,0.17354789454377118,0.030118871700575933,0.030118871700575933,0.1316771167255033,0.1239146289103622
XGBoost_2_AutoML_20200516_021159,0.17418986434456035,0.030342108840376338,0.030342108840376338,0.13975606818951153,0.12503995855823322
StackedEnsemble_BestOfFamily_AutoML_20200516_021159,0.1978752372327988,0.03915460950993639,0.03915460950993639,0.11627109192600807,
DeepLearning_grid__3_AutoML_20200516_021159_model_4,0.2112527179034935,0.044627710821613015,0.044627710821613015,0.12114540663437501,
StackedEnsemble_AllModels_AutoML_20200516_021159,0.2292159642199179,0.05253995825326669,0.05253995825326669,0.12453946291849025,0.12818782083929234
GLM_1_AutoML_20200516_021159,0.3371117110409985,0.11364430572098964,0.11364430572098964,0.13832103396465895,
DeepLearning_grid__2_AutoML_20200516_021159_model_4,0.3519791764184323,0.12388934063219788,0.12388934063219788,0.13773018292257735,0.14925314739283346
DeepLearning_grid__1_AutoML_20200516_021159_model_1,0.5320942685942045,0.28312431067080146,0.28312431067080146,0.15782082288589994,
DeepLearning_grid__1_AutoML_20200516_021159_model_2,0.5438543448088801,0.29577754836749603,0.29577754836749603,0.18645959084655075,0.19612554841540766
DeepLearning_grid__1_AutoML_20200516_021159_model_3,1.2628874899989564,1.594884812395864,1.594884812395864,0.21591128812275187,0.2312949697899264
DeepLearning_grid__1_AutoML_20200516_021159_model_4,1.9957390036091105,3.9829741705266852,3.9829741705266852,0.26959892193617924,
DeepLearning_1_AutoML_20200516_021159,3.1123473888864344,9.686706269108207,9.686706269108207,0.3735304548532396,
